"","Gene_name","LFC_1_Ctrl","FDR_1_Ctrl","LFC_2_Ctrl","FDR_2_Ctrl","LFC_2_1","FDR_2_1"
"A1BG","A1BG",NA,NA,NA,NA,-0.245634138690811,0.0877664709008018
"A1BG-AS1","A1BG-AS1",NA,NA,NA,NA,-0.187188838066848,0.0320187890291013
"A1CF","A1CF",NA,NA,NA,NA,NA,NA
"A2M","A2M",NA,NA,NA,NA,NA,NA
"A2M-AS1","A2M-AS1",NA,NA,NA,NA,NA,NA
"A2ML1","A2ML1",NA,NA,NA,NA,NA,NA
"A2MP1","A2MP1",NA,NA,NA,NA,NA,NA
"A3GALT2","A3GALT2",NA,NA,NA,NA,NA,NA
"A4GALT","A4GALT",NA,NA,NA,NA,NA,NA
"A4GNT","A4GNT",NA,NA,NA,NA,NA,NA
"AA06","AA06",NA,NA,NA,NA,NA,NA
"AAAS","AAAS",NA,NA,NA,NA,NA,NA
"AACS","AACS",NA,NA,NA,NA,NA,NA
"AACSP1","AACSP1",NA,NA,NA,NA,NA,NA
"AADAC","AADAC",NA,NA,NA,NA,NA,NA
"AADACL2","AADACL2",NA,NA,NA,NA,NA,NA
"AADACL3","AADACL3",NA,NA,NA,NA,NA,NA
"AADACL4","AADACL4",NA,NA,NA,NA,NA,NA
"AADACP1","AADACP1",NA,NA,NA,NA,NA,NA
"AADAT","AADAT",NA,NA,NA,NA,NA,NA
"AAGAB","AAGAB",NA,NA,NA,NA,NA,NA
"AAK1","AAK1",NA,NA,NA,NA,NA,NA
"AAMDC","AAMDC",NA,NA,NA,NA,NA,NA
"AAMP","AAMP",NA,NA,NA,NA,NA,NA
"AANAT","AANAT",NA,NA,NA,NA,NA,NA
"AAR2","AAR2",0.158500931135633,0.0610676147610436,NA,NA,NA,NA
"AARD","AARD",NA,NA,NA,NA,NA,NA
"AARS1","AARS1",NA,NA,NA,NA,NA,NA
"AARS2","AARS2",NA,NA,NA,NA,NA,NA
"AARSD1","AARSD1",NA,NA,-0.13374301956478,0.0197338935958028,NA,NA
"AASDH","AASDH",NA,NA,NA,NA,NA,NA
"AASDHPPT","AASDHPPT",NA,NA,NA,NA,NA,NA
"AASS","AASS",-0.471665296887152,0.0368246083586131,-0.549366693477139,0.0092771588582108,NA,NA
"AATBC","AATBC",NA,NA,NA,NA,NA,NA
"AATF","AATF",NA,NA,NA,NA,NA,NA
"AATK","AATK",NA,NA,NA,NA,NA,NA
"ABALON","ABALON",NA,NA,NA,NA,NA,NA
"ABAT","ABAT",-0.183839193453358,0.0629458022185269,-0.186245595447847,0.0486861030598755,NA,NA
"ABCA1","ABCA1",NA,NA,NA,NA,NA,NA
