Abundance..F16..127C..Sample..5A.	Abundance..F16..127N..Sample..5B.	Abundance..F16..128C..Sample..2B.	Abundance..F16..129C..Sample..2A.	Abundance..F16..130C..Sample..1A.	Abundance..F16..130N..Sample..4B.	Abundance..F16..131N..Sample..1B.	Abundance..F16..132C..Sample..4A.	Abundance..F16..132N..Sample..6B.	Abundance..F16..133C..Sample..3A.	Abundance..F16..133N..Sample..6B.	Abundance..F16..134N..Sample..3B.
114108632.070949	106137343.762103	105430963.08113	96906758.1009689	88609659.3302524	99348740.3163009	88893930.7889776	91358366.7782142	97229365.9685743	83883652.9507814	94399869.6725722	90931428.5924769
97639802.5730235	91471172.9552172	93643256.6083868	85639406.0071056	69174952.7637866	91640245.3538141	72781411.3534089	76884054.8884266	79238340.7347892	67447275.0372366	76538091.9934175	74963193.0409156
78223211.7863461	71755037.6595876	68451796.305471	66398990.4816679	63504160.9693367	71344204.1328854	61517216.205557	65439995.7472413	67062386.4439119	53636199.2164882	66228971.5143008	59799657.7176531
99515143.9509109	95261504.7959583	99972440.1474686	86515051.753367	77115851.070482	92408984.5512491	76891751.6919765	82019375.0252567	88002357.1136533	74109809.7074963	84649434.6105755	80413249.1740804
7264986.83415907	5433418.96774006	4859325.84641655	5965263.14198207	5399160.20675629	6507420.80893138	4997322.72282605	5774395.80477894	6785457.24225078	5687085.38261182	5277258.32612346	5311815.35590053
7264986.83415907	5433418.96774006	4859325.84641655	5965263.14198207	5399160.20675629	6507420.80893138	4997322.72282605	5774395.80477894	6785457.24225078	5687085.38261182	5277258.32612346	5311815.35590053
1985579.78162314	1576691.81585453	1413633.01880178	1311213.3362625	1109364.5470875	1856664.62700451	1241134.02713996	1322815.8689625	1911757.32868199	1256299.2123	1459444.6568625	1242975.99195
1985579.78162314	1576691.81585453	1413633.01880178	1311213.3362625	1109364.5470875	1856664.62700451	1241134.02713996	1322815.8689625	1911757.32868199	1256299.2123	1459444.6568625	1242975.99195
34838332.2408262	32994897.6579378	33653379.5094161	28702665.4849396	26158158.8931426	31288966.3032703	26337676.1333313	27402761.303309	29136365.4604567	24098466.6135576	26946104.7373476	26345084.7935297
15893715.4995465	15169275.7227381	15509717.2629743	15091532.3767731	12570397.3045524	15261374.5406384	13803864.5291285	13265881.8982591	13475657.8753952	11043766.9190347	13482624.354845	11898317.9226122
26363268.1814159	24604358.2349406	24333803.5661099	21096203.0709284	18688183.7998956	23449066.4912508	19332021.0768137	19849725.9622007	21535707.1757044	17626963.0576616	20261494.6240477	19046822.1773126
17341921.9112073	17129435.7129638	16796417.6450102	15080685.1072671	12927608.9227211	16940874.4927689	13595516.6590705	14551107.136784	14979564.4919185	13622529.3916469	14795600.3355894	14510246.2851903
15158978.8368675	15591503.4959833	16222033.6114001	16655742.2086974	18886726.2983054	16216861.1239067	16688497.1471589	14581699.6356691	20260458.3166168	35280567.5350625	19672047.6825759	19584376.3702721
21659538.3087114	22270238.092246	20966012.4706043	17328886.9735043	15006352.6307768	19762553.0149117	16028614.1190567	15840545.4474885	17928523.780467	15817717.9333105	19141972.6007555	17234566.0546241
9538438.30097097	9011420.29974919	8384460.56053333	8233044.82073724	7404335.17755939	11721150.1535985	7575947.07245858	9428981.35544874	9074569.77592457	9219349.3298703	8275716.94078584	7944992.41820625
