Abundances..Normalized...F16..127C..Sample..5A	Abundances..Normalized...F16..127N..Sample..5B	Abundances..Normalized...F16..128C..Sample..2B	Abundances..Normalized...F16..129C..Sample..2A	Abundances..Normalized...F16..130C..Sample..1A	Abundances..Normalized...F16..130N..Sample..4B	Abundances..Normalized...F16..131N..Sample..1B	Abundances..Normalized...F16..132C..Sample..4A	Abundances..Normalized...F16..132N..Sample..6A	Abundances..Normalized...F16..133C..Sample..3A	Abundances..Normalized...F16..133N..Sample..6B	Abundances..Normalized...F16..134N..Sample..3B
114108632.070949	110858245.533053	109676135.485337	108816954.170813	106477048.967204	106848530.631284	104726820.298847	107389859.897528	109535093.09988	96030871.9671578	108190777.720536	104007170.552126
97639802.5730235	95539735.5090633	97413797.6067466	96164803.1707053	83123497.9166548	98558124.9603304	85744501.5678169	90375607.3361732	89267053.6622694	77214336.8319322	87719567.0580435	85742737.4057936
78223211.7863461	74946642.7285917	71208004.4269006	74559669.9943638	76309238.83763	76729945.0037056	72474041.6996332	76923353.8516683	75550063.1877846	61403274.6378573	75904383.7731623	68398718.6330562
99515143.9509109	99498658.193189	103997825.401406	97148068.9914596	92665611.3186969	99384895.9231338	90586934.2309211	96412069.3425699	99140278.0778027	84841675.310764	97015898.3893464	91976499.7752503
7264986.83415907	5675092.97537882	5054986.35622695	6698415.86550206	6487855.27516744	6998662.98676841	5887395.39498056	6787682.16132295	7644251.13083037	6510634.06316287	6048214.7328786	6075642.86863358
7264986.83415907	5675092.97537882	5054986.35622695	6698415.86550206	6487855.27516744	6998662.98676841	5887395.39498056	6787682.16132295	7644251.13083037	6510634.06316287	6048214.7328786	6075642.86863358
1985579.78162314	1646821.77126771	1470552.88091548	1472366.26543188	1333058.54119662	1996823.37832283	1462192.28999589	1554942.53944987	2153716.7798589	1438224.30908689	1672655.40740372	1421713.24027385
1985579.78162314	1646821.77126771	1470552.88091548	1472366.26543188	1333058.54119662	1996823.37832283	1462192.28999589	1554942.53944987	2153716.7798589	1438224.30908689	1672655.40740372	1421713.24027385
34838332.2408262	34462483.5731725	35008431.1358698	32230328.367817	31432730.7700881	33650955.8534146	31028677.1101658	32211375.9357342	32823977.319103	27588173.3873611	30882670.0522416	30133450.7743294
15893715.4995465	15843992.6327827	16134215.2453285	16946337.0686656	15105111.7840949	16413448.6244044	16262469.5200329	15593768.241607	15181189.6052127	12643018.3919056	15452305.386904	13609270.2008085
26363268.1814159	25698739.8564063	25313602.9378443	23689003.8190682	22456498.2712921	25219225.6418004	22775245.5016425	23332939.9950851	24261350.1277481	20179529.3005817	23221503.0461328	21785713.8432295
17341921.9112073	17891338.9274814	17472724.5532689	16934156.6299444	15534352.1089861	18219733.2487401	16017012.830768	17104523.776861	16875436.4987659	15595212.2953641	16957094.4610608	16596788.1897106
15158978.8368675	16285000.7501726	16875212.9755518	18702794.0271853	22695075.188132	17441064.4465587	19660883.7777375	17140484.6229777	22824700.8077184	40389557.9735442	22545943.6068664	22400567.1617528
21659538.3087114	23260799.9691742	21810207.9039513	19458670.7529963	18032256.9341019	21254418.9734402	18883469.0466196	18620231.6908304	20197627.5570036	18108286.8024074	21938429.68178	19712859.2256986
