sample	group
Abundances..Normalized...F16..127C..Sample..5A	A
Abundances..Normalized...F16..127N..Sample..5B	B
Abundances..Normalized...F16..128C..Sample..2B	B
Abundances..Normalized...F16..129C..Sample..2A	A
Abundances..Normalized...F16..130C..Sample..1A	A
Abundances..Normalized...F16..130N..Sample..4B	B
Abundances..Normalized...F16..131N..Sample..1B	B
Abundances..Normalized...F16..132C..Sample..4A	A
Abundances..Normalized...F16..132N..Sample..6A	A
Abundances..Normalized...F16..133C..Sample..3A	A
Abundances..Normalized...F16..133N..Sample..6B	B
Abundances..Normalized...F16..134N..Sample..3B	B
