Abundance..F17..127C....5A	Abundance..F17..127N....5B	Abundance..F17..128C....2B	Abundance..F17..129C....2A	Abundance..F17..130C....1A	Abundance..F17..130N....4B	Abundance..F17..131N....1B	Abundance..F17..132C....4A	Abundance..F17..132N....6A	Abundance..F17..133C....3A	Abundance..F17..133N....6B	Abundance..F17..134N....3B
25.9110006596126	25.7573481788889	25.7566891652677	25.7465176215213	25.475831124968	25.8622022686483	25.5059318708931	25.7376025939469	25.736672220683	25.3105749870741	25.6561257552861	25.4329243066537
26.0816352584619	26.0218922009376	26.0855537121427	25.9433506354836	25.4223886632576	26.190808933204	25.5471610113125	25.8732965414822	25.8122860187444	25.3761889091835	25.7318948967026	25.5501514135165
25.483465088464	25.400544720205	25.352581577404	25.2532999090646	25.0171901567811	25.5328847257266	25.0358365537179	25.356842557413	25.3836725655662	24.7966855024715	25.2856971456802	25.0024135322033
24.698223258622	24.6297240456332	24.6753590107675	24.3982508989972	24.1428328249029	24.7002846873844	24.1574638454704	24.468112905685	24.5427616315637	23.991606915851	24.3381648589886	24.1920453042638
20.6792495966314	20.2728965065584	20.2238660692612	20.6848566152905	20.5754602850957	20.6478511270786	20.2024870781421	20.8159035423611	20.6976465342999	20.399048823931	20.4517741307332	20.366602561493
23.566884017583	23.4511303832464	23.4827601676361	23.3231254870737	22.9090909618206	23.5943302643678	22.9393864795938	23.36061424591	23.308517401996	22.6723323786751	23.1440377664277	22.8388479920592
23.6545887114853	23.678860860656	23.6522991651454	23.4095561435542	23.0322154726636	23.8037845480042	23.106085963557	23.5118659809734	23.3692500132521	23.0035855368041	23.3026200309319	23.2468039487853
23.4310433695611	23.3207686748816	23.1777126787585	23.3059050805942	23.1808841556808	23.98908364577	23.0972209111317	23.7977170555206	23.4203799486344	23.5856759357529	23.3128706865441	23.2073372232404
23.1119030561121	23.299546861833	23.4009771168199	23.4752461024574	23.5788011577736	23.6735902626089	23.4695293562589	23.197453335975	24.1279500592564	24.9401179222578	23.9553626027633	23.7817512726222
23.0276389522715	22.9466313947209	23.0841445320909	22.9865798739264	22.3762801431231	23.1521997496745	22.6297265857576	22.8049408818207	22.8357095033661	22.157154831317	22.7270539842283	22.3879091273056
19.8662155575886	19.8732935440674	19.9904898375595	19.7330816443231	19.4998554252494	19.9176509056984	19.5886530122979	19.4575009486207	19.8725572942341	19.3346618882778	19.7165055297611	19.5347438498071
22.7317672911013	22.5724548671408	22.4737174708214	22.6302939054885	22.4591199787882	22.7624795139401	22.3498800423433	22.9033682651026	22.6004699017125	22.1549408377726	22.4658587559812	22.2686337331464
19.5833072169149	19.6502948412597	19.6183682688417	19.3043513705585	19.1531397378954	19.6271224819386	19.2062604304121	19.1711774554422	19.5537344272089	18.8217731169556	19.4131636891671	19.0487482946603
23.0226218907588	23.0070608778106	23.1085121540063	22.9136818109678	22.6207680279807	22.9342486985757	22.6800715931029	22.740079867983	22.9161851459916	22.4061089847134	22.8206642730355	22.6209726342951
22.1112335038987	21.9402452329604	22.0534431701446	22.0285164290496	21.4099005008214	22.1891075159362	21.3419375891188	21.8843656698272	21.6248124320186	21.5390361879994	21.4915538571579	21.598598564125
22.4629637849884	22.3689036664672	22.2821947750655	22.0866914373522	21.8222224626071	22.2982031171514	21.9417218233294	22.064394909003	21.730367725105	21.6170311614316	21.7199234192018	21.8118763291687
22.3830598453516	22.2863412131791	22.4313038463111	22.3027424856649	22.0921094456344	22.6085714476377	22.1165996289042	22.3677399089222	22.5471559686097	22.0979063546466	22.317889013006	22.1400991755435
22.2344508440308	22.0737021670213	22.1301223999804	22.2681363098313	21.89495375111	22.3653616939327	21.9872716856334	22.2170562696909	22.1580496201818	21.5658844928184	22.0916157700602	21.8124750071984
22.8253753395802	22.7720118462905	22.677057255062	22.6022739358948	22.3250644592727	23.4215553489609	22.3711883192234	22.986395561894	22.8531346659792	22.7432475053039	22.6145035454457	22.424558953457
22.1784871901889	22.184683022376	22.254938278041	22.2020688805689	21.9988554540425	22.2525380310225	22.1364226208229	22.0738267045949	22.2881674304556	22.0385863302866	22.1618472562521	22.096122194903
23.075595090651	22.937344216346	22.7587737672952	22.7398458882655	22.7014697074417	23.0888409083485	22.6501500461333	22.9207569234207	22.9527563076708	22.6714739535133	22.8441751888125	22.7525128783893
22.3516879946689	22.5324391623143	22.5591888680392	22.3565205531827	22.3225938553621	22.7162846169705	22.6320840218771	22.2103432396659	22.5761960753084	22.6728810442008	22.4996636559869	22.673889677817
22.6997558796013	22.592399722746	22.7194627884182	22.7075167316854	22.6217883655357	22.8159201945709	22.5112184687738	22.7443094883467	22.8166352878455	22.5039974846229	22.6265153774067	22.4811516246077
22.7278133125598	22.5677526516125	22.5486854351498	22.5524546347284	22.6633302469114	22.6989153607128	22.6068664849711	22.5905070362867	22.7027403364174	22.514775526283	22.5834194242044	22.5644546514399
22.0134976071152	21.959216619248	21.9439263075956	21.9718782762796	21.7096672113561	22.1642859840537	21.7573302561198	22.0668331990742	21.8320089518856	21.4509899407032	21.8297345760709	21.6004349014202
22.4578852072276	22.3545831173303	22.3352176772901	22.244377496949	22.0681275673881	22.4850364924455	22.0324211076551	22.2633291392159	22.4079235767787	21.982890485803	22.2151888567582	22.0537533382635
21.6993338825868	21.5338501293454	21.4869188704895	21.5516457697227	21.3297466401831	21.5261547589116	21.3454253059889	21.5547107234839	21.5567927660486	21.038284247332	21.4574463110481	21.1499477108275
14.2593842145498	13.8438118977799	13.7397847696014	14.5232852140901	14.5483436546999	14.3268851996926	14.2518112538062	14.702825818145	14.3321019856809	13.9027533115752	14.3763215868092	14.2713553023752
22.0475854270512	21.8121882617389	21.9001331287267	21.8178595335874	21.6024991985513	22.0543764787795	21.499203396124	21.8128315921632	21.9671175363945	21.6311582073848	21.7396999952819	21.6368454475592
20.8434377962541	20.7303477855983	20.8878903459775	20.9650764114177	20.3888302152295	20.839741466859	20.5423979142075	20.7963890302822	20.2027414829445	19.9911001901213	20.3296546760009	20.2434177605252
21.9117024109527	21.6831371302084	21.6262220385332	21.7924980220352	21.4271070556402	21.7582018111534	21.3855456140285	21.8547682309933	21.4864575483962	21.1027972964489	21.5454303553314	21.1718578812164
22.3504567585101	22.2201797038569	22.2568346860748	22.2632165028626	21.9776151239757	22.4262579125594	21.8821476679831	22.3155119399592	22.2850849610268	21.9191021045896	22.1340622169837	21.9496976325774
13.5874521738872	13.5485980272124	13.4068405648028	13.0229897687501	13.0138747311079	13.4726828412435	13.3353121805043	12.4146999572928	14.0020226441024	13.4256860018417	13.2742884672617	13.4632773605781
20.0422506281662	19.9568442546391	20.0692670562264	19.9242821441903	19.7368903709527	20.2200519318024	19.69730321794	19.9502930153032	19.9739120353853	19.4543705321303	19.8144858689857	19.6322087119333
22.8515263562145	22.7940148653773	22.9310405379244	22.7809214126599	22.2870529780889	22.8132721486414	22.420222197456	22.7196511203303	22.5964714572406	22.0040879907806	22.6267694478492	22.2871353767305
22.1784686269058	22.0748180124635	21.9250662878835	21.8747605907141	21.7913385227352	22.2219016184763	21.7307405771052	22.0906145602232	22.0448565809798	21.6973045054163	21.9679484624368	21.7301785731227
23.7096211602886	23.5602331916123	23.51567385674	23.3810631997429	22.5310193759395	24.1570365859649	22.3659276916717	24.0735189123886	22.6707464347432	23.375538694044	22.7497759231841	23.5454877025053
12.4889508957363	12.0233249863297	12.2777962672811	11.5754540032406	11.0022063969488	12.3908270902814	11.89281777081	11.4741795895205	11.5313440896147	12.1138469059766	11.9263978932806	12.4268067173936
19.5183061192368	19.4425576643193	19.4324650661977	19.1846292840055	18.7305129501601	19.582778326865	18.7690958249319	19.2037959781142	19.1731194961903	18.7099116768381	19.0262727967535	18.9884459679233
20.3341871274292	19.9679429474253	20.2346796377699	20.6993465813819	20.844416403165	20.4807263520187	20.5658805348624	20.9667033456326	20.4228856308288	20.289341460089	20.5456716555238	20.3787283839616
21.7951822270166	21.8150409673906	21.3433305562156	21.2408114658658	21.6772700847449	21.4192133917776	21.8340748392917	21.3057484563144	21.9434656022442	21.8313603811668	21.7774198220111	21.8733984913245
21.7960014204262	21.6951005723277	21.7455217248722	21.6042705280827	21.2477168584336	21.6705962892186	21.2366231631923	21.586228024062	21.5235977209043	21.1919859353781	21.49054692067	21.2659437164523
21.1797996116871	21.1001092708086	21.1043786735339	20.9233291345525	20.6616359918311	21.3599960307113	20.6120982164124	21.0615165211924	21.0217072939288	20.7551131581513	20.8685440383534	20.8569209533612
16.7393325898727	16.5075634180121	16.1761830625065	16.4337368772498	16.556012118696	16.611776050864	16.5868735071165	16.5580206530785	16.4625098373647	16.5749953701694	16.4466030833771	16.5467899958037
19.2523595445863	19.1243111451823	19.08880639891	18.9593530374532	18.2885441020523	19.3943670933501	18.5266452250653	18.9189101986168	19.2698499932119	18.4837415194359	19.1085188400686	18.6598197571585
20.4998734726557	20.4529047983242	19.9319440920933	19.9444540577833	20.8434620686507	20.5295254829731	20.7926450503638	20.4069044829458	20.5483179394259	20.5548976565407	20.4842285179813	20.5354936643563
22.4761589115962	22.3861846142187	22.3571353491281	22.3415738492546	22.0481502312977	22.4949190033606	22.0690909642404	22.4736723815052	22.3260256393628	21.7200060427028	22.297015789324	21.8869745847934
20.7984613873611	20.756690311852	20.7073660586314	20.708763154485	20.1691755060174	20.5481069141197	20.233804145749	20.4249366866294	20.5522434154372	20.2333590437189	20.4848001369845	20.2801995708137
21.7774504396683	21.7732485586183	21.7090235247546	21.6213846199162	21.5947050261285	22.2872637471368	21.4975916303638	22.0893989527321	21.7840796474861	22.1243460428412	21.6791982216609	21.7676128972347
15.9668270985059	15.6876410214281	15.8477912958727	16.1121765952978	16.0958066374765	15.7767050731524	15.8482755964121	16.3342634592279	15.6175224774046	15.7375237498118	15.8719580757885	15.7497440335835
21.2254570761916	21.1054339248647	21.0712829112108	21.1196501736984	21.1148008078638	21.1803451608893	21.0941799735414	21.1463013159117	21.2724206633505	21.1322035355962	21.0908371808939	21.0639146162304
14.7998085384059	14.6033947561221	14.7566486242604	14.9647108803384	15.8093373064337	14.6040412004546	15.4736141364251	15.0351180935917	14.7248901782311	15.7766628735148	15.2946124199479	15.6323345144551
14.1316535897344	13.7621608293753	14.151103301099	14.5151504378613	15.3030124226038	13.9721041229802	15.1031689893606	14.444224524555	14.0037814291728	15.0290245430091	14.7828676234612	14.9380315931319
12.2339935275879	11.9745081670474	11.633720184058	12.9359773445799	12.3761600140683	12.4228673608674	12.5195423069662	12.3918250894705	11.7997830485853	12.7255352679511	12.4012840685751	12.4960067066907
21.2142258154717	21.1387176267824	21.3157235017919	21.2747313020221	20.8928412579851	21.4559491281842	20.9766058196161	21.1665080830696	21.2915205950608	20.9815096689769	21.0529578861663	20.9896638409966
20.8421199335047	20.6773168675817	20.6800641840244	20.7300498011529	20.4598247645546	20.8708494146696	20.4895381931881	20.6940522482371	20.7486413019515	20.3165224781903	20.6256352631399	20.4134510436347
16.6472795118776	16.9416892325074	17.2494101916392	16.9314569105408	17.1987090170156	16.4907592876511	17.630873984365	16.6749811667634	16.7709768411686	16.8439219145905	17.0256630068783	17.1470796485971
20.6538783958862	20.4948807152624	20.3349530426046	20.3991414122752	19.8741734052238	20.7046008930757	19.9325877131509	20.4168211212587	20.4822589086262	19.9903397757479	20.2898685088926	20.0869380990002
21.9180267951422	21.9114749557061	21.9791687308476	21.878837974882	21.7688070557537	22.0367764380616	21.8101937744468	21.8742347870044	22.0406919054056	21.7430933364034	21.8752781682046	21.8044202659288
21.9246041532919	21.8286649529961	21.9673988290677	21.6800222284492	21.3883696051363	21.8175846151347	21.3742134372027	21.758491203489	21.7868072903433	21.0909467687533	21.7247649695931	21.2189842534091
21.7870994441141	21.6506700332363	21.7568012200137	21.7772331123304	21.2569436119031	21.8113697654859	21.3830938857458	21.7055174968702	21.6403821487336	20.9442062292518	21.530773174346	21.1369223925272
14.3197197091676	14.302663260783	14.5395216276307	14.6935807241167	15.5214374095414	14.3570287267168	15.1320920328601	14.7624243717906	14.4437955223086	15.4217022144533	15.0737406073019	15.3044017254163
20.9525752022435	20.8419070995546	20.9588152602464	20.8488353840378	20.9487222184159	20.9282496518356	20.5308950743794	20.8492543526716	20.7601668126247	20.4370051535383	20.5821794785306	20.4353694865358
20.900615422638	20.8253309297837	20.8179969315513	20.8677871497532	20.4772322525278	20.8970037885025	20.5301287993275	20.8759609531057	20.6282624142581	20.1790933044321	20.5752215596209	20.3949764374938
13.0240915811159	12.7344664999668	13.3475008560243	12.9942670412529	13.2424360273885	12.7255644501845	13.6119858691613	12.6459083746631	13.0224354833201	12.3133007675073	12.7787694023624	13.1233492857529
20.1932648972869	20.1297838408458	20.2486785245219	20.1088031956929	20.0217635129461	20.2022922849732	19.9370108098907	20.1147492853668	20.0039800620741	19.7231870751635	20.0208830622031	19.8109431788746
21.1199872633247	20.934394741738	20.6841015519541	20.8129099745934	20.286621395648	21.3630418992149	19.989748967374	21.2868336640445	20.7173441544696	20.2613712638715	20.6501481366543	20.5532870864087
10.6659419322351	11.1597543473124	11.2842056705193	11.0914347444597	10.6122551284122	11.3130947369919	10.1187989741171	11.2508722330643	10.8043881588466	10.7624036961367	11.0282220089585	11.1115035842904
23.0456850481941	23.3033159636776	23.3576836808766	23.5847926429244	23.6753398455687	23.3722023388857	23.8733444483388	23.3061728328347	24.0113568635827	24.714000271171	24.0134347531383	23.6922807243111
20.513542364778	20.4047633161705	20.2592233157682	20.2927673823445	20.1553163545287	20.5117682863806	20.0506497027657	20.3988577214985	20.3727498515059	20.1839031422398	20.298175866894	20.2155564990452
17.421752349665	17.1887252066619	17.6828290716179	17.665734906584	17.0619560661822	17.4150687986608	17.2455580967418	17.5984279815327	16.7731346245123	16.3604571033985	16.9208286674116	16.6848379118433
21.0447766618027	20.9032189756103	20.7940339058619	20.8728654505821	20.7627146910567	21.0079007532916	20.6135941915705	20.8279832964065	20.9490447742361	20.8318331801929	20.7604165379757	20.8083812172464
20.7008513347192	20.819156892879	20.945915781613	20.6872652214083	20.7337764031659	20.4906926999469	20.8655870398235	20.369201171742	21.0882190582736	21.064781388149	20.8740782902681	21.0365068316939
21.2790303688068	21.1999829178012	21.1615726818611	21.1483653841797	20.9604882062352	21.2967542433028	21.013034862997	21.1523517932523	21.2485839298415	21.0155900097546	21.1263873621945	20.9645321225346
21.093043140373	21.1947338668595	21.4502561898869	21.3930452996139	21.7502633269001	21.003200172525	22.0543587196809	21.0723438196414	20.9494781410697	22.0026948438098	21.4703663915841	22.1076043600125
20.1926964960396	20.4589301029619	20.4744470479579	20.5453747601912	20.6380067669429	20.5843743514582	20.894257867504	20.419399614628	20.7859034043996	21.263408590896	20.8671087514594	20.7091807794632
17.8570462632885	17.5406951322971	16.6291940568044	17.0033510666605	17.0225210484696	17.5075954243867	17.1870546698483	17.3589287865139	17.3406389922612	17.0574938792168	17.3612461156465	17.015268720361
