Abundance..F17..127C....5A	Abundance..F17..127N....5B	Abundance..F17..128C....2B	Abundance..F17..129C....2A	Abundance..F17..130C....1A	Abundance..F17..130N....4B	Abundance..F17..131N....1B	Abundance..F17..132C....4A	Abundance..F17..132N....6A	Abundance..F17..133C....3A	Abundance..F17..133N....6B	Abundance..F17..134N....3B
70694590.884223	62082299.4558384	61845146.286251	53493692.0305516	42163432.7536435	59659097.0816269	47623294.1207558	46428994.8050784	59164718.0338882	39824435.0443693	52497354.2518664	46428783.8687009
79570542.3256732	74576754.6218968	77679015.7744358	61313373.851779	40630126.8191252	74919891.3694532	49003899.4843391	51007874.8314619	62348329.2841864	41677473.3271056	55328156.5989625	50358894.0223687
52563606.3739124	48479624.8743958	46736600.0649897	38003994.5594766	30681124.5187496	47483444.7250931	34380060.8584808	35658994.1840558	46323281.2452426	27890318.5259806	40609467.4065852	34450113.0625657
30500278.8388719	28413131.8304594	29227576.7353864	21010377.1068781	16736455.588657	26662731.0389591	18702088.533764	19259047.5698025	25861868.5309647	15962491.1977308	21056765.1599974	19644704.8157502
1881361.2110503	1386702.60425517	1335856.80924214	1601735.43058577	1411813.56129919	1606943.37929584	1205933.80467328	1531828.82330451	1799554.1464091	1323222.6430896	1423873.70382694	1385710.45972893
13923126.3061241	12552408.4130149	12787474.6221273	9972151.07629274	7116561.08918591	12387371.9049561	8039189.84093165	8938085.17896085	10992978.1452105	6396751.24871659	9202876.20642667	7689401.29345285
14795801.8529508	14698762.270144	14382060.4063911	10587832.6800528	7750582.6656365	14322907.8789727	9023890.7616628	9926034.90974957	11465624.1771037	8047789.33305853	10272155.8162224	10202333.2739285
12671985.0900426	11467910.0219504	10350381.095337	9853828.29825427	8591877.68435435	16285900.8059176	8968610.89860253	12101119.3978448	11879258.8704144	12047675.7265385	10345401.5768622	9927018.65614006
10157196.3066151	11300453.5502008	12082745.650155	11081070.48979	11320693.67684	13086961.1600896	11609170.5718125	7982302.11739525	19399439.1250087	30805689.5862279	16149411.1734181	14782051.0183771
9580933.44415178	8848257.09400151	9700397.2937209	7897297.97678654	4919014.9591349	9117685.95817038	6486275.15382682	6080931.88513716	7921109.28018965	4475850.45579124	6892852.00512326	5625309.23994827
1070839.91882997	1051213.31485381	1136335.73004246	828090.813812844	669866.135456282	968698.004672067	788026.828326958	597434.516513228	1015753.45501173	632733.063784641	855329.726126841	778499.021043569
7804436.98540315	6826834.49869053	6353787.21116832	6169156.12696491	5209732.4299475	6959325.48536334	5342606.2043303	6510280.98942304	6729330.03728394	4468986.97879573	5751370.63279059	5178940.60734452
880158.030709835	900661.408604198	877984.620042252	615201.370800553	526764.138563599	792009.945217934	604546.019509061	489889.74715509	814353.677535521	443430.564640399	693136.186801719	555851.562656841
9547673.01979152	9226751.41250346	9865631.89064394	7508168.68548855	5827420.13491409	7839255.61403138	6716619.17924499	5813598.40489331	8375516.2821286	5318856.03476934	7354928.56169839	6611583.82322172
5076241.73174693	4404588.20076413	4748074.17861366	4065113.63500237	2517496.54820469	4676974.24876744	2656637.21344257	3212546.23433427	3421918.52392322	2916106.05872564	2927361.49507985	3254919.45750194
6477742.20088629	5928493.6280971	5563890.70014405	4232384.47573487	3350349.87199164	5044359.46383475	4026106.85632459	3639515.6211507	3681670.97896122	3078095.86674419	3429433.96148977	3773490.41490214
6128725.60396159	5598743.64468069	6169712.01682393	4916125.47450968	4039561.64001516	6255128.04419831	4544946.36328825	4491170.38731167	6485190.46610128	4295759.89422306	5190725.04170963	4737488.54844826
5528844.94556371	4831476.27559784	5007261.16379033	4799604.61127094	3523582.63959966	5284729.62640602	4155250.1333348	4045751.80443677	4952107.37963232	2970882.39558314	4437240.73326434	3775056.63266858
