1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
280337004.143882	443877287.434497	404945683.693947	423584104.60997	337809146.498904	329102627.775667	395285456.615703	373421521.566007	231169842.52432	396899437.244782	420529662.841277	386228597.735045	421241474.182853	460999090.300744	447742975.763514	461506821.430928
270156682.770284	407345430.023795	378113993.935922	375354288.53435	310883729.226679	311443867.898748	357736470.691973	343835445.822303	220581444.420099	372297161.392247	385078132.990353	390727042.370512	375285215.357306	432811401.851811	430762813.954787	422396270.330235
245647504.003873	346006314.302617	324072880.448783	333117340.481793	290681122.71099	270049660.32535	312149959.282648	307082477.746514	202250420.468235	318912641.671767	325862075.041982	306555925.722301	336017255.685172	343159961.738409	336315165.797455	330300041.454328
127160684.171492	224012905.014226	200192560.420748	191392969.969178	150501850.349115	148386429.418577	191504864.672563	180831978.000559	99022646.2008839	181755113.990971	199640581.719932	210299572.671802	189705367.255119	188369470.986193	193891357.6849	188297431.536423
61061564.187973	96687113.9316497	92379394.7446603	86619372.0156193	72904002.6021756	70103815.328225	76174571.7820727	84101106.1053368	53037169.8170883	79916146.9082356	94495726.8001462	102344041.559228	87902462.5535162	99149809.8517699	96952607.4245478	93822548.9440508
14661094.3050271	24025031.7338743	20233573.7018267	21947322.5915688	17920149.7598446	16161090.7031453	19093496.650892	20619023.8212231	15453908.1777051	18704686.7286956	24977445.1869954	20772274.0256022	22416021.5334514	21626309.4684781	21724169.3986283	22676923.7268901
30478127.9014702	59081824.9294318	53409641.273916	56201505.6149032	38630234.5852313	35497956.0922048	48954003.1699682	40295192.809432	26846231.7284462	48443555.9760689	53208489.8273841	63983058.8756848	49673820.1744271	55279070.1784229	60869401.8385487	58639254.474608
48295562.3924969	82637976.6074089	70071598.3885495	70718306.1553806	56001330.5307528	57548169.413137	68375979.2713951	65232655.9270358	38764191.20498	72208597.4097048	78109150.3317341	91687987.3111847	71250137.823112	89169135.7647514	86648163.5326206	85711964.6071944
46048885.5342618	88740786.6214513	83190215.4022833	75298725.3828693	56338544.212888	53492917.6305839	70387955.9356459	65070850.3165283	40648492.0492059	66715184.0191342	72029595.052797	87470146.2523077	75368147.6142905	78138523.3495359	79753741.8878696	79739747.1859373
24682358.3871675	51576492.428234	47281508.3865316	38179442.4327513	28165550.975366	28608663.6378091	35730038.8429607	39461815.3064105	20981024.6043897	37807340.0153542	37900886.3908345	48819827.1317944	39229780.5784401	41589781.5882726	41605158.5105703	43244318.749191
104493610.779598	23036709.8630183	43376527.3033318	33051271.7714012	81437980.5753002	74348875.1081742	40044628.3130431	64204165.1095394	92178816.6351837	34021079.6659446	41521473.7672914	26978429.967636	38550700.4244943	32450982.2327143	25809183.6714546	24721451.1986716
59309530.7493797	98242080.0126374	97165740.3215857	84435140.8696005	68442738.486645	69504940.645084	77190587.5395398	82575931.6651282	56174520.5785368	73691773.9622711	86740618.5357628	105714158.943663	84823991.623813	91819016.2623907	93801600.1818787	91517360.7197411
50051012.6869172	41431199.1287479	48363386.7171982	43568893.4935962	49173745.630726	47199075.3048639	44488138.9583859	49753718.6223097	45475474.788024	39631329.4485574	54454384.7768031	34423815.2352252	45415517.1807322	48798613.4924614	45342516.4174908	46880741.7283404
10892672.6230908	11884295.8614696	11121819.8542907	13135729.0063838	11147614.2564815	10428864.2172117	11483175.4393377	11029260.2959683	9678634.96058705	12197574.8735521	11334137.1291928	9645196.68202735	12514938.6680842	11429626.5850591	12767139.2660866	13546212.6534615
36145238.6484489	45402533.7666409	41047804.4037935	46386852.5869736	40489191.9916195	38101421.6108563	44937299.1916985	40105114.7179753	33024344.816537	44899949.0760742	44089185.4158587	36143729.4876955	46564902.7388201	41867298.1830643	44800448.7480554	47719936.7862376
42416535.3800177	94613749.8581484	85717761.7595826	66350900.9078709	49067117.1460041	50131187.7047846	64491202.672823	67082939.1711503	34769456.7849326	66818046.9273759	62964059.9579585	89779674.0095816	67315691.5252267	64857066.9601505	69651327.2458876	71903042.8851626
18640301.7780709	30924807.1252735	27005191.2377085	24985839.3897138	19780541.3097756	21549454.7298611	27248588.7806516	24566488.3565198	16153146.6972211	28852801.7355036	28217928.2156435	25457524.9189123	24494008.2076622	28318550.5514309	31035463.7501888	33131749.2832175
61951031.7330668	41819920.9211713	49570549.5638214	40605388.1043241	55537240.0642683	55234716.2201583	41609969.2143078	52799852.9357262	54886029.6217383	36999619.8729725	49946262.2956578	44167912.6533063	42435359.1341267	44513893.6419271	41651066.5406564	40687829.8173534
27865677.4115739	45203588.206244	37463303.391331	37873354.8712397	30348140.030413	30747752.9253041	39896324.5993709	36985367.715131	22966346.5907482	41287426.9804564	41140669.2516806	33110612.2924754	38861536.7051773	42423584.0778897	45036026.0686591	49677621.3492842
50036406.4743462	63172832.0215448	61222705.868148	52959500.2305236	54377134.3725999	52847681.5670513	55112984.6829732	58338547.2829204	38592594.6741677	52565904.3951736	66369144.8273179	68859850.4427884	56638370.6417769	66110149.5926421	64292207.3293605	60019476.1086003
24645832.1077916	38295793.0239447	34475548.2813399	36421304.5227355	30371235.3337047	27803220.3244986	31901464.4440198	33676636.693441	21779837.0348418	34464668.1859525	38030288.7383344	31182928.1829681	37457724.7244214	34661493.1923741	36670388.8947905	38305433.5332959
52716365.5517889	52329126.560658	52394342.6081137	49505364.6768248	51122951.1233763	50665562.5512987	53391126.3121139	52711176.3183445	44769169.2366087	47522932.5818239	50423455.7766514	52473136.229922	52265368.4575978	46505029.2423769	48167272.1510299	48386339.6095053
55843742.9832733	56156549.0542703	58006889.8027105	55081525.3699333	61085684.4700234	57709905.2016245	57321712.26414	58028329.8368493	50979153.0750827	50729896.7086113	54773688.3247657	51320156.9778253	56456962.8370095	51236680.3889984	50402609.1925703	51726990.6994371
54780345.2355195	49333561.2894534	51338557.2860893	48352407.3105936	51688317.1622094	52665495.9574493	50433126.3749995	54038073.1174128	44597817.0783704	47008405.0111986	51776622.9009057	48428470.1515709	51848547.2502452	50902309.9102632	49568082.6390757	49411886.8596765
16175864.2131186	16643742.5227475	17182478.1306354	16089913.5125489	16931069.8343833	16639404.1117358	15267786.2574974	16956420.7189589	14138229.0987535	15740295.9221323	16769936.1518632	18699169.2578716	16366260.1770806	16696213.8307867	17104166.7745025	15928512.0865055
32476807.8054665	46253849.4554071	44606430.9886758	47087052.1483409	41841143.0365183	38263136.2991128	42878869.5781212	42273200.9495506	29022523.8667906	42729330.8973187	49215477.5430907	47792730.4166346	51429675.9575897	54309356.912347	51976760.4167048	50981230.5068846
28726455.7303468	17419901.3341493	18941797.5320801	19530227.0016511	23548314.0551268	26095272.5339163	25250016.1934915	21367334.1664773	22502029.9511234	24593315.4169472	15295150.4350976	17224669.9720176	20138960.3929957	14050740.0526603	13972299.6400561	13667149.2597701
9162759.50030809	11126590.7626392	10648764.1775452	10564804.1501838	9413087.46167675	9305409.9439443	10273299.0207396	10395999.0629291	8156124.71956836	10851004.0736761	11509698.1226284	8975948.08485443	10160281.3550201	11102334.0042754	12207147.1156351	12509264.0727107
20392153.3051723	20459415.3271484	20684981.5188316	22348019.518712	21220379.8879267	20508506.9662959	20702382.2690876	20450758.8199581	17425808.0941873	21641383.7635676	21167992.2121801	19158397.6375614	22259226.4776241	20616931.6532456	20949944.0433317	21192134.5445104
51191911.7218584	34508589.8794422	39590530.6716481	34186836.5241361	47497134.9077774	48423820.8015203	36131501.2937933	43557830.0104571	40213068.3968667	32367939.2108623	38959340.4774865	36180338.207976	37662011.8280889	37339039.5113774	34182909.9297574	34383166.4456263
21213292.1291428	41004349.4078998	34821265.1551258	32397317.4050021	25030984.845773	23800361.5373267	30338073.0318839	29247424.8574575	17988013.4857661	31500668.8936674	30877471.5022659	33668423.8371601	31572640.0393493	32769765.3931348	35215316.3607618	34756584.5895077
565212.132689905	547719.917294164	795005.647607427	555604.725436705	550087.670208705	499897.551143874	484098.13276172	592535.73006375	461185.839667703	662056.787388028	655300.332604059	454198.198595916	617940.800992716	605736.948583788	596960.553686075	591572.329142433
555310.450293572	820622.425752616	1040000.67738235	856535.81011181	638870.087072072	594356.70531045	698036.328683202	810113.555580002	687689.894642087	804698.194376343	944643.562589979	675127.053609708	891122.763088952	944810.956654352	836882.310800045	895962.866206751
524538.135178594	743095.913353911	589782.251559511	634479.605822444	573755.725751573	564347.371509648	666539.650053908	586451.555984784	485659.601203587	728727.587168068	620537.413336904	587761.461108566	652630.038536582	666822.887679185	729248.104224023	745764.713085715
276218.669110553	236556.80889372	235934.927907113	251247.433051324	224723.306765437	250942.010580124	220381.364091233	239886.615312471	219568.34440108	275087.09167848	249253.195667177	214292.520964174	293636.954556264	340880.663764547	257200.601662586	311982.986382716
35656938.3919697	36039546.5474313	40014435.4935215	34732591.6280748	37819215.0476535	36932588.6289235	32889913.0987257	38640550.7174151	28881234.5954587	31517783.0013837	38870813.6237525	41093679.5329891	36212209.5694583	42054987.5503094	39316387.1533267	38003208.0870257
43967858.7940628	40839023.5462822	42861877.6825747	43071040.0976772	42957087.2846695	42045048.6156965	39551291.8671552	45132267.9687243	35367181.4872489	43101557.9433835	43711385.1031851	45972624.4713021	43978373.0812605	48064191.994248	46982919.206284	45532223.5176536
13296119.7185822	17768527.9692683	16663842.4287092	18205027.1429649	15533967.0910102	14256297.7358679	16873310.4926398	14399633.3085121	11529348.6353935	16253255.3543432	18415233.261703	16414365.6053014	17906693.2199716	19030151.7866152	20420471.2063409	19675319.2476139
12857089.8973874	15161650.408998	14272295.5649	17397797.3775077	13637138.670595	12575494.6104503	15281962.060322	12292891.1938933	11554071.2810076	17019939.2117062	13852052.3781334	17552182.4195274	15318907.656503	13400023.279678	15108470.2373854	14781044.4322193
33137533.1940465	30980443.3774369	31252029.6852219	32275946.0049195	32244014.5652365	31122023.8670042	30937229.0386521	32417467.6155308	26950822.8292766	31973715.2800521	31024730.4944397	32605209.0552942	32404583.5170135	31554711.5110207	31934115.4100664	30459625.1384371
17169761.9825134	27628741.6620015	25915219.2115055	27531954.0128411	21629852.5012623	20143201.9814772	24978043.3629565	24482937.4492453	15337406.1311277	23274179.9532364	31498836.4448242	23422737.3851767	27886381.4235186	29116729.6006615	29647772.7950429	30465125.5642828
16879074.9902913	20138653.2096736	20193261.1821871	18586311.8791938	18849623.9615061	17106019.6577452	16035159.9812993	19929923.90352	15396093.1265264	16725161.2684105	18882883.1083153	20866936.9354998	19502088.2912195	19281675.0970495	18465396.743466	18471782.6174432
16250908.6038801	37765955.4937487	32503973.6855385	26365630.3557478	19564063.4947735	18679979.6306962	24828794.9293304	27340924.7275482	14893487.4726913	25235792.7615521	25412912.3845109	33504572.4252517	26030926.4212303	26646490.8174405	26615895.8859869	28125277.0057701
37018064.871268	27158384.171888	31825534.9246943	29011963.4786046	36437922.7689954	35301628.2797108	29946894.2424118	33897911.7200215	32415516.6151838	27025747.8330632	33957063.2252634	26689429.4166894	31210951.9969026	30462602.4139433	28718046.7506129	29583734.7493227
32223104.8914133	32108693.1189327	31727268.1089035	37188008.4119961	33377136.1398466	32238841.8232921	33619182.1226225	29946702.1910542	27789740.8492796	35293797.4741139	31558301.5813822	39021047.75679	35240366.0334241	30304950.7395992	33220270.5572366	34399666.8683771
28004815.0975492	30261848.1566547	28078575.041916	32660815.7187614	27962440.7664681	27581452.4374796	31044123.7632133	26632580.3899654	23450415.3897273	32502920.5326964	29006268.823	34059768.8494015	30757870.4640747	27691023.1238839	31008461.7506886	31041378.7514802
18021880.5634041	13908015.1789459	16260318.0512206	16587037.2059879	17346105.791177	18585453.1211628	20866645.2108003	16074131.6671513	13940645.7130723	16479380.396456	15315139.6163963	13838211.3295033	20592906.1959355	16113541.6756388	14668271.7153249	14697182.9221238
15840990.8200325	10608112.314524	11160196.308829	17437961.6737786	16905470.3345538	15119671.2276111	16617969.8036724	10996413.2005883	14345154.9738774	18178824.4131851	10210746.1145814	12679636.2452439	15428858.4065149	10181327.5972179	10994518.3936677	11066668.2486459
12282231.7302498	19403233.6293844	18920006.7670479	17803843.5022601	15223603.4011224	13970891.6489421	16472579.1569673	15655269.4068004	10132550.1132872	16537904.9873684	17947715.0274308	17506723.0738076	18182439.0778945	19339028.0422827	19799298.5570323	19347840.6503152
17240348.4965685	27247978.2922658	25265055.2264554	25459090.958956	20193398.1026601	19546499.867574	24647702.6044878	23816107.9125056	14016795.6183944	22968269.2349061	28889204.6976209	22538320.6250144	25567012.7169816	26919844.1366958	26246368.2089236	28003089.0808996
