"","X","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"1","EIF4G1","EIF4G1",1.68745636668075,1.94084970175909e-25,3.26263922131414e-22,"group2-group1"
"2","DNAJA2","DNAJA2",1.53825828530624,2.23239084592141e-25,3.26263922131414e-22,"group2-group1"
"3","CRKL","CRKL",1.39499918178636,9.89869614727904e-24,6.12369363052864e-21,"group2-group1"
"4","CIAPIN1","CIAPIN1",1.02944312162295,1.01869298872355e-23,6.12369363052864e-21,"group2-group1"
"5","FYB1","FYB1",1.8941650294297,1.08148672720039e-23,6.12369363052864e-21,"group2-group1"
"6","GCC1","GCC1",1.65599479429913,1.25700177157618e-23,6.12369363052864e-21,"group2-group1"
"9","CASP3","CASP3",1.52928756409632,4.28763796347009e-23,1.39252952969145e-20,"group2-group1"
"11","HCLS1","HCLS1",1.28794341144038,9.69379779158775e-23,2.50156648225259e-20,"group2-group1"
"13","EBAG9","EBAG9",1.22729649155351,1.23365551001155e-22,2.77382696597212e-20,"group2-group1"
"14","FKBP5","FKBP5",1.55446124477975,2.23919249077806e-22,4.67511403610305e-20,"group2-group1"
"17","IST1","IST1",1.89395216130783,5.52586195046433e-22,9.50123204776897e-20,"group2-group1"
"18","EIF4E","EIF4E",1.64704084530536,8.62211735539097e-22,1.40013605721154e-19,"group2-group1"
"19","DOK2","DOK2",1.85661818291784,1.13265160478005e-21,1.74249507409057e-19,"group2-group1"
"22","DNAJB6","DNAJB6",1.27817746814009,1.95080118158974e-21,2.59190538808492e-19,"group2-group1"
"23","MPIG6B","MPIG6B",1.74525827083586,2.74132895876809e-21,3.48387154194744e-19,"group2-group1"
"24","CDC26","CDC26",1.1932975883505,2.98692729813635e-21,3.6378285385219e-19,"group2-group1"
"25","CD69","CD69",1.20830930657903,3.26607407376292e-21,3.81869380704361e-19,"group2-group1"
"26","CACYBP","CACYBP",1.66845943630372,4.03236227355465e-21,4.53330574061548e-19,"group2-group1"
"27","MANF","MANF",2.29765568177401,4.22000002316601e-21,4.56854076582009e-19,"group2-group1"
"29","KIFBP","KIFBP",1.94206065226791,5.96425367910376e-21,6.01155638069665e-19,"group2-group1"
"30","ATP5IF1","ATP5IF1",1.87848535322002,6.17907975735586e-21,6.02048337691706e-19,"group2-group1"
"33","BCL2L1","BCL2L1",1.55406210022583,8.46752072157004e-21,7.50017062701492e-19,"group2-group1"
"34","MGMT","MGMT",2.02140416738794,1.29150689063222e-20,1.07975405016667e-18,"group2-group1"
"35","JPT2","JPT2",1.31322137728132,1.29289742578972e-20,1.07975405016667e-18,"group2-group1"
"36","ITGB1BP2","ITGB1BP2",2.1409526028702,1.40182970731571e-20,1.13820784291217e-18,"group2-group1"
"37","IRAK4","IRAK4",1.34694785555601,1.45704595313527e-20,1.15106630297686e-18,"group2-group1"
"38","MGLL","MGLL",1.64446293815407,1.64009973035303e-20,1.26158197679523e-18,"group2-group1"
"40","GLOD4","GLOD4",0.61298902429001,1.90385002759044e-20,1.39123840766171e-18,"group2-group1"
"42","FXN","FXN",1.26702789703166,2.22076628967139e-20,1.54554758683559e-18,"group2-group1"
"43","CIRBP","CIRBP",1.84597245863332,2.32690935694254e-20,1.58175722101001e-18,"group2-group1"
"44","ENO1","ENO1",1.10752778622145,2.45882236852482e-20,1.63344040527228e-18,"group2-group1"
"46","DBNL","DBNL",1.52076549093927,2.91973651615071e-20,1.8553021384149e-18,"group2-group1"
"49","GIPC3","GIPC3",1.73163953566117,5.35413638876654e-20,3.19390625803359e-18,"group2-group1"
"50","LAT","LAT",1.96635682466875,5.98371185300144e-20,3.49807794926464e-18,"group2-group1"
"53","HPSE","HPSE",2.30296494834525,7.23950806700785e-20,3.99265699620074e-18,"group2-group1"
"56","FKBP4","FKBP4",0.776783070076569,7.80440574195487e-20,4.07362106852394e-18,"group2-group1"
"57","CDKN2D","CDKN2D",1.93232709006881,9.61248936375404e-20,4.92935200179878e-18,"group2-group1"
"59","APRT","APRT",1.03694524414597,1.53116013554669e-19,7.58573063763215e-18,"group2-group1"
"60","GRAP2","GRAP2",2.06379331737769,1.60609964895844e-19,7.82438212317585e-18,"group2-group1"
"62","DTD1","DTD1",1.98558741823278,1.92271827107112e-19,9.0646863005498e-18,"group2-group1"
"64","DAPP1","DAPP1",2.56743082327533,2.00920446544538e-19,9.17641351952633e-18,"group2-group1"
"68","ERP29","ERP29",1.57500144216562,2.52668011693132e-19,1.08610087967504e-17,"group2-group1"
"70","CLIP2","CLIP2",1.93539219876093,3.10271863003751e-19,1.29560665079995e-17,"group2-group1"
"71","MINK1","MINK1",1.84125918783211,3.21065802863448e-19,1.32179625601388e-17,"group2-group1"
"72","DIABLO","DIABLO",1.87566583686059,3.96495802384043e-19,1.60966281995633e-17,"group2-group1"
"74","MESD","MESD",1.47763672532429,4.84412892674841e-19,1.91343092606562e-17,"group2-group1"
"76","ANXA11","ANXA11",1.79244168175689,5.26100600763768e-19,2.02341060004275e-17,"group2-group1"
"77","FKBP14","FKBP14",1.23468798098722,5.61809397125118e-19,2.13268684129444e-17,"group2-group1"
"79","GOPC","GOPC",1.47424012798594,5.88899464356242e-19,2.1789280181181e-17,"group2-group1"
"80","DBI","DBI",0.956267148486471,6.28634535985383e-19,2.29687343585659e-17,"group2-group1"
"81","LZTFL1","LZTFL1",1.13294679449578,6.52033900947694e-19,2.35295690428409e-17,"group2-group1"
"82","CDKN1A","CDKN1A",1.55525648893815,6.97547641241005e-19,2.48650214066763e-17,"group2-group1"
"83","ATOX1","ATOX1",1.04668540967084,8.22658443773331e-19,2.89714533873427e-17,"group2-group1"
"85","DAB2","DAB2",1.66467504383916,1.01121810348273e-18,3.47124581265435e-17,"group2-group1"
"86","LACTB2","LACTB2",0.860857234822843,1.03223814257927e-18,3.47124581265435e-17,"group2-group1"
"89","CXCL3","CXCL3",2.33807558456632,1.23947475072007e-18,4.07076932174694e-17,"group2-group1"
"91","HSPA1A","HSPA1A",0.812666167475487,1.37556741257524e-18,4.41844345819496e-17,"group2-group1"
"94","MSRA","MSRA",0.972401626296372,1.74069426203512e-18,5.41281843396664e-17,"group2-group1"
"95","MAP4K5","MAP4K5",1.17756047394653,1.90831391615956e-18,5.87158060729936e-17,"group2-group1"
"96","CLEC1B","CLEC1B",0.897166456383811,2.02405243877594e-18,6.16281799848134e-17,"group2-group1"
"97","FADD","FADD",1.20437182998222,2.05199134049862e-18,6.18347493636851e-17,"group2-group1"
"98","ACOT13","ACOT13",1.95433483648009,2.11631516043181e-18,6.31223389177775e-17,"group2-group1"
"99","APPL2","APPL2",1.63074755378447,2.27330292275753e-18,6.71198428608107e-17,"group2-group1"
"100","MTDH","MTDH",1.9637529420732,2.30680663459994e-18,6.74279579293564e-17,"group2-group1"
"102","ARF6","ARF6",2.0205420102336,3.01473143528324e-18,8.63927449542443e-17,"group2-group1"
"107","CCL5","CCL5",2.13762586718167,4.40965148639273e-18,1.20461787801177e-16,"group2-group1"
"108","HARS1","HARS1",0.879990907148355,5.07354843898434e-18,1.37314648955104e-16,"group2-group1"
"110","CA13","CA13",1.93520698186056,6.80525882371266e-18,1.80834286742837e-16,"group2-group1"
"115","CRYBB1","CRYBB1",0.800358358168715,1.01298662978096e-17,2.57474775552152e-16,"group2-group1"
"116","DUT","DUT",1.17342692713569,2.33594590158937e-17,5.88618092271182e-16,"group2-group1"
"117","GMPR2","GMPR2",1.06733647276915,2.8253639371431e-17,7.05858016091393e-16,"group2-group1"
"118","MECR","MECR",1.37877861943879,2.89633124545652e-17,7.17455612751645e-16,"group2-group1"
"119","LYN","LYN",0.945855186204441,3.24459162414807e-17,7.96969858603766e-16,"group2-group1"
"121","HHEX","HHEX",0.947079691262686,3.65792012011489e-17,8.83306006432105e-16,"group2-group1"
"122","FABP5","FABP5",0.835864963805036,3.72627945752923e-17,8.83306006432105e-16,"group2-group1"
"124","DCTD","DCTD",1.22356164151402,3.75835513806819e-17,8.83306006432105e-16,"group2-group1"
"125","CRADD","CRADD",1.13681109288462,3.77739482736959e-17,8.83306006432105e-16,"group2-group1"
"126","AKT2","AKT2",1.84835860606662,3.92828892759501e-17,9.11300677409541e-16,"group2-group1"
"127","KYAT1","KYAT1",1.05101425121229,4.47186865386287e-17,1.02923402167253e-15,"group2-group1"
"131","FKBP1B","FKBP1B",2.18833016604666,6.12238648952085e-17,1.36608669533355e-15,"group2-group1"
"132","ABHD14B","ABHD14B",0.857454480694163,6.40521464723666e-17,1.41836684953581e-15,"group2-group1"
"134","MITD1","MITD1",1.34281231122617,7.51081123939071e-17,1.63836576512978e-15,"group2-group1"
"135","CD40LG","CD40LG",1.07054457389811,8.28476303571526e-17,1.79380461877005e-15,"group2-group1"
"138","ERBIN","ERBIN",1.16060701364879,1.00805785446983e-16,2.13518341204009e-15,"group2-group1"
"139","CDC37","CDC37",0.823917435866586,1.01691469373834e-16,2.13844723006989e-15,"group2-group1"
"140","ANGPT1","ANGPT1",1.15471882985414,1.12895358571659e-16,2.35709380789256e-15,"group2-group1"
"141","MPI","MPI",1.03186388755402,1.20905617222053e-16,2.50643346907845e-15,"group2-group1"
"142","ANXA3","ANXA3",1.0793636974556,1.31775493475082e-16,2.71253357343425e-15,"group2-group1"
"143","CETN3","CETN3",1.14984933591155,1.39519083648113e-16,2.85184812240164e-15,"group2-group1"
"144","EGF","EGF",1.24546947293126,1.66275107927129e-16,3.37515375327082e-15,"group2-group1"
"145","ENO2","ENO2",0.849974631724851,1.87198452849102e-16,3.76993835468642e-15,"group2-group1"
"147","METAP2","METAP2",1.04437666849082,2.04801925492427e-16,4.05604510231647e-15,"group2-group1"
"148","HSPB1","HSPB1",1.43912198472968,2.05369372269188e-16,4.05604510231647e-15,"group2-group1"
"149","MIF","MIF",1.05535045779524,2.2365390913065e-16,4.38751930462342e-15,"group2-group1"
"155","DCTN2","DCTN2",1.25660914816075,3.1451122209529e-16,5.93107291731956e-15,"group2-group1"
"162","DXO","DXO",0.778450257074804,6.43388880954409e-16,1.16088006112947e-14,"group2-group1"
"163","HPCAL1","HPCAL1",1.01975755474141,6.73924689331614e-16,1.20851648277074e-14,"group2-group1"
"169","LATS1","LATS1",1.36795209295191,1.01623978628124e-15,1.74484520875903e-14,"group2-group1"
"170","CHMP1A","CHMP1A",1.11815684619989,1.01945305085786e-15,1.74484520875903e-14,"group2-group1"
