"","marker","slice"
"1",NA,NA
"2","MGLL",1
"3","LATS1",1
"4","MAVS",1
"5","IPCEF1",1
"6","EHBP1",1
"7","EBAG9",1
"8","HHEX",1
"9","STAMBP",1
"10","HDGFL2",1
"11","UBXN1",1
"12","FXN",1
"13","AXIN1",1
"14","BCL2L1",1
"15","MTDH",1
"16","MGMT",1
"17","ACADSB",1
"18","TMED8",1
"19","DAG1",1
"20","NIT2",1
"21","CLEC1B",1
"22","SNAP23",1
"23","SNAP29",1
"24","GMPR2",1
"25","L3HYPDH",1
"26","TBCA",1
"27","PPP1R9B",1
"28","DXO",1
"29","FKBP4",1
"30","GLRX5",1
"31","SERPINE2",1
"32","ALDH1A1",1
"33","METAP2",1
"34","EEF1D",1
"35","MESD",1
"36","RBPMS2",1
"37","PRDX5",1
"38","VAV3",1
"39","FAM13A",1
"40","PPME1",1
"41","MARS1",1
"42","EIF4E",1
"43","ITGB1BP2",1
"44","SYAP1",1
"45","FYB1",1
"46","TXLNA",1
"47","RILP",1
"48","TOMM20",1
"49","SCLY",1
"50","SHMT1",1
"51","APRT",1
"52","SRC",1
"53","CDKN2D",1
"54","PDCD5",1
"55","DCTN2",1
"56","MYDGF",1
"57","UBE2L6",1
"58","DOK2",1
"59","CLIP2",1
"60","NARS1",1
"61","SKAP2",1
"62","HCLS1",1
"63","IMPACT",1
"64","TWF2",1
"65","MSRA",1
"66","EIF4G1",1
"67","VASP",1
"68","HSPA1A",1
"69","CRKL",1
"70","HTRA2",1
"71","PTRHD1",1
"72","GGACT",1
"73","KIFBP",1
"74","RAB11FIP3",1
"75","NEXN",1
"76","DNAJB6",1
"77","CDC42BPB",1
"78","OTUD6B",1
"79","LZTFL1",1
"80","DTYMK",1
"81","Condition",1
"82","PEBP1",2
"83","IRAK4",2
"84","PTRHD1",2
"85","TXLNA",2
"86","ITGB1BP2",2
"87","GPI",2
"88","DXO",2
"89","CLEC1B",2
"90","STK4",2
"91","TWF2",2
"92","SNAP23",2
"93","VAV3",2
"94","MESD",2
"95","MAVS",2
"96","DNPH1",2
"97","CDKN1A",2
"98","DCTN1",2
"99","MTDH",2
"100","NIT2",2
"101","NT5C1A",2
"102","TTR",2
"103","TBCB",2
"104","CC2D1A",2
"105","YES1",2
"106","DNAJB6",2
"107","VASH1",2
"108","EHBP1",2
"109","RBKS",2
"110","NUDC",2
"111","ABHD14B",2
"112","IPCEF1",2
"113","HBEGF",2
"114","CDC26",2
"115","TJAP1",2
"116","DOK2",2
"117","PPME1",2
"118","CIRBP",2
"119","SUOX",2
"120","OTUD7B",2
"121","RHOC",2
"122","SCAMP3",2
"123","GZMH",2
"124","STAMBP",2
"125","USP8",2
"126","GCC1",2
"127","ENO1",2
"128","VTI1A",2
"129","GPD1",2
"130","MINK1",2
"131","CMC1",2
"132","FAM13A",2
"133","USO1",2
"134","CDC37",2
"135","MSRA",2
"136","EEF1D",2
"137","NARS1",2
"138","MTSS2",2
"139","SKAP2",2
"140","ERBIN",2
"141","GLRX5",2
"142","HNRNPK",2
"143","RILPL2",2
"144","HHEX",2
"145","CLIP2",2
"146","DECR1",2
"147","SLC9A3R1",2
"148","KIFBP",2
"149","MAP2K1",2
"150","GLOD4",2
"151","CETN3",2
"152","DAG1",2
"153","DAAM1",2
"154","DTYMK",2
"155","GMPR2",2
"156","ACADSB",2
"157","CRYBB1",2
"158","VPS53",2
"159","CDC42BPB",2
"160","CACYBP",2
"161","CDKN2D",2
"162","Condition",2
"163","PPME1",3
"164","BRAP",3
"165","NDUFB7",3
"166","HPSE",3
"167","MYDGF",3
"168","CDKN1A",3
"169","CD40",3
"170","CRYBB1",3
"171","TXLNA",3
"172","TMED8",3
"173","FXN",3
"174","CDC26",3
"175","DTD1",3
"176","CEP170",3
"177","KIFBP",3
"178","USP8",3
"179","LACTB2",3
"180","HARS1",3
"181","INPPL1",3
"182","CLIP2",3
"183","MAP4K5",3
"184","HSPA1A",3
"185","PDCD5",3
"186","TBCB",3
"187","METAP1D",3
"188","GMPR2",3
"189","MTDH",3
"190","ERP29",3
"191","NIT2",3
"192","SAMD9L",3
"193","STIP1",3
"194","CC2D1A",3
"195","SERPINE1",3
"196","PARK7",3
"197","NUDC",3
"198","ENO1",3
"199","QDPR",3
"200","IMPACT",3
"201","RILPL2",3
"202","TACC3",3
"203","DNPH1",3
"204","DIABLO",3
"205","CORO1A",3
"206","PCYT2",3
"207","APRT",3
"208","MPIG6B",3
"209","PPP1R12A",3
"210","ALDH1A1",3
"211","SLC9A3R1",3
"212","ACY1",3
"213","NSFL1C",3
"214","ITGB1BP2",3
"215","SRP14",3
"216","DCTN1",3
"217","PTRHD1",3
"218","DRG2",3
"219","TAB2",3
"220","PLPBP",3
"221","MGMT",3
"222","NUB1",3
"223","RAB11FIP3",3
"224","VPS53",3
"225","RGCC",3
"226","MSRA",3
"227","CLEC1B",3
"228","ACADSB",3
"229","FKBP4",3
"230","EIF2AK2",3
"231","PRKAR2A",3
"232","CDKN2D",3
"233","CACYBP",3
"234","NIT1",3
"235","METAP2",3
"236","EIF4G1",3
"237","PDLIM7",3
"238","KYAT1",3
"239","GZMH",3
"240","TJAP1",3
"241","EBAG9",3
"242","DAAM1",3
"243","GCC1",3
"244","SERPINE2",3
"245","RHOC",3
"246","Condition",3
"247","CLIP2",4
"248","NUDT16",4
"249","VTI1A",4
"250","SERPINE2",4
"251","MAPK9",4
"252","DOK2",4
"253","HHEX",4
"254","SAMD9L",4
"255","MAP2K1",4
"256","SYAP1",4
"257","NT5C",4
"258","NIT1",4
"259","RHOC",4
"260","CD69",4
"261","DNAJB6",4
"262","SNAP23",4
"263","STAMBP",4
"264","IST1",4
"265","TRIAP1",4
"266","RAB27B",4
"267","PARK7",4
"268","DECR1",4
"269","IPCEF1",4
"270","COMMD1",4
"271","EBAG9",4
"272","GZMH",4
"273","FAM13A",4
"274","VASP",4
"275","ACY1",4
"276","GPD1",4
"277","CDKN2D",4
"278","HNRNPK",4
"279","GGCT",4
"280","HPSE",4
"281","TBCA",4
"282","HSPA1A",4
"283","RGCC",4
"284","SPART",4
"285","MINK1",4
"286","MGMT",4
"287","ACADSB",4
"288","CIAPIN1",4
"289","GPI",4
"290","MGLL",4
"291","HSBP1",4
"292","SLC9A3R1",4
"293","EHBP1",4
"294","SNX9",4
"295","RILPL2",4
"296","MAP4K5",4
"297","NSFL1C",4
"298","SIRT2",4
"299","OTUD6B",4
"300","GGACT",4
"301","ABL1",4
"302","NARS1",4
"303","FKBP14",4
"304","SCAMP3",4
"305","PCYT2",4
"306","PDLIM5",4
"307","PEBP1",4
"308","MESD",4
"309","CIRBP",4
"310","ERBIN",4
"311","ATOX1",4
"312","L3HYPDH",4
"313","ITGB1BP2",4
"314","METAP2",4
"315","DCTN1",4
"316","DNAJA2",4
"317","TXN",4
"318","TMED8",4
"319","RAB11FIP3",4
"320","CDC42BPB",4
"321","CRKL",4
"322","Condition",4
"323","EEF1D",5
"324","SNAP29",5
"325","STAMBP",5
"326","STK4",5
"327","F11R",5
"328","AP3B1",5
"329","VASP",5
"330","BRAP",5
"331","OTUD7B",5
"332","DCTN2",5
"333","SERPINE1",5
"334","HPSE",5
"335","DOK2",5
"336","FABP5",5
"337","TWF2",5
"338","KYNU",5
"339","FKBP5",5
"340","PPP1R9B",5
"341","ERP29",5
"342","GCC1",5
"343","PRKAR2A",5
"344","MARS1",5
"345","PEBP1",5
"346","PRKG1",5
"347","SORD",5
"348","DXO",5
"349","HSPA1A",5
"350","VPS53",5
"351","LBR",5
"352","RAB11FIP3",5
"353","GZMH",5
"354","DNAJA2",5
"355","KYAT1",5
"356","CEP170",5
"357","TBCB",5
"358","NFU1",5
"359","GRAP2",5
"360","VTI1A",5
"361","CDC26",5
"362","PLPBP",5
"363","OTUD6B",5
"364","CETN3",5
"365","MYDGF",5
"366","IPCEF1",5
"367","RBPMS2",5
"368","DECR1",5
"369","VAV3",5
"370","ARHGEF12",5
"371","NUDC",5
"372","FYB1",5
"373","GGCT",5
"374","LATS1",5
"375","GPI",5
"376","HNRNPK",5
"377","MTDH",5
"378","NARS1",5
"379","CACYBP",5
"380","NUDT5",5
"381","DAAM1",5
"382","NAGK",5
"383","ERBIN",5
"384","SYAP1",5
"385","NIT2",5
"386","TRIAP1",5
"387","FKBP4",5
"388","YES1",5
"389","EHBP1",5
"390","GLOD4",5
"391","STX4",5
"392","DAB2",5
"393","MESD",5
"394","JPT2",5
"395","NT5C1A",5
"396","ARF6",5
"397","CDC42BPB",5
"398","TBC1D23",5
"399","VTA1",5
"400","CDKN2D",5
"401","CIAPIN1",5
"402","IL7",5
"403","ACADSB",5
"404","MSRA",5
"405","Condition",5
"406","HSBP1",6
"407","GCC1",6
"408","ATXN3",6
"409","NUDT5",6
"410","CMC1",6
"411","DCTN2",6
"412","VPS37A",6
"413","MGMT",6
"414","FXN",6
"415","RBPMS2",6
"416","LBR",6
"417","ATOX1",6
"418","L3HYPDH",6
"419","PSTPIP2",6
"420","FAM13A",6
"421","FADD",6
"422","CIAPIN1",6
"423","MESD",6
"424","ENO2",6
"425","SERPINE2",6
"426","NIT1",6
"427","NARS1",6
"428","HNRNPK",6
"429","TBCA",6
"430","DECR1",6
"431","MECR",6
"432","SERPINB1",6
"433","USO1",6
"434","PPP1R9B",6
"435","MED18",6
"436","DOK2",6
"437","DTYMK",6
"438","PTRHD1",6
"439","TTR",6
"440","AP3B1",6
"441","DAG1",6
"442","EEF1D",6
"443","ENO1",6
"444","DNAJB6",6
"445","HTRA2",6
"446","EIF4G1",6
"447","FKBP5",6
"448","COMMD1",6
"449","PPME1",6
"450","FYB1",6
"451","TOMM20",6
"452","NUDC",6
"453","GLOD4",6
"454","PARK7",6
"455","MTDH",6
"456","DIABLO",6
"457","ACADSB",6
"458","MGLL",6
"459","SNAP23",6
"460","VTA1",6
"461","RBKS",6
"462","CACYBP",6
"463","NIT2",6
"464","ARHGEF12",6
"465","NAGK",6
"466","F11R",6
"467","YES1",6
"468","METAP1D",6
"469","SAMD9L",6
"470","CORO1A",6
"471","VASH1",6
"472","TBCB",6
"473","ERP29",6
"474","NT5C3A",6
"475","DAB2",6
"476","CETN3",6
"477","TXLNA",6
"478","HSPA1A",6
"479","ERBIN",6
"480","CD69",6
"481","Condition",6
"482","NUDT5",7
"483","HBEGF",7
"484","EEF1D",7
"485","OTUD7B",7
"486","MAP2K1",7
"487","RBPMS2",7
"488","MAPK9",7
"489","HTRA2",7
"490","STX4",7
"491","ACADSB",7
"492","TOMM20",7
"493","GPD1",7
"494","PARK7",7
"495","RAB11FIP3",7
"496","ERP29",7
"497","SPART",7
"498","SCRN1",7
"499","SAMD9L",7
"500","IRAK4",7
"501","BRAP",7
"502","SHMT1",7
"503","DNAJA2",7
"504","GGCT",7
"505","USO1",7
"506","ENO2",7
"507","NAGK",7
"508","DAAM1",7
"509","LACTB2",7
"510","DNAJB6",7
"511","CLEC1B",7
"512","PTRHD1",7
"513","MAVS",7
"514","ABHD14B",7
"515","MGLL",7
"516","YARS1",7
"517","PRKAR2A",7
"518","METAP2",7
"519","L3HYPDH",7
"520","ENO1",7
"521","KYAT1",7
"522","PLPBP",7
"523","NT5C",7
"524","DCTN1",7
"525","MYDGF",7
"526","HSPA1A",7
"527","USP8",7
"528","NIT1",7
"529","METAP1D",7
"530","RWDD1",7
"531","NT5C1A",7
"532","DRG2",7
"533","SKAP2",7
"534","PDLIM5",7
"535","F11R",7
"536","CETN3",7
"537","CACYBP",7
"538","AXIN1",7
"539","TAB2",7
"540","SIRT2",7
"541","STAT5B",7
"542","NIT2",7
"543","HHEX",7
"544","RAB27B",7
"545","UBXN1",7
"546","SNAP23",7
"547","MARS1",7
"548","EIF4G1",7
"549","EBAG9",7
"550","CMC1",7
"551","DCTN2",7
"552","JPT2",7
"553","FKBP5",7
"554","MAP4K5",7
"555","MINK1",7
"556","CDC26",7
"557","SRC",7
"558","PPIB",7
"559","FABP5",7
"560","NEXN",7
"561","CASP3",7
"562","MGMT",7
"563","Condition",7
"564","PDLIM7",8
"565","CC2D1A",8
"566","UBXN1",8
"567","YES1",8
"568","ITGB1BP2",8
"569","MESD",8
"570","SCLY",8
"571","SERPINB1",8
"572","LZTFL1",8
"573","KYAT1",8
"574","MGLL",8
"575","NARS1",8
"576","ABL1",8
"577","ACY1",8
"578","SRC",8
"579","CLIP2",8
"580","CASP3",8
"581","ARF6",8
"582","HSPA1A",8
"583","STX4",8
"584","SIRT2",8
"585","LACTB2",8
"586","IL7",8
"587","PRKAR2A",8
"588","ERBIN",8
"589","DIABLO",8
"590","DBI",8
"591","CACYBP",8
"592","DNAJB6",8
"593","EEF1D",8
"594","TWF2",8
"595","OTUD6B",8
"596","RWDD1",8
"597","MTDH",8
"598","NUDT16",8
"599","AK1",8
"600","PPME1",8
"601","VTI1A",8
"602","BCL2L1",8
"603","NIT2",8
"604","MAP2K1",8
"605","DNAJA2",8
"606","IMPACT",8
"607","KIFBP",8
"608","PARK7",8
"609","ABHD14B",8
"610","STAT5B",8
"611","PPP1R9B",8
"612","USO1",8
"613","HTRA2",8
"614","NSFL1C",8
"615","NUDC",8
"616","HARS1",8
"617","HBEGF",8
"618","MAP4K5",8
