"","x"
"1","AKR1B1"
"2","AMPD3"
"3","ANGPT1"
"4","ANXA4"
"5","APEX1"
"6","APLP1"
"7","APP"
"8","ASAH1"
"9","ASS1"
"10","ATG4A"
"11","ATP6V1G1"
"12","BACH1"
"13","BCL2L1"
"14","BCL2L11"
"15","BTC"
"16","CALCOCO1"
"17","CBS"
"18","CD36"
"19","CDC26"
"20","CDC27"
"21","CDKN1A"
"22","CDKN2D"
"23","CENPF"
"24","CIT"
"25","COL6A3"
"26","CPPED1"
"27","CSNK2A1"
"28","CTSD"
"29","CXCL10"
"30","CXCL8"
"31","DAB2"
"32","DBI"
"33","DDAH1"
"34","DDX58"
"35","DGKA"
"36","DKK1"
"37","DPY30"
"38","DTYMK"
"39","DUSP3"
"40","DUT"
"41","ECHDC3"
"42","EDIL3"
"43","EIF4EBP1"
"44","ENO1"
"45","FABP5"
"46","FAS"
"47","FEN1"
"48","FGF2"
"49","FIS1"
"50","FKBP5"
"51","FN1"
"52","FOXO1"
"53","FUS"
"54","GAPDH"
"55","GDF15"
"56","GGCT"
"57","GLB1"
"58","GLRX"
"59","GPI"
"60","GUSB"
"61","HAGH"
"62","HBEGF"
"63","HEG1"
"64","HMMR"
"65","HSPA1A"
"66","HSPB1"
"67","ICAM1"
"68","IGFBP7"
"69","INPP5D"
"70","JPT2"
"71","KIF22"
"72","LBR"
"73","LDLRAP1"
"74","LGALS9"
"75","LRPAP1"
"76","LXN"
"77","MAP2K1"
"78","MAP2K6"
"79","MAP3K5"
"80","MAPK9"
"81","MAPKAPK2"
"82","MCFD2"
"83","MDK"
"84","MGMT"
"85","MIF"
"86","MINK1"
"87","MTHFD2"
"88","MZT1"
"89","NBN"
"90","NEXN"
"91","NFKB1"
"92","NMI"
"93","NPC2"
"94","NT5C"
"95","NUDT15"
"96","PAGR1"
"97","PARP1"
"98","PDGFB"
"99","PEBP1"
"100","PGD"
"101","PGR"
"102","PLA2G15"
"103","PLAT"
"104","PLEKHO1"
"105","PNPT1"
"106","PPP1CC"
"107","PPP1R14A"
"108","PRTFDC1"
"109","PSME1"
"110","PSMG3"
"111","PSRC1"
"112","PSTPIP2"
"113","PTEN"
"114","PTPRK"
"115","PTPRM"
"116","PTX3"
"117","RANBP1"
"118","RBP2"
"119","RBPMS2"
"120","RNASEH2A"
"121","RRAS"
"122","RRM2"
"123","RRM2B"
"124","SAMD9L"
"125","SERPINF1"
"126","SGSH"
"127","SMAD2"
"128","SMAD3"
"129","SMARCA2"
"130","SNX5"
"131","SORT1"
"132","SPARC"
"133","SPINT2"
"134","SV2A"
"135","SYT1"
"136","TACC3"
"137","TADA3"
"138","TCOF1"
"139","TGFB1"
"140","TGM2"
"141","TIMP3"
"142","TNFSF13"
"143","TSC22D1"
"144","TXN"
