,BIOCHEMICAL,logFC,type
1,TNFA_SIGNALING_VIA_NFKB,0,path
2,HYPOXIA,0,path
3,CHOLESTEROL_HOMEOSTASIS,0,path
4,MITOTIC_SPINDLE,0,path
5,WNT_BETA_CATENIN_SIGNALING,0,path
6,TGF_BETA_SIGNALING,0,path
7,IL6_JAK_STAT3_SIGNALING,0,path
8,DNA_REPAIR,0,path
9,G2M_CHECKPOINT,0,path
10,APOPTOSIS,0,path
11,ADIPOGENESIS,0,path
12,ESTROGEN_RESPONSE_EARLY,0,path
13,ESTROGEN_RESPONSE_LATE,0,path
14,ANDROGEN_RESPONSE,0,path
15,MYOGENESIS,0,path
16,INTERFERON_ALPHA_RESPONSE,0,path
17,INTERFERON_GAMMA_RESPONSE,0,path
18,APICAL_JUNCTION,0,path
19,APICAL_SURFACE,0,path
20,COMPLEMENT,0,path
21,UNFOLDED_PROTEIN_RESPONSE,0,path
22,PI3K_AKT_MTOR_SIGNALING,0,path
23,MTORC1_SIGNALING,0,path
24,E2F_TARGETS,0,path
25,MYC_TARGETS_V1,0,path
26,MYC_TARGETS_V2,0,path
27,EPITHELIAL_MESENCHYMAL_TRANSITION,0,path
28,INFLAMMATORY_RESPONSE,0,path
29,XENOBIOTIC_METABOLISM,0,path
30,FATTY_ACID_METABOLISM,0,path
31,OXIDATIVE_PHOSPHORYLATION,0,path
32,GLYCOLYSIS,0,path
33,REACTIVE_OXYGEN_SPECIES_PATHWAY,0,path
34,P53_PATHWAY,0,path
35,UV_RESPONSE_UP,0,path
36,UV_RESPONSE_DN,0,path
37,ANGIOGENESIS,0,path
38,HEME_METABOLISM,0,path
39,COAGULATION,0,path
40,IL2_STAT5_SIGNALING,0,path
41,PEROXISOME,0,path
42,ALLOGRAFT_REJECTION,0,path
43,SPERMATOGENESIS,0,path
44,KRAS_SIGNALING_UP,0,path
45,PANCREAS_BETA_CELLS,0,path
AKR1B1,AKR1B1,0.994795712757078,Gene
AMPD3,AMPD3,0.311659576235598,Gene
ANGPT1,ANGPT1,1.19209955221176,Gene
ANXA4,ANXA4,0.74659868226335,Gene
APEX1,APEX1,0.509150230534231,Gene
APLP1,APLP1,-0.405179306562019,Gene
APP,APP,0.381610438375528,Gene
ASAH1,ASAH1,0.480637017528139,Gene
ASS1,ASS1,0.524873876690863,Gene
ATG4A,ATG4A,0.501747912859928,Gene
ATP6V1G1,ATP6V1G1,0.714573847463213,Gene
BACH1,BACH1,0.1176772642745,Gene
BCL2L1,BCL2L1,1.5402218542411,Gene
BCL2L11,BCL2L11,0.336634068011966,Gene
BTC,BTC,0.364871982901719,Gene
CALCOCO1,CALCOCO1,0.435148525469588,Gene
CBS,CBS,0.489434916019861,Gene
CD36,CD36,0.185451472768547,Gene
CDC26,CDC26,1.2119903922197,Gene
CDC27,CDC27,0.245803981585858,Gene
CDKN1A,CDKN1A,1.58251745094699,Gene
CDKN2D,CDKN2D,1.98472530472823,Gene
CENPF,CENPF,0.383683986846601,Gene
CIT,CIT,0.221683651142128,Gene
COL6A3,COL6A3,0.152747626289104,Gene
CPPED1,CPPED1,0.389758877136271,Gene
CSNK2A1,CSNK2A1,0.552531714083769,Gene
CTSD,CTSD,0.306406935597132,Gene
CXCL10,CXCL10,0.401750548045077,Gene
CXCL8,CXCL8,1.22860430436651,Gene
DAB2,DAB2,1.74280946961167,Gene
DBI,DBI,0.882622702556663,Gene
DDAH1,DDAH1,0.426069708520112,Gene
DDX58,DDX58,0.311225976040415,Gene
DGKA,DGKA,0.251819526451647,Gene
DKK1,DKK1,0.604573543643022,Gene
DPY30,DPY30,0.660340587528735,Gene
DTYMK,DTYMK,0.950546992513707,Gene
DUSP3,DUSP3,0.817352734175858,Gene
DUT,DUT,1.09849686201898,Gene
ECHDC3,ECHDC3,0.412238700224368,Gene
EDIL3,EDIL3,-0.359254961890086,Gene
EIF4EBP1,EIF4EBP1,0.610936044097078,Gene
ENO1,ENO1,1.02949259891934,Gene
FABP5,FABP5,0.76573675497674,Gene
FAS,FAS,0.139009036120975,Gene
FEN1,FEN1,0.395108514547719,Gene
FGF2,FGF2,0.236217681120896,Gene
FIS1,FIS1,0.919829478800254,Gene
FKBP5,FKBP5,1.52966195447705,Gene
FN1,FN1,0.111486081306097,Gene
FOXO1,FOXO1,0.566011463981362,Gene
FUS,FUS,0.170880918024806,Gene
GAPDH,GAPDH,0.780476908902299,Gene
GDF15,GDF15,0.272713776955102,Gene
GGCT,GGCT,0.668141165316679,Gene
GLB1,GLB1,0.405117154337509,Gene
GLRX,GLRX,0.498196731824641,Gene
GPI,GPI,0.675026402902027,Gene
GUSB,GUSB,0.36953750034375,Gene
HAGH,HAGH,0.551181564145514,Gene
HBEGF,HBEGF,0.685928461194411,Gene
HEG1,HEG1,0.117728748951387,Gene
HMMR,HMMR,-0.202003157204751,Gene
HSPA1A,HSPA1A,0.733607172169997,Gene
HSPB1,HSPB1,1.503651413539,Gene
ICAM1,ICAM1,0.133378460683173,Gene
IGFBP7,IGFBP7,0.104746422869955,Gene
INPP5D,INPP5D,0.358893462024257,Gene
JPT2,JPT2,1.3225897666539,Gene
KIF22,KIF22,0.642115273924449,Gene
LBR,LBR,0.718347805356989,Gene
LDLRAP1,LDLRAP1,0.807228014874193,Gene
LGALS9,LGALS9,0.169175785140859,Gene
LRPAP1,LRPAP1,0.223792663815665,Gene
LXN,LXN,0.365503274062143,Gene
MAP2K1,MAP2K1,0.625074609361312,Gene
MAP2K6,MAP2K6,0.844692430631805,Gene
MAP3K5,MAP3K5,0.432776639397051,Gene
MAPK9,MAPK9,0.333500918442788,Gene
MAPKAPK2,MAPKAPK2,0.761027930127648,Gene
MCFD2,MCFD2,0.364469357231595,Gene
MDK,MDK,0.250278667561918,Gene
MGMT,MGMT,1.99774960895026,Gene
MIF,MIF,0.963848598101251,Gene
MINK1,MINK1,1.82472239178406,Gene
MTHFD2,MTHFD2,0.215842305118598,Gene
MZT1,MZT1,0.381145701100577,Gene
NBN,NBN,0.354453822461493,Gene
NEXN,NEXN,1.36035428865492,Gene
NFKB1,NFKB1,0.311903398833502,Gene
NMI,NMI,0.383781523452673,Gene
NPC2,NPC2,0.170660739566156,Gene
NT5C,NT5C,0.804414548931266,Gene
NUDT15,NUDT15,0.215844008140838,Gene
PAGR1,PAGR1,0.191989973930067,Gene
PARP1,PARP1,0.296360006022763,Gene
PDGFB,PDGFB,2.14490214152754,Gene
PEBP1,PEBP1,0.805146798980608,Gene
PGD,PGD,0.611546596879871,Gene
PGR,PGR,0.386547796485304,Gene
PLA2G15,PLA2G15,0.144373819885343,Gene
PLAT,PLAT,0.256065118155114,Gene
PLEKHO1,PLEKHO1,0.322460630799715,Gene
PNPT1,PNPT1,0.390075899412074,Gene
PPP1CC,PPP1CC,0.566988740412674,Gene
PPP1R14A,PPP1R14A,1.08230327555529,Gene
PRTFDC1,PRTFDC1,1.75169202037926,Gene
PSME1,PSME1,0.460550018153938,Gene
PSMG3,PSMG3,0.512913162047652,Gene
PSRC1,PSRC1,0.572974527653758,Gene
PSTPIP2,PSTPIP2,1.81840109281384,Gene
PTEN,PTEN,0.517362342171803,Gene
PTPRK,PTPRK,0.0949772862025388,Gene
PTPRM,PTPRM,0.128203459399969,Gene
PTX3,PTX3,0.216723381135056,Gene
RANBP1,RANBP1,0.688490549473044,Gene
RBP2,RBP2,0.566004887758283,Gene
RBPMS2,RBPMS2,1.64412963175843,Gene
RNASEH2A,RNASEH2A,0.350823835109008,Gene
RRAS,RRAS,0.759168128927388,Gene
