"","ID","group"
"1","P20109_103_R1","G1"
"2","P20109_105_R1","G1"
"3","P20109_111_R1","G1"
"4","P20109_112_R1","G1"
"5","P20109_118_R1","G1"
"6","P20109_120_R1","G1"
"7","P20109_123_R1","G1"
"8","P20109_124_R1","G1"
"9","P20109_146_R1","G1"
"10","P20109_149_R1","G1"
"11","P20109_156_R1","G1"
"12","P20109_161_R1","G1"
"13","P20109_162_R1","G1"
"14","P20109_163_R1","G1"
"15","P20109_164_R1","G1"
"16","P20109_165_R1","G1"
"17","P20109_169_R1","G1"
"18","P20109_179_R1","G1"
"19","P20109_184_R1","G1"
"20","P20109_185_R1","G1"
"21","P20109_195_R1","G1"
"22","P20109_202_R1","G1"
"23","P20109_203_R1","G1"
"24","P20109_206_R1","G1"
"25","P20109_208_R1","G1"
"26","P20109_209_R1","G1"
"27","P20109_212_R1","G1"
"28","P20109_218_R1","G1"
"29","P20109_221_R1","G1"
"30","P20109_222_R1","G1"
"31","P20109_223_R1","G1"
"32","P20109_224_R1","G1"
"33","P20109_225_R1","G1"
"34","P20109_230_R1","G1"
"35","P20109_231_R1","G1"
"36","P20109_232_R1","G1"
"37","P20109_233_R1","G1"
"38","P20109_234_R1","G1"
"39","P20109_235_R1","G1"
"40","P20109_236_R1","G1"
"41","P20109_238_R1","G1"
"42","P20109_239_R1","G1"
"43","P20109_247_R1","G1"
"44","P20109_249_R1","G1"
"45","P20109_250_R1","G1"
"46","P20109_252_R1","G1"
"47","P20109_254_R1","G1"
"48","P20109_255_R1","G1"
"49","P20109_256_R1","G1"
"50","P20109_260_R1","G1"
"51","P20109_261_R1","G1"
"52","P20109_264_R1","G1"
"53","P20109_265_R1","G1"
"54","P20109_266_R1","G1"
"55","P20109_269_R1","G1"
"56","P20109_275_R1","G1"
"57","P20109_277_R1","G1"
"58","P20109_282_R1","G1"
"59","P20109_283_R1","G1"
"60","P20109_286_R1","G1"
"61","P20109_290_R1","G1"
"62","P20109_292_R1","G1"
"63","P20109_294_R1","G1"
"64","P20109_304_R1","G1"
"65","P20109_308_R1","G1"
"66","P20109_309_R1","G1"
"67","P20109_101_R1","G2"
"68","P20109_102_R1","G2"
"69","P20109_104_R1","G2"
"70","P20109_106_R1","G2"
"71","P20109_108_R1","G2"
"72","P20109_109_R1","G2"
"73","P20109_110_R1","G2"
"74","P20109_116_R1","G2"
"75","P20109_117_R1","G2"
"76","P20109_119_R1","G2"
"77","P20109_122_R1","G2"
"78","P20109_125_R1","G2"
"79","P20109_126_R1","G2"
"80","P20109_127_R1","G2"
"81","P20109_147_R1","G2"
"82","P20109_148_R1","G2"
"83","P20109_150_R1","G2"
"84","P20109_152_R1","G2"
"85","P20109_157_R1","G2"
"86","P20109_158_R1","G2"
"87","P20109_160_R1","G2"
"88","P20109_166_R1","G2"
"89","P20109_167_R1","G2"
"90","P20109_168_R1","G2"
"91","P20109_170_R1","G2"
"92","P20109_172_R1","G2"
"93","P20109_173_R1","G2"
"94","P20109_174_R1","G2"
"95","P20109_175_R1","G2"
"96","P20109_180_R1","G2"
"97","P20109_181_R1","G2"
"98","P20109_182_R1","G2"
"99","P20109_183_R1","G2"
"100","P20109_187_R1","G2"
"101","P20109_188_R1","G2"
"102","P20109_189_R1","G2"
"103","P20109_191_R1","G2"
"104","P20109_194_R1","G2"
"105","P20109_201_R1","G2"
"106","P20109_204_R1","G2"
"107","P20109_205_R1","G2"
"108","P20109_210_R1","G2"
"109","P20109_213_R1","G2"
"110","P20109_216_R1","G2"
"111","P20109_217_R1","G2"
"112","P20109_219_R1","G2"
"113","P20109_220_R1","G2"
"114","P20109_226_R1","G2"
"115","P20109_227_R1","G2"
"116","P20109_228_R1","G2"
"117","P20109_229_R1","G2"
"118","P20109_240_R1","G2"
"119","P20109_242_R1","G2"
"120","P20109_243_R1","G2"
"121","P20109_244_R1","G2"
"122","P20109_245_R1","G2"
"123","P20109_246_R1","G2"
"124","P20109_248_R1","G2"
"125","P20109_251_R1","G2"
"126","P20109_253_R1","G2"
"127","P20109_257_R1","G2"
"128","P20109_258_R1","G2"
"129","P20109_259_R1","G2"
"130","P20109_262_R1","G2"
"131","P20109_263_R1","G2"
"132","P20109_267_R1","G2"
"133","P20109_268_R1","G2"
"134","P20109_270_R1","G2"
"135","P20109_271_R1","G2"
"136","P20109_272_R1","G2"
"137","P20109_274_R1","G2"
"138","P20109_276_R1","G2"
"139","P20109_278_R1","G2"
"140","P20109_279_R1","G2"
"141","P20109_280_R1","G2"
"142","P20109_284_R1","G2"
"143","P20109_285_R1","G2"
"144","P20109_287_R1","G2"
"145","P20109_288_R1","G2"
"146","P20109_289_R1","G2"
"147","P20109_293_R1","G2"
"148","P20109_295_R1","G2"
"149","P20109_296_R1","G2"
"150","P20109_305_R1","G2"
"151","P20109_306_R1","G2"
"152","P20109_310_R1","G2"
