"","Names","condition","sample","replicate"
"1","Abundance..F16..127N..Sample..5B.","B","5B","5"
"2","Abundance..F16..127C..Sample..5A.","A","5A","5"
"3","Abundance..F16..128C..Sample..2B.","B","2B","2"
"4","Abundance..F16..129C..Sample..2A.","A","2A","2"
"5","Abundance..F16..130N..Sample..4B.","B","4B","4"
"6","Abundance..F16..130C..Sample..1A.","A","1A","1"
"7","Abundance..F16..131N..Sample..1B.","B","1B","1"
"8","Abundance..F16..132N..Sample..6A.","A","6A","6"
"9","Abundance..F16..132C..Sample..4A.","A","4A","4"
"10","Abundance..F16..133N..Sample..6B.","B","6B","6"
"11","Abundance..F16..133C..Sample..3A.","A","3A","3"
"12","Abundance..F16..134N..Sample..3B.","B","3B","3"
