,from,to
1,ENPP4,B4GALT6
2,ENPP4,XPNPEP2
3,ENPP4,CD8A
4,ENPP4,PDGFD
5,ENPP4,SLCO4C1
6,PDK4,TGFBR3
7,PDK4,PALLD
8,PDK4,CD8A
9,PDK4,KLRK1
10,KCNH2,GZMH
11,KCNH2,HID1
12,KCNH2,RASSF6
13,KCNH2,LTB
14,TGFBR3,KCNH2
15,TGFBR3,SLC4A4
16,TGFBR3,PRSS23
17,TGFBR3,GFI1
18,TGFBR3,HID1
19,TGFBR3,KIAA1671
20,TGFBR3,RORB
21,TGFBR3,KLRK1
22,TGFBR3,LTB
23,SLC4A4,KLRD1
24,SLC4A4,ITM2C
25,SLC4A4,KLRG1
26,SLC4A4,PDGFD
27,SLC4A4,KIAA1671
28,GZMH,ENPP4
29,GZMH,KCNN4
30,GZMH,B4GALT6
31,GZMH,XPNPEP2
32,GZMH,CD8A
33,GZMH,KLRC4
34,GZMH,KIAA1671
35,KCNN4,SLCO4C1
36,C1orf21,TGFBR3
37,C1orf21,GZMH
38,C1orf21,KLRD1
39,C1orf21,PRSS23
40,C1orf21,CD8A
41,C1orf21,GFI1
42,C1orf21,HID1
43,C1orf21,PDGFD
44,B4GALT6,KCNN4
45,B4GALT6,PRSS23
46,B4GALT6,KLRC4
47,B4GALT6,KIAA1671
48,XPNPEP2,KLRG1
49,XPNPEP2,GNG7
50,XPNPEP2,KLRK1
51,KLRD1,KLRG1
52,KLRD1,PDGFD
53,KLRD1,NPTX1
54,KLRD1,SLCO4C1
55,KLRD1,KLRK1
56,ITM2C,KLRK1
57,ITM2C,IGLL5
58,SYBU,RASSF6
59,PTGES,VCAM1
60,PRSS23,SLC4A4
61,PRSS23,KCNN4
62,PRSS23,PALLD
63,PRSS23,KLRG1
64,PRSS23,NPTX1
65,PRSS23,SLCO4C1
66,PRSS23,RORB
67,PRSS23,LTB
68,CD8A,B4GALT6
69,CD8A,PALLD
70,CD8A,KLRG1
71,CD8A,VCAM1
72,CD8A,SLCO4C1
73,CD8A,KIAA1671
74,CD8A,KLRK1
75,CD8A,LTB
76,GFI1,GZMH
77,GFI1,KLRG1
78,GFI1,PRSS23
79,GFI1,CD8A
80,GFI1,NPTX1
81,GFI1,SLCO4C1
82,GFI1,KLRK1
83,STOX1,SLC4A4
84,STOX1,PDGFD
85,HID1,B4GALT6
86,HID1,SYBU
87,HID1,SLCO4C1
88,RASSF6,KIAA1671
89,NPTX1,PDGFD
90,NPTX1,KIAA1671
91,SLCO4C1,VCAM1
92,GNG7,B4GALT6
93,GNG7,SYBU
94,GNG7,SLCO4C1
95,GNG7,LTB
96,GNG7,IGLL5
97,KIAA1671,VCAM1
98,KIAA1671,PDGFD
99,KLRK1,KLRC4
100,LTB,PALLD
101,LTB,PTGES
102,LTB,VCAM1
103,LTB,SLCO4C1
104,TNFRSF13B,PDK4
105,TNFRSF13B,KCNN4
106,TNFRSF13B,ITM2C
107,TNFRSF13B,RASSF6
108,TNFRSF13B,NPTX1
109,IGLL5,SLCO4C1
110,IGLL5,RORB
111,INMT.MINDY4,SLC4A4
