"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","CSGene","CellAge","SASAP","Synaptic_proteins"
"AKR1B1","AKR1B1",0.924599242849693,2.97753517232569e-09,2.15429091799703e-08,"group2-group1",NA,"yes",NA,"yes"
"AMPD3","AMPD3",0.394434177578422,0.0014691749899795,0.00515534033098448,"group2-group1",NA,"yes",NA,NA
"ANGPT1","ANGPT1",1.15471882985414,1.12895358571659e-16,2.35709380789256e-15,"group2-group1",NA,"yes",NA,NA
"ANXA4","ANXA4",0.744447027524505,1.03431862918451e-12,1.06454695531913e-11,"group2-group1",NA,"yes",NA,"yes"
"APEX1","APEX1",0.730148993711419,3.27040402376477e-08,2.15787606353598e-07,"group2-group1","yes","yes",NA,NA
"APLP1","APLP1",-0.468459168600391,2.92560465867956e-07,1.72758432673139e-06,"group2-group1",NA,"yes",NA,"yes"
"APP","APP",0.390304205572755,2.39572745283787e-10,1.96705374849581e-09,"group2-group1",NA,"yes",NA,"yes"
"ASAH1","ASAH1",0.498639471960467,8.82006251418867e-10,6.74896406517631e-09,"group2-group1",NA,"yes",NA,"yes"
"ASS1","ASS1",0.5077691908628,0.00176005490474445,0.00608833193676691,"group2-group1","yes",NA,NA,"yes"
"ATG4A","ATG4A",0.571945704165012,2.07293032935082e-06,1.10166824594408e-05,"group2-group1",NA,"yes",NA,NA
"ATP6V1G1","ATP6V1G1",0.832736536680312,4.01639676800368e-11,3.49402611692701e-10,"group2-group1",NA,"yes",NA,"yes"
"BACH1","BACH1",0.171985845335113,0.000580135248687011,0.0021768104389116,"group2-group1","yes",NA,NA,NA
"BCL2L1","BCL2L1",1.55406210022583,8.46752072157004e-21,7.50017062701492e-19,"group2-group1","yes",NA,NA,NA
"BCL2L11","BCL2L11",0.339483803528797,0.00643221549085232,0.0191265166630329,"group2-group1","yes",NA,NA,NA
"BTC","BTC",0.370248943609752,0.000104916741670747,0.000441889965278952,"group2-group1",NA,"yes",NA,NA
"C1QBP","C1QBP",0.258384178980819,0.00608770908864654,0.018231940231674,"group2-group1",NA,"yes",NA,"yes"
"C3","C3",0.252881774297741,0.00104964292932595,0.00378311502147934,"group2-group1",NA,"yes",NA,"yes"
"CALCOCO1","CALCOCO1",0.491713968668712,2.99725169655006e-06,1.5561219731822e-05,"group2-group1",NA,"yes",NA,"yes"
"CASP1","CASP1",0.24441284854479,0.0168954326311427,0.0444512597487219,"group2-group1",NA,"yes",NA,NA
"CBS","CBS",0.552075697717162,0.000263907000600637,0.00104201297392906,"group2-group1","yes","yes",NA,NA
"CD36","CD36",0.211434497721514,2.71024997358679e-05,0.000124953638372148,"group2-group1",NA,"yes",NA,NA
"CDC26","CDC26",1.1932975883505,2.98692729813635e-21,3.6378285385219e-19,"group2-group1","yes",NA,"yes",NA
"CDC27","CDC27",0.322347221598903,0.00382112487910906,0.0123143859113956,"group2-group1","yes",NA,"yes",NA
"CDKN1A","CDKN1A",1.55525648893815,6.97547641241005e-19,2.48650214066763e-17,"group2-group1","yes","yes","yes",NA
