"","Symbol","CSGene","SASP","CellAge"
"1","TP53","yes","no","no"
"2","TERF2","yes","no","no"
"3","MAPK14","yes","no","no"
"4","CDKN2A","yes","yes","yes"
"5","CDKN1A","yes","yes","yes"
"6","CCNE1","yes","no","no"
"7","CCNA1","yes","yes","no"
"8","MAPKAPK5","yes","no","no"
"9","CBX4","yes","no","no"
"10","TXN","yes","no","no"
"11","TBX2","yes","no","no"
"12","STAT3","yes","yes","no"
"13","SRF","yes","no","no"
"14","BMI1","yes","no","no"
"15","MAP2K4","yes","no","no"
"16","MAP2K6","yes","no","no"
"17","MAP2K3","yes","no","no"
"18","MAPK8","yes","no","no"
"19","MAPK3","yes","yes","no"
"20","MAPK1","yes","yes","no"
"21","PRKCD","yes","no","no"
"22","PML","yes","no","no"
"23","OPA1","yes","no","no"
"24","ATM","yes","no","no"
"25","MDM2","yes","no","yes"
"26","CXCL8","yes","yes","no"
"27","IL6","yes","yes","no"
"28","IGFBP7","yes","yes","yes"
"29","ID1","yes","no","no"
"30","HRAS","yes","no","no"
"31","H2AFX","yes","no","yes"
"32","POT1","yes","no","no"
"33","SIRT1","yes","no","no"
"34","KDM6B","yes","no","no"
"35","PLA2R1","yes","no","no"
"36","EZH2","yes","no","yes"
"37","E2F3","yes","no","no"
"38","E2F1","yes","no","no"
"39","CEBPB","yes","yes","no"
"40","CDKN2D","yes","yes","no"
"41","CDKN2B","yes","yes","yes"
"42","CDKN1B","yes","yes","no"
"43","CDK6","yes","yes","no"
"44","CDK4","yes","yes","yes"
"45","CDK2","yes","yes","yes"
"46","CDC42","yes","no","no"
"47","RBX1","yes","no","no"
"48","CDC27","yes","yes","no"
"49","CDK1","yes","no","yes"
"50","MAML1","yes","no","no"
"51","CD44","yes","no","no"
"52","MAD2L1BP","yes","no","no"
"53","MAP4K4","yes","no","no"
"54","AIM2","yes","no","no"
"55","RECQL4","yes","no","no"
"56","ARHGAP18","yes","no","no"
"57","KL","yes","no","no"
"58","MAPKAPK2","yes","no","no"
"59","AURKB","yes","no","yes"
"60","SLC16A7","yes","no","no"
"61","CCNE2","yes","no","yes"
"62","HIST1H2BJ","yes","no","no"
"63","HIST1H3F","yes","no","no"
"64","CCNA2","yes","yes","yes"
"65","MCM3AP","yes","no","no"
"66","CDC16","yes","yes","no"
"67","TSC22D1","yes","no","yes"
"68","CBS","yes","no","yes"
"69","TNFSF13","yes","no","no"
"70","CTNNAL1","yes","no","yes"
"71","EED","yes","no","no"
"72","PNPT1","yes","no","no"
"73","CDC23","yes","yes","no"
"74","RNASET2","yes","no","no"
"75","TP63","yes","no","no"
"76","CAV1","yes","no","no"
"77","MKNK1","yes","no","no"
"78","TSLP","yes","no","no"
"79","HIST1H2BK","yes","no","yes"
"80","PPM1D","yes","no","no"
"81","HAVCR2","yes","no","no"
"82","CBX2","yes","no","no"
"83","KDM2B","yes","no","no"
"84","DPY30","yes","no","no"
"85","C2orf40","yes","no","no"
"86","YPEL3","yes","no","no"
"87","HIST2H4A","yes","no","no"
"88","HIST1H4L","yes","no","no"
"89","HIST1H4E","yes","no","no"
"90","HIST1H4B","yes","no","no"
"91","HIST1H4H","yes","no","yes"
"92","HIST1H4C","yes","no","yes"
"93","HIST1H4J","yes","no","no"
"94","HIST1H4K","yes","no","no"
"95","HIST1H4F","yes","no","no"
"96","HIST1H4D","yes","no","no"
"97","HIST1H4A","yes","no","no"
"98","HIST1H3B","yes","no","no"
"99","HIST1H3H","yes","no","no"
"100","HIST1H3J","yes","no","yes"
"101","HIST1H3G","yes","no","no"
"102","HIST1H3I","yes","no","yes"
"103","HIST1H3E","yes","no","no"
"104","HIST1H3C","yes","no","no"
"105","HIST1H3D","yes","no","no"
"106","HIST1H3A","yes","no","no"
"107","HIST2H2BE","yes","no","yes"
"108","HIST1H2BO","yes","no","no"
"109","HIST1H2BC","yes","no","yes"
"110","HIST1H2BI","yes","no","no"
"111","HIST1H2BH","yes","no","no"
"112","HIST1H2BE","yes","no","yes"
"113","HIST1H2BF","yes","no","no"
"114","HIST1H2BM","yes","no","no"
"115","HIST1H2BN","yes","no","no"
"116","HIST1H2BL","yes","no","no"
"117","HIST1H2BG","yes","no","no"
"118","HIST2H2AC","yes","no","no"
"119","HIST2H2AA3","yes","no","no"
"120","HIST1H2AB","yes","no","no"
"121","HIST1H2AC","yes","no","yes"
"122","HIST1H2AJ","yes","no","yes"
"123","HIST1H4I","yes","no","no"
"124","HIST3H3","yes","no","no"
"125","CALR","yes","no","no"
"126","HMGA2","yes","no","yes"
"127","PHC3","yes","no","no"
"128","KAT6A","yes","no","no"
"129","EHMT1","yes","yes","no"
"130","SMC6","yes","no","no"
"131","AIMP2","yes","no","no"
"132","CALCA","yes","no","no"
"133","DEK","yes","no","yes"
"134","MAPKAPK3","yes","no","no"
"135","ZNF148","yes","no","no"
"136","YY1","yes","no","no"
"137","WRN","yes","no","no"
"138","WNT5A","yes","no","yes"
"139","NR1H2","yes","no","no"
"140","UBE3A","yes","no","no"
"141","UBE2E1","yes","yes","no"
"142","UBE2D1","yes","yes","no"
"143","UBC","yes","yes","no"
"144","UBB","yes","yes","no"
"145","UBA52","yes","yes","no"
"146","CDC26P1","yes","no","no"
"147","TYMS","yes","no","yes"
"148","TWIST1","yes","no","yes"
"149","HIRA","yes","no","no"
"150","RPS27AP11","yes","no","no"
"151","HIST2H2AA4","yes","no","no"
"152","TP73","yes","no","no"
"153","TOP1","yes","no","no"
"154","TNF","yes","no","no"
"155","TGFB2","yes","no","yes"
"156","TGFB1","yes","no","no"
"157","TFDP1","yes","no","no"
"158","TERT","yes","no","no"
"159","TERF1","yes","no","no"
"160","BUB1B","yes","no","yes"
"161","BUB1","yes","no","yes"
"162","TCF3","yes","no","yes"
"163","TBX3","yes","no","no"
"164","TAGLN","yes","no","no"
"165","STAT6","yes","no","no"
"166","STAT1","yes","no","yes"
"167","BRAF","yes","no","no"
"168","SREBF1","yes","no","no"
"169","BRCA1","yes","no","yes"
"170","SP1","yes","no","no"
"171","SOX5","yes","no","no"
"172","SOD2","yes","no","no"
"173","SNAI1","yes","no","no"
"174","SMARCB1","yes","no","no"
"175","SMARCA2","yes","no","no"
"176","HIST2H3D","yes","no","no"
"177","PHC1P1","yes","no","no"
"178","ACD","yes","no","no"
"179","SKIL","yes","no","no"
"180","LOC649620","yes","no","no"
"181","SLC13A3","yes","no","no"
"182","LOC647654","yes","no","no"
"183","SMURF2","yes","no","yes"
"184","ANAPC1","yes","yes","no"
"185","SHC1","yes","no","no"
"186","CPEB1","yes","no","no"
"187","H3F3AP6","yes","no","no"
"188","ZMAT3","yes","no","yes"
"189","RBBP4P1","yes","no","no"
"190","SRSF3","yes","no","yes"
"191","SRSF1","yes","no","no"
"192","SATB1","yes","no","no"
"193","S100A6","yes","no","no"
"194","RXRB","yes","no","no"
"195","RRM2","yes","no","yes"
"196","RRM1","yes","no","yes"
"197","RPS27A","yes","yes","no"
"198","RPS6KA3","yes","yes","no"
"199","RPS6KA2","yes","yes","no"
"200","RPS6KA1","yes","yes","no"
"201","RPL5","yes","no","yes"
"202","RNF2","yes","no","no"
"203","RIT1","yes","no","no"
"204","RING1","yes","no","no"
"205","BCL2L1","yes","no","no"
"206","RELA","yes","yes","no"
"207","BCL2","yes","no","no"
"208","CCND1","yes","no","yes"
"209","RBP2","yes","no","no"
"210","RBL2","yes","no","no"
"211","RBL1","yes","no","yes"
"212","RBBP7","yes","no","yes"
"213","RBBP4","yes","no","no"
"214","NTN4","yes","no","yes"
"215","RB1","yes","no","no"
"216","IL21","yes","no","no"
"217","RAN","yes","no","no"
"218","RAF1","yes","no","no"
"219","RAC1","yes","no","no"
"220","TNRC6C","yes","no","no"
"221","KIAA1524","yes","no","no"
"222","EP400","yes","no","no"
"223","CNOT6","yes","no","yes"
"224","CBX8","yes","no","no"
"225","PTEN","yes","no","no"
"226","SEPN1","yes","no","no"
"227","BACH1","yes","no","no"
"228","PSMB5","yes","no","no"
"229","PROX1","yes","no","no"
"230","PRL","yes","no","no"
"231","MAP2K7","yes","no","no"
"232","MAP2K1","yes","no","no"
"233","MAPK10","yes","no","no"
"234","MAPK9","yes","no","no"
"235","MAPK11","yes","no","no"
"236","MAPK7","yes","yes","no"
"237","PRKDC","yes","no","no"
"238","RNF114","yes","no","no"
"239","PRKCI","yes","no","no"
"240","ATF7IP","yes","no","no"
"241","MFN1","yes","no","no"
"242","PRKAA2","yes","no","no"
"243","CDKN2AIP","yes","no","no"
"244","RBM38","yes","no","no"
"245","PRG2","yes","no","no"
"246","HIST2H4B","yes","no","no"
"247","HJURP","yes","no","yes"
"248","TMEM140","yes","no","no"
"249","PBRM1","yes","no","no"
"250","MARCH5","yes","no","no"
"251","PPARG","yes","no","no"
"252","PPARD","yes","no","no"
"253","POU2F1","yes","no","no"
"254","TERF2IP","yes","no","no"
"255","ERRFI1","yes","no","no"
"256","H2BFS","yes","no","no"
"257","PLK1","yes","no","yes"
"258","PLAUR","yes","no","no"
"259","PIN1","yes","no","no"
"260","PIM1","yes","no","yes"
"261","PIK3CA","yes","no","no"
"262","PHB","yes","no","no"
"263","PGR","yes","no","no"
"264","PGD","yes","no","no"
"265","PIAS4","yes","no","no"
"266","PDGFB","yes","no","no"
"267","SIRT6","yes","no","no"
"268","ANAPC11","yes","yes","no"
"269","ANAPC7","yes","yes","no"
"270","ANAPC5","yes","yes","no"
"271","WNT16","yes","no","no"
"272","FZR1","yes","yes","no"
