"","x"
"1","ABHD14B"
"2","ABL1"
"3","ACY1"
"4","AP3B1"
"5","APRT"
"6","ARF6"
"7","ARHGEF12"
"8","ATOX1"
"9","AXIN1"
"10","BCL2L1"
"11","BRAP"
"12","CACYBP"
"13","CASP3"
"14","CC2D1A"
"15","CD40"
"16","CD69"
"17","CDC26"
"18","CDC37"
"19","CDC42BPB"
"20","CDKN1A"
"21","CDKN2D"
"22","CETN3"
"23","CIAPIN1"
"24","CIRBP"
"25","CMC1"
"26","COMMD1"
"27","CRKL"
"28","CRYBB1"
"29","DAAM1"
"30","DAG1"
"31","DBI"
"32","DCTN2"
"33","DECR1"
"34","DNAJA2"
"35","DNAJB14"
"36","DNAJB6"
"37","DOK2"
"38","DRG2"
"39","DTYMK"
"40","DXO"
"41","EBAG9"
"42","EEF1D"
"43","EHBP1"
"44","EIF4E"
"45","EIF4G1"
"46","ENO1"
"47","ENO2"
"48","ERBIN"
"49","ERP29"
"50","F11R"
"51","FABP5"
"52","FADD"
"53","FAM13A"
"54","FKBP14"
"55","FKBP4"
"56","FKBP5"
"57","FXN"
"58","FYB1"
"59","GCC1"
"60","GGACT"
"61","GGCT"
"62","GLOD4"
"63","GMPR2"
"64","GPD1"
"65","GPI"
"66","GRHPR"
"67","GZMH"
"68","HARS1"
"69","HBEGF"
"70","HCLS1"
"71","HHEX"
"72","HNRNPK"
"73","HSPA1A"
"74","HTRA2"
"75","IL7"
"76","IPCEF1"
"77","IRAK4"
"78","IST1"
"79","JPT2"
"80","KIFBP"
"81","KYAT1"
"82","L3HYPDH"
"83","LACTB2"
"84","LATS1"
"85","LBR"
"86","LZTFL1"
"87","MAP2K1"
"88","MAP4K5"
"89","MAPK9"
"90","MARS1"
"91","MAVS"
"92","MESD"
"93","METAP1D"
"94","MGLL"
"95","MINK1"
"96","MPI"
"97","MPIG6B"
"98","MSRA"
"99","MTDH"
"100","MTSS1"
"101","MYDGF"
"102","NAGK"
"103","NARS1"
"104","NEXN"
"105","NIT1"
"106","NIT2"
"107","NSFL1C"
"108","NT5C"
"109","NT5C1A"
"110","NUB1"
"111","NUDC"
"112","NUDT16"
"113","NUDT5"
"114","PARK7"
"115","PCYT2"
"116","PDLIM5"
"117","PDLIM7"
"118","PEBP1"
"119","PLPBP"
"120","PPME1"
"121","PPP1R12A"
"122","PRDX5"
"123","PRKAR2A"
"124","PTRHD1"
"125","PTS"
"126","RAB27B"
"127","RBKS"
"128","RBPMS2"
"129","RGCC"
"130","RILP"
"131","RILPL2"
"132","RWDD1"
"133","SAMD9L"
"134","SCAMP3"
"135","SCLY"
"136","SCRN1"
"137","SERPINB1"
"138","SERPINE1"
"139","SERPINE2"
"140","SHMT1"
"141","SIRT2"
"142","SKAP2"
"143","SLC9A3R1"
"144","SNAP23"
"145","SNAP29"
"146","SPART"
"147","SRC"
"148","STAT5B"
"149","STIP1"
"150","STX4"
"151","SYAP1"
"152","TBCA"
"153","TBCB"
"154","TMED8"
"155","TOMM20"
"156","TRIAP1"
"157","TTR"
"158","TWF2"
"159","TXLNA"
"160","TXN"
"161","TYMP"
"162","UBXN1"
"163","USO1"
"164","USP8"
"165","VASH1"
"166","VASP"
"167","VAV3"
"168","VTA1"
"169","VTI1A"
"170","YARS1"
"171","YES1"
"172","DCTN1"
"173","PPP1R9B"
"174","CLEC1B"
"175","CLIP2"
"176","METAP2"
"177","SH2D1A"
"178","RAB11FIP3"
"179","SNX9"
"180","STAMBP"
"181","ITGB1BP2"
"182","DIABLO"
"183","MGMT"
"184","PPIB"
"185","ACADSB"
"186","OTUD7B"
"187","OTUD6B"
