"SUID","adjustedPValue_All_genes","description_All_genes","N_All_genes","name","nn_All_genes","nodeFillColor_All_genes","nodeFontSize_All_genes","nodeSize_All_genes","nodeType_All_genes","pValue_All_genes","selected","shared name","X_All_genes","xx_All_genes"
"1577740","2.5734E-8","positive regulation of phosphorus metabolic process","14261","10562","134","7.58949019581752","14","9.797958971132712","ellipse","4.7145E-10","false","10562","565","24"
"1577741","2.5734E-8","positive regulation of phosphate metabolic process","14261","45937","134","7.58949019581752","14","9.797958971132712","ellipse","4.7145E-10","false","45937","565","24"
"1577743","1.1198E-1","purine ribonucleoside monophosphate metabolic process","14261","9167","19","0.9508454739303223","14","3.4641016151377544","ellipse","3.7370E-2","false","9167","565","3"
"1577744","1.1060E-2","purine ribonucleoside monophosphate catabolic process","14261","9169","2","1.956236892466671","14","2.8284271247461903","ellipse","1.5670E-3","false","9169","565","2"
"1577746","2.1693E-10","regulation of intracellular protein kinase cascade","14261","10627","323","9.663672301936103","14","13.114877048604","ellipse","2.4888E-12","false","10627","565","43"
"1577747","1.1102E-2","regulation of stress-activated protein kinase signaling cascade","14261","70302","83","1.954602719190596","14","6.324555320336759","ellipse","1.5877E-3","false","70302","565","10"
"1577749","1.0051E-5","regulation of peptidyl-serine phosphorylation","14261","33135","20","4.997776363334186","14","5.656854249492381","ellipse","4.7736E-7","false","33135","565","8"
"1577750","8.5650E-6","positive regulation of peptidyl-serine phosphorylation","14261","33138","14","5.06727182172463","14","5.291502622129181","ellipse","3.9763E-7","false","33138","565","7"
"1577752","6.4309E-11","regulation of biological quality","14261","65008","1541","10.191730523420567","14","21.72556098240043","ellipse","7.0348E-13","false","65008","565","118"
"1577753","9.2410E-6","homeostatic process","14261","42592","774","5.034282519183251","14","15.491933384829668","ellipse","4.3148E-7","false","42592","565","60"
"1577755","7.1789E-12","biological regulation","14261","65007","6927","11.143940079212992","14","38.0","ellipse","5.5547E-14","false","65007","565","361"
"1577756","6.7873E-12","regulation of biological process","14261","50789","6540","11.168302670800573","14","37.20215047547655","ellipse","5.0706E-14","false","50789","565","346"
"1577758","2.2228E-18","positive regulation of biological process","14261","48518","2205","17.653101699233233","14","26.457513110645905","ellipse","2.3722E-21","false","48518","565","175"
"1577759","5.4871E-2","positive regulation of homeostatic process","14261","32846","49","1.2606540443845051","14","4.898979485566356","ellipse","1.2400E-2","false","32846","565","6"
"1577761","2.5327E-2","regulation of phospholipid biosynthetic process","14261","71071","3","1.596410810579226","14","2.8284271247461903","ellipse","4.5771E-3","false","71071","565","2"
"1577762","2.5327E-2","negative regulation of phospholipid biosynthetic process","14261","71072","3","1.596410810579226","14","2.8284271247461903","ellipse","4.5771E-3","false","71072","565","2"
"1577764","5.8230E-3","myeloid leukocyte mediated immunity","14261","2444","19","2.234855794875248","14","4.47213595499958","ellipse","7.0224E-4","false","2444","565","5"
"1577765","4.7077E-2","neutrophil mediated immunity","14261","2446","12","1.3271898873288617","14","3.4641016151377544","ellipse","1.0413E-2","false","2446","565","3"
"1577767","5.3299E-10","small molecule metabolic process","14261","44281","1368","9.27328387768861","14","20.591260281974","ellipse","6.8259E-12","false","44281","565","106"
"1577768","2.8850E-3","cellular amino acid and derivative metabolic process","14261","6519","365","2.5398560984677108","14","10.770329614269007","ellipse","3.0020E-4","false","6519","565","29"
"1577770","6.5674E-2","regulation of growth","14261","40008","359","1.182606351825187","14","9.591663046625438","ellipse","1.6261E-2","false","40008","565","23"
"1577771","3.5513E-2","regulation of organ growth","14261","46620","31","1.4496149944480228","14","4.47213595499958","ellipse","6.9358E-3","false","46620","565","5"
"1577773","1.3035E-9","response to hormone stimulus","14261","9725","441","8.884893637412679","14","14.142135623730951","ellipse","1.7389E-11","false","9725","565","50"
"1577774","2.4256E-4","response to peptide hormone stimulus","14261","43434","187","3.6151868064733255","14","9.16515138991168","ellipse","1.6632E-5","false","43434","565","21"
"1577776","1.0872E-7","positive regulation of protein modification process","14261","31401","231","6.963676113764005","14","11.135528725660043","ellipse","2.5237E-9","false","31401","565","31"
"1577777","1.5650E-8","positive regulation of protein amino acid phosphorylation","14261","1934","120","7.805482816131542","14","9.591663046625438","ellipse","2.6724E-10","false","1934","565","23"
"1577779","3.2722E-22","response to chemical stimulus","14261","42221","1459","21.48516030931947","14","23.916521486202797","ellipse","8.7305E-26","false","42221","565","143"
"1577780","6.8688E-4","response to oxygen levels","14261","70482","158","3.163122097898071","14","8.48528137423857","ellipse","5.4524E-5","false","70482","565","18"
"1577782","4.0751E-2","2'-deoxyribonucleotide metabolic process","14261","9394","21","1.3898630732778328","14","4.0","ellipse","8.5242E-3","false","9394","565","4"
"1577783","4.7077E-2","pyrimidine deoxyribonucleotide metabolic process","14261","9219","12","1.3271898873288617","14","3.4641016151377544","ellipse","1.0413E-2","false","9219","565","3"
"1577785","2.7336E-12","cellular metabolic process","14261","44237","4984","11.563258825884555","14","33.704599092705436","ellipse","1.8234E-14","false","44237","565","284"
"1577786","5.7252E-4","oxygen and reactive oxygen species metabolic process","14261","6800","65","3.242207692865191","14","6.6332495807108","ellipse","4.3840E-5","false","6800","565","11"
"1577788","1.6727E-8","positive regulation of phosphorylation","14261","42327","131","7.7765743843393125","14","9.797958971132712","ellipse","2.9009E-10","false","42327","565","24"
"1577790","3.5919E-2","cellular protein catabolic process","14261","44257","314","1.444670526371538","14","9.38083151964686","ellipse","7.0537E-3","false","44257","565","22"
"1577791","3.2924E-2","proteolysis involved in cellular protein catabolic process","14261","51603","311","1.4824852426823867","14","9.38083151964686","ellipse","6.3248E-3","false","51603","565","22"
"1577793","2.5190E-2","protein catabolic process","14261","30163","339","1.5987686707607065","14","9.797958971132712","ellipse","4.4203E-3","false","30163","565","24"
"1577795","3.4807E-7","regulation of T cell activation","14261","50863","121","6.4583301624500775","14","9.16515138991168","ellipse","1.0401E-8","false","50863","565","21"
"1577796","3.1200E-2","negative regulation of T cell activation","14261","50868","42","1.5058484107199308","14","4.898979485566356","ellipse","5.8669E-3","false","50868","565","6"
"1577798","3.2126E-8","cellular membrane organization","14261","16044","382","7.493144885867176","14","13.114877048604","ellipse","6.0857E-10","false","16044","565","43"
"1577799","1.1060E-2","nuclear membrane organization","14261","71763","2","1.956236892466671","14","2.8284271247461903","ellipse","1.5670E-3","false","71763","565","2"
"1577801","1.5410E-16","regulation of cell death","14261","10941","866","15.812194444189482","14","19.28730152198591","ellipse","4.0078E-19","false","10941","565","93"
"1577802","1.3394E-7","positive regulation of cell death","14261","10942","449","6.873101072511445","14","13.564659966250536","ellipse","3.2519E-9","false","10942","565","46"
"1577804","3.7854E-4","positive regulation of macromolecule metabolic process","14261","10604","941","3.421887938313823","14","15.874507866387544","ellipse","2.7067E-5","false","10604","565","63"
"1577805","1.1968E-5","positive regulation of protein metabolic process","14261","51247","307","4.921972370101585","14","11.313708498984761","ellipse","5.8436E-7","false","51247","565","32"
"1577807","1.2021E-2","cell cycle process","14261","22402","582","1.9200716232223645","14","12.328828005937952","ellipse","1.7447E-3","false","22402","565","38"
"1577808","6.0253E-2","cell cycle phase","14261","22403","435","1.2200221468135048","14","10.392304845413264","ellipse","1.4342E-2","false","22403","565","27"
"1577810","2.2573E-1","cell morphogenesis","14261","902","314","0.646410361369571","14","8.246211251235321","ellipse","1.1997E-1","false","902","565","17"
"1577811","5.2791E-1","cell projection morphogenesis","14261","48858","233","0.2774366015950597","14","6.324555320336759","ellipse","4.4383E-1","false","48858","565","10"
"1577813","3.6469E-17","immune system process","14261","2376","947","16.43807698079117","14","20.0","ellipse","4.8651E-20","false","2376","565","100"
"1577814","5.1230E-3","immune effector process","14261","2252","129","2.2904750985915334","14","7.483314773547883","ellipse","5.9049E-4","false","2252","565","14"
"1577816","1.0629E-11","regulation of response to stimulus","14261","48583","524","10.973503779237246","14","15.491933384829668","ellipse","9.0750E-14","false","48583","565","60"
"1577817","1.4866E-3","negative regulation of response to stimulus","14261","48585","126","2.8278053336731674","14","7.745966692414834","ellipse","1.3684E-4","false","48585","565","15"
"1577819","1.6483E-18","response to stress","14261","6950","1768","17.782955485953583","14","24.657656011875904","ellipse","1.3194E-21","false","6950","565","152"
"1577820","1.5489E-13","response to wounding","14261","9611","540","12.809965491750278","14","16.1245154965971","ellipse","6.6123E-16","false","9611","565","65"
"1577822","1.7094E-1","symbiosis, encompassing mutualism through parasitism","14261","44403","56","0.7671610915287481","14","4.47213595499958","ellipse","7.0172E-2","false","44403","565","5"
"1577823","1.1198E-1","response to defenses of other organism involved in symbiotic interaction","14261","52173","8","0.9508454739303223","14","2.8284271247461903","ellipse","3.7437E-2","false","52173","565","2"
"1577825","1.4577E-14","response to organic substance","14261","10033","869","13.836346146929037","14","18.867962264113206","ellipse","5.4448E-17","false","10033","565","89"
"1577826","2.1759E-3","response to protein stimulus","14261","51789","117","2.6623687384159793","14","7.483314773547883","ellipse","2.1480E-4","false","51789","565","14"
"1577828","3.9167E-5","regulation of immune response","14261","50776","235","4.407077878048635","14","10.198039027185569","ellipse","2.2259E-6","false","50776","565","26"
"1577830","3.4827E-4","anatomical structure morphogenesis","14261","9653","1218","3.458078158297654","14","17.549928774784245","ellipse","2.4625E-5","false","9653","565","77"
"1577831","2.1715E-1","cellular component morphogenesis","14261","32989","352","0.6632397944747094","14","8.717797887081348","ellipse","1.0713E-1","false","32989","565","19"
"1577833","4.9182E-10","catabolic process","14261","9056","1006","9.308196588193315","14","18.547236990991408","ellipse","6.1674E-12","false","9056","565","86"
"1577834","5.9064E-7","small molecule catabolic process","14261","44282","265","6.228675576533596","14","11.313708498984761","ellipse","1.9068E-8","false","44282","565","32"
"1577836","2.2295E-1","response to light stimulus","14261","9416","144","0.6517891167081936","14","6.0","ellipse","1.1844E-1","false","9416","565","9"
"1577837","1.8661E-2","response to UV","14261","9411","62","1.7290615280477322","14","5.656854249492381","ellipse","2.9657E-3","false","9411","565","8"
"1577839","1.3364E-3","cell surface receptor linked signaling pathway","14261","7166","1277","2.874052408209836","14","17.549928774784245","ellipse","1.1887E-4","false","7166","565","77"
"1577840","3.2833E-2","cytokine-mediated signaling pathway","14261","19221","70","1.483692487042598","14","5.656854249492381","ellipse","6.2897E-3","false","19221","565","8"
"1577842","1.2783E-1","nuclear envelope organization","14261","6998","9","0.8933505386555101","14","2.8284271247461903","ellipse","4.6891E-2","false","6998","565","2"
"1577844","4.4886E-13","negative regulation of cellular process","14261","48523","1845","12.347893423004786","14","23.748684174075834","ellipse","2.0370E-15","false","48523","565","141"
"1577845","1.1879E-2","negative regulation of cell cycle","14261","45786","176","1.9252253290319583","14","8.0","ellipse","1.7083E-3","false","45786","565","16"
"1577847","1.7330E-3","regulation of positive chemotaxis","14261","50926","22","2.7612132525515274","14","4.898979485566356","ellipse","1.6322E-4","false","50926","565","6"
"1577848","1.3575E-3","positive regulation of positive chemotaxis","14261","50927","21","2.867250610564645","14","4.898979485566356","ellipse","1.2279E-4","false","50927","565","6"
"1577850","2.2429E-7","defense response","14261","6952","619","6.64918521349688","14","14.966629547095765","ellipse","5.9245E-9","false","6952","565","56"
"1577851","3.3624E-7","inflammatory response","14261","6954","314","6.473355581433065","14","12.0","ellipse","9.7796E-9","false","6954","565","36"
"1577853","2.2415E-6","positive regulation of response to stimulus","14261","48584","268","5.6494596100472405","14","11.135528725660043","ellipse","8.6359E-8","false","48584","565","31"
"1577855","1.8606E-7","apoptosis","14261","6915","566","6.730344058764281","14","14.560219778561036","ellipse","4.7850E-9","false","6915","565","53"
"1577856","9.9843E-2","activation of caspase activity","14261","6919","59","1.000682023230047","14","4.898979485566356","ellipse","2.8757E-2","false","6919","565","6"
"1577858","2.8720E-1","regulation of type I interferon production","14261","32479","19","0.5418199273146859","14","2.8284271247461903","ellipse","1.7241E-1","false","32479","565","2"
"1577859","1.2783E-1","regulation of interferon-alpha production","14261","32647","9","0.8933505386555101","14","2.8284271247461903","ellipse","4.6891E-2","false","32647","565","2"
"1577861","1.0000","biological_process","14261","8150","14261","-0.0","14","47.53945729601885","ellipse","1.0000","false","8150","565","565"
"1577862","3.5806E-8","cellular component organization","14261","16043","2556","7.446040563062162","14","25.219040425836983","ellipse","6.9740E-10","false","16043","565","159"
"1577864","2.8118E-2","nucleobase, nucleoside, nucleotide and nucleic acid catabolic process","14261","34655","54","1.5510223355330124","14","5.291502622129181","ellipse","5.1977E-3","false","34655","565","7"
"1577865","2.8118E-2","nucleobase, nucleoside and nucleotide catabolic process","14261","34656","54","1.5510223355330124","14","5.291502622129181","ellipse","5.1977E-3","false","34656","565","7"
"1577867","1.7062E-2","cell projection organization","14261","30030","363","1.7679656412787306","14","10.198039027185569","ellipse","2.6677E-3","false","30030","565","26"
"1577868","2.5052E-2","cell projection assembly","14261","30031","80","1.6011556160710776","14","6.0","ellipse","4.2818E-3","false","30031","565","9"
"1577870","5.4202E-4","regulation of I-kappaB kinase/NF-kappaB cascade","14261","43122","127","3.2659830351925003","14","8.0","ellipse","4.1360E-5","false","43122","565","16"
"1577872","4.0751E-2","prostanoid metabolic process","14261","6692","21","1.3898630732778328","14","4.0","ellipse","8.5242E-3","false","6692","565","4"
"1577873","4.0751E-2","prostaglandin metabolic process","14261","6693","21","1.3898630732778328","14","4.0","ellipse","8.5242E-3","false","6693","565","4"
"1577875","7.5099E-3","leukocyte degranulation","14261","43299","12","2.1243656579995056","14","4.0","ellipse","9.3573E-4","false","43299","565","4"
"1577877","4.1247E-2","regulation of peptidyl-threonine phosphorylation","14261","10799","4","1.3846068573228327","14","2.8284271247461903","ellipse","8.9141E-3","false","10799","565","2"
"1577878","2.5327E-2","positive regulation of peptidyl-threonine phosphorylation","14261","10800","3","1.596410810579226","14","2.8284271247461903","ellipse","4.5771E-3","false","10800","565","2"
"1577880","2.1424E-3","negative regulation of intracellular protein kinase cascade","14261","10741","53","2.66909551929557","14","6.0","ellipse","2.1035E-4","false","10741","565","9"
"1577881","2.2065E-1","negative regulation of stress-activated protein kinase signaling cascade","14261","70303","15","0.6563033677094346","14","2.8284271247461903","ellipse","1.1715E-1","false","70303","565","2"
"1577883","4.2827E-4","regulation of endothelial cell migration","14261","10594","42","3.368281458702333","14","6.0","ellipse","3.1195E-5","false","10594","565","9"
"1577884","5.0615E-4","positive regulation of endothelial cell migration","14261","10595","25","3.2957237381843925","14","5.291502622129181","ellipse","3.8051E-5","false","10595","565","7"
"1577886","9.9908E-1","regulation of cellular biosynthetic process","14261","31326","3019","3.9789999337954177E-4","14","19.697715603592208","ellipse","9.9341E-1","false","31326","565","97"
"1577887","3.5513E-2","regulation of nitric oxide biosynthetic process","14261","45428","31","1.4496149944480228","14","4.47213595499958","ellipse","6.9358E-3","false","45428","565","5"
"1577889","1.8165E-7","signaling pathway","14261","23033","2095","6.7407749304592315","14","23.15167380558045","ellipse","4.5900E-9","false","23033","565","134"
"1577890","3.1556E-6","intracellular signaling pathway","14261","23034","1155","5.500920378680043","14","18.110770276274835","ellipse","1.2713E-7","false","23034","565","82"
"1577892","2.3830E-2","regulation of protein secretion","14261","50708","65","1.6228717754457251","14","5.656854249492381","ellipse","3.9929E-3","false","50708","565","8"
"1577893","2.5052E-2","regulation of immunoglobulin secretion","14261","51023","9","1.6011556160710776","14","3.4641016151377544","ellipse","4.3447E-3","false","51023","565","3"
"1577895","2.7449E-10","regulation of localization","14261","32879","726","9.56146964135238","14","16.73320053068151","ellipse","3.2224E-12","false","32879","565","70"
"1577896","7.0821E-8","regulation of cellular component movement","14261","51270","239","7.149837304957936","14","11.313708498984761","ellipse","1.4739E-9","false","51270","565","32"
"1577898","6.0253E-2","positive regulation of lipid kinase activity","14261","90218","5","1.2200221468135048","14","2.8284271247461903","ellipse","1.4468E-2","false","90218","565","2"
"1577899","4.1247E-2","positive regulation of phosphoinositide 3-kinase activity","14261","43552","4","1.3846068573228327","14","2.8284271247461903","ellipse","8.9141E-3","false","43552","565","2"
"1577901","5.4414E-7","regulation of cellular component organization","14261","51128","538","6.264286436133288","14","14.142135623730951","ellipse","1.7132E-8","false","51128","565","50"
"1577902","9.2059E-3","regulation of protein complex assembly","14261","43254","94","2.035933460930895","14","6.6332495807108","ellipse","1.2019E-3","false","43254","565","11"
"1577904","2.7937E-2","actin filament-based process","14261","30029","250","1.5538201796970372","14","8.717797887081348","ellipse","5.1147E-3","false","30029","565","19"
"1577905","1.6817E-2","actin cytoskeleton organization","14261","30036","235","1.7742479409615135","14","8.717797887081348","ellipse","2.6024E-3","false","30036","565","19"
"1577907","1.2783E-1","tissue morphogenesis","14261","48729","275","0.8933505386555101","14","8.246211251235321","ellipse","4.6928E-2","false","48729","565","17"
"1577908","1.6633E-1","morphogenesis of an epithelium","14261","2009","206","0.7790312734622347","14","7.211102550927978","ellipse","6.6434E-2","false","2009","565","13"
"1577910","2.0807E-4","MAPKKK cascade","14261","165","185","3.6817931493287097","14","9.16515138991168","ellipse","1.4101E-5","false","165","565","21"
"1577911","1.6082E-4","activation of MAPK activity","14261","187","78","3.7936712216318402","14","7.211102550927978","ellipse","1.0684E-5","false","187","565","13"
"1577913","2.7720E-9","regulation of molecular function","14261","65009","1060","8.557208141111401","14","18.65475810617763","ellipse","3.9938E-11","false","65009","565","87"
"1577915","1.6205E-2","mitotic cell cycle","14261","278","380","1.7903489558141963","14","10.392304845413264","ellipse","2.4948E-3","false","278","565","27"
