"SUID","edgeType_all_genes","interaction","name","selected","shared interaction","shared name"
"1583826","black","pp","10562 (pp) 45937","false","pp","10562 (pp) 45937"
"1583829","black","pp","9167 (pp) 9169","false","pp","9167 (pp) 9169"
"1583832","black","pp","10627 (pp) 70302","false","pp","10627 (pp) 70302"
"1583835","black","pp","33135 (pp) 33138","false","pp","33135 (pp) 33138"
"1583838","black","pp","65008 (pp) 42592","false","pp","65008 (pp) 42592"
"1583841","black","pp","65007 (pp) 50789","false","pp","65007 (pp) 50789"
"1583844","black","pp","48518 (pp) 32846","false","pp","48518 (pp) 32846"
"1583847","black","pp","71071 (pp) 71072","false","pp","71071 (pp) 71072"
"1583850","black","pp","2444 (pp) 2446","false","pp","2444 (pp) 2446"
"1583853","black","pp","44281 (pp) 6519","false","pp","44281 (pp) 6519"
"1583856","black","pp","40008 (pp) 46620","false","pp","40008 (pp) 46620"
"1583859","black","pp","9725 (pp) 43434","false","pp","9725 (pp) 43434"
"1583862","black","pp","31401 (pp) 1934","false","pp","31401 (pp) 1934"
"1583865","black","pp","42221 (pp) 70482","false","pp","42221 (pp) 70482"
"1583868","black","pp","9394 (pp) 9219","false","pp","9394 (pp) 9219"
"1583871","black","pp","44237 (pp) 6800","false","pp","44237 (pp) 6800"
"1583873","black","pp","45937 (pp) 42327","false","pp","45937 (pp) 42327"
"1583876","black","pp","44257 (pp) 51603","false","pp","44257 (pp) 51603"
"1583878","black","pp","30163 (pp) 44257","false","pp","30163 (pp) 44257"
"1583881","black","pp","50863 (pp) 50868","false","pp","50863 (pp) 50868"
"1583884","black","pp","16044 (pp) 71763","false","pp","16044 (pp) 71763"
"1583887","black","pp","10941 (pp) 10942","false","pp","10941 (pp) 10942"
"1583890","black","pp","10604 (pp) 51247","false","pp","10604 (pp) 51247"
"1583893","black","pp","22402 (pp) 22403","false","pp","22402 (pp) 22403"
"1583896","black","pp","902 (pp) 48858","false","pp","902 (pp) 48858"
"1583899","black","pp","2376 (pp) 2252","false","pp","2376 (pp) 2252"
"1583902","black","pp","48583 (pp) 48585","false","pp","48583 (pp) 48585"
"1583905","black","pp","6950 (pp) 9611","false","pp","6950 (pp) 9611"
"1583908","black","pp","44403 (pp) 52173","false","pp","44403 (pp) 52173"
"1583911","black","pp","10033 (pp) 51789","false","pp","10033 (pp) 51789"
"1583913","black","pp","48583 (pp) 50776","false","pp","48583 (pp) 50776"
"1583916","black","pp","9653 (pp) 32989","false","pp","9653 (pp) 32989"
"1583919","black","pp","9056 (pp) 44282","false","pp","9056 (pp) 44282"
"1583922","black","pp","9416 (pp) 9411","false","pp","9416 (pp) 9411"
"1583925","black","pp","7166 (pp) 19221","false","pp","7166 (pp) 19221"
"1583927","black","pp","6998 (pp) 71763","false","pp","6998 (pp) 71763"
"1583930","black","pp","48523 (pp) 45786","false","pp","48523 (pp) 45786"
"1583933","black","pp","50926 (pp) 50927","false","pp","50926 (pp) 50927"
"1583936","black","pp","6952 (pp) 6954","false","pp","6952 (pp) 6954"
"1583938","black","pp","48583 (pp) 48584","false","pp","48583 (pp) 48584"
"1583941","black","pp","6915 (pp) 6919","false","pp","6915 (pp) 6919"
"1583944","black","pp","32479 (pp) 32647","false","pp","32479 (pp) 32647"
"1583947","black","pp","8150 (pp) 16043","false","pp","8150 (pp) 16043"
"1583950","black","pp","34655 (pp) 34656","false","pp","34655 (pp) 34656"
"1583953","black","pp","30030 (pp) 30031","false","pp","30030 (pp) 30031"
"1583955","black","pp","10627 (pp) 43122","false","pp","10627 (pp) 43122"
"1583958","black","pp","6692 (pp) 6693","false","pp","6692 (pp) 6693"
"1583960","black","pp","2252 (pp) 43299","false","pp","2252 (pp) 43299"
"1583963","black","pp","10799 (pp) 10800","false","pp","10799 (pp) 10800"
"1583966","black","pp","10741 (pp) 70303","false","pp","10741 (pp) 70303"
"1583969","black","pp","10594 (pp) 10595","false","pp","10594 (pp) 10595"
"1583972","black","pp","31326 (pp) 45428","false","pp","31326 (pp) 45428"
"1583975","black","pp","23033 (pp) 23034","false","pp","23033 (pp) 23034"
"1583978","black","pp","50708 (pp) 51023","false","pp","50708 (pp) 51023"
"1583981","black","pp","32879 (pp) 51270","false","pp","32879 (pp) 51270"
"1583984","black","pp","90218 (pp) 43552","false","pp","90218 (pp) 43552"
"1583987","black","pp","51128 (pp) 43254","false","pp","51128 (pp) 43254"
"1583990","black","pp","30029 (pp) 30036","false","pp","30029 (pp) 30036"
"1583993","black","pp","48729 (pp) 2009","false","pp","48729 (pp) 2009"
"1583996","black","pp","165 (pp) 187","false","pp","165 (pp) 187"
"1583998","black","pp","65007 (pp) 65009","false","pp","65007 (pp) 65009"
"1584001","black","pp","278 (pp) 87","false","pp","278 (pp) 87"
"1584004","black","pp","50867 (pp) 2696","false","pp","50867 (pp) 2696"
"1584007","black","pp","45859 (pp) 79","false","pp","45859 (pp) 79"
"1584010","black","pp","31396 (pp) 31397","false","pp","31396 (pp) 31397"
"1584013","black","pp","9987 (pp) 6996","false","pp","9987 (pp) 6996"
"1584016","black","pp","1763 (pp) 61138","false","pp","1763 (pp) 61138"
"1584019","black","pp","51240 (pp) 31652","false","pp","51240 (pp) 31652"
"1584022","black","pp","7178 (pp) 7179","false","pp","7178 (pp) 7179"
"1584025","black","pp","44271 (pp) 43604","false","pp","44271 (pp) 43604"
"1584028","black","pp","9892 (pp) 31324","false","pp","9892 (pp) 31324"
"1584030","black","pp","50794 (pp) 10941","false","pp","50794 (pp) 10941"
"1584033","black","pp","16311 (pp) 46838","false","pp","16311 (pp) 46838"
"1584036","black","pp","50818 (pp) 30193","false","pp","50818 (pp) 30193"
"1584037","black","pp","2009 (pp) 61138","false","pp","2009 (pp) 61138"
"1584040","black","pp","2822 (pp) 2709","false","pp","2822 (pp) 2709"
"1584043","black","pp","31323 (pp) 32268","false","pp","31323 (pp) 32268"
"1584045","black","pp","9987 (pp) 19725","false","pp","9987 (pp) 19725"
"1584048","black","pp","70201 (pp) 51223","false","pp","70201 (pp) 51223"
"1584051","black","pp","7565 (pp) 7566","false","pp","7565 (pp) 7566"
"1584053","black","pp","9056 (pp) 9057","false","pp","9056 (pp) 9057"
