,Node_1,Node_2
6,65007,50789
7,48518,32846
14,42221,70482
16,44237,6800
22,10941,10942
26,2376,2252
28,6950,9611
30,10033,51789
37,48523,45786
61,65007,65009
66,9987,6996
72,50794,10941
77,31323,32268
78,9987,19725
99,65007,65008
101,42325,1932
111,44237,6091
117,60548,43069
120,48519,43901
145,10033,71310
172,48518,48522
174,48519,51129
179,48523,10639
182,48522,10638
205,50789,23051
231,48519,9892
235,9987,30030
241,50789,44087
248,9987,51641
251,42221,7584
254,50789,31341
270,10033,2237
274,1932,33135
276,8152,9058
280,10941,60548
287,48522,8284
288,10033,34097
290,32268,32270
295,48522,10942
313,6950,6986
315,8152,9056
336,50896,9605
341,48518,31343
353,48523,60548
359,9966,10627
377,50789,50794
390,9987,44237
399,1932,1934
414,50896,42221
416,1932,1933
417,50896,9607
422,48519,2683
440,8150,65007
450,44237,6790
453,42221,10033
458,48519,48585
466,44237,6793
467,50789,50792
481,9987,8037
483,50789,50793
487,42221,10035
496,44237,34641
508,51246,51248
516,51246,51247
534,10033,9725
535,60255,51246
546,48519,48523
572,48518,51130
587,43067,43069
588,2376,6955
591,8150,8152
596,9987,34621
600,10033,43331
601,42981,43065
605,51246,32268
609,50789,48583
640,48523,10648
646,44237,42180
651,42981,43066
653,9987,8219
654,9966,9967
657,9966,10469
659,43067,46668
665,9966,9968
683,48522,45785
685,6950,9409
689,9611,6954
692,42981,43281
697,6950,9408
699,9987,51716
700,44237,6725
710,32268,31399
718,48522,45787
725,42221,70887
732,48518,40017
736,9987,7155
737,42221,42493
749,48518,51094
756,6950,6952
765,2376,2520
784,6950,33554
785,10646,9966
796,9987,6928
811,50896,7610
830,50789,43900
838,50896,51716
840,8152,55114
846,43067,43068
847,48522,50867
877,42325,43549
885,50789,2682
895,9966,43405
897,2376,45321
904,50789,51128
908,48522,51272
909,51174,19220
912,9987,48869
915,48518,51050
924,10033,45471
927,19220,42325
936,48523,8285
942,43069,43066
952,9987,7154
957,48519,45926
965,50896,6955
975,2376,19882
987,8150,2376
1003,51246,70613
1024,23051,23056
1041,6950,1666
1048,23051,23057
1053,9987,16458
1056,10033,10243
1066,42127,8285
1086,42127,8284
1094,50794,48523
1104,44237,44262
1111,50794,48522
1112,8152,44281
1120,8152,43170
1135,44237,44260
1158,2376,1776
1168,44237,46483
1188,44237,6519
1195,50789,40008
1198,9987,16192
1224,48522,90068
1246,44237,44255
1274,8150,9987
1279,48522,31325
1285,80090,51246
1292,50789,40012
1296,50896,9628
1315,48519,51241
1316,42981,43523
1323,8152,44238
1324,50896,9719
1330,48522,45807
1333,8152,44237
1344,19220,45936
1346,50794,42127
1349,48518,48584
1374,42221,6935
1378,9987,1775
1388,48523,7162
1397,48523,45806
1400,50896,6950
1402,9987,32940
1405,31399,1932
1410,50789,90046
1431,50789,32879
1441,42221,6979
1446,50789,19222
1454,9987,30029
1508,31323,51174
1521,8152,6807
1526,19220,45937
1533,48518,51240
1534,48523,31324
1542,10941,43067
1546,50789,35466
1574,9987,22402
1576,51246,42176
1580,48522,51781
1596,42127,48660
1603,44237,6081
1609,9611,42060
1631,9987,22406
1640,44237,6082
1644,10033,9743
1654,44237,51186
1658,48522,10647
1659,48523,30308
1660,1932,50730
1668,32268,32269
1685,51174,10562
1691,48518,2684
1694,6950,6979
1695,32268,6417
1696,51174,10563
1709,42127,48145
1715,23051,9966
1717,43066,6916
1719,9987,7049
1735,43067,42981
1762,48523,50866
1785,48522,45597
1788,9987,16044
1790,42127,50678
1792,51246,30162
1802,8150,50896
1807,42325,42326
1818,2376,50900
1823,42325,42327
1824,48519,40013
1827,48523,51271
1835,48518,9893
1849,10033,51597
1850,44237,46950
1856,10033,14070
1858,42127,70663
1860,50789,48519
1869,44237,44249
1872,8152,42440
1894,1932,10799
1895,50789,32844
1902,50789,51239
1908,50789,48518
1915,48519,51051
1920,44237,44248
