,Node_1,Node_2,level
1,10562,45937,L2
3,10627,70302,L2
4,33135,33138,L2
5,65008,42592,L2
6,65007,50789,L2
7,48518,32846,L2
10,44281,6519,L2
11,40008,46620,L2
12,9725,43434,L2
13,31401,1934,L2
14,42221,70482,L2
16,44237,6800,L2
17,45937,42327,L2
21,16044,71763,L2
22,10941,10942,L2
23,10604,51247,L2
24,22402,22403,L2
26,2376,2252,L2
27,48583,48585,L2
28,6950,9611,L2
30,10033,51789,L2
31,48583,50776,L2
33,9056,44282,L2
37,48523,45786,L2
39,6952,6954,L2
40,48583,48584,L2
43,8150,16043,L2
45,30030,30031,L2
46,10627,43122,L2
48,2252,43299,L2
49,10799,10800,L2
55,32879,51270,L2
57,51128,43254,L2
58,30029,30036,L2
61,65007,65009,L2
63,50867,2696,L2
66,9987,6996,L2
68,51240,31652,L2
71,9892,31324,L2
72,50794,10941,L2
77,31323,32268,L2
78,9987,19725,L2
81,9056,9057,L2
84,40012,40013,L2
85,9892,10605,L2
87,44249,16053,L2
91,48869,30154,L2
93,45595,45597,L2
97,8150,16265,L2
99,65007,65008,L2
100,51239,46668,L2
101,42325,1932,L2
102,8150,22414,L2
103,43901,50687,L2
111,44237,6091,L2
112,16192,48193,L2
117,60548,43069,L2
118,45597,10720,L2
120,48519,43901,L2
124,9893,9891,L2
127,70613,10953,L2
130,6725,42430,L2
131,51239,10717,L2
132,6793,6796,L2
133,7154,7267,L2
134,9628,9314,L2
135,1934,50731,L2
137,70482,1666,L2
142,6725,19438,L2
143,40012,40017,L2
144,90046,51090,L2
145,10033,71310,L2
148,8150,23046,L2
149,16192,6897,L2
154,6807,33013,L2
155,9719,9725,L2
161,6979,34599,L2
164,45792,30308,L2
165,90046,90047,L2
167,6954,2526,L2
171,46483,42558,L2
172,48518,48522,L2
174,48519,51129,L2
175,51049,51050,L2
176,2682,2683,L2
179,48523,10639,L2
180,9893,10604,L2
181,43549,45859,L2
182,48522,10638,L2
187,10647,9967,L2
188,35466,70302,L2
189,16044,10324,L2
193,70887,71310,L2
195,6725,19439,L2
196,10035,302,L2
198,51049,51051,L2
205,50789,23051,L2
206,9605,42330,L2
208,6952,42742,L2
216,2682,2685,L2
217,50792,45069,L2
218,43900,43901,L2
219,46483,18130,L2
224,48660,48661,L2
226,1934,33138,L2
231,48519,9892,L2
233,44255,44242,L2
234,19882,19884,L2
235,9987,30030,L2
236,2682,2684,L2
241,50789,44087,L2
243,51130,10770,L2
247,44281,42180,L2
248,9987,51641,L2
249,9058,16051,L2
251,42221,7584,L2
253,44281,19627,L2
254,50789,31341,L2
258,9056,44248,L2
261,16192,16197,L2
262,9892,9890,L2
265,9893,44253,L2
267,16265,8219,L2
270,10033,2237,L2
271,51239,31650,L2
274,1932,33135,L2
276,8152,9058,L2
278,9725,32870,L2
280,10941,60548,L2
282,51186,6732,L2
283,31341,1910,L2
287,48522,8284,L2
288,10033,34097,L2
290,32268,32270,L2
292,30030,48858,L2
295,48522,10942,L2
298,45936,42326,L2
300,48584,50778,L2
301,8150,3,L2
303,65009,50790,L2
305,23056,9967,L2
306,48585,70303,L2
307,45321,2366,L2
308,9058,44249,L2
309,1776,2260,L2
311,70887,34599,L2
313,6950,6986,L2
315,8152,9056,L2
318,51186,6778,L2
323,43170,43412,L2
325,45321,2274,L2
326,50794,30155,L2
328,6629,44255,L2
331,9725,48545,L2
332,43065,8633,L2
334,2684,2699,L2
336,50896,9605,L2
339,6996,16050,L2
340,1776,2262,L2
341,48518,31343,L2
342,9056,16042,L2
345,2684,2696,L2
348,31325,32270,L2
349,9893,31325,L2
350,9607,51707,L2
352,32269,31400,L2
353,48523,60548,L2
354,10627,51896,L2
359,9966,10627,L2
361,60255,51052,L2
365,44087,43254,L2
366,6082,16054,L2
372,43170,9057,L2
373,45859,43405,L2
374,16477,50900,L2
376,35466,42058,L2
377,50789,50794,L2
379,44262,44275,L2
382,50794,51270,L2
384,31400,1933,L2
386,6082,16053,L2
388,35466,10640,L2
389,43170,44260,L2
390,9987,44237,L2
391,16043,6996,L2
396,90068,45840,L2
399,1932,1934,L2
400,43170,9059,L2
409,10646,10647,L2
410,44238,6629,L2
414,50896,42221,L2
415,46483,6014,L2
416,1932,1933,L2
417,50896,9607,L2
419,34097,34612,L2
420,5975,44262,L2
422,48519,2683,L2
426,10646,10648,L2
428,32269,45861,L2
430,6519,6575,L2
431,8284,50679,L2
432,32844,31650,L2
435,32844,45124,L2
436,10647,35468,L2
440,8150,65007,L2
441,51240,1819,L2
445,50794,50865,L2
448,10648,9968,L2
450,44237,6790,L2
452,65008,50878,L2
453,42221,10033,L2
455,50793,51094,L2
456,44262,34637,L2
457,51239,50818,L2
458,48519,48585,L2
461,8284,48146,L2
466,44237,6793,L2
467,50789,50792,L2
468,10648,35467,L2
471,34641,6139,L2
475,34621,34622,L2
476,31399,31401,L2
478,44281,46950,L2
479,51241,50819,L2
480,10556,6417,L2
481,9987,8037,L2
483,50789,50793,L2
484,44248,44242,L2
487,42221,10035,L2
491,8150,16032,L2
492,50793,51960,L2
493,48731,2520,L2
496,44237,34641,L2
497,8150,23052,L2
506,46483,42430,L2
508,51246,51248,L2
511,9058,44283,L2
514,8150,8283,L2
516,51246,51247,L2
519,51716,33554,L2
524,32502,48869,L2
526,44281,6082,L2
527,51239,45765,L2
530,42060,2246,L2
534,10033,9725,L2
535,60255,51246,L2
536,50794,33043,L2
537,44248,42219,L2
539,32270,31401,L2
541,33043,10639,L2
546,48519,48523,L2
552,33043,10638,L2
555,8150,51234,L2
557,8150,40011,L2
563,46483,46700,L2
571,16043,30030,L2
572,48518,51130,L2
573,40013,30336,L2
577,48584,31349,L2
580,45786,7050,L2
582,2237,32496,L2
585,19222,31323,L2
586,65009,10469,L2
587,43067,43069,L2
588,2376,6955,L2
590,44248,42744,L2
591,8150,8152,L2
593,10638,51785,L2
596,9987,34621,L2
599,9607,6986,L2
600,10033,43331,L2
601,42981,43065,L2
605,51246,32268,L2
609,50789,48583,L2
610,51239,51960,L2
612,31324,31327,L2
614,10564,90068,L2
617,50794,10646,L2
618,7610,7626,L2
619,6807,42723,L2
620,51130,45807,L2
627,50794,31344,L2
629,19222,44246,L2
631,51128,90109,L2
636,51094,45597,L2
638,1775,45321,L2
640,48523,10648,L2
641,45597,45621,L2
642,44238,6139,L2
646,44237,42180,L2
648,9605,9991,L2
650,44262,46838,L2
651,42981,43066,L2
653,9987,8219,L2
654,9966,9967,L2
657,9966,10469,L2
659,43067,46668,L2
660,40017,30335,L2
665,9966,9968,L2
670,51050,32388,L2
671,44248,46700,L2
672,51649,32940,L2
675,51128,30100,L2
676,48585,2832,L2
678,32844,32846,L2
683,48522,45785,L2
685,6950,9409,L2
688,50865,50866,L2
689,9611,6954,L2
690,50793,45595,L2
692,42981,43281,L2
697,6950,9408,L2
698,51128,31344,L2
699,9987,51716,L2
700,44237,6725,L2
701,51239,45637,L2
702,60255,10604,L2
703,50865,50867,L2
704,6725,9112,L2
709,48584,32103,L2
710,32268,31399,L2
711,51239,45191,L2
718,48522,45787,L2
719,60255,10605,L2
725,42221,70887,L2
726,44238,19538,L2
727,44262,6020,L2
728,50730,42509,L2
732,48518,40017,L2
733,48869,32989,L2
734,51051,45806,L2
735,6807,42558,L2
736,9987,7155,L2
737,42221,42493,L2
738,40012,50920,L2
739,2520,48534,L2
741,45786,45736,L2
742,44249,44271,L2
743,6519,6520,L2
749,48518,51094,L2
755,45321,46649,L2
756,6950,6952,L2
757,51789,6986,L2
758,2682,45637,L2
760,42326,1933,L2
764,2683,2698,L2
765,2376,2520,L2
770,51050,51222,L2
771,51130,10638,L2
776,60255,10556,L2
779,9056,16052,L2
781,43900,50688,L2
784,6950,33554,L2
785,10646,9966,L2
786,9892,45833,L2
789,44260,44265,L2
791,40008,45926,L2
793,6955,2263,L2
794,50866,2695,L2
796,9987,6928,L2
797,31325,10562,L2
799,2684,2687,L2
801,50794,90109,L2
802,22603,46668,L2
804,2683,2695,L2
808,6800,42743,L2
809,50794,80135,L2
811,50896,7610,L2
816,10942,43068,L2
819,32501,8037,L2
820,44260,44267,L2
828,10605,51248,L2
830,50789,43900,L2
833,8284,48661,L2
836,50794,60627,L2
837,8150,48511,L2
838,50896,51716,L2
840,8152,55114,L2
842,33554,34599,L2
844,50730,50731,L2
846,43067,43068,L2
847,48522,50867,L2
855,16192,6906,L2
859,46483,9112,L2
863,6996,7010,L2
877,42325,43549,L2
878,43068,12502,L2
879,31324,32269,L2
880,10629,16458,L2
884,46483,6220,L2
885,50789,2682,L2
888,50794,51726,L2
889,40008,1558,L2
890,44260,34645,L2
893,52548,43281,L2
894,46903,32940,L2
895,9966,43405,L2
897,2376,45321,L2
900,50900,45123,L2
902,60255,10468,L2
904,50789,51128,L2
905,6725,9072,L2
906,65008,46902,L2
908,48522,51272,L2
909,51174,19220,L2
912,9987,48869,L2
915,48518,51050,L2
917,10639,51494,L2
919,43549,43550,L2
922,44249,19438,L2
924,10033,45471,L2
925,6996,48285,L2
927,19220,42325,L2
928,6996,48284,L2
934,43933,34621,L2
936,48523,8285,L2
937,51239,60688,L2
942,43069,43066,L2
945,6935,60326,L2
952,9987,7154,L2
956,6725,46502,L2
957,48519,45926,L2
959,6996,7005,L2
962,44281,55086,L2
965,50896,6955,L2
968,51641,51649,L2
975,2376,19882,L2
980,44087,90109,L2
987,8150,2376,L2
988,1775,30168,L2
991,9967,10740,L2
993,50794,60341,L2
995,1558,30308,L2
996,19222,60255,L2
999,45787,45931,L2
1001,65008,43114,L2
1003,51246,70613,L2
1005,65009,51098,L2
1011,7155,33627,L2
1015,32879,60341,L2
1024,23051,23056,L2
1028,2252,2443,L2
1030,51272,30335,L2
1031,51128,51129,L2
1032,48583,2831,L2
1037,10035,10038,L2
1041,6950,1666,L2
1048,23051,23057,L2
1051,34621,8154,L2
1053,9987,16458,L2
1056,10033,10243,L2
1060,8150,22610,L2
1061,7155,16337,L2
1066,42127,8285,L2
1073,50794,7165,L2
1077,51050,45807,L2
1082,16044,6944,L2
1086,42127,8284,L2
1089,44248,44270,L2
1092,30162,45861,L2
1094,50794,48523,L2
1097,45597,10744,L2
1099,44249,51188,L2
1100,48585,31348,L2
1102,45787,45840,L2
1104,44237,44262,L2
1108,45926,30308,L2
1111,50794,48522,L2
1112,8152,44281,L2
1120,8152,43170,L2
1122,32879,32880,L2
1126,34641,44270,L2
1134,8150,51179,L2
1135,44237,44260,L2
1138,44262,5996,L2
1144,34641,44271,L2
1145,6810,16192,L2
1147,51128,22604,L2
1149,34641,43603,L2
1154,50794,10522,L2
1158,2376,1776,L2
1161,9266,9409,L2
1167,45597,45639,L2
1168,44237,46483,L2
1169,65009,90046,L2
1172,6928,48870,L2
1173,22402,51439,L2
1176,71310,32870,L2
1178,6954,2544,L2
1179,9266,9408,L2
1180,48584,48520,L2
1184,50794,45454,L2
1185,50794,32886,L2
1188,44237,6519,L2
1189,9058,46148,L2
1190,43549,33673,L2
1195,50789,40008,L2
1198,9987,16192,L2
1200,6091,6096,L2
1202,31325,31328,L2
1204,43405,43406,L2
1205,6996,6997,L2
1210,42440,46148,L2
1213,42592,19725,L2
1214,43331,71359,L2
1215,9607,2237,L2
1220,19725,45454,L2
1221,44249,34645,L2
1222,44260,16070,L2
1224,48522,90068,L2
1226,10608,6417,L2
1229,43549,33674,L2
1231,10638,31340,L2
1240,50794,1558,L2
1241,9968,10741,L2
1246,44237,44255,L2
1248,9719,71495,L2
1250,46483,6163,L2
1258,70663,70665,L2
1262,6955,2252,L2
1264,1775,2263,L2
1265,9893,51173,L2
1270,51248,10955,L2
1273,6954,2246,L2
1274,8150,9987,L2
1276,22402,7050,L2
1279,48522,31325,L2
1280,6955,2250,L2
1285,80090,51246,L2
1290,6807,42430,L2
1291,35466,43405,L2
1292,50789,40012,L2
1294,51716,70887,L2
1296,50896,9628,L2
1297,48872,1776,L2
1305,65009,44092,L2
1307,50794,22604,L2
1312,32940,6887,L2
1314,10468,70613,L2
1315,48519,51241,L2
1316,42981,43523,L2
1320,65009,44093,L2
