,SUID,adjustedPValue_All_genes,description_All_genes,N_All_genes,name,nn_All_genes,nodeFillColor_All_genes,nodeFontSize_All_genes,nodeSize_All_genes,nodeType_All_genes,pValue_All_genes,selected,shared.name,X_All_genes,xx_All_genes,top,names_2,L1,L2
27,1577779,3.2722e-22,response to chemical stimulus,14261,42221,1459,-21.4851603093195,14,23.9165214862028,ellipse,8.7305e-26,false,42221,565,143,top,response to chemical stimulus,L1,L2
297,1578207,2.7814e-19,positive regulation of cellular process,14261,48522,2002,-18.5557435502655,14,25.8456959666402,ellipse,1.4842e-22,false,48522,565,167,top,positive regulation of cellular process,L1,L2
53,1577819,1.6483e-18,response to stress,14261,6950,1768,-17.7829554859536,14,24.6576560118759,ellipse,1.3194e-21,false,6950,565,152,top,response to stress,L1,L2
13,1577758,2.2228e-18,positive regulation of biological process,14261,48518,2205,-17.6531016992332,14,26.4575131106459,ellipse,2.3722e-21,false,48518,565,175,top,positive regulation of biological process,L1,L2
49,1577813,3.6469e-17,immune system process,14261,2376,947,-16.4380769807912,14,20,ellipse,4.8651e-20,false,2376,565,100,top,immune system process,L1,L2
123,1577927,6.7204e-17,cellular process,14261,9987,9335,-16.1726060414491,14,43.1277173056956,ellipse,1.0758e-19,false,9987,565,465,top,cellular process,L1,L2
726,1579051,1.2366e-16,regulation of programmed cell death,14261,43067,859,-15.9077726011579,14,19.2873015219859,ellipse,2.3095e-19,false,43067,565,93,top,regulation of programmed cell death,L1,L2
494,1578568,1.3353e-16,response to stimulus,14261,50896,3622,-15.8744328567768,14,30.9192496674806,ellipse,2.8501e-19,false,50896,565,239,top,response to stimulus,L1,L2
41,1577801,1.541e-16,regulation of cell death,14261,10941,866,-15.8121944441895,14,19.2873015219859,ellipse,4.0078e-19,false,10941,565,93,top,regulation of cell death,L1,L2
733,1579072,1.541e-16,regulation of apoptosis,14261,42981,851,-15.8121944441895,14,19.1833260932509,ellipse,4.1116e-19,false,42981,565,92,top,regulation of apoptosis,L1,L2
