"","cell_type","p_HC_C1","p_HC_C2","p_C1_C2","FDR"
"2","Eosinophils",0.918032548438953,0.892985754099797,0.892985754099797,0.937635041804787
"3","Mast.cells.activated",0.0146735426422569,0.0153372466316761,0.568945015327358,0.796523021458301
"4","Mast.cells.resting",0.761311082139769,0.761311082139769,0.761311082139769,0.937635041804787
"5","Dendritic.cells.activated",0.0912563196977282,0.039568937783172,0.241443009223378,0.563367021521216
"7","Macrophages.M2",0.0416701737474845,0.0204849077747402,0.338396298182289,0.646029296529825
"8","Macrophages.M1",0.0864561997508268,0.316473162673607,0.316473162673607,0.646029296529825
"9","Macrophages.M0",0.798163807991655,0.798163807991655,0.81190265802861,0.937635041804787
"10","Monocytes",0.745973691528913,0.433503129894791,0.433503129894791,0.700274286753125
"11","NK.cells.activated",0.960112207058573,0.960112207058573,0.960112207058573,0.960112207058573
"12","NK.cells.resting",0.598940966968249,0.184828700268413,0.184828700268413,0.55448610080524
"13","T.cells.gamma.delta",0.533423323720363,0.512105623548363,0.512105623548363,0.768158435322545
"14","T.cells.regulatory..Tregs.",0.788978772706299,0.0751360535079174,0.0334184570770173,0.116964599769561
"15","T.cells.follicular.helper",0.89294667423461,0.89294667423461,0.89294667423461,0.937635041804787
"16","T.cells.CD4.memory.activated",0.0321852321336101,0.00111653907933836,0.020697077923467,0.0869277272785613
"17","T.cells.CD4.memory.resting",0.0454261528943932,0.000112217613546822,0.00101723502198172,0.00712064515387201
"18","T.cells.CD4.naive",0.000515237853844586,3.14243653730306e-07,0.000502318523530012,0.00527434449706512
"19","T.cells.CD8",0.00107936202882228,2.90258670215138e-06,4.09171732062542e-05,0.000859260637331338
"20","Plasma.cells",0.391486542808262,0.391486542808262,0.677916179572866,0.889764985689386
"21","B.cells.memory",0.387047331905268,0.35731294067434,0.387047331905268,0.677332830834219
"22","B.cells.naive",0.13975060884339,0.00489968393993134,0.00625569087750628,0.0328423771069079
