"","Gene_name","LFC_HA_AA","FDR_HA_AA"
"A1BG","A1BG",NA,NA
"A1BG-AS1","A1BG-AS1",NA,NA
"A1CF","A1CF",NA,NA
"A2M","A2M",NA,NA
"A2M-AS1","A2M-AS1",NA,NA
"A2ML1","A2ML1",NA,NA
"A2MP1","A2MP1",NA,NA
"A3GALT2","A3GALT2",NA,NA
"A4GALT","A4GALT",NA,NA
"A4GNT","A4GNT",NA,NA
"AA06","AA06",NA,NA
"AAAS","AAAS",NA,NA
"AACS","AACS",NA,NA
"AACSP1","AACSP1",NA,NA
"AADAC","AADAC",NA,NA
"AADACL2","AADACL2",NA,NA
"AADACL3","AADACL3",NA,NA
"AADACL4","AADACL4",NA,NA
"AADACP1","AADACP1",NA,NA
"AADAT","AADAT",NA,NA
"AAGAB","AAGAB",NA,NA
"AAK1","AAK1",NA,NA
"AAMDC","AAMDC",NA,NA
"AAMP","AAMP",NA,NA
"AANAT","AANAT",NA,NA
"AAR2","AAR2",NA,NA
"AARD","AARD",NA,NA
"AARS1","AARS1",NA,NA
"AARS1P1","AARS1P1",NA,NA
"AARS2","AARS2",NA,NA
"AARSD1","AARSD1",NA,NA
"AARSD1P1","AARSD1P1",NA,NA
"AASDH","AASDH",NA,NA
"AASDHPPT","AASDHPPT",NA,NA
"AASS","AASS",NA,NA
"AATBC","AATBC",NA,NA
"AATF","AATF",NA,NA
"AATK","AATK",NA,NA
"ABALON","ABALON",NA,NA
"ABAT","ABAT",NA,NA
"ABCA1","ABCA1",NA,NA
"ABCA10","ABCA10",NA,NA
"ABCA11P","ABCA11P",NA,NA
"ABCA12","ABCA12",NA,NA
"ABCA13","ABCA13",NA,NA
"ABCA17P","ABCA17P",NA,NA
"ABCA2","ABCA2",NA,NA
"ABCA3","ABCA3",NA,NA
"ABCA4","ABCA4",NA,NA
"ABCA5","ABCA5",NA,NA
"ABCA6","ABCA6",NA,NA
"ABCA7","ABCA7",NA,NA
"ABCA8","ABCA8",NA,NA
"ABCA9","ABCA9",NA,NA
"ABCA9-AS1","ABCA9-AS1",NA,NA
"ABCB1","ABCB1",NA,NA
"ABCB10","ABCB10",NA,NA
"ABCB10P3","ABCB10P3",NA,NA
"ABCB10P4","ABCB10P4",NA,NA
"ABCB11","ABCB11",NA,NA
"ABCB4","ABCB4",NA,NA
"ABCB5","ABCB5",NA,NA
"ABCB6","ABCB6",NA,NA
"ABCB7","ABCB7",NA,NA
"ABCB8","ABCB8",NA,NA
"ABCB9","ABCB9",NA,NA
"ABCC1","ABCC1",NA,NA
"ABCC10","ABCC10",NA,NA
"ABCC11","ABCC11",NA,NA
"ABCC12","ABCC12",NA,NA
"ABCC13","ABCC13",NA,NA
"ABCC2","ABCC2",NA,NA
"ABCC3","ABCC3",NA,NA
"ABCC4","ABCC4",NA,NA
"ABCC5","ABCC5",NA,NA
"ABCC5-AS1","ABCC5-AS1",NA,NA
"ABCC6","ABCC6",NA,NA
"ABCC6P1","ABCC6P1",NA,NA
"ABCC6P2","ABCC6P2",NA,NA
"ABCC8","ABCC8",NA,NA
"ABCC9","ABCC9",NA,NA
"ABCD1","ABCD1",NA,NA
"ABCD1P2","ABCD1P2",NA,NA
"ABCD2","ABCD2",NA,NA
"ABCD3","ABCD3",NA,NA
"ABCD4","ABCD4",NA,NA
"ABCE1","ABCE1",NA,NA
"ABCF1","ABCF1",NA,NA
"ABCF2","ABCF2",NA,NA
"ABCF2P1","ABCF2P1",NA,NA
"ABCF2P2","ABCF2P2",NA,NA
"ABCF3","ABCF3",NA,NA
"ABCG1","ABCG1",NA,NA
"ABCG2","ABCG2",NA,NA
"ABCG4","ABCG4",NA,NA
"ABCG5","ABCG5",NA,NA
"ABCG8","ABCG8",NA,NA
"ABHD1","ABHD1",NA,NA
"ABHD10","ABHD10",NA,NA
"ABHD11","ABHD11",NA,NA
"ABHD12","ABHD12",NA,NA
"ABHD12B","ABHD12B",NA,NA
"ABHD13","ABHD13",NA,NA
"ABHD14A","ABHD14A",NA,NA
"ABHD14A-ACY1","ABHD14A-ACY1",NA,NA
"ABHD14B","ABHD14B",NA,NA
"ABHD15","ABHD15",NA,NA
"ABHD16A","ABHD16A",NA,NA
"ABHD16B","ABHD16B",NA,NA
"ABHD17A","ABHD17A",NA,NA
"ABHD17B","ABHD17B",NA,NA
"ABHD17C","ABHD17C",NA,NA
"ABHD18","ABHD18",NA,NA
"ABHD2","ABHD2",NA,NA
"ABHD3","ABHD3",NA,NA
"ABHD4","ABHD4",NA,NA
"ABHD5","ABHD5",NA,NA
"ABHD6","ABHD6",NA,NA
"ABHD8","ABHD8",NA,NA
"ABI1","ABI1",NA,NA
"ABI2","ABI2",NA,NA
"ABI3","ABI3",NA,NA
"ABI3BP","ABI3BP",NA,NA
"ABITRAM","ABITRAM",NA,NA
"ABL1","ABL1",NA,NA
"ABL2","ABL2",NA,NA
"ABLIM1","ABLIM1",NA,NA
"ABLIM2","ABLIM2",NA,NA
"ABLIM3","ABLIM3",NA,NA
"ABO","ABO",NA,NA
"ABR","ABR",NA,NA
"ABRA","ABRA",NA,NA
"ABRACL","ABRACL",NA,NA
"ABRAXAS1","ABRAXAS1",NA,NA
"ABRAXAS2","ABRAXAS2",NA,NA
"ABT1","ABT1",NA,NA
"ABTB1","ABTB1",NA,NA
"ABTB2","ABTB2",NA,NA
"ACAA1","ACAA1",NA,NA
"ACAA2","ACAA2",NA,NA
"ACACA","ACACA",NA,NA
"ACACB","ACACB",NA,NA
"ACAD10","ACAD10",NA,NA
"ACAD11","ACAD11",NA,NA
"ACAD8","ACAD8",NA,NA
"ACAD9","ACAD9",NA,NA
"ACADL","ACADL",NA,NA
"ACADM","ACADM",NA,NA
"ACADS","ACADS",NA,NA
"ACADSB","ACADSB",NA,NA
"ACADVL","ACADVL",NA,NA
"ACAN","ACAN",NA,NA
"ACAP1","ACAP1",NA,NA
"ACAP2","ACAP2",NA,NA
"ACAP3","ACAP3",NA,NA
"ACAT1","ACAT1",NA,NA
"ACAT2","ACAT2",NA,NA
"ACBD3","ACBD3",NA,NA
"ACBD3-AS1","ACBD3-AS1",NA,NA
"ACBD4","ACBD4",NA,NA
"ACBD5","ACBD5",NA,NA
"ACBD6","ACBD6",NA,NA
"ACBD7","ACBD7",NA,NA
"ACCS","ACCS",NA,NA
"ACCSL","ACCSL",NA,NA
"ACD","ACD",NA,NA
"ACE","ACE",NA,NA
"ACE2","ACE2",NA,NA
"ACE3P","ACE3P",NA,NA
"ACER1","ACER1",NA,NA
"ACER2","ACER2",NA,NA
"ACER3","ACER3",NA,NA
"ACHE","ACHE",NA,NA
"ACIN1","ACIN1",NA,NA
"ACKR1","ACKR1",NA,NA
"ACKR2","ACKR2",NA,NA
"ACKR3","ACKR3",NA,NA
"ACKR4","ACKR4",NA,NA
"ACLY","ACLY",NA,NA
"ACMSD","ACMSD",NA,NA
"ACNATP","ACNATP",NA,NA
"ACO1","ACO1",NA,NA
"ACO2","ACO2",NA,NA
"ACOD1","ACOD1",NA,NA
"ACOT1","ACOT1",NA,NA
"ACOT11","ACOT11",NA,NA
"ACOT12","ACOT12",NA,NA
"ACOT13","ACOT13",NA,NA
"ACOT2","ACOT2",NA,NA
"ACOT4","ACOT4",NA,NA
"ACOT6","ACOT6",NA,NA
"ACOT7","ACOT7",NA,NA
"ACOT8","ACOT8",NA,NA
"ACOT9","ACOT9",NA,NA
"ACOX1","ACOX1",NA,NA
"ACOX2","ACOX2",NA,NA
"ACOX3","ACOX3",NA,NA
"ACOXL","ACOXL",NA,NA
"ACOXL-AS1","ACOXL-AS1",NA,NA
"ACP1","ACP1",NA,NA
"ACP2","ACP2",NA,NA
"ACP3","ACP3",NA,NA
"ACP4","ACP4",NA,NA
"ACP5","ACP5",NA,NA
"ACP6","ACP6",NA,NA
"ACP7","ACP7",NA,NA
"ACR","ACR",NA,NA
"ACRBP","ACRBP",NA,NA
"ACRP1","ACRP1",NA,NA
"ACRV1","ACRV1",NA,NA
"ACSBG1","ACSBG1",NA,NA
"ACSBG2","ACSBG2",NA,NA
"ACSF2","ACSF2",NA,NA
"ACSF3","ACSF3",NA,NA
"ACSL1","ACSL1",NA,NA
"ACSL3","ACSL3",NA,NA
"ACSL4","ACSL4",NA,NA
"ACSL5","ACSL5",NA,NA
"ACSL6","ACSL6",NA,NA
"ACSM1","ACSM1",NA,NA
"ACSM2A","ACSM2A",NA,NA
"ACSM2B","ACSM2B",NA,NA
"ACSM3","ACSM3",NA,NA
"ACSM4","ACSM4",NA,NA
"ACSM5","ACSM5",NA,NA
"ACSM6","ACSM6",NA,NA
"ACSS1","ACSS1",NA,NA
"ACSS2","ACSS2",NA,NA
"ACSS3","ACSS3",NA,NA
"ACTA1","ACTA1",NA,NA
"ACTA2","ACTA2",NA,NA
"ACTA2-AS1","ACTA2-AS1",NA,NA
"ACTB","ACTB",NA,NA
"ACTBL2","ACTBL2",NA,NA
"ACTBP1","ACTBP1",NA,NA
"ACTBP12","ACTBP12",NA,NA
"ACTBP14","ACTBP14",NA,NA
"ACTC1","ACTC1",NA,NA
"ACTE1P","ACTE1P",NA,NA
"ACTG1","ACTG1",NA,NA
"ACTG1P12","ACTG1P12",NA,NA
"ACTG1P14","ACTG1P14",NA,NA
"ACTG1P15","ACTG1P15",NA,NA
"ACTG1P16","ACTG1P16",NA,NA
"ACTG1P17","ACTG1P17",NA,NA
"ACTG1P19","ACTG1P19",NA,NA
"ACTG1P21","ACTG1P21",NA,NA
"ACTG1P23","ACTG1P23",NA,NA
"ACTG1P24","ACTG1P24",NA,NA
"ACTG1P25","ACTG1P25",NA,NA
"ACTG2","ACTG2",NA,NA
"ACTL11P","ACTL11P",NA,NA
"ACTL6A","ACTL6A",NA,NA
"ACTL6B","ACTL6B",NA,NA
"ACTL7A","ACTL7A",NA,NA
"ACTL7B","ACTL7B",NA,NA
"ACTL8","ACTL8",NA,NA
"ACTL9","ACTL9",NA,NA
"ACTN1","ACTN1",NA,NA
"ACTN1-DT","ACTN1-DT",NA,NA
"ACTN2","ACTN2",NA,NA
"ACTN3","ACTN3",NA,NA
"ACTN4","ACTN4",NA,NA
"ACTN4P1","ACTN4P1",NA,NA
"ACTP1","ACTP1",NA,NA
"ACTR10","ACTR10",NA,NA
"ACTR1A","ACTR1A",NA,NA
"ACTR1AP1","ACTR1AP1",NA,NA
"ACTR1B","ACTR1B",NA,NA
"ACTR2","ACTR2",NA,NA
"ACTR3","ACTR3",NA,NA
"ACTR3B","ACTR3B",NA,NA
"ACTR3BP2","ACTR3BP2",NA,NA
"ACTR3C","ACTR3C",NA,NA
"ACTR3P2","ACTR3P2",NA,NA
"ACTR5","ACTR5",NA,NA
"ACTR6","ACTR6",NA,NA
"ACTR6P1","ACTR6P1",NA,NA
"ACTR8","ACTR8",NA,NA
"ACTRT1","ACTRT1",NA,NA
