"","log2FoldChange","pvalue"
"MTND1P23",1.99478365049493,1.33530459229839e-18
"KDM5C",0.130296262233656,7.54213510432858e-09
"MTCO1P12",0.8425596698505,1.83109238241409e-08
"IFI27",0.613701611585292,2.128378725745e-07
"RPL3P4",0.399668139166153,1.77188315406311e-07
"LRRN3",-0.457816202391413,3.1231201542034e-07
"AHRR",-0.669372798407348,4.76751332077283e-07
"FCGR3B",0.417564275323248,8.32799544679353e-07
"KDM6A",0.141591133400085,1.93714895590078e-06
"SIPA1L1",0.0911527937245388,4.75989497354325e-06
"CASZ1",0.118574017952639,6.96690841907265e-06
"NAV1",0.121941912085864,7.89911318276122e-06
"RALA",-0.100794288541823,8.70191058546505e-06
"IGLV10-54",-0.589780724709848,1.12020212951838e-05
"MTND2P28",0.775913011391011,1.13019468239123e-05
"CABP4",0.197330202858893,1.29223009971987e-05
"TCEAL8",-0.100979469166059,1.24468630058e-05
"SLC44A1",-0.103383016091665,1.85557129610012e-05
"DIP2A",0.11800320421818,1.59469911449067e-05
"MYO7B",0.226188363577002,1.73211695865013e-05
"C1QB",0.458594497476409,1.83514377335617e-05
"KANSL1-AS1",-0.273561290096375,1.8513841184574e-05
"TXNDC15",-0.101187841671952,2.09694243577827e-05
"LY75-CD302",0.584176194836705,2.18632130132454e-05
"SEC22B",-0.0921807874846847,2.40469641396466e-05
"ZNFX1",0.0651618653044066,2.59149487836959e-05
"RUBCN",0.0518778353056991,2.87658245872324e-05
"IGLV1-44",-0.394533998904477,2.84573357112547e-05
"BAZ2A",0.0615925725288288,3.07908398790834e-05
"CREBBP",0.0679454869743321,4.10614100469667e-05
"SPEN",0.0942047632882701,3.8048962121026e-05
"OSBPL2",0.0462815822781902,3.5717454178753e-05
"POLR2D",-0.0544719088255395,4.10963433407455e-05
"SLX4",0.0951330847563549,3.94793301541654e-05
"CEBPZOS",-0.103662237403234,3.99063314187134e-05
"MRPS30",-0.0885888959228001,4.2466650104537e-05
"HECTD4",0.0888675999758981,4.39197556769553e-05
"CDK16",0.105787384154088,4.68395502929983e-05
"IGKV1-9",-0.373139087398561,4.70258811465818e-05
"CYTH1",0.0517856323686475,4.94025231171961e-05
"HSPA1L",-0.106429109531982,5.21993889328534e-05
"IGLV2-23",-0.344955291179366,5.16812002618645e-05
"TMED2",-0.0732098429471228,7.11250139972961e-05
"SIGLEC1",0.328960787942537,7.65690023375844e-05
"CHD8",0.0532081637607603,7.54749632276942e-05
"C6orf62",-0.0925801048076089,7.37772288881962e-05
"ARID1A",0.0581338986318671,5.84419548821628e-05
"INO80",0.0616078960912618,7.21396369814229e-05
"DMAC1",-0.103337428758914,7.05352481389819e-05
"LPAR6",-0.144032814667455,7.14959921527927e-05
"SLC38A6",-0.0946627716172523,7.04412385930043e-05
"CHAC2",-0.206835152538748,5.53263427272546e-05
"CISD2",-0.104458420636661,6.60131346655602e-05
"COX18",-0.0747972156390774,7.03728905103304e-05
"SEMA6B",-0.555795273307946,5.85124111358001e-05
"UBTD2",-0.101700207072432,7.67772828585743e-05
"NUDCD2",-0.0911237634465401,7.32746817330076e-05
"FANCF",-0.136633109270851,5.53940693200616e-05
"PRKX",0.079125171364022,6.22313405113091e-05
"IGHG4",-0.505133926809962,6.66138217944405e-05
"XIST",2.06036687471825,6.57395178116138e-05
"CNOT1",0.0494850733963201,8.18186111850242e-05
"SIK3",0.0588784991561732,8.16591948038688e-05
"UHRF1BP1",0.10199304075738,9.02109653607534e-05
"SERBP1",-0.0680635242532535,9.09184939413446e-05
