"","baseMean","LFC_2_1","lfcSE","stat","pvalue","FDR_2_1","Ensembl_ID","Gene_name"
"ENSG00000001561",945.774736040029,0.348649116567094,0.0696825699855411,5.00339061316822,5.63306358968042e-07,0.000445462536746826,"ENSG00000001561","ENPP4"
"ENSG00000002587",43.0635391115035,-0.433123143447404,0.128963917729631,-3.35848314065205,0.000783715017727556,0.0352442145820198,"ENSG00000002587","HS3ST1"
"ENSG00000003402",10098.3945749838,0.114501062336284,0.0294991296870833,3.88150645632168,0.000103811395465622,0.0110811415260427,"ENSG00000003402","CFLAR"
"ENSG00000004700",2404.77766432998,0.111166079753299,0.0355713013719493,3.12516201167052,0.00177707156393194,0.0564966828153871,"ENSG00000004700","RECQL"
"ENSG00000004799",802.218042328914,0.690207280390263,0.141352891985367,4.88286635452575,1.04554738166474e-06,0.00057077925204195,"ENSG00000004799","PDK4"
"ENSG00000005379",1685.71109803786,0.257030212239739,0.0845105503451199,3.04139792239066,0.00235482395897002,0.065243418489029,"ENSG00000005379","TSPOAP1"
"ENSG00000005471",131.911467300738,-0.324974552179711,0.116349219766458,-2.79309610182188,0.00522061794908308,0.09918476554861,"ENSG00000005471","ABCB4"
"ENSG00000005844",22449.5274129381,0.142453870712758,0.0451209386668689,3.15715663108219,0.00159315745037033,0.0522134809677973,"ENSG00000005844","ITGAL"
"ENSG00000005884",165.307003148768,-0.181041967771174,0.0604768421287841,-2.99357508425538,0.00275729654832479,0.0705269948445005,"ENSG00000005884","ITGA3"
"ENSG00000006555",321.651792268049,0.195976758341779,0.0570961624693877,3.43239807836214,0.000598268705205944,0.0298782688107884,"ENSG00000006555","TTC22"
"ENSG00000006831",1990.50546057471,0.097797343203225,0.0318617217206718,3.06943058697842,0.00214467237066338,0.0628973644143436,"ENSG00000006831","ADIPOR2"
"ENSG00000007168",3454.01661820758,0.0808340560763687,0.0228452336191591,3.53833352829351,0.000402661093152479,0.0243534586471747,"ENSG00000007168","PAFAH1B1"
"ENSG00000007255",425.041615635111,-0.167376965230498,0.052995345271328,-3.15833332858865,0.00158674013697114,0.0520925151153052,"ENSG00000007255","TRAPPC6A"
"ENSG00000007264",898.236816325339,0.232371647799794,0.079003588052479,2.94127967511347,0.00326859274017021,0.0771024709709039,"ENSG00000007264","MATK"
"ENSG00000007312",2547.05442457535,-0.387092235504964,0.0910051905486527,-4.25351821331574,2.10437813598787e-05,0.00418837010878336,"ENSG00000007312","CD79B"
"ENSG00000007402",688.180663910604,0.414126769282336,0.0942660411076065,4.39317027018884,1.11709566176191e-05,0.00282405506132376,"ENSG00000007402","CACNA2D2"
"ENSG00000008294",2002.78262172707,0.0810863579741404,0.0286268265359388,2.83253045433949,0.00461811668566922,0.09367129035359,"ENSG00000008294","SPAG9"
"ENSG00000008405",660.648020446364,0.130235133668343,0.0452308303086693,2.87934430519135,0.00398503009870998,0.0867099281565225,"ENSG00000008405","CRY1"
