"","x"
"1","CFL1"
"2","PHB"
"3","PLEC"
"4","PPIA"
"5","PFN1"
"6","HSP90AA1"
"7","HSPA5"
"8","RAB7A"
"9","CCT6A"
"10","RAB11B"
"11","CCT5"
"12","BIN2"
"13","GAPDH"
"14","HSPA8"
"15","CAP1"
"16","CCT8"
"17","RAB5C"
"18","P4HB"
"19","CANX"
"20","PRKAR1A"
"21","EIF4A1"
"22","ERP44"
"23","PDIA6"
"24","GLUD1"
"25","ATP5F1A"
"26","RPN1"
"27","HLA-A"
"28","MPO"
"29","HSP90B1"
"30","ESYT1"
"31","ARPC4"
"32","RAB6B"
"33","CBR1"
"34","ATP6V1A"
"35","HSPD1"
"36","PCBP1"
"37","LMAN1"
"38","PGK1"
"39","CCT2"
"40","PDIA4"
"41","GANAB"
"42","NME2"
"43","RAC2"
"44","ACTN4"
"45","CLU"
"46","CAT"
"47","ME2"
"48","TPP2"
"49","LRRC59"
"50","VCP"
"51","HSP90AB1"
"52","PSMC3"
"53","STIP1"
"54","UQCRB"
"55","CCT4"
"56","SMS"
"57","TWF2"
"58","HLA-B"
"59","ATIC"
"60","PHB2"
"61","CAPZA1"
"62","LDHA"
"63","CYFIP1"
"64","ACAA2"
"65","CCT7"
"66","ATP5PO"
"67","UQCRC2"
"68","PARK7"
"69","SARS1"
"70","ACTR1A"
"71","DYNC1H1"
"72","RAP1GAP2"
"73","HNRNPU"
"74","PDIA3"
"75","PKM"
"76","CYC1"
"77","PAICS"
"78","MDH2"
"79","ARHGDIB"
"80","ANXA7"
"81","CISD2"
"82","ACTR2"
"83","ECH1"
"84","CCT3"
"85","UBA1"
"86","CLTC"
"87","PRDX6"
"88","GSN"
"89","PDLIM1"
"90","PACSIN2"
"91","PPP2R1A"
"92","MTHFD1"
"93","NAPA"
"94","CAPNS1"
"95","COX4I1"
"96","TAPBP"
"97","ANXA11"
"98","GBE1"
"99","SPTBN1"
"100","GNAI2"
"101","GPI"
"102","NAP1L4"
"103","HADHB"
"104","DPYSL2"
"105","GDI2"
"106","HLA-C"
"107","EEF1G"
"108","F11R"
"109","NPEPPS"
"110","ARPC3"
"111","UGGT1"
"112","TMX1"
"113","TARS1"
"114","SLC25A24"
"115","ST13"
"116","CAPN1"
"117","PSMC6"
"118","PDCD6IP"
"119","APMAP"
"120","SLC25A3"
"121","PSMA1"
"122","ALDOA"
"123","CORO1A"
"124","IMMT"
"125","DIAPH1"
"126","CES1"
"127","MPP1"
"128","PTPN6"
"129","STOM"
"130","DBNL"
"131","SND1"
"132","IDH1"
"133","EIF3A"
"134","ENO1"
"135","SRI"
"136","NNT"
"137","SLC25A5"
"138","PDCD6"
"139","PRDX3"
"140","HSPB1"
"141","ATP5PD"
"142","PGRMC2"
"143","DLD"
"144","MAPK1"
"145","TMED10"
"146","UNC45A"
"147","C1QBP"
"148","VAPA"
"149","PSMD7"
"150","NDUFB10"
"151","LETM1"
"152","MNDA"
"153","AIFM1"
"154","ARPC5"
"155","ZYX"
"156","SDHB"
"157","RTN4"
"158","ATP5F1B"
"159","CDC37"
"160","ATP1A1"
"161","HK1"
"162","HSPE1"
"163","HSPA9"
"164","SERPINB9"
"165","ITGB2"
"166","ANXA6"
"167","PABPC1"
"168","SH3GLB1"
"169","ITGA6"
"170","ATP6V1B2"
"171","PSMA7"
"172","RAB14"
"173","PACS1"
"174","PLP2"
"175","TMOD3"
"176","ACTR3"
"177","SEPTIN6"
"178","RAB5A"
"179","ACLY"
"180","TCP1"
"181","IMPDH2"
"182","LMAN2"
"183","ITGAM"
"184","CAPZB"
"185","B2M"
"186","PRKCSH"
"187","GSTO1"
"188","CALR"
"189","SPTB"
"190","YWHAH"
"191","ASAP1"
"192","OSTF1"
"193","STXBP3"
"194","TXNL1"
"195","YWHAZ"
"196","VASP"
"197","FLOT2"
"198","EEF2"
"199","TBXAS1"
"200","TOR1AIP1"
"201","WDR44"
"202","MYH9"
"203","XPNPEP1"
"204","KPNB1"
"205","ACADVL"
"206","LASP1"
"207","DCTN2"
"208","CPOX"
"209","PYGL"
"210","CNN2"
"211","RAB5B"
"212","TSPO"
"213","YWHAB"
"214","MDH1"
"215","APP"
"216","ITGB1"
"217","ARPC2"
"218","RGS10"
"219","HADHA"
"220","PNP"
"221","UQCRH"
"222","VDAC3"
"223","RHOA"
"224","DOCK8"
"225","YWHAE"
"226","IQGAP2"
"227","HSD17B4"
"228","TOM1L2"
"229","GSTP1"
"230","MAPK14"
"231","UGP2"
"232","ARF3"
"233","CSK"
"234","UQCRC1"
"235","LMNB1"
"236","ABHD16A"
"237","SLC9A3R1"
"238","RPS2"
"239","STIM1"
"240","SELENOF"
"241","ENDOD1"
"242","ARHGAP45"
"243","SEPTIN7"
"244","DDX3X"
"245","MAGT1"
"246","EHD4"
"247","YARS1"
"248","RALB"
"249","AARS1"
"250","SNX2"
"251","PGLS"
"252","SQOR"
"253","GNB2"
"254","EEF1B2"
"255","DTYMK"
"256","STX7"
"257","CNP"
"258","ELMO1"
"259","ERP29"
"260","PGM1"
"261","RNH1"
"262","DECR1"
"263","AK1"
"264","TXNDC5"
"265","PYGB"
"266","CLTA"
"267","G6PD"
"268","COX6C"
"269","PECAM1"
"270","COTL1"
"271","GRB2"
"272","COPZ1"
"273","HNRNPK"
"274","SLMAP"
"275","VWF"
"276","TRAPPC3"
"277","CAPZA2"
"278","PSMD6"
"279","MSN"
"280","CS"
"281","NEXN"
"282","CD36"
"283","PRKCD"
"284","FYB1"
"285","GNA13"
"286","ITGB5"
"287","QARS1"
"288","CAND1"
"289","APEH"
"290","CKAP4"
"291","ESAM"
"292","RTN2"
"293","PFKL"
"294","SAMHD1"
"295","COX2"
"296","YWHAG"
"297","MVP"
"298","FLOT1"
"299","BID"
"300","ETFB"
"301","MLEC"
"302","RAB2A"
"303","CORO1B"
"304","AP1G1"
"305","XRCC6"
"306","ROCK2"
"307","UTRN"
"308","VDAC2"
"309","PTPRC"
"310","LAP3"
"311","CNPY3"
"312","CALD1"
"313","DDOST"
"314","RPS8"
"315","LYN"
"316","SKAP2"
"317","STK24"
"318","ADSL"
"319","DNM2"
"320","COPA"
"321","ARHGAP6"
"322","NDUFA7"
"323","RAP2B"
"324","HNRNPH1"
"325","TAGLN2"
"326","SDF2L1"
"327","PAK2"
"328","PCMT1"
"329","SEPTIN9"
"330","CMPK1"
"331","TOLLIP"
"332","TPM4"
"333","CUTA"
"334","ALDH16A1"
"335","GNB1"
"336","DNM1L"
"337","MYO18A"
