Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Genes
CUSTOM140071462827776	Adipose_Visceral_Omentum	15/63	0.999716091175975	1.0	0.5534936848708418	FABP4;ADAMTS4;PLXNA4;ADIPOQ;AREG;CPXM1;ADGRG2;NRP1;HBEGF;TIE1;FABP9;PLTP;VEGFC;GPD1;PDGFB
CUSTOM140071462827776	Adrenal_Gland	24/99	0.9999860974294248	1.0	0.5552733728522854	ACP1;BST2;RARRES2;PEBP1;COMT;CTSD;DLK1;GCLM;TPP1;GSTA3;PPIF;CCN3;UROD;RBKS;GNPDA1;AKR1B1;CCDC134;DCTD;GSTA1;TXNRD1;LDLR;TBCA;GRPEL1;FHIT
CUSTOM140071462827776	Artery_Aorta	19/93	0.9999995079024125	1.0	0.4694379179468643	GALNT2;IGFBPL1;TIMP1;PDE5A;PRKG1;SERPINE1;IGFBP7;CDKN1A;MFGE8;CCN2;SPARC;VIM;CCN3;LAMP1;PDGFA;FN1;PPP1R14A;PROS1;SMOC2
CUSTOM140071462827776	Artery_Coronary	5/18	0.94845437945423	1.0	0.6793529668087277	TIMP1;IGFBP7;C1QTNF1;CCL19;FN1
CUSTOM140071462827776	Artery_Tibial	15/86	0.9999999575224285	1.0	0.4030549006939624	ARHGAP1;JAM3;PPP1R14A;ANGPT1;ITGA5;HSPG2;PGF;IGFBPL1;RRAS;PRKG1;IGFBP7;MTHFD2;C1QTNF1;VIM;AKT3
CUSTOM140071462827776	Brain_Caudate_basal_ganglia	1/20	0.9999901078952101	1.0	0.1665630886022698	COCH
CUSTOM140071462827776	Brain_Cerebellar_Hemisphere	12/134	1.0	1.0	0.20501954282001644	MAPK9;MIF;HPCAL1;BRSK2;BDNF;ENO2;PSIP1;LDLRAP1;GP6;CLSTN3;TARBP2;RTN4R
CUSTOM140071462827776	Brain_Cerebellum	12/119	1.0	1.0	0.23199504988989644	TNFRSF6B;AP1G2;MIF;HPCAL1;BRSK2;ENO2;LDLRAP1;GP6;CLSTN3;TARBP2;IDUA;RTN4R
CUSTOM140071462827776	Brain_Cortex	1/42	0.9999999999740505	1.0	0.07973343786750293	NRGN
CUSTOM140071462827776	Brain_Frontal_Cortex_BA9	10/131	1.0	1.0	0.17605628517260377	MAP2K1;MAPK9;VSNL1;CRYBB1;NRGN;SNCA;CACYBP;PPP3R1;PPME1;BAG4
CUSTOM140071462827776	Brain_Hypothalamus	3/24	0.9998148537741447	1.0	0.32525660440854787	OXT;ACHE;CFC1
CUSTOM140071462827776	Brain_Nucleus_accumbens_basal_ganglia	1/31	0.9999999833001785	1.0	0.1079875305669112	COCH
