Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Malaria	7/50	1.4070124285812608E-8	2.9265858514490224E-6	0	0	29.90826873385013	540.7179349541378	SELP;CD40;CXCL8;TGFB1;IL1B;PECAM1;CD36
Lipid and atherosclerosis	10/215	4.6648451251645795E-7	4.097032160568135E-5	0	0	9.142857142857142	133.28494643686176	LYN;SELP;CD40;CXCL8;SRC;AKT2;CASP3;IL1B;CCL5;CD36
Platelet activation	8/124	5.909181000819426E-7	4.097032160568135E-5	0	0	12.741862713503062	182.73855058428617	VASP;LYN;VAMP8;SRC;AKT2;GP6;GP5;PRKG1
AGE-RAGE signaling pathway in diabetic complications	7/100	1.7803660782147685E-6	9.257903606716797E-5	0	0	13.793707686180804	182.6106414280396	TGFB1;CXCL8;AKT2;CASP3;IL1B;SERPINE1;FN1
Cell adhesion molecules	8/148	2.2551965055049794E-6	9.381617462900715E-5	0	0	10.544726301735647	137.1054147955179	SELP;CD40;PECAM1;CD226;ESAM;ITGA6;F11R;VSIR
Epithelial cell signaling in Helicobacter pylori infection	6/70	3.0791293492962446E-6	9.464357516874839E-5	0	0	17.047878440366972	216.35230131547402	LYN;CXCL8;SRC;CASP3;CCL5;F11R
Non-alcoholic fatty liver disease	8/155	3.1851203181790323E-6	9.464357516874839E-5	0	0	10.03903617521775	127.0642866011584	TGFB1;CXCL8;AKT2;CASP3;IL1B;COX5B;SDHB;COX6B1
Yersinia infection	7/137	1.4365669955562573E-5	3.7350741884462687E-4	0	0	9.849358974358974	109.82694403654732	FYB1;CXCL8;SRC;AKT2;IL1B;FN1;SKAP2
Amoebiasis	6/102	2.7240477016271545E-5	5.666019219384481E-4	0	0	11.346903669724771	119.26510958672709	TGFB1;CXCL8;CASP3;IL1B;FN1;HSPB1
Chagas disease	6/102	2.7240477016271545E-5	5.666019219384481E-4	0	0	11.346903669724771	119.26510958672709	TGFB1;CXCL8;AKT2;IL1B;CCL5;SERPINE1
Toxoplasmosis	6/112	4.6196648259082254E-5	8.735366216262826E-4	0	0	10.271248052622468	102.53379481834553	CD40;TGFB1;AKT2;CASP3;PPIF;ITGA6
Chemokine signaling pathway	7/192	1.2316754240904962E-4	0.002134904068423527	0	0	6.901901901901902	62.1306793270717	LYN;CXCL8;SRC;AKT2;CCL5;PPBP;PF4
ECM-receptor interaction	5/88	1.5427199258016486E-4	0.0024683518812826377	0	0	10.84446878422782	95.17966126934587	FN1;ITGA6;CD36;GP6;GP5
Diabetic cardiomyopathy	7/203	1.7379031167041688E-4	0.0025820274876747653	0	0	6.510912698412699	56.369275534744375	TGFB1;AKT2;PPIF;CD36;COX5B;SDHB;COX6B1
Alzheimer disease	9/369	2.833878066842185E-4	0.00392964425268783	0	0	4.6049528301886795	37.6164517365297	APP;AKT2;CASP3;IL1B;PPIF;COX5B;SDHB;COX6B1;SNCA
Human cytomegalovirus infection	7/225	3.254002387721985E-4	0.004043552856572094	0	0	5.847307169554876	46.956534929270106	PDIA3;CXCL8;SRC;AKT2;CASP3;IL1B;CCL5
Toll-like receptor signaling pathway	5/104	3.3669023977300506E-4	0.004043552856572094	0	0	9.084481175390266	72.64266579306957	CD40;CXCL8;AKT2;IL1B;CCL5
Hepatitis B	6/162	3.499228433572005E-4	0.004043552856572094	0	0	6.961538461538462	55.398515978285324	TGFB1;CXCL8;YWHAQ;SRC;AKT2;CASP3
Pathways of neurodegeneration	10/475	4.1870617369818336E-4	0.0045837307436432705	0	0	3.9774705581157193	30.9381228758372	APP;CCS;DCTN2;CASP3;IL1B;PPIF;COX5B;SDHB;COX6B1;SNCA
Pathogenic Escherichia coli infection	6/197	9.785168477911E-4	0.010129611914355996	0	0	5.675776934530957	39.3301404864784	CXCL8;SRC;CASP3;IL1B;NCK2;MYH9
Prion disease	7/273	0.001022701202891711	0.010129611914355996	0	0	4.780458089668616	32.91492591715348	CASP3;IL1B;CCL5;PPIF;COX5B;SDHB;COX6B1
