"","Name","Stat..dist.dir.up.","p.adj..dist.dir.up.","Genes..up.","Stat..dist.dir.dn.","p.adj..dist.dir.dn.","Genes..down.","comp","sign"
"5","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.37471,0.11455,18,0.62529,1,10,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"28","KEGG_PPAR_SIGNALING_PATHWAY",0.43539,0.45484,9,0.56461,1,6,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"31","KEGG_CALCIUM_SIGNALING_PATHWAY",0.42191,0.45412,9,0.57809,1,8,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"36","KEGG_PEROXISOME",0.40941,0.3544,14,0.59059,1,6,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"37","KEGG_APOPTOSIS",0.43312,0.45484,8,0.56688,1,6,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"43","KEGG_FOCAL_ADHESION",0.48527,0.45412,26,0.51473,1,24,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"44","KEGG_ECM_RECEPTOR_INTERACTION",0.25405,0.042957,15,0.74595,1,4,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"46","KEGG_ADHERENS_JUNCTION",0.45624,0.47253,13,0.54376,1,8,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"47","KEGG_TIGHT_JUNCTION",0.42009,0.24056,18,0.57991,1,14,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"48","KEGG_GAP_JUNCTION",0.3898,0.17183,16,0.6102,1,9,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"49","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.31775,0.042957,17,0.68225,1,9,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"53","KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.39538,0.3544,10,0.60462,1,4,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"62","KEGG_LONG_TERM_DEPRESSION",0.42581,0.45412,8,0.57419,1,7,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"66","KEGG_MELANOGENESIS",0.39576,0.45412,7,0.60424,1,5,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"69","KEGG_ALZHEIMERS_DISEASE",0.47857,0.45412,33,0.52143,1,25,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"70","KEGG_PARKINSONS_DISEASE",0.49207,0.45484,28,0.50793,1,24,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"73","KEGG_PRION_DISEASES",0.39745,0.3544,10,0.60255,1,4,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"86","KEGG_VIRAL_MYOCARDITIS",0.42242,0.45412,11,0.57758,1,8,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"6","KEGG_LYSOSOME",0.7069,1,17,0.2931,0.035631,38,"proteomics_spermin_frac_CBoth-CControl","down"
"9","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.60838,1,10,0.39162,0.21379,18,"proteomics_spermin_frac_CBoth-CControl","down"
"13","KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.56475,1,13,0.43525,0.35631,17,"proteomics_spermin_frac_CBoth-CControl","down"
"281","KEGG_GLUTATHIONE_METABOLISM",0.61229,1,7,0.38771,0.35631,14,"proteomics_spermin_frac_CBoth-CControl","down"
"35","KEGG_RIBOSOME",0.96568,1,1,0.034321,0.035631,65,"proteomics_spermin_frac_CBoth-CControl","down"
"361","KEGG_SPLICEOSOME",0.79765,1,7,0.20235,0.035631,27,"proteomics_spermin_frac_CBoth-CControl","down"
"371","KEGG_PROTEASOME",0.67713,1,10,0.32287,0.053447,22,"proteomics_spermin_frac_CBoth-CControl","down"
"92","KEGG_VIBRIO_CHOLERAE_INFECTION",0.57779,1,9,0.42221,0.47033,12,"proteomics_spermin_frac_CBoth-CControl","down"
"94","KEGG_LEISHMANIA_INFECTION",0.60593,1,9,0.39407,0.35631,15,"proteomics_spermin_frac_CBoth-CControl","down"
"101","KEGG_PROSTATE_CANCER",0.61283,1,7,0.38717,0.35631,10,"proteomics_spermin_frac_CBoth-CControl","down"
"2","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.17393,0.086337,11,0.82607,1,1,"proteomics_spermin_frac_CBoth-CControl","up"
"510","KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",0.31315,0.45608,9,0.68685,1,4,"proteomics_spermin_frac_CBoth-CControl","up"
"7","KEGG_CARDIAC_MUSCLE_CONTRACTION",0.064272,0.0097176,21,0.93573,1,1,"proteomics_spermin_frac_CBoth-CControl","up"
"8","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.23699,0.050303,26,0.76301,1,8,"proteomics_spermin_frac_CBoth-CControl","up"
"10","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.109,0.0097176,17,0.891,1,2,"proteomics_spermin_frac_CBoth-CControl","up"
"111","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.14334,0.046766,12,0.85666,1,2,"proteomics_spermin_frac_CBoth-CControl","up"
"12","KEGG_DILATED_CARDIOMYOPATHY",0.098097,0.0097176,19,0.9019,1,2,"proteomics_spermin_frac_CBoth-CControl","up"
"19","KEGG_OXIDATIVE_PHOSPHORYLATION",0.18693,0.0097176,57,0.81307,1,12,"proteomics_spermin_frac_CBoth-CControl","up"
"20","KEGG_PURINE_METABOLISM",0.24792,0.086337,21,0.75208,1,6,"proteomics_spermin_frac_CBoth-CControl","up"
"21","KEGG_PYRIMIDINE_METABOLISM",0.26758,0.18528,15,0.73242,1,4,"proteomics_spermin_frac_CBoth-CControl","up"
"22","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.3082,0.45608,7,0.6918,1,3,"proteomics_spermin_frac_CBoth-CControl","up"
"24","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0.32346,0.37694,17,0.67654,1,8,"proteomics_spermin_frac_CBoth-CControl","up"
"29","KEGG_STARCH_AND_SUCROSE_METABOLISM",0.32653,0.49808,8,0.67347,1,5,"proteomics_spermin_frac_CBoth-CControl","up"
