Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)
KEGG_CARDIAC_MUSCLE_CONTRACTION	10	4.6667e-21	0.27073	0.38472	1	1	1	9.3334e-21	0.25175	0.37762	10	9.3334e-21	0.25974	0.3691	0
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	21	3.3749e-21	0.076923	0.17308	1	1	1	6.7499e-21	0.067932	0.15285	21	6.7499e-21	0.070929	0.15959	0
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	41	1.4121e-19	0.16084	0.33405	1	1	1	2.8241e-19	0.16683	0.3465	41	2.8241e-19	0.14885	0.28052	0
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	12	3.8713e-21	0.2038	0.35908	1	1	1	7.7426e-21	0.1958	0.34728	12	7.7426e-21	0.15584	0.28052	0
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	10	1.6295e-24	0.000999	0.013487	1	1	1	3.259e-24	0.000999	0.008991	10	3.259e-24	0.000999	0.008991	0
KEGG_DILATED_CARDIOMYOPATHY	12	3.8713e-21	0.2038	0.35908	1	1	1	7.7426e-21	0.1958	0.34728	12	7.7426e-21	0.15584	0.28052	0
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	15	1.4465e-22	0.012987	0.058442	1	1	1	2.8929e-22	0.008991	0.048551	15	2.8929e-22	0.00999	0.044955	0
KEGG_OXIDATIVE_PHOSPHORYLATION	10	3.789e-21	0.25075	0.38472	1	1	1	7.578e-21	0.22977	0.36493	10	7.578e-21	0.23776	0.3691	0
KEGG_MAPK_SIGNALING_PATHWAY	16	1.3829e-23	0.000999	0.013487	1	1	1	2.7658e-23	0.000999	0.008991	16	2.7658e-23	0.000999	0.008991	0
KEGG_CHEMOKINE_SIGNALING_PATHWAY	15	6.0038e-20	0.42557	0.53088	1	1	1	1.2008e-19	0.41059	0.50391	15	1.2008e-19	0.41259	0.53047	0
KEGG_ENDOCYTOSIS	20	8.7231e-18	0.76523	0.83816	1	1	1	1.7446e-17	0.79021	0.85343	20	1.7446e-17	0.73926	0.82645	0
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	10	3.7115e-18	0.77722	0.83816	1	1	1	7.423e-18	0.77423	0.85343	10	7.423e-18	0.76523	0.82645	0
KEGG_FOCAL_ADHESION	34	4.7821e-22	0.002997	0.026973	1	1	1	9.5642e-22	0.000999	0.008991	34	9.5642e-22	0.000999	0.008991	0
KEGG_ECM_RECEPTOR_INTERACTION	12	2.6706e-22	0.044955	0.13241	1	1	1	5.3413e-22	0.037962	0.11389	12	5.3413e-22	0.026973	0.086913	0
KEGG_ADHERENS_JUNCTION	14	7.3376e-20	0.43257	0.53088	1	1	1	1.4675e-19	0.40859	0.50391	14	1.4675e-19	0.44755	0.54927	0
KEGG_TIGHT_JUNCTION	18	5.9989e-20	0.35265	0.47607	1	1	1	1.1998e-19	0.33367	0.45045	18	1.1998e-19	0.35864	0.48417	0
KEGG_GAP_JUNCTION	13	8.0585e-20	0.48252	0.56643	1	1	1	1.6117e-19	0.47752	0.56057	13	1.6117e-19	0.49251	0.57816	0
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	14	1.2461e-17	0.81019	0.83816	1	1	1	2.4921e-17	0.83017	0.85914	14	2.4921e-17	0.84615	0.84615	0
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	12	4.1113e-21	0.21279	0.35908	1	1	1	8.2226e-21	0.20579	0.34728	12	8.2226e-21	0.16683	0.28153	0
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	21	5.6417e-22	0.00999	0.053946	1	1	1	1.1283e-21	0.010989	0.049451	21	1.1283e-21	0.007992	0.043157	0
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	12	8.6574e-21	0.25774	0.38472	1	1	1	1.7315e-20	0.27273	0.38756	12	1.7315e-20	0.24775	0.3691	0
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	33	6.1137e-21	0.046953	0.13241	1	1	1	1.2227e-20	0.025974	0.10019	33	1.2227e-20	0.038961	0.10519	0
KEGG_ALZHEIMERS_DISEASE	17	5.3334e-22	0.028971	0.11175	1	1	1	1.0667e-21	0.032967	0.11126	17	1.0667e-21	0.017982	0.069359	0
KEGG_PARKINSONS_DISEASE	13	5.3186e-22	0.04995	0.13241	1	1	1	1.0637e-21	0.043956	0.11525	13	1.0637e-21	0.062937	0.15448	0
KEGG_HUNTINGTONS_DISEASE	15	1.1029e-22	0.00999	0.053946	1	1	1	2.2057e-22	0.005994	0.04046	15	2.2057e-22	0.007992	0.043157	0
KEGG_PATHWAYS_IN_CANCER	12	3.0487e-22	0.053946	0.13241	1	1	1	6.0973e-22	0.046953	0.11525	12	6.0973e-22	0.028971	0.086913	0
KEGG_VIRAL_MYOCARDITIS	12	1.4537e-17	0.83816	0.83816	1	1	1	2.9075e-17	0.85914	0.85914	12	2.9075e-17	0.83217	0.84615	0
