"","Name","Stat..dist.dir.up.","p.adj..dist.dir.up.","Genes..up.","Stat..dist.dir.dn.","p.adj..dist.dir.dn.","Genes..down.","comp","sign"
"35","KEGG_RIBOSOME",0.85311,1,2,0.14689,0.053447,64,"proteomics_norm_spermin_frac_CBoth-CControl","down"
"36","KEGG_SPLICEOSOME",0.83063,1,3,0.16937,0.053447,31,"proteomics_norm_spermin_frac_CBoth-CControl","down"
"58","KEGG_ECM_RECEPTOR_INTERACTION",0.39008,0.053447,15,0.60992,1,8,"proteomics_norm_spermin_frac_CBoth-CControl","up"
"63","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.35294,0.053447,17,0.64706,1,8,"proteomics_norm_spermin_frac_CBoth-CControl","up"
"351","KEGG_RIBOSOME",0.99852,1,0,0.0014778,0.053447,66,"proteomics_norm_spermin_frac_CSpermine-CControl","down"
"361","KEGG_SPLICEOSOME",0.93949,1,2,0.060511,0.053447,32,"proteomics_norm_spermin_frac_CSpermine-CControl","down"
"8","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.46883,0.016445,19,0.53117,1,15,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"10","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.27077,0.013362,14,0.72923,1,5,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"111","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.24774,0.013362,11,0.75226,1,3,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"121","KEGG_DILATED_CARDIOMYOPATHY",0.26154,0.013362,16,0.73846,1,5,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"29","KEGG_STARCH_AND_SUCROSE_METABOLISM",0.38538,0.030541,8,0.61462,1,5,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"41","KEGG_CALCIUM_SIGNALING_PATHWAY",0.48387,0.037727,14,0.51613,1,13,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"42","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.2968,0.016445,8,0.7032,1,3,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"52","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.49513,0.016445,16,0.50487,1,15,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"57","KEGG_FOCAL_ADHESION",0.39315,0.013362,37,0.60685,1,23,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"581","KEGG_ECM_RECEPTOR_INTERACTION",0.18912,0.013362,19,0.81088,1,4,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"59","KEGG_CELL_ADHESION_MOLECULES_CAMS",0.50249,0.071262,12,0.49751,1,11,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"61","KEGG_TIGHT_JUNCTION",0.44534,0.013362,21,0.55466,1,19,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"62","KEGG_GAP_JUNCTION",0.51936,0.037727,15,0.48064,1,17,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"631","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.35097,0.013362,16,0.64903,1,9,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"69","KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.44639,0.016445,12,0.55361,1,9,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"75","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.51827,0.016445,20,0.48173,1,20,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"79","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.48865,0.013362,39,0.51135,1,34,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"105","KEGG_SMALL_CELL_LUNG_CANCER",0.42327,0.037727,8,0.57673,1,7,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"107","KEGG_VIRAL_MYOCARDITIS",0.52589,0.095641,12,0.47411,1,15,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"352","KEGG_RIBOSOME",0.85164,1,4,0.14836,0.053447,62,"proteomics_spermin_frac_CBoth-CControl","down"
"362","KEGG_SPLICEOSOME",0.82533,1,3,0.17467,0.053447,31,"proteomics_spermin_frac_CBoth-CControl","down"
"6","KEGG_LYSOSOME",0.46521,0.071262,36,0.53479,1,19,"proteomics_spermin_frac_CBoth-CControl","up"
"582","KEGG_ECM_RECEPTOR_INTERACTION",0.36056,0.071262,15,0.63944,1,8,"proteomics_spermin_frac_CBoth-CControl","up"
"632","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.33344,0.071262,18,0.66656,1,7,"proteomics_spermin_frac_CBoth-CControl","up"
"353","KEGG_RIBOSOME",0.9957,1,0,0.0042994,0.053447,66,"proteomics_spermin_frac_CSpermine-CControl","down"
"363","KEGG_SPLICEOSOME",0.93344,1,2,0.06656,0.053447,32,"proteomics_spermin_frac_CSpermine-CControl","down"
"81","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.46237,0.019435,19,0.53763,1,15,"proteomics_spermin_frac_CSpermine-CControl","up"
"101","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.26683,0.011877,14,0.73317,1,5,"proteomics_spermin_frac_CSpermine-CControl","up"
"112","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.24312,0.011877,11,0.75688,1,3,"proteomics_spermin_frac_CSpermine-CControl","up"
"122","KEGG_DILATED_CARDIOMYOPATHY",0.25945,0.011877,16,0.74055,1,5,"proteomics_spermin_frac_CSpermine-CControl","up"
"291","KEGG_STARCH_AND_SUCROSE_METABOLISM",0.39649,0.022906,8,0.60351,1,5,"proteomics_spermin_frac_CSpermine-CControl","up"
"411","KEGG_CALCIUM_SIGNALING_PATHWAY",0.48908,0.046766,14,0.51092,1,13,"proteomics_spermin_frac_CSpermine-CControl","up"
"421","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.31262,0.011877,8,0.68738,1,3,"proteomics_spermin_frac_CSpermine-CControl","up"
"521","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.49503,0.035631,16,0.50497,1,15,"proteomics_spermin_frac_CSpermine-CControl","up"
"571","KEGG_FOCAL_ADHESION",0.39011,0.011877,37,0.60989,1,23,"proteomics_spermin_frac_CSpermine-CControl","up"
"583","KEGG_ECM_RECEPTOR_INTERACTION",0.17966,0.011877,19,0.82034,1,4,"proteomics_spermin_frac_CSpermine-CControl","up"
"611","KEGG_TIGHT_JUNCTION",0.45243,0.011877,21,0.54757,1,19,"proteomics_spermin_frac_CSpermine-CControl","up"
"621","KEGG_GAP_JUNCTION",0.52324,0.062878,15,0.47676,1,17,"proteomics_spermin_frac_CSpermine-CControl","up"
"633","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.35224,0.011877,16,0.64776,1,9,"proteomics_spermin_frac_CSpermine-CControl","up"
"691","KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.44499,0.022906,12,0.55501,1,9,"proteomics_spermin_frac_CSpermine-CControl","up"
