Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Prion disease	101/273	7.941214092945218E-52	2.3982466560694558E-49	0	0	9.54741703798653	1123.3716078353889	NDUFA13;NCF2;NCF4;NDUFC2-KCTD14;PSMD6;PSMD7;PSMD2;KIF5B;PSMD3;TUBB1;PRKACA;CSNK2A1;PRKCD;CYBB;CYBA;SDHA;SDHB;TUBA4A;COX6B1;CSNK2B;UQCRC1;VDAC3;PPIF;VDAC2;VDAC1;UQCRC2;PSMD12;PSMD11;NDUFB10;PSMD14;UQCRB;NDUFB11;UQCRH;ATP5MC1;STIP1;COX2;CYC1;NDUFV2;NDUFV1;HSPA8;HSPA5;EIF2S1;UQCRQ;MCU;TUBA8;COX4I1;COX7C;PPP3CA;TUBA1C;TUBA1A;CASP3;RAC2;RAC1;TUBB;PSMA5;PSMA6;TUBB2B;NDUFS8;PSMA1;PSMA2;NDUFS6;NDUFS3;NDUFS1;SLC25A5;C1QA;NDUFB9;NDUFB4;NDUFB1;COX5B;COX5A;PSMA7;ATP5F1A;ATP5F1B;CCL5;MAPK1;FYN;MAPK3;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA5;ATP5PB;NDUFA2;ATP5F1C;COX6C;TUBB4B;MAPK14;ATP5F1D;TUBB4A;SOD1;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;NDUFAB1;PSMC2;ATP5PO;BAX;HSPA1A
Parkinson disease	90/249	2.9728178745883043E-45	4.488954990628339E-43	0	0	9.121840358392467	935.2332744815208	NDUFA13;COX4I1;PARK7;COX7C;NDUFC2-KCTD14;TUBA1C;PSMD6;PSMD7;TUBA1A;PSMD2;KIF5B;CASP3;PSMD3;TUBB1;PRKACA;TUBB;SDHA;SDHB;TUBA4A;COX6B1;PSMA5;PSMA6;TUBB2B;NDUFS8;PSMA1;PSMA2;NDUFS6;UQCRC1;VDAC3;PPIF;NDUFS3;VDAC2;VDAC1;NDUFS1;UQCRC2;SLC25A5;UBA52;NDUFB9;PSMD12;PSMD11;MAOB;NDUFB10;PSMD14;UBA7;UQCRB;NDUFB11;NDUFB4;NDUFB1;TXN;COX5B;COX5A;PSMA7;UQCRH;GNAI2;ATP5MC1;ATP5F1A;ATP5F1B;COX2;CYC1;NDUFV2;NDUFV1;SNCA;ATP5PF;NDUFA8;NDUFA7;ATP5PD;HSPA5;NDUFA5;ATP5PB;NDUFA2;ATP5F1C;COX6C;TUBB4B;ATP5F1D;TUBB4A;EIF2S1;PSMC5;PSMC6;PSMC3;PSMC4;UQCRQ;PSMC1;NDUFAB1;PSMC2;ATP5PO;BAX;UBA1;CALM1;MCU;TUBA8
Pathways of neurodegeneration	118/475	3.6466338602366253E-40	3.670944752638203E-38	0	0	5.400943325820559	490.4574987615663	APP;NDUFA13;PARK7;NDUFC2-KCTD14;PSMD6;PSMD7;PSMD2;KIF5B;PSMD3;TUBB1;CAPN1;MAP2K2;CSNK2A1;PRKCB;CYBB;PRKCA;SDHA;SDHB;TUBA4A;COX6B1;CSNK2B;UQCRC1;VDAC3;PPIF;VDAC2;VDAC1;UQCRC2;UBA52;PSMD12;VCP;PSMD11;UQCRB;NDUFB10;PSMD14;UBA7;NDUFB11;UQCRH;ATP5MC1;COX2;CYC1;NDUFV2;NDUFV1;HSPA5;EIF2S1;NFKB1;UQCRQ;GNAQ;UBA1;CALM1;RAB5A;MCU;TUBA8;COX4I1;ATP2A3;ATP2A2;COX7C;TUBA1C;PPP3CA;ACTR1A;TUBA1A;CASP3;RAC1;RAB8A;GPX1;TUBB;PSMA5;PSMA6;TUBB2B;NDUFS8;PSMA1;PSMA2;NDUFS6;CAT;NDUFS3;NDUFS1;SLC25A5;NDUFB9;RAB1A;DCTN2;DCTN1;NDUFB4;NDUFB1;DNAH9;COX5B;HSD17B10;COX5A;PSMA7;ATP5F1A;ATP5F1B;MAPK1;BID;MAPK3;SNCA;NDUFA8;ATP5PF;NDUFA7;ATP5PD;NDUFA5;ATP5PB;NDUFA2;TUBB4B;ATP5F1C;COX6C;MAPK14;TUBB4A;ATP5F1D;SOD1;PSMC5;CCS;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;NDUFAB1;ATP5PO;BAX;KRAS
Amyotrophic lateral sclerosis	102/364	9.265387250513402E-40	6.995367374137619E-38	0	0	6.304688439994118	566.6472272765537	NDUFA13;NDUFC2-KCTD14;PSMD6;PSMD7;PSMD2;KIF5B;PSMD3;TUBB1;ANXA11;SDHA;SDHB;TUBA4A;COX6B1;UQCRC1;SRSF3;VDAC1;UQCRC2;PFN1;SRSF7;PSMD12;VCP;PSMD11;NDUFB10;PSMD14;UQCRB;NDUFB11;UQCRH;ATP5MC1;COX2;CYC1;NDUFV2;NDUFV1;HSPA5;EIF2S1;UQCRQ;RAB5A;MCU;TUBA8;COX4I1;COX7C;PPP3CA;TUBA1C;ACTR1A;TUBA1A;CASP3;CASP1;ANXA7;RAC1;RAB8A;GPX1;TUBB;PSMA5;PSMA6;TUBB2B;NDUFS8;PSMA1;PSMA2;NDUFS6;CAT;NDUFS3;NDUFS1;NDUFB9;RAB1A;DCTN2;DCTN1;NDUFB4;NDUFB1;DNAH9;COX5B;COX5A;PSMA7;ATP5F1A;ATP5F1B;UBQLN1;BID;HNRNPA1;ATP5PF;NDUFA8;HNRNPA3;NDUFA7;ATP5PD;NDUFA5;ATP5PB;NDUFA2;ATP5F1C;COX6C;TUBB4B;MAPK14;ATP5F1D;TUBB4A;SOD1;PSMC5;CCS;PSMC6;PSMC3;PSMC4;PSMC1;HNRNPA2B1;NDUFAB1;PSMC2;ATP5PO;BAX
Huntington disease	91/306	8.027702521838734E-38	4.848732323190595E-36	0	0	6.806232477460215	581.3566282296371	NDUFA13;COX4I1;CLTC;CLTB;CLTA;AP2A1;COX7C;NDUFC2-KCTD14;TUBA1C;PSMD6;ACTR1A;PSMD7;TUBA1A;PSMD2;KIF5B;CASP3;PSMD3;TUBB1;GPX1;TUBB;SDHA;SDHB;TUBA4A;COX6B1;PSMA5;PSMA6;TUBB2B;NDUFS8;PSMA1;PSMA2;NDUFS6;UQCRC1;VDAC3;PPIF;NDUFS3;TFAM;VDAC2;VDAC1;NDUFS1;UQCRC2;SLC25A5;NDUFB9;PSMD12;PSMD11;NDUFB10;PSMD14;UQCRB;DCTN2;NDUFB11;DCTN1;HDAC1;NDUFB4;NDUFB1;DNAH9;COX5B;COX5A;PSMA7;UQCRH;ATP5MC1;ATP5F1A;ATP5F1B;COX2;CYC1;NDUFV2;NDUFV1;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA5;ATP5PB;NDUFA2;ATP5F1C;COX6C;TUBB4B;SOD2;ATP5F1D;TUBB4A;SOD1;PSMC5;PSMC6;PSMC3;PSMC4;UQCRQ;PSMC1;GNAQ;NDUFAB1;PSMC2;ATP5PO;BAX;TUBA8
Alzheimer disease	99/369	7.913892765099761E-37	3.983326025100213E-35	0	0	5.919825327510917	492.0974895907627	APP;NDUFA13;NDUFC2-KCTD14;PSMD6;PSMD7;PSMD2;KIF5B;PSMD3;TUBB1;CAPN1;MAP2K2;CSNK2A1;CYBB;SDHA;SDHB;TUBA4A;COX6B1;CSNK2B;UQCRC1;VDAC3;PPIF;VDAC2;VDAC1;UQCRC2;PSMD12;PSMD11;NDUFB10;PSMD14;UQCRB;NDUFB11;RTN4;UQCRH;ATP5MC1;COX2;APOE;CYC1;NDUFV2;NDUFV1;EIF2S1;NFKB1;UQCRQ;GNAQ;CALM1;MCU;TUBA8;COX4I1;ATP2A3;ATP2A2;COX7C;PPP3CA;TUBA1C;TUBA1A;CASP3;TUBB;PSMA5;PSMA6;TUBB2B;NDUFS8;PSMA1;PSMA2;NDUFS6;NDUFS3;NDUFS1;SLC25A5;GAPDH;NDUFB9;NDUFB4;NDUFB1;COX5B;COX5A;HSD17B10;PSMA7;ATP5F1A;ATP5F1B;MAPK1;BID;MAPK3;SNCA;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA5;ATP5PB;NDUFA2;ATP5F1C;COX6C;TUBB4B;ATP5F1D;TUBB4A;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;NDUFAB1;PSMC2;ATP5PO;KRAS
Diabetic cardiomyopathy	69/203	5.94883204456708E-33	2.566496110656083E-31	0	0	8.160800254048905	605.5486239560245	NDUFA13;NCF2;COX4I1;NCF4;ATP2A3;ATP2A2;COX7C;NDUFC2-KCTD14;RAC2;CD36;RAC1;CTSD;G6PD;PRKCB;PRKCD;CYBB;PRKCA;CYBA;SDHA;CPT1B;SDHB;COX6B1;NDUFS8;NDUFS6;UQCRC1;VDAC3;PPIF;NDUFS3;VDAC2;VDAC1;NDUFS1;UQCRC2;SLC25A5;GAPDH;NDUFB9;NDUFB10;UQCRB;NDUFB11;NDUFB4;NDUFB1;PDHB;COX5B;COX5A;UQCRH;ATP5MC1;ATP5F1A;ATP5F1B;COX2;CYC1;NDUFV2;NDUFV1;ATP5PF;NDUFA8;NDUFA7;ATP5PD;TGFB1;NDUFA5;ATP5PB;GSR;NDUFA2;ATP5F1C;COX6C;MAPK14;ATP5F1D;NFKB1;PPP1CA;UQCRQ;NDUFAB1;ATP5PO
Pathogenic Escherichia coli infection	64/197	2.3862538571535697E-29	9.008108310754725E-28	0	0	7.594443736459794	500.5136597824549	ITGB1;CYFIP1;NCKAP1;WIPF1;ARPC1B;ARPC5L;BRK1;TUBA1C;TUBA1A;CASP3;TUBB1;CASP1;NCK2;RAC1;ACTR3;ACTR2;TUBB;F2;RHOA;TUBA4A;TUBB2B;CTTN;NCL;HCLS1;MYH9;ARHGEF2;EZR;GAPDH;RAB1A;TMED10;ROCK1;ROCK2;SRC;CDC42;GNA13;SLC9A3R1;CYTH2;RPS3;MYH14;MAPK1;NCKAP1L;MYH11;FYN;PAK2;MYH10;WASF2;MAPK3;ARPC4;PTPN11;ARPC5;TUBB4B;MAPK14;TUBB4A;NFKB1;FCGR2A;ARPC2;ARPC3;ABI1;BAX;PTPN6;SEC24C;MYO1F;TUBA8;MYO1G
Platelet activation	50/124	3.251303014520679E-28	1.090992789316939E-26	0	0	10.57200416496899	669.1373141246007	ITGB1;ITGB3;ITGA2B;SNAP23;MYLK;PRKACA;PRKG1;FGB;FGA;FCER1G;PPP1R12A;SYK;VWF;GP1BB;ITGA2;FGG;GP1BA;F2;RHOA;VAMP8;STIM1;BTK;LCP2;TLN2;TLN1;ROCK1;ROCK2;SRC;RASGRP2;MYL12A;ADCY6;GNAI2;PTGS1;RAP1B;GNA13;PLCG2;MAPK1;FYN;MAPK3;LYN;VASP;GP6;MAPK14;GP5;PPP1CA;GP9;FCGR2A;GNAQ;TBXAS1;FERMT3
Oxidative phosphorylation	51/133	1.617974081132465E-27	4.8862817250200444E-26	0	0	9.735387320344286	600.562635354152	NDUFA13;COX4I1;NDUFC2-KCTD14;COX7C;ATP6V1E1;SDHA;SDHB;COX6B1;NDUFS8;PPA2;PPA1;NDUFS6;UQCRC1;ATP6V1B2;NDUFS3;NDUFS1;UQCRC2;ATP6V1A;NDUFB9;NDUFB10;UQCRB;NDUFB11;NDUFB4;NDUFB1;COX5B;COX5A;UQCRH;ATP5MC1;ATP5F1A;ATP5F1B;ATP6V1H;COX2;CYC1;NDUFV2;NDUFV1;ATP6V1C1;ATP5ME;ATP6V0A1;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA5;ATP5PB;NDUFA2;ATP5F1C;COX6C;ATP5F1D;UQCRQ;NDUFAB1;ATP5PO
