Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Coronavirus disease	69/232	3.410430266761482E-36	1.0163082194949217E-33	0	0	9.085833798103737	742.0057462374301	RPL4;RPL3;CXCL8;RPL32;RPL34;RPLP1;RPLP0;F13A1;RPL8;RPL10A;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS19;RPS18;RPL36;RPL35;RPLP2;RPS10;RPS13;FGB;FGA;RPS9;RPL21;VWF;RPS8;RPS5;RPS6;FGG;CYBB;RPL13A;PRKCA;RPSA;RPS3A;IL1B;TRAF6;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;C5AR1;PLCG2;RPS3;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;MAPK3;STAT1;RPL35A;RPL23A;MAPK14;RPS26;SELP;RPS25;RPS28;RPS29;RPL27A;RPS20;RPS23
Ribosome	53/158	5.892206970485109E-31	8.779388386022813E-29	0	0	10.673235544217688	742.9266473691515	RPL4;RPL3;RPL32;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS19;RPS18;RPL36;RPL35;RPLP2;RPS10;RPS13;RPS9;RPL21;RPS8;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS3;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS29;RPL27A;RPS20;RPS23
Prion disease	68/273	1.913032096639198E-30	1.9002785493282698E-28	0	0	7.09575039450735	485.55413390804534	NDUFA13;NCF2;NCF4;TUBA1C;TUBB6;TUBA1A;PSMD4;CASP3;TUBB1;RAC1;PRKACA;PRKACB;TUBB;PRKCD;CYBB;CYBA;SDHA;SDHB;TUBA4A;COX6B1;NDUFS8;PSMA1;IL1B;VDAC3;PPIF;NDUFS1;UQCRC2;SLC25A5;NDUFB8;PSMD11;NDUFB10;UQCRB;ATP8;PSMD13;NDUFB4;NDUFB3;ITPR1;NDUFB1;COX7A2;COX5B;COX5A;UQCRH;ATP5F1A;ATP5F1B;CCL5;PSMB1;COX2;FYN;CYC1;NDUFV2;NDUFV1;MAPK3;NDUFA9;PRNP;NDUFA8;NDUFA7;ATP5PD;ATP5PB;ATP5F1C;COX6C;TUBB4B;MAPK14;ATP5F1D;UQCRQ;NDUFAB1;ATP5PO;MCU;TUBA8
Parkinson disease	63/249	1.0816411224146881E-28	8.058226361989427E-27	0	0	7.211916551372606	464.40345599457936	NDUFA13;UBE2L3;TUBA1C;TUBB6;TUBA1A;PSMD4;CASP3;TUBB1;PRKACA;PRKACB;TUBB;SDHA;SDHB;TUBA4A;COX6B1;NDUFS8;PSMA1;VDAC3;PPIF;NDUFS1;UQCRC2;SLC25A5;UBA52;NDUFB8;PSMD11;MAOB;NDUFB10;UBA7;UQCRB;ATP8;PSMD13;NDUFB4;NDUFB3;ITPR1;NDUFB1;COX7A2;TXN;COX5B;COX5A;UQCRH;ATP5F1A;ATP5F1B;PSMB1;COX2;CYC1;NDUFV2;NDUFV1;SNCA;NDUFA9;NDUFA8;NDUFA7;ATP5PD;ATP5PB;SEPTIN5;ATP5F1C;COX6C;TUBB4B;ATP5F1D;UQCRQ;NDUFAB1;ATP5PO;MCU;TUBA8
Phagosome	48/152	8.364209121225252E-27	4.248280172357582E-25	0	0	9.705626227268846	582.782438070711	ATP6V1A;ITGB1;STX12;ITGAM;TFRC;ITGB5;NCF2;ITGB3;NCF4;THBS2;MPO;THBS1;CTSS;THBS3;TUBA1C;TUBB6;FCGR3A;TUBA1A;LAMP1;CTSL;TUBB1;MRC1;ATP6V1H;ITGAV;CD14;CD36;RAC1;ATP6V1E1;ATP6V1D;ATP6V1C1;ATP6V1F;ATP6V1G1;ITGA2;TUBB;HLA-B;TAP2;M6PR;CYBB;HLA-C;CYBA;HLA-A;TUBB4B;TUBA4A;HLA-E;CANX;ATP6V0D1;HLA-DRB1;TUBA8
Diabetic cardiomyopathy	55/203	8.553584239646139E-27	4.248280172357582E-25	0	0	7.857677308180664	471.6448782868901	NDUFA13;NCF2;NCF4;ATP2A3;ATP2A2;AKT2;CD36;RAC1;CTSD;PRKCD;CYBB;PRKCA;CYBA;SDHA;CPT1B;SDHB;COX6B1;NDUFS8;VDAC3;PPIF;NDUFS1;UQCRC2;SLC25A5;NDUFB8;NDUFB10;UQCRB;ATP8;NDUFB4;NDUFB3;NDUFB1;COX7A2;COX5B;COX5A;UQCRH;ATP5F1A;ATP5F1B;COX2;CYC1;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;ATP5PD;TGFB1;ATP5PB;GSR;ATP5F1C;COX6C;MAPK14;ATP5F1D;MTOR;UQCRQ;NDUFAB1;ATP5PO
Oxidative phosphorylation	45/133	1.2105784214799949E-26	5.1536052800148355E-25	0	0	10.726757341110217	640.1311954206271	ATP6V1A;NDUFA13;NDUFB8;NDUFB10;UQCRB;ATP8;NDUFB4;NDUFB3;NDUFB1;COX7A2;COX5B;COX5A;UQCRH;ATP5F1A;ATP5F1B;ATP6V1H;COX2;CYC1;ATP6V1E1;NDUFV2;ATP5MG;ATP6V1D;NDUFV1;ATP6V1C1;ATP5ME;ATP6V1F;NDUFA9;NDUFA8;ATP6V1G1;NDUFA7;ATP5PD;ATP5PB;SDHA;ATP5F1C;COX6C;SDHB;ATP5F1D;COX6B1;NDUFS8;UQCRQ;NDUFAB1;ATP5PO;NDUFS1;UQCRC2;ATP6V0D1
Pathways of neurodegeneration	83/475	2.076606128361139E-25	7.735357828145242E-24	0	0	4.562075811848989	259.28052596098087	APP;NDUFA13;ATP2A3;ATP2A2;UBE2L3;TUBA1C;TUBB6;ACTR1A;TUBA1A;PSMD4;CASP3;TUBB1;CAPN2;RAC1;CAPN1;MAP2K2;GPX1;TUBB;CYBB;PRKCA;SDHA;SDHB;TUBA4A;COX6B1;NDUFS8;PSMA1;IL1B;VDAC3;PPIF;NDUFS1;UQCRC2;SLC25A5;UBA52;SQSTM1;NDUFB8;VCP;PSMD11;UQCRB;NDUFB10;UBA7;DCTN2;ATP8;PSMD13;NDUFB4;DCTN4;NDUFB3;ITPR1;NDUFB1;COX7A2;DNAH9;COX5B;COX5A;UQCRH;ATP5F1A;ATP5F1B;PSMB1;COX2;CYC1;NDUFV2;NDUFV1;MAPK3;SNCA;NDUFA9;NDUFA8;PRNP;NDUFA7;ATP5PD;FUS;ATP5PB;SEPTIN5;TUBB4B;ATP5F1C;COX6C;MAPK14;ATP5F1D;MTOR;CCS;UQCRQ;GNAQ;NDUFAB1;ATP5PO;MCU;TUBA8
Alzheimer disease	71/369	2.0643779838176893E-24	6.835384879751906E-23	0	0	5.088834446805583	277.53084951764583	APP;NDUFA13;ATP2A3;ATP2A2;TUBA1C;TUBB6;TUBA1A;PSMD4;AKT2;CASP3;TUBB1;CAPN2;CAPN1;MAP2K2;TUBB;ADAM10;CYBB;SDHA;SDHB;TUBA4A;COX6B1;NDUFS8;PSMA1;IL1B;VDAC3;PPIF;NDUFS1;UQCRC2;SLC25A5;RTN3;NDUFB8;PSMD11;NDUFB10;UQCRB;LRP1;ATP8;PSMD13;NDUFB4;NDUFB3;ITPR1;NDUFB1;COX7A2;COX5B;COX5A;RTN4;UQCRH;ATP5F1A;ATP5F1B;PSMB1;COX2;CYC1;NDUFV2;NDUFV1;MAPK3;SNCA;NDUFA9;NDUFA8;NDUFA7;ATP5PD;ATP5PB;ATP5F1C;COX6C;TUBB4B;ATP5F1D;MTOR;UQCRQ;GNAQ;NDUFAB1;ATP5PO;MCU;TUBA8
Platelet activation	40/124	6.170882369855028E-23	1.8389229462167983E-21	0	0	9.936088846979937	508.1277612357775	ITGB1;ROCK2;SRC;ITGB3;ITGA2B;ITPR1;RASGRP2;MYL12A;ADCY6;MYLK;PTGS1;RAP1B;AKT2;PLCG2;FYN;PRKACA;PRKACB;PRKG1;MAPK3;LYN;VASP;FGB;FGA;GUCY1A1;VWF;GP1BB;ITGA2;FGG;GP6;MAPK14;GP5;VAMP8;GP9;STIM1;GNAQ;TBXAS1;LCP2;TLN2;TLN1;FERMT3
