Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Malaria	7/50	2.2467345884407835E-8	4.8754140569165E-6	0	0	27.834402566158783	490.19731052236034	SELP;CD40;CXCL8;TGFB1;IL1B;PECAM1;CD36
Lipid and atherosclerosis	11/215	9.224055427041254E-8	1.000810013833976E-5	0	0	9.47141981792717	153.42626000572722	LYN;SELP;CD40;CXCL8;SRC;AKT2;CASP3;IL1B;CCL5;CD36;HSPA1A
Platelet activation	8/124	9.873034272743441E-7	7.141494790617756E-5	0	0	11.850674662668666	163.87454721851591	VASP;LYN;VAMP8;SRC;AKT2;GP6;GP5;PRKG1
AGE-RAGE signaling pathway in diabetic complications	7/100	2.793728569393864E-6	1.5155977488961713E-4	0	0	12.837226548016314	164.16416621781042	TGFB1;CXCL8;AKT2;CASP3;IL1B;SERPINE1;FN1
Cell adhesion molecules	8/148	3.736154825878557E-6	1.613829774118545E-4	0	0	9.807204968944099	122.56508901407797	SELP;CD40;PECAM1;CD226;ESAM;ITGA6;F11R;VSIR
Epithelial cell signaling in Helicobacter pylori infection	6/70	4.5493252407315035E-6	1.613829774118545E-4	0	0	15.875801282051283	195.28079589670318	LYN;CXCL8;SRC;CASP3;CCL5;F11R
Non-alcoholic fatty liver disease	8/155	5.263733875942636E-6	1.613829774118545E-4	0	0	9.336882579118605	113.48672583753243	TGFB1;CXCL8;AKT2;CASP3;IL1B;COX5B;SDHB;COX6B1
Toxoplasmosis	7/112	5.949602853893254E-6	1.613829774118545E-4	0	0	11.363218390804597	136.72435823537288	CD40;TGFB1;AKT2;CASP3;PPIF;ITGA6;HSPA1A
Yersinia infection	7/137	2.2254903489110953E-5	5.365904507930085E-4	0	0	9.166379310344828	98.1989466608559	FYB1;CXCL8;SRC;AKT2;IL1B;FN1;SKAP2
Diabetic cardiomyopathy	8/203	3.726567451894764E-5	7.19926727371815E-4	0	0	7.021449275362319	71.60079301804878	GYS1;TGFB1;AKT2;PPIF;CD36;COX5B;SDHB;COX6B1
Amoebiasis	6/102	3.981161626019254E-5	7.19926727371815E-4	0	0	10.566773504273504	107.05569999966771	TGFB1;CXCL8;CASP3;IL1B;FN1;HSPB1
Chagas disease	6/102	3.981161626019254E-5	7.19926727371815E-4	0	0	10.566773504273504	107.05569999966771	TGFB1;CXCL8;AKT2;IL1B;CCL5;SERPINE1
Pathways of neurodegeneration	11/475	1.7052827325840376E-4	0.0028465104074672015	0	0	4.109124846059113	35.65327146818665	APP;CCS;DCTN2;DCTN1;CASP3;IL1B;PPIF;COX5B;SDHB;COX6B1;SNCA
Chemokine signaling pathway	7/192	1.872259074858721E-4	0.0029020015660310176	0	0	6.4232991612301955	55.132426731425255	LYN;CXCL8;SRC;AKT2;CCL5;PPBP;PF4
ECM-receptor interaction	5/88	2.1129504182395526E-4	0.0029725958213944912	0	0	10.105166428425568	85.51249613235375	FN1;ITGA6;CD36;GP6;GP5
