"","log2FoldChange","pvalue"
"ATP1A3",0.847979803964672,2.87268758762132e-11
"ESAM",-1.03899512368137,2.51787957439261e-11
"HDGFL3",0.920306533704141,1.79388850554333e-11
"LAG3",0.972457883663787,5.88617334951949e-11
"TIGIT",0.776281960198055,8.29243966076017e-11
"F2R",0.91155296547025,1.08708764486294e-10
"MAJIN",-2.32984576838208,1.74142477022842e-10
"KIAA1671",0.987538149201622,1.90221301826551e-10
"GRHL1",-1.2028086704667,2.2683581245253e-10
"TSHZ1",0.443971864773287,2.51147093631626e-10
"VANGL1",0.617533466351239,4.86858279644121e-10
"H2AC6",-1.13792537832225,5.34826101039968e-10
"MPIG6B",-1.31934914696986,5.70233305763794e-10
"EVC",1.0837360973532,6.44244320249989e-10
"CCL20",-2.73083756719828,1.02482984280447e-09
"BCL2A1",-1.14872294064733,1.1558058403489e-09
"C4orf50",1.20140781056739,1.19431650507888e-09
"VCAM1",2.02332272093738,1.34564803538721e-09
"STYK1",1.02281264383358,1.9326022480198e-09
"TMEM40",-1.36067707784091,2.37914801814948e-09
"HGD",-1.05207188639325,2.68815140778492e-09
"CTDSPL",-1.09352570571794,2.5706364866875e-09
"WDR11-AS1",-1.43271673927979,2.60085993804983e-09
"TUBA8",-0.901764708787861,3.07800937462947e-09
"THAP2",-0.955683220468534,4.24559952043666e-09
"C2orf88",-1.31770274196997,7.10934153923664e-09
"PDE4A",0.606087932505952,8.11040978767656e-09
"PTGS1",-0.630140489281552,8.49864565123842e-09
"INKA2-AS1",-1.613185465821,8.5974486579772e-09
"PCSK6",-1.28078750095445,8.93515136529620e-09
"SMOX",-0.865317647546977,1.2560541881262e-08
"C1orf21",0.734236295118236,1.14981343257849e-08
"PRR5L",0.604628654060817,1.23345170587102e-08
"GPR65",-0.448051888845671,1.18245313812071e-08
"TUBB1",-1.34028766670132,1.37176037579083e-08
"PEAR1",-1.26614908386668,1.62615001655504e-08
"CST7",0.740884942997152,1.7934039557003e-08
"PDGFD",0.773389613884139,1.74746994337225e-08
"JAKMIP1",0.782269575931759,1.92295945663951e-08
"FSTL1",-1.43198351885379,1.89131894704002e-08
"MMP9",-1.78351403190271,2.3409600404011e-08
"NAF1",-0.826396860205432,2.40450106013094e-08
"FAXDC2",-1.00853398768516,2.42789050074974e-08
"PBX1",-1.00742099768743,2.36827441957457e-08
"DNAAF1",-1.987722145532,2.69702665666832e-08
"FCRL6",0.824305668704249,2.81105558841862e-08
"USP16",-0.445791222612913,2.93280194521809e-08
"SEPTIN11",0.40567183451248,3.01207310523982e-08
"CXCL2",-1.90941506066656,3.38012785902121e-08
"MSC-AS1",1.00405812370036,3.25829552087719e-08
"CCL5",0.728217907315957,3.34099598881316e-08
"HRAT92",-1.48212246844471,4.04442457736167e-08
"PIGH",-0.393106514048139,4.40182974420385e-08
"CTSW",0.698408146587173,5.29479382128959e-08
"KLRK1",0.562709123666828,5.20106787346412e-08
"NKG7",0.752128581834371,5.52481669854092e-08
"CWF19L1",-0.248010441877746,5.96399537889156e-08
"MYLK",-1.02335134602358,6.21828847492964e-08
"SPARC",-1.29456537320931,8.21148280012757e-08
"H2BC11",-1.25148192678775,8.15139959316912e-08
"KLRD1",0.685352092062651,8.12798870114045e-08
"CDCA7",0.859253755525554,8.16063408234367e-08
"PTMS",0.645060975536911,8.74808250463461e-08
"OBSCN-AS1",-0.868095098404827,8.5300405308181e-08
"CD8B",0.798216001067619,8.69349368119138e-08
"RARS1",-0.321410276435328,9.45697050721108e-08
"ITGB5",-0.935379087152951,9.99989432021059e-08
"CABP5",-1.56236511923666,9.70721218382821e-08
"C15orf48",-1.85480545318598,1.00318856954699e-07
"ZBTB38",0.495124390416735,9.90929070776753e-08
"CA2",-0.864910694138577,1.21063562860954e-07
"RIOK1",-0.248832692926506,1.21590341851374e-07
"SEPTIN5",-1.24420297353607,1.48042102449529e-07
"NCAPH",0.824400219435226,1.57205570157385e-07
"ATP2B4",0.421988192320979,1.80659752016601e-07
"SLIRP",-0.385085287814389,1.8063134647314e-07
"CD8A",0.789373794586718,1.84685387718255e-07
"TSPAN9",-1.00093263551805,2.06033576922025e-07
"TRAPPC3L",-1.4499783191551,2.05278026584434e-07
"SYT11",0.454148683941285,2.12559411491761e-07
"GFI1B",-1.107984434867,2.1473282210455e-07
"F3",-2.07558857777141,2.18608332739059e-07
"MORF4L2",-0.298924072384523,2.27012735891484e-07
"GNG11",-1.38042483687675,2.25506531657739e-07
"ASB2",0.712602614893023,2.37969519640809e-07
"CLEC1B",-1.49426763293513,2.44274008223689e-07
"H3C10",-1.30546298132997,2.45582115650999e-07
"IL10RA",0.289537397384411,2.62890021596054e-07
"GP6",-1.19745189705834,2.75843146291955e-07
"CLU",-1.06360252461883,2.86207572398322e-07
"ZNF71",0.290204951953109,2.84114225488159e-07
"NAT8B",-1.32613804905696,3.00079621108833e-07
"KIR3DX1",1.13649115258171,3.05413735853836e-07
"PIF1",0.77754737254824,3.11539915136471e-07
"LSM8",-0.343690700312571,3.19695080151583e-07
"CTTN",-1.11590176020879,3.27059525762101e-07
"EIF1B",-0.383151293333879,3.26339762721641e-07
"POLR1C",-0.421881546115258,3.51210632063776e-07
"GALNT11",0.241471955823834,3.48618990129867e-07
"FRMPD3",0.790169916797464,3.80166254238551e-07
"GPRIN1",0.725799867407479,3.84240381716014e-07
"SH2D2A",0.615905916800886,4.01551528525356e-07
"E2F3",0.292404185531377,4.07997577368811e-07
"RAC2",0.297227549077183,3.98516918754297e-07
"DTHD1",0.776462696497157,4.06728605772225e-07
"FGFR2",1.6652586526854,4.24162870608612e-07
"CD81",0.425581764274617,4.19279021678789e-07
"H2AC11",-0.869391671030011,4.22950623692888e-07
"MYEOV",-1.37859969042563,4.51793310786557e-07
"ZNF331",-1.05417404946242,4.85404618085732e-07
"TOX",0.573550977784908,5.0602543637161e-07
"BMP6",-1.1594651731714,5.15386684860366e-07
"DDX47",-0.274322972164574,5.42907396987061e-07
"PLAUR",-1.16805765245206,5.48612663281469e-07
"APMAP",0.419617568225037,5.99010437492903e-07
"GTPBP4",-0.201460441509748,6.0338802991747e-07
"B4GALT5",0.437792156775059,6.20224168988654e-07
"WDR75",-0.376494218631475,6.35781316461526e-07
"PARD3",-1.1881160566622,6.3381140815191e-07
"ARHGAP10",0.457860275255401,6.45057740667802e-07
"TAL1",-1.05116853788614,7.13270421557657e-07
"CCT6B",-0.617114886776127,7.33639945821693e-07
"PTGS2",-1.38573689887615,7.45160326682691e-07
"ARMCX5",-0.254196076651767,7.79897906556109e-07
"PF4",-1.32268777962102,8.10015400885296e-07
"USB1",0.305052890646635,8.41092152785838e-07
"PGRMC1",-0.510146125529066,8.68744790566826e-07
"DNM3",-0.753968808194951,8.68415554820325e-07
"BEND2",-1.3557973112108,8.79763422456923e-07
"DAG1",0.280887866320801,8.96209443345109e-07
"SCN1B",-0.70530894036249,9.18364150881031e-07
"LOC100288637",0.376857216002353,9.52249551691009e-07
"SESN1",-0.468592352341417,1.03957755619938e-06
"GLB1L2",0.949341830035193,1.04647664416059e-06
"ITGB3",-1.33829712764821,1.03196501444864e-06
"SBK1",0.532946729381645,1.05714747143808e-06
"ENKUR",-1.38036240512889,1.07750906688723e-06
"TRIM58",-1.03734923075735,1.07082139768404e-06
"FYN",0.28641358829884,1.16700909790127e-06
"VPS26B",0.262035601787181,1.15950845269954e-06
"TCTE3",-0.671430443147164,1.15610043465021e-06
"B3GAT1",0.875574754968823,1.23419326897074e-06
"ABLIM3",-1.24004452510344,1.22759897916085e-06
"RBKS",-0.922581578218521,1.24756678425906e-06
"FAM216A",-0.375631692974881,1.25250346123724e-06
"SNRPA1",-0.330843135263815,1.27090681389705e-06
"TMEM158",-1.08010883948043,1.26617343310225e-06
"NUAK1",1.24654873673344,1.29666240113e-06
"GNAZ",-0.800382790008216,1.30280425629005e-06
"SECISBP2",-0.198646774872004,1.29725570242735e-06
"ZNF319",0.399631434312363,1.36890027485582e-06
"ERMARD",-0.356454859731059,1.38506219576161e-06
"SENP3",0.168525321771216,1.4101426454177e-06
"TTC28",-0.813153329956887,1.4642214901245e-06
"COX6C",-0.284558885625405,1.45763991801814e-06
"MBP",0.31256558354148,1.48416654183101e-06
"GFI1",0.590474385008347,1.50280480829692e-06
"LYPD3",-1.42224074253225,1.57739207817771e-06
"PPBP",-1.38868809334861,1.56892755387601e-06
"C1QB",1.49900791372668,1.57360221778444e-06
"ADGRG1",0.733065564720308,1.60409890810533e-06
"CHSY3",2.11008039668063,1.62970051022193e-06
"HOXB9",1.99737856913535,1.65555562370887e-06
"IL1RN",-0.804243857262265,1.71493341160399e-06
"PRKAR2B",-0.82247957146191,1.8570294318296e-06
"EPB41L4A",0.811497607341668,1.8619307999562e-06
"LETMD1",-0.193323087480721,1.89689373580208e-06
"NOP58",-0.306002660325314,1.89025620467957e-06
"RUNX3",0.408391156968113,1.95365714903804e-06
"NCALD",0.438342990168029,1.98043539926571e-06
"RHOBTB1",-0.797601086750056,2.09605570161413e-06
"RPL7",-0.312920282917305,2.0971538536545e-06
"MFAP3L",-0.976704078126903,2.07432099194697e-06
"KRT72",-1.4009951325966,2.15835983337694e-06
"KLF13",0.25483164176357,2.27760864370882e-06
"MARK2",0.245966087892514,2.32913146513088e-06
"NGDN",-0.330721408683872,2.35778228874431e-06
"TREML1",-1.26094111795418,2.38612678164636e-06
"IL1A",-2.90566908920807,2.49896344515304e-06
"NLRP3",-1.14890986121436,2.52543624557319e-06
