"","log2FoldChange","pvalue"
"KLRC4",0.679869045474964,2.89748165756177e-09
"PTPN22",0.288365823412013,6.18107536434881e-09
"GFI1",0.424778340503137,2.07888023484005e-08
"PDGFD",0.472654146773152,2.15355673042847e-08
"IGLL5",-0.939563099382248,1.32659753972905e-08
"KLRD1",0.439274244659198,2.75578768647331e-08
"C1orf21",0.433409030549289,4.90437792901767e-08
"GNG2",0.272822343256916,5.89746549499563e-08
"CCN2",-1.31001057309324,9.39702988790502e-08
"PYHIN1",0.334626277593657,8.53817569475295e-08
"ITM2C",-0.448907669426964,1.19919514358869e-07
"SLC25A20",0.310042793952723,1.25750027622734e-07
"TGFBR3",0.401462119205696,2.10621747643044e-07
"TPST2",0.20619030156011,2.4164158871376e-07
"CPT1A",0.324212903675335,2.60171501057586e-07
"BPGM",0.246278159737043,3.16857748123533e-07
"SLC7A8",-1.01998132968522,3.63320097823787e-07
"SLCO4C1",0.409195112827044,3.62901963736105e-07
"SLC4A4",0.44180904175035,4.19409063928106e-07
"ENPP4",0.348758277070049,4.8016838094561e-07
"CD8A",0.469560787075804,5.40634608469981e-07
"ZNF683",0.768035319209095,5.61529372705804e-07
"GAB3",0.243467169154558,6.32062337042407e-07
"IRS1",-0.361822040866015,6.12589490851067e-07
"KIAA1671",0.474111685185868,6.8309938392442e-07
"RORB",1.14129278553584,6.89326473860834e-07
"NFATC2",0.210931571031637,7.48621092902655e-07
"LANCL3",0.46347057585164,7.55711976705544e-07
"TBX21",0.367308298606887,8.12845407517738e-07
"PPP2R2B",0.367131308526839,8.18794563189299e-07
"PRSS23",0.522173648126776,8.56686753756185e-07
"GCDH",-0.198099687676458,1.07213152363768e-06
"FCRL6",0.447188584662793,1.11775148228123e-06
"TNFRSF13B",-0.528614424594996,1.14630935659004e-06
"FUT11",0.244527207604969,1.32508049518677e-06
"GK5",0.297678521883788,1.54178728908669e-06
"F2R",0.419613706120771,1.50935350477266e-06
"SAMD3",0.283768291725534,1.6556657549453e-06
"KIF21A",0.298897099905002,1.72585169274381e-06
"SNX7",-1.29506901744245,1.76668067377342e-06
"ARAP2",0.230094533063871,1.98934040587648e-06
"GALNT3",0.247982795767122,2.00171416220434e-06
"PRR5L",0.312620970315009,1.89220094758149e-06
"GRAP",-0.287152925949011,1.84422668442409e-06
"MZB1",-0.630677011931249,1.9477755512053e-06
"EXTL2",0.241183944824388,2.083888850982e-06
"DERL3",-0.479548979618976,2.16608825212848e-06
"PDK4",0.690312048378038,2.41100640123701e-06
"PPP2R5C",0.165349535836738,2.51257252519968e-06
"XPNPEP2",0.40845604963187,2.6921258626044e-06
"ATXN1",0.196610105057555,3.32354970873573e-06
"IMPDH2",-0.143937495465275,3.53730631127042e-06
"TOX",0.326344134945413,3.54728116353019e-06
"PYCR1",-0.600270821960717,3.69393755117335e-06
"GZMH",0.545675893135799,4.1436340991714e-06
"BFSP1",0.490359416978599,4.21813246077351e-06
"DERL1",0.119897306930283,4.34535142689545e-06
"TBC1D31",0.187087370496927,4.8506764209031e-06
"SPIB",-0.375232081388936,5.04990215646062e-06
"LTB",-0.330071576378526,5.73573720246022e-06
"KLRG1",0.397031259419588,6.06394282214701e-06
"RMND5B",-0.14023444887178,7.04229169622264e-06
"B4GALT5",0.243719372215589,7.20815788477694e-06
"KLRK1",0.285773831697015,7.91173250735399e-06
"GNG7",-0.359354799400169,8.30725917492774e-06
"ABCG1",-0.322159529212748,8.63309125664243e-06
"ATP2B4",0.222069520175571,9.10852585376476e-06
"E2F3",0.158063482385547,9.40784676652658e-06
"CACNA2D2",0.414213301517986,9.65245222616623e-06
"MYBL1",0.351847520685873,9.78649371599604e-06
"SORBS3",-0.234624494820621,1.01005197727283e-05
"UBXN10",0.38493227721395,1.02479652900386e-05
"ITCH",0.153896325843792,1.12917835014926e-05
"PALLD",0.362579619619564,1.1195268627798e-05
"ACAA2",0.182459233420118,1.1404451867595e-05
"CCR6",-0.369645782059372,1.16965873645093e-05
"CD79B",-0.387225041454851,1.2076206495234e-05
"GZMA",0.328755461816276,1.29906060340025e-05
"SHMT2",-0.144657871360393,1.30156504624718e-05
"SUSD3",-0.278497139757251,1.31898630292266e-05
"MYC",-0.326303181470916,1.34477338578532e-05
"ELOVL6",0.310853922350737,1.4683653000642e-05
"FGFBP2",0.468035538301101,1.54296918342175e-05
"TRAF3IP2",-0.215431495452781,1.63990500920262e-05
"STK39",0.182888006247194,1.6261868461651e-05
"PTPN4",0.207787356127136,1.66316869283587e-05
"FCGR2B",-0.337938192941998,1.71659955535149e-05
"SYNE1",0.240642855687472,1.70349917537317e-05
"PTGES",0.900333036062516,1.7212534802767e-05
"MAPK1",0.136924938676338,1.84231478227541e-05
"LPCAT1",0.207311094006127,1.93909764667931e-05
"RAB38",0.512674208122615,2.04858649319641e-05
"MBP",0.171264729516057,2.03072246990299e-05
"IQGAP2",0.140311780966929,2.0824530113223e-05
"NCALD",0.240842433743623,2.28112780404347e-05
"RDH10",0.200205757308645,2.32744925879463e-05
"NMUR1",0.394418503572016,2.4079705056033e-05
"USP28",0.212669085418528,2.55211451300144e-05
