"","log2FoldChange","pvalue"
"MTND2P28",3.37609689768911,1.21649817980977e-13
"XIST",10.0282937249706,8.68898794715096e-14
"LILRB5",1.66813620428237,4.41750575166822e-09
"MAP7D2",2.58393055111237,7.88732269734303e-09
"MTND4P12",1.55315975855874,1.44848787940045e-07
"KDM5C",0.309943446981191,4.07931006887915e-07
"LRRN3",-1.15924935678421,1.85246834396374e-06
"RPS2P36",0.915403516804903,1.7445290773431e-06
"CASZ1",0.329666337172926,2.87045074291552e-06
"DIP2A",0.343021459526973,2.93132172708194e-06
"IGHG4",-1.5902708084033,2.47519586136441e-06
"ERCC6L",1.18284864439525,8.10083524839527e-06
"COLEC12",-0.920138699433759,1.90088943263393e-05
"KANSL1-AS1",-0.73212705630782,2.01615704417604e-05
"SNX7",1.51220048309704,2.73260925405351e-05
"LINC02210",-0.312002826014503,3.20381290997378e-05
"SLX4",0.252590086488129,5.6917623895455e-05
"KDM6A",0.320613405693502,6.44479622933467e-05
"SNHG29",-0.234579474865118,6.73286958000907e-05
"LYRM4",-0.256414953295039,6.85707891957504e-05
"XPNPEP1",0.139181740626648,7.84651949766673e-05
"PLCB2",0.233398329753258,7.89359116217713e-05
"ASS1P1",0.744466468971288,8.31046176356819e-05
"ANKRD36BP2",-0.910046148068476,8.07096085310877e-05
"OSBPL2",0.119052829230164,8.87510589257003e-05
"SUSD2",0.59682492116071,0.000107218761956752
"PIEZO1",0.263729724500722,0.000103889774851502
"FCGR3B",0.886436826448785,0.00010465536850333
"CABP4",0.456021156991543,0.000138432680539965
"IGHV2-70",-0.973275397924674,0.000135565533724858
"PPP1R2C",5.89712164253589,0.000165085166572008
"SLC25A35",0.213567658840004,0.000168887834958784
"SH3TC2",0.771553373692842,0.000169670696559597
"MINK1",0.213135343332276,0.000187131683868234
"SRRM2",0.236941068506345,0.000192521467444866
"RSL1D1",-0.153037393730271,0.000227264841517131
"RN7SL834P",0.575593293588481,0.000223331885184451
"AHRR",-1.32789431253132,0.000286101493515986
"ABCA2",0.346289962473105,0.000253418402476575
"FN1",1.37938519002357,0.000284504394043391
"IQSEC1",0.149036409666021,0.000239847887294952
"RUBCN",0.121523509801013,0.000258742833505521
"RNF144A",-0.232000830984512,0.000290455415002045
"GPR15",-0.991975778736379,0.000253778848645754
"PCNT",0.171082146518974,0.000278505105898511
"ANKRD11",0.161153906359979,0.000273724657782089
"WDR11-DT",0.687261653314659,0.000282369428009295
"PCNX3",0.222796638800814,0.00032154764301634
"TWIST1",-1.9462528161044,0.000339003457465709
"TRPC4AP",0.134847224766596,0.000390476237057124
"C6orf62",-0.221452722455907,0.000410055268605245
"TFCP2L1",0.766336256432563,0.000409278250781815
"RHBDF2",0.233598993811109,0.000402922923001046
"HDGFL3",-0.360904824445134,0.000410452518059664
"SEMA6B",-1.32640153773951,0.000393101146076645
"HGS",0.201213830680661,0.000380998211870506
"ZNF79",0.229365579377092,0.000402404023981123
"IGLC3",-0.835362185809421,0.00037731296933142
"MTCO1P12",0.673558933464993,0.000412984992637615
"NAV1",0.264958952083772,0.000421891747661773
"DFFBP1",0.516486713466611,0.00043433326421112
"TP63",-0.534418290308409,0.000441923357954475
"WHRN",0.448097927590019,0.000461149914729704
"RIPK3",0.161879747375393,0.000484710917307826
"EIF3E",-0.163184963766067,0.000552320935606105
"GBF1",0.191403657412419,0.00052855778954865
"PRPSAP2",-0.137613018471359,0.000549465986495241
"LAIR2",0.846155607783163,0.00054181009768748
"HECTD4",0.205525980225804,0.000533475061928689
"CASKIN2",0.608228375842336,0.000527552815200013
"SIPA1L1",0.18849356792573,0.000527001200707383
"BRCC3P1",1.15133618122693,0.000559559939305065
"PNKP",0.195255790743712,0.0005924513356266
"PDE6B",-0.182610889864932,0.000600963039116214
"SLC38A6",-0.220600441804359,0.000594384138695397
"CMYA5",0.604242908932236,0.000601928475162032
"CAMLG",-0.173824770451767,0.000571256809580513
"MRPS30",-0.199658807279771,0.000656595442039946
"KIF21B",0.231412415753326,0.000650530032760832
"DMAC1",-0.240891941835105,0.000666963920088204
"MAP4",0.153193987400477,0.000713322636738706
"LRPPRC",-0.121849086578336,0.00071404689813957
"PML",0.173492971516568,0.00071280674527793
"MBOAT1",0.270838064054596,0.000721116181030975
"UBTD2",-0.231507191699605,0.000749636297493421
"ANKRD22",0.885160640148383,0.000783867527854657
"SPATA41",-0.48317928741144,0.000784256260415572
"PLEKHH1",0.741916188356912,0.000797400802427364
"UTS2",0.981171642998244,0.000811584168555885
"FAM225A",0.780586914816706,0.000815925613342803
"CREBBP",0.149299857218026,0.000847432942925722
"PRPF38A",-0.106124796410649,0.000845485831954012
"C11orf1",-0.227624524258801,0.000831124607105908
"HCFC1",0.163846230572488,0.000853760178413038
"CDK16",0.234493616110875,0.00088797467535899
"FAHD1",-0.281168891374746,0.000896777491485777
"ADGRB1",0.386421573653359,0.000905276336883893
"PKD1P4",0.561660121336914,0.000880315438492187
"RN7SL431P",1.24425340636032,0.000879622593989882
"PTGR2",-0.30003027420257,0.000927515002894876
"SMAD3",0.13117936930471,0.000936951288655228
"PRKX",0.176184550158611,0.00092838815055869
"LY75-CD302",1.25001170023365,0.000942505512187706
"DSC1",-0.74486963747633,0.000973938900853325
"LRRN1",-0.520034579783908,0.000969112235280233
"RALA",-0.202592517532032,0.00101973729605235
"MMP25",-0.493445044021903,0.00115177013524343
"CALCOCO1",0.150919502318673,0.00116543870097773
"LPAR2",0.235405151813124,0.00116693194372259
"SPEN",0.202472327808741,0.00115581130381513
"SLC44A1",-0.213939138301115,0.00112420961213317
"DIMT1",-0.183416306418796,0.0011878134882276
"CASC3",0.0943811906206037,0.0010846032672809
"OTOF",0.670238339478661,0.00110561329341511
"ZNFX1",0.13786785854517,0.00105025461476212
"SLC35B3",-0.196326361695187,0.00107600982921473
"STARD8",0.372838692403714,0.00115766569535988
"LPAR6",-0.320441411374448,0.00115610527524764
