"","log2FoldChange","pvalue"
"MTND2P28",3.45233219404467,1.94116063591913e-13
"XIST",8.18897596410868,3.45596491533489e-09
"PBX1",0.648959436289965,1.53468863943179e-05
"ANKRD36BP2",-1.0413972038443,1.21891946972072e-05
"IGHG4",-1.45293135431358,3.00155276176248e-05
"RPL23P6",-1.04511046985559,4.49753520713876e-05
"NTN4",0.870533016663162,6.83936036479719e-05
"LCNL1",0.733409400539031,9.89219060711298e-05
"LOC105371967",1.13098129623689,9.54318862165659e-05
"IGLV3-19",-0.818508027889527,0.000174815861964148
"WDR11-DT",0.714506480214177,0.000239600861149212
"MFAP3L",0.585093585608319,0.000330933541736352
"TRAPPC3L",0.849756951449972,0.000375055706433123
"UTS2",1.04612892835143,0.000528944278872194
"ARMC3",1.32279752417739,0.000573214604982355
"ERN1",0.241944544835046,0.000597290937276568
"ASS1P1",0.664309588851354,0.00061202529534925
"DNAJC6",0.359221021642744,0.000655331169231834
"DIP2A",0.25622885308555,0.000706880976227776
"GCAT",-0.626152532339146,0.00114304783919212
"H2BC11",0.624401273273061,0.000933979365684632
"PDE6B",-0.178743075103379,0.00109366299961591
"LRRN3",-0.810330153730225,0.00122491131255927
"MAP7D2",1.49935185162558,0.00121706677303502
"COLQ",0.369222556039142,0.00107076049835466
"IGKV3D-20",-0.695272010377417,0.00123781350599041
"LOC100288175",-0.962488944668537,0.0012544887989622
"MAGEH1",-0.213268353502737,0.00130402182313085
"DPM1",-0.016247136823483,0.704854900442154
"SCYL3",-0.0416559658955208,0.31971197630166
"C1orf112",0.0399211762192466,0.485873151195138
"FGR",0.047822258225848,0.565108002561603
"CFH",0.400544292300528,0.0111861177652087
"FUCA2",0.0639761255538884,0.441687280505533
"GCLC",0.0351900166309096,0.469902271921368
"NFYA",-0.0458160957003761,0.296286744202026
"STPG1",-0.137796544146316,0.0416787101115974
"NIPAL3",-0.0370073596682915,0.456654007535118
"LAS1L",-0.0182692729049416,0.579140359788107
"ENPP4",0.0388004493526803,0.695489183666215
"SEMA3F",0.313359211130215,0.661685773329873
"CFTR",-0.0407851554083661,0.987383801457956
"ANKIB1",0.036780200922541,0.433192828810015
"CYP51A1",-0.0945696946279359,0.308300962029177
"KRIT1",0.0265935059658644,0.646792560814238
"RAD52",0.00388679306555492,0.956147545558233
"BAD",-0.076686678430723,0.386452907571809
"LAP3",-0.0232072493555167,0.865718288636824
"CD99",-0.0291514278802811,0.633675646744969
"HS3ST1",0.0707224999547605,0.695766783045686
"AOC1",0.0653709057960305,0.879647637777927
"WNT16",-0.024697919166805,0.906872795303092
"HECW1",-0.00518492109025543,0.994615637257621
"MAD1L1",-0.203377974421692,0.0136248561042811
"LASP1",0.0204683754781388,0.712517708208594
"SNX11",0.0386999995721908,0.532303114059189
"TMEM176A",-0.071254192014272,0.820911894887323
"M6PR",0.0170947881754476,0.724422234269542
"KLHL13",0.0476065225314966,0.796935091552587
"CYP26B1",-0.082713235815382,0.922584974041294
"ICA1",-0.0107867989134854,0.895990043713513
"DBNDD1",-0.205313885518805,0.240454252131202
"ALS2",0.0406541172790926,0.430637889675428
"CASP10",-0.0202633259949611,0.673596972171441
"CFLAR",0.0221601660698575,0.596346498272381
"TFPI",0.444689973036374,0.0294439893425572
"NDUFAF7",0.0427188723854742,0.400735946639802
"RBM5",0.0342654417685892,0.52085480597374
"MTMR7",0.444974416251061,0.674266339808988
"SLC7A2",0.437352556135573,0.913901450789125
"ARF5",-0.0439318652242815,0.409680136775229
"SARM1",-0.0248071249506135,0.57300973090856
"POLDIP2",-0.0258401515488989,0.583666669573628
"PLXND1",0.115706385315725,0.210720382223351
"AK2",-0.00427873005282779,0.915394711793836
"CD38",0.00147631035278668,0.989888954713348
"FKBP4",-0.00305946331650167,0.959487917093509
"KDM1A",0.0139574117919693,0.571689708754218
"RBM6",-0.0258390525136329,0.706379552285326
"CAMKK1",0.11802523716448,0.156992546303403
"RECQL",0.0302687375218519,0.540621116949901
