"","log2FoldChange","pvalue"
"LILRB5",1.26577686058042,1.85061290557705e-09
"MTND4P12",1.2998216718588,2.8281801606257e-09
"KDM5C",0.251832357059826,3.6517699996968e-08
"CABP4",0.478026573309345,7.22561858309419e-08
"FCGR3B",0.856438630909127,4.48422324314291e-07
"SUSD2",0.565292650516699,6.73016025807235e-07
"KDM6A",0.29493758287631,7.71068521670941e-07
"CASZ1",0.256401309934724,1.08830589681737e-06
"MYO7B",0.496466880246538,2.20142400865813e-06
"RHBDF2",0.229499296809615,2.92097934832512e-06
"NUP42",-0.200625695772587,2.74350205095178e-06
"SNX7",1.23342470826402,3.17093865138496e-06
"FAM225A",0.802334991521306,3.60835985538685e-06
"MOSPD2",-0.440292467449932,4.92178902171124e-06
"RUBCN",0.112016486574573,5.97886657835743e-06
"MAP7D2",1.45649473099974,6.04218894243154e-06
"DIMT1",-0.187645428801378,8.44019310982421e-06
"UBTD2",-0.225625037948008,1.04804620381717e-05
"ERCC6L",0.863854770120655,9.99856742988781e-06
"OSTC",-0.173640929966233,1.05539041176189e-05
"RPS2P36",0.617621658998972,1.09073818383661e-05
"RNASE4",-0.495995126157114,9.22227155962326e-06
"L1TD1",0.729592866599358,1.18671806351023e-05
"HFE",-0.229681736581742,1.31732579196686e-05
"COLEC12",-0.710079305043164,1.32576673630782e-05
"RPL3P7",1.10934313702984,1.92577512256649e-05
"NSMF",0.212630800970413,2.13328494283011e-05
"PRKX",0.16773217292899,2.23411258329748e-05
"C6orf62",-0.197217317421865,2.3505266540817e-05
"CREBBP",0.138619620321216,3.09996596046396e-05
"PNKP",0.177435546516318,2.69276394331097e-05
"IL21R",0.178233536543121,3.36141923150066e-05
"OCIAD1",-0.12866263654304,2.7778910622243e-05
"SLC25A35",0.176854185806028,2.8907550393688e-05
"TMEM128",-0.231371444643055,2.66624187236208e-05
"SRPRB",-0.156189937120691,2.94242166880282e-05
"RIOX2",-0.110788859252731,3.46767528328693e-05
"FAM220A",-0.158506479147645,3.46037370797906e-05
"TCEAL8",-0.194096744375322,3.10552709427971e-05
"SIPA1L1",0.167986737929941,3.28545827065248e-05
"TXNIP",-0.21761510702125,3.45956315906863e-05
"SERBP1",-0.143043336297688,3.9073877037684e-05
"CLEC16A",0.117822114640017,4.19976242565631e-05
"REXO1",0.219441228661721,4.37628396074838e-05
"RMC1",0.0975289753928406,4.44129293341591e-05
"CDYL2",0.193697055222771,4.22388202790583e-05
"FAM200B",-0.190521597055628,4.40603934926668e-05
"SLC25A25",0.155626572498557,4.58060869190753e-05
"FAM219A",0.101052109442777,4.6589637623472e-05
"RALA",-0.185881880032224,5.14679031971781e-05
"PML",0.154662739648843,4.99848884933236e-05
"LYNX1",0.474413015017905,4.8889267986783e-05
"KANSL1-AS1",-0.523103994874021,5.09656607143512e-05
"SPCS2",-0.182745445936965,5.25406601043693e-05
"SSR3",-0.145393389092402,5.70895384062476e-05
"ZNFX1",0.125807409159496,5.82142590046651e-05
"FGFRL1",0.26073429593244,5.93749675565438e-05
"GRSF1",-0.132186762423444,6.13918861227259e-05
"MEPCE",0.139860638844094,6.22841221998107e-05
"DMWD",0.215895994027129,6.28409412268496e-05
"CEBPZOS",-0.203363248980554,6.13388359059086e-05
"SEC22B",-0.176405848449114,6.08765404961748e-05
"ANKRD22",0.78271040519027,6.40110425523458e-05
"MAP3K14",0.151138877717372,8.83196260772118e-05
"ERCC8",-0.155531357566725,7.89853205949104e-05
"HPF1",-0.187531645163121,8.70546010817457e-05
"PPP2R5B",0.151946553262358,0.000101773580664891
