"","log2FoldChange","pvalue"
"RPL3P7",1.58100856763327,2.55262931721374e-07
"MOSPD2",-0.513112290758295,1.56270390851961e-06
"CABP4",0.490194721174804,7.85613633987984e-07
"MTND4P12",1.17848833789947,1.28423348634201e-06
"LILRB5",1.08645143143488,3.10712131556809e-06
"NUP42",-0.218759877490365,4.33679191401633e-06
"MYO7B",0.525988881257064,6.9965947042111e-06
"L1TD1",0.83371380796719,7.162459365854e-06
"FCGR3B",0.840308480555954,9.15740756213108e-06
"RNASE4",-0.55330926038132,8.65409498510081e-06
"KDM5C",0.221010037108665,1.33826176031218e-05
"NSMF",0.24273544099676,1.27486414824575e-05
"ERCC8",-0.187954723888151,1.52452754175612e-05
"SUSD2",0.548125460079698,1.65196798634739e-05
"RIOX2",-0.127278583589588,1.81128174124455e-05
"HFE",-0.246234978971853,2.73175619453518e-05
"CLEC16A",0.134427043796128,2.61092146095745e-05
"SLC2A1",0.245250171651813,2.70432772712976e-05
"KDM6A",0.281083301838873,2.41560798885822e-05
"CDYL2",0.221839779995005,2.47487900797265e-05
"FAM225A",0.814380941621853,2.54651563027091e-05
"TXNIP",-0.24612754114689,2.54477623538272e-05
"SLC44A2",0.131116109479298,3.14391021772664e-05
"RHBDF2",0.227260615833992,3.34537699976111e-05
"ANKMY1",0.149891468445045,3.03050483870981e-05
"LINC01679",0.563563367105489,3.22016378589569e-05
"IL21R",0.197297316924024,3.74711358744728e-05
"OSTC",-0.181721480042384,3.5671337998359e-05
"FAM200B",-0.213625511896394,3.80897238366195e-05
"SLC33A1",-0.203947394597457,4.12070267764137e-05
"CKB",0.502470099539802,5.01332193978701e-05
"DIMT1",-0.189956319876242,5.29585270904669e-05
"MEPCE",0.156918808476005,5.42668866402826e-05
"SRPRB",-0.167360835292135,5.88160093194814e-05
"GRSF1",-0.146903870844314,6.2988592573234e-05
"PIP4P2",-0.269391117390316,6.50905461819934e-05
"C16orf54",0.288883437699652,7.29280203269627e-05
"TMEM70",-0.313070364860755,8.37473780768293e-05
"PTPN1",0.117807703844478,8.75931116640036e-05
"UBTD2",-0.222403351762785,9.79087493426262e-05
"UBXN2B",-0.18586900024116,9.81698374860962e-05
"ZFAND6",-0.225842063759432,0.000105740332542446
"OCIAD1",-0.132764485168045,0.000106055028604587
"RUBCN",0.106838603239459,0.00010849662415208
"C1QA",0.718697544821483,0.00011035230721171
"RMC1",0.102436777771566,0.000120512929625236
"TCEAL8",-0.198653995803038,0.000132172831791082
"REXO1",0.227897007539008,0.000142896255826373
"SPCS2",-0.191469935502973,0.000145617197352082
"IRF1",0.309319279129708,0.000141172858275574
"KL",-0.5214011283425,0.000147883773992113
"HSD17B12",-0.295737896823303,0.000148414474427858
"MAP3K14",0.16104917076679,0.000179835991010307
"FARP2",0.191342354008503,0.000188661638309268
"SIPA1L3",0.223734727725393,0.000188651475035295
"UFSP2",-0.173077521488357,0.000189257210339567
"CASZ1",0.217823995839049,0.00018768221486897
"TMEM128",-0.230632303181653,0.000174801173104314
"PLA2G7",-0.438534246609695,0.000189988494308546
"SNX7",1.1021662535846,0.000184930568433179
"MARCKSL1",0.280230872386283,0.000189544807413921
"KBTBD11",-0.25561464091224,0.000181043603496623
"FAM220A",-0.159330837483796,0.00018873292635934
"TCEAL9",-0.439571238884418,0.00016815474574638
"ZNF628",0.395418432894841,0.00017798798249572
"PPM1N",0.272289309777435,0.000157910550131013
"MVP",0.18826793751371,0.000209181582460936
"TXNDC9",-0.199094824317479,0.000211788564680968
"FBXL8",0.214004394761701,0.000219982312468037
"RCBTB2",-0.236773224097708,0.000222580676182298
"KDELR2",-0.181681312974892,0.000207772725526027
"SLC25A25",0.157504746945752,0.000219078847383317
"TEX30",-0.222775716528338,0.000226131788197928
"RBBP4",-0.125972280630736,0.000202298385875373
"LYNX1",0.481362206916287,0.000224650841650178
"PRKX",0.163130415955501,0.00021972885162111
"DNLZ",0.340253360013946,0.000198637816091945
"EZR",0.140127614618743,0.000258931411189472
"MICALL1",0.162446713670683,0.000239914483703578
"FGFRL1",0.265348659624186,0.000252167244805921
"TPRKB",-0.197560639556442,0.000246415967897747
"FAM219A",0.101306763019808,0.000253562462696554
"LINC02910",-0.34266602126572,0.00025739783855311
"KRT8P33",0.369289498241642,0.000253916535457769
"FPGT",-0.258039612647231,0.000256966062919559
"SEC22B",-0.180586850612316,0.000234877701212564
"SETD1A",0.181314103213623,0.000264450571245193
"AASDHPPT",-0.21662206577874,0.000270144486321086
"ME1",-0.402408707222503,0.000273951506754349
"SSR1",-0.173637509295395,0.000280206874982952
"SERBP1",-0.141101035937431,0.000277630850824646
"DUS2",0.156586724714655,0.000284389044926193
"GBP1P1",0.861756877655098,0.000288745118868932
"ELAC1",-0.169274811229262,0.000295333574397554
"STXBP3",-0.182177392626248,0.000308456274566274
"ABITRAM",-0.125200937926117,0.000313232310352234
"VAMP5",0.360258895149209,0.000325830259766092
"JUNB",0.402667428611939,0.00032971216262441
"INO80",0.124963203005078,0.000343566709727707
"TCAIM",-0.146164854587803,0.000337646874198641
"RPL3P4",0.454226750772502,0.000334725828467688
"ZNF271P",-0.136186946888561,0.000341499620526321
"CREBBP",0.132810294052419,0.000347096992474192
"MAP2K4",-0.0953612971338587,0.00035556748583866
"ADAMTS2",-1.10110774671572,0.000356421398789206
"ADAMTS5",-0.468104155393576,0.000358909225509681
"PNKP",0.167768230906198,0.000374287163164032
"GTPBP1",0.161595249460126,0.000371087143224925
"CTCF",0.0860439653173726,0.000383462083266431
"SSR3",-0.143228108478718,0.00038121954464598
"SSBP4",0.24655573358403,0.000376361209227649
"SAP130",0.117454993228239,0.00038033942295576
"FANCF",-0.270416725611847,0.000389340457213801
"METAP2",-0.109148180249642,0.000401317798365155
"C6orf62",-0.183791340258353,0.00040926681222559
"PHF19",0.125312014165674,0.00041159023495864
"NR4A1",0.585204049463372,0.000413175440305366
"NLRP7",-0.666265595336923,0.000417728175362262
"TBC1D23",-0.164653886863911,0.000508845108410776
"HPF1",-0.187030389934911,0.000450127772966336
"TBC1D22B",0.0950455860664176,0.000510119521559083
"TM9SF3",-0.188951463884965,0.000508190782761264
"ZNF446",0.159602755691712,0.000473675030361781
"TMED2",-0.143762194015273,0.000509079262377246
"SCFD1",-0.128330664125796,0.000463715589402169
"TMEM131L",0.161575287560587,0.000479971878154359
"FFAR2",0.472765202956064,0.000461896957640403
"HERC2",0.154058790618803,0.000521411721227152
"RFC3",-0.210123092170651,0.000460942802374368
"ASNSD1",-0.131378979521618,0.000459270703527954
"LMO4",-0.174144155540517,0.000470012087819062
"GUK1",0.190766937001569,0.000473973153601565
"ARMT1",-0.251676889661933,0.000521327945980629
"ATXN7L1",0.135583729949885,0.000480407171651595
"PEX13",-0.190211922841995,0.000520559460354855
"UBLCP1",-0.170993127044624,0.000450809453150316
"IKBIP",-0.276852374930044,0.000496434102404588
"UBE2V2",-0.174570661881322,0.000489020749305538
"UBE2E1",-0.222790758774584,0.000519958426570855
"CYP4F22",0.523532199193516,0.000465806195192585
"H1-10",0.268007251703623,0.000427590215802755
"DMWD",0.210639886884073,0.000468660705671116
"RBM34",-0.219263246502748,0.000486005724752925
"SIPA1L1",0.156886392064543,0.000505803388678108
"MYO1C",0.205142158045269,0.000431178536061044
"HSD17B11",-0.193752015187131,0.000469239660420345
"CEBPZOS",-0.197603319076181,0.000483233871966444
"LIPT1",-0.193043852997936,0.000524959975137437
"CRIPT",-0.197043941213372,0.000540422309395184
"RBM38",0.249826016901754,0.000542992354278222
"MIS18A",-0.186004687508718,0.000534902952061931
"SDHD",-0.164673472614309,0.000538386147903892
"LDAF1",-0.166025079744782,0.000552486209262488
"GLOD4",-0.0963902687094392,0.00054996442351327
"RALA",-0.176663055009834,0.000560454623869545
"YJU2",0.20245433114124,0.00056598509419721
"DUSP5",0.429091057067453,0.000564455627345587
"UPK3B",0.569333306359623,0.000578869887264233
"RIPOR2",0.107460144912031,0.00058731071894637
"SREK1IP1",-0.197706863910425,0.000584073403879994
"EIF3J",-0.142942958985883,0.000594880049778445
"HLA-J",1.10042828561599,0.000592596144463831
"KRCC1",-0.163772688661995,0.000604253128037423
"STK38L",-0.177249896422892,0.000605292319058619
"ST3GAL6",-0.27972896370063,0.000746629552466649
"CHD8",0.101983619571079,0.000745717262749295
"SGK3",-0.147652350358497,0.000727031266474443
"FZR1",0.182755851118564,0.000631742448495316
"RAPGEF1",0.174499195471887,0.000683484868467509
"PRDM4",0.109058590365702,0.000666657601289382
"TXNDC15",-0.181711515550516,0.000735385661341509
"GCA",-0.319591007622078,0.00070719192001079
"ZNFX1",0.11925027896887,0.000636015922272413
"MKKS",-0.181489982180785,0.000738863536490089
"TUBB2A",0.629394974494279,0.000745143878362153
"ESD",-0.142129583170804,0.000628785605594634
"GTF2A2",-0.171067340338433,0.000656292692910384
"PML",0.144461489380721,0.000681669699556388
"SRP9",-0.244732468527885,0.00069201196338604
"POLR2D",-0.101420203113007,0.000698630174585835
"IL18",-0.280003307390332,0.000679671229105756
"ARL14EP",-0.185862528808913,0.000702736652465545
"ARFIP1",-0.223321329401986,0.000677018068075586
"NUDT5",-0.112358562720523,0.000650173943648296
"RNASE6",-0.28143445863652,0.000658898812454676
"GON7",-0.205344905194059,0.000658566410458814
