Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
GOBP_REPRODUCTION	199	0.59278	0.33267	0.5955	0.40722	0.66833	1	0.0039868	0.73526	0.91917	81	0.0044424	0.8971	0.99585	118	0.003674	0.46354	0.8609
GOBP_REGULATION_OF_DNA_RECOMBINATION	29	0.51704	0.16384	0.40905	0.48296	0.83716	1	0.0041157	0.64635	0.89271	14	0.0038384	0.49351	0.89536	15	0.0043745	0.72328	0.92023
GOBP_TRANSITION_METAL_ION_TRANSPORT	11	0.63671	0.67033	0.83518	0.36329	0.33067	1	0.0014012	0.015984	0.44246	4	0.0028678	0.35165	0.84048	7	0.00056309	0.015984	0.57153
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	34	0.52989	0.21878	0.47378	0.47011	0.78222	1	0.0042263	0.74026	0.92051	16	0.0055069	0.91409	0.99585	18	0.0030879	0.24376	0.77001
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	29	0.62075	0.62737	0.80584	0.37925	0.37363	1	0.0040071	0.59041	0.8883	11	0.0054416	0.9011	0.99585	18	0.0031304	0.25874	0.77814
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	156	0.56361	0.10589	0.31603	0.43639	0.8951	1	0.0044166	0.96603	0.98859	68	0.0039382	0.54645	0.90616	88	0.0047863	0.98601	0.99213
GOBP_MAPK_CASCADE	105	0.50514	0.017982	0.11643	0.49486	0.98302	1	0.0038841	0.58541	0.8883	52	0.004689	0.91808	0.99585	53	0.0030943	0.12388	0.7274
GOBP_PROTEIN_POLYUBIQUITINATION	34	0.53009	0.22378	0.47809	0.46991	0.77722	1	0.0045743	0.85015	0.94629	16	0.0062985	0.97702	0.99585	18	0.0030417	0.22577	0.75935
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	112	0.42002	0.000999	0.020299	0.57998	1	1	0.0042463	0.88112	0.95785	65	0.0043065	0.80719	0.98976	47	0.0041631	0.76124	0.93014
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	17	0.82249	0.97103	1	0.17751	0.02997	0.84181	0.0045413	0.77223	0.9271	3	0.0069883	0.88811	0.99585	14	0.004017	0.5964	0.88855
