Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
GOBP_REPRODUCTION	71	0.43662	0.06993	0.33012	0.56338	0.93107	1	0.001342	0.20779	0.70087	40	0.001189	0.31069	0.68521	31	0.0015394	0.37862	0.96989
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	49	0.46945	0.22178	0.49841	0.53055	0.77922	1	0.0016441	0.81918	0.92778	26	0.0016584	0.88711	0.95721	23	0.0016278	0.51848	0.96989
GOBP_MAPK_CASCADE	51	0.43121	0.067932	0.32615	0.56879	0.93307	1	0.0014185	0.3986	0.77207	29	0.0009669	0.067932	0.58066	22	0.0020138	0.92208	0.99806
GOBP_PROTEIN_POLYUBIQUITINATION	12	0.084093	0.001998	0.093795	0.91591	0.999	1	0.0015216	0.56244	0.84117	11	0.0016584	0.80719	0.92651	1	1.6399e-05	0.055944	0.80028
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	29	0.2762	0.003996	0.12506	0.7238	0.997	1	0.0015384	0.60739	0.85526	21	0.0015249	0.78122	0.92651	8	0.001574	0.48052	0.96989
GOBP_MITOTIC_CELL_CYCLE	44	0.34114	0.007992	0.15476	0.65886	0.99301	1	0.0014747	0.51648	0.81423	29	0.0014755	0.72428	0.90267	15	0.0014731	0.35065	0.96989
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	17	0.4117	0.14685	0.42208	0.5883	0.85415	1	0.0012941	0.29471	0.73955	10	0.00099437	0.22478	0.65791	7	0.0017223	0.57642	0.98882
GOBP_CELL_MORPHOGENESIS	56	0.53555	0.53946	0.68548	0.46445	0.46154	1	0.001613	0.77023	0.90773	26	0.001376	0.57343	0.83831	30	0.0018183	0.79421	0.99806
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	38	0.52611	0.45554	0.63416	0.47389	0.54545	1	0.0013806	0.34965	0.7544	18	0.0010173	0.18681	0.65791	20	0.0017076	0.63137	0.99806
GOBP_CYTOKINESIS	10	0.20062	0.041958	0.26459	0.79938	0.95904	1	0.0019272	0.85115	0.93893	8	0.0019836	0.9011	0.96019	2	0.0017018	0.52747	0.96989
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	30	0.59964	0.76324	0.84748	0.40036	0.23776	1	0.001828	0.91109	0.96234	12	0.0013743	0.56244	0.83087	18	0.0021305	0.93506	0.99806
GOBP_OSSIFICATION	25	0.59977	0.8032	0.87688	0.40023	0.1978	1	0.001382	0.38661	0.77049	10	0.0011443	0.34166	0.70278	15	0.0015404	0.42058	0.96989
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	13	0.38454	0.11788	0.39217	0.61546	0.88312	1	0.00086619	0.054945	0.58274	8	0.00058225	0.055944	0.58066	5	0.0013205	0.31169	0.96989
GOBP_ACTION_POTENTIAL	10	0.69945	0.82018	0.88853	0.30055	0.18082	1	0.0020798	0.91508	0.9652	3	0.0016472	0.67932	0.89273	7	0.0022652	0.88611	0.99806
GOBP_OSTEOBLAST_DIFFERENTIATION	12	0.49987	0.41159	0.61807	0.50013	0.58941	1	0.001222	0.27972	0.73955	6	0.0009526	0.26174	0.65791	6	0.0014914	0.42058	0.96989
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT	16	0.49988	0.41958	0.61807	0.50012	0.58142	1	0.0011872	0.20679	0.70087	8	0.00094262	0.21878	0.65791	8	0.0014317	0.35864	0.96989
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	32	0.56218	0.61239	0.73504	0.43782	0.38861	1	0.0016765	0.79421	0.92121	14	0.0011916	0.37862	0.72878	18	0.0020536	0.9001	0.99806
