Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
HALLMARK_TNFA_SIGNALING_VIA_NFKB	10	0.002466	0.62438	0.76628	0.99753	0.37662	0.99201	0.0049321	0.60939	0.74789	10	0.0049321	0.65634	0.77049	0	NA	NA	NA
HALLMARK_HYPOXIA	20	0.00075209	0.20679	0.66013	0.99925	0.79421	0.99201	0.0015042	0.22378	0.65529	20	0.0015042	0.24575	0.60914	0	NA	NA	NA
HALLMARK_MITOTIC_SPINDLE	17	0.00011457	0.054945	0.33986	0.99989	0.94605	0.99201	0.00022915	0.064935	0.35065	17	0.00022915	0.067932	0.36683	0	NA	NA	NA
HALLMARK_DNA_REPAIR	16	0.0034602	0.65335	0.76697	0.99654	0.34765	0.99201	0.0069204	0.66334	0.7787	16	0.0069204	0.68731	0.77323	0	NA	NA	NA
HALLMARK_APOPTOSIS	20	0.00039578	0.11688	0.51249	0.9996	0.88412	0.99201	0.00079157	0.12587	0.48551	20	0.00079157	0.13387	0.51634	0	NA	NA	NA
HALLMARK_ADIPOGENESIS	14	2.973e-06	0.008991	0.14835	1	0.99201	0.99201	5.9459e-06	0.008991	0.22927	14	5.9459e-06	0.010989	0.14835	0	NA	NA	NA
HALLMARK_PROTEIN_SECRETION	15	0.0021591	0.51948	0.7013	0.99784	0.48152	0.99201	0.0043182	0.52947	0.71479	15	0.0043182	0.53347	0.68589	0	NA	NA	NA
HALLMARK_INTERFERON_ALPHA_RESPONSE	13	0.0013912	0.46454	0.66013	0.99861	0.53646	0.99201	0.0027824	0.46953	0.66723	13	0.0027824	0.46254	0.62443	0	NA	NA	NA
HALLMARK_INTERFERON_GAMMA_RESPONSE	18	0.0016104	0.42657	0.66013	0.99839	0.57443	0.99201	0.0032208	0.41259	0.65529	18	0.0032208	0.44056	0.62443	0	NA	NA	NA
HALLMARK_APICAL_JUNCTION	11	0.00038482	0.28671	0.66013	0.99962	0.71429	0.99201	0.00076964	0.27572	0.65529	11	0.00076964	0.26274	0.60914	0	NA	NA	NA
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	12	0.0011687	0.42158	0.66013	0.99883	0.57942	0.99201	0.0023374	0.40559	0.65529	12	0.0023374	0.43956	0.62443	0	NA	NA	NA
