Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
HALLMARK_TNFA_SIGNALING_VIA_NFKB	10	0.0090924	0.51249	0.73821	0.99091	0.48851	0.995	0.018185	0.53047	0.75383	10	0.018185	0.54845	0.71928	0	NA	NA	NA
HALLMARK_HYPOXIA	20	0.0056939	0.24276	0.46753	0.99431	0.75824	0.995	0.011388	0.25475	0.48372	20	0.011388	0.25475	0.44426	0	NA	NA	NA
HALLMARK_MITOTIC_SPINDLE	17	0.0035416	0.19081	0.46753	0.99646	0.81019	0.995	0.0070833	0.18282	0.48372	17	0.0070833	0.2028	0.44426	0	NA	NA	NA
HALLMARK_DNA_REPAIR	16	0.015149	0.5974	0.74544	0.98485	0.4036	0.995	0.030299	0.61439	0.75402	16	0.030299	0.66134	0.74401	0	NA	NA	NA
HALLMARK_APOPTOSIS	20	0.0023377	0.08991	0.44505	0.99766	0.91109	0.995	0.0046753	0.077922	0.42078	20	0.0046753	0.098901	0.44426	0	NA	NA	NA
HALLMARK_ADIPOGENESIS	14	8.723e-05	0.015984	0.14386	0.99991	0.98501	0.995	0.00017446	0.010989	0.098901	14	0.00017446	0.008991	0.080919	0	NA	NA	NA
HALLMARK_PROTEIN_SECRETION	15	0.011129	0.49351	0.73821	0.98887	0.50749	0.995	0.022259	0.50949	0.75383	15	0.022259	0.55944	0.71928	0	NA	NA	NA
HALLMARK_INTERFERON_ALPHA_RESPONSE	13	0.0033012	0.21479	0.46753	0.9967	0.78621	0.995	0.0066023	0.23077	0.48372	13	0.0066023	0.24276	0.44426	0	NA	NA	NA
HALLMARK_INTERFERON_GAMMA_RESPONSE	18	0.003468	0.18182	0.46753	0.99653	0.81918	0.995	0.006936	0.18182	0.48372	18	0.006936	0.18681	0.44426	0	NA	NA	NA
HALLMARK_APICAL_JUNCTION	11	0.00098617	0.098901	0.44505	0.99901	0.9021	0.995	0.0019723	0.0999	0.44955	11	0.0019723	0.094905	0.44426	0	NA	NA	NA
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	12	0.013944	0.60739	0.74544	0.98606	0.39361	0.995	0.027887	0.6014	0.75402	12	0.027887	0.64735	0.74401	0	NA	NA	NA
HALLMARK_PI3K_AKT_MTOR_SIGNALING	13	0.0029905	0.19081	0.46753	0.99701	0.81019	0.995	0.005981	0.20879	0.48372	13	0.005981	0.22378	0.44426	0	NA	NA	NA
HALLMARK_MTORC1_SIGNALING	21	0.0081283	0.35764	0.60352	0.99187	0.64336	0.995	0.016257	0.36364	0.61364	21	0.016257	0.39261	0.58891	0	NA	NA	NA
HALLMARK_E2F_TARGETS	12	0.0037745	0.25974	0.46753	0.99623	0.74126	0.995	0.0075489	0.26873	0.48372	12	0.0075489	0.27972	0.44426	0	NA	NA	NA
HALLMARK_MYC_TARGETS_V1	19	0.019049	0.68032	0.79864	0.98095	0.32068	0.995	0.038098	0.66234	0.77753	19	0.038098	0.75125	0.81135	0	NA	NA	NA
