Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)
KEGG_GLYCEROLIPID_METABOLISM	1	4.4548e-22	0.12288	0.99001	1	1	1	8.9096e-22	0.12488	0.99201	1	8.9096e-22	0.098901	0.98701	0
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	2	2.9423e-05	0.96803	0.99001	0.99997	0.040959	0.38828	5.8846e-05	0.97602	0.99201	2	5.8846e-05	0.96404	0.98701	0
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	2	3.3198e-05	0.97902	0.99001	0.99997	0.021978	0.38828	6.6397e-05	0.98701	0.99201	2	6.6397e-05	0.98002	0.98701	0
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	4	2.987e-13	0.45554	0.99001	1	0.54845	0.68556	5.9741e-13	0.43756	0.99201	4	5.9741e-13	0.43057	0.98701	0
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	4	9.7849e-13	0.55844	0.99001	1	0.44256	0.57272	1.957e-12	0.54645	0.99201	4	1.957e-12	0.52647	0.98701	0
KEGG_LYSOSOME	1	2.7766e-15	0.66434	0.99001	1	0.34166	0.48808	5.5532e-15	0.66633	0.99201	1	5.5532e-15	0.64835	0.98701	0
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	2	1.2178e-14	0.60639	0.99001	1	0.3956	0.52959	2.4357e-14	0.58042	0.99201	2	2.4357e-14	0.58142	0.98701	0
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1	1.322e-12	0.80619	0.99001	1	0.2018	0.38828	2.644e-12	0.81419	0.99201	1	2.644e-12	0.79221	0.98701	0
KEGG_PRIMARY_IMMUNODEFICIENCY	1	1.322e-12	0.80619	0.99001	1	0.2018	0.38828	2.644e-12	0.81419	0.99201	1	2.644e-12	0.79221	0.98701	0
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1	5.4421e-15	0.69031	0.99001	1	0.31369	0.46629	1.0884e-14	0.69331	0.99201	1	1.0884e-14	0.67133	0.98701	0
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	5.4421e-15	0.69031	0.99001	1	0.31369	0.46629	1.0884e-14	0.69331	0.99201	1	1.0884e-14	0.67133	0.98701	0
KEGG_DILATED_CARDIOMYOPATHY	1	5.4421e-15	0.69031	0.99001	1	0.31369	0.46629	1.0884e-14	0.69331	0.99201	1	1.0884e-14	0.67133	0.98701	0
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	3	1.7974e-15	0.34965	0.99001	1	0.65335	0.76923	3.5947e-15	0.33766	0.99201	3	3.5947e-15	0.33766	0.98701	0
KEGG_PENTOSE_PHOSPHATE_PATHWAY	2	5.2268e-11	0.84316	0.99001	1	0.15784	0.38828	1.0454e-10	0.85215	0.99201	2	1.0454e-10	0.83217	0.98701	0
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1	6.9199e-18	0.46154	0.99001	1	1	1	1.384e-17	0.48152	0.99201	1	1.384e-17	0.45155	0.98701	0
KEGG_FATTY_ACID_METABOLISM	1	4.4151e-11	0.89211	0.99001	1	0.11688	0.38828	8.8302e-11	0.8961	0.99201	1	8.8302e-11	0.88611	0.98701	0
KEGG_PURINE_METABOLISM	5	1.3279e-05	0.94505	0.99001	0.99999	0.055944	0.38828	2.6559e-05	0.94206	0.99201	5	2.6559e-05	0.92907	0.98701	0
KEGG_PYRIMIDINE_METABOLISM	4	1.6599e-05	0.94805	0.99001	0.99998	0.052947	0.38828	3.3198e-05	0.95405	0.99201	4	3.3198e-05	0.94705	0.98701	0
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1	6.7412e-17	0.55445	0.99001	1	1	1	1.3482e-16	0.55944	0.99201	1	1.3482e-16	0.52747	0.98701	0
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	1	2.8619e-13	0.77622	0.99001	1	0.22877	0.3932	5.7239e-13	0.79221	0.99201	1	5.7239e-13	0.76723	0.98701	0
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	4.4151e-11	0.89211	0.99001	1	0.11688	0.38828	8.8302e-11	0.8961	0.99201	1	8.8302e-11	0.88611	0.98701	0
KEGG_ARGININE_AND_PROLINE_METABOLISM	1	2.4782e-06	0.97403	0.99001	1	0.035964	0.38828	4.9564e-06	0.97403	0.99201	1	4.9564e-06	0.97303	0.98701	0
KEGG_SELENOAMINO_ACID_METABOLISM	2	4.1898e-05	0.99001	0.99001	0.99996	0.010989	0.38828	8.3796e-05	0.99201	0.99201	2	8.3796e-05	0.98701	0.98701	0
KEGG_GLUTATHIONE_METABOLISM	1	2.0753e-15	0.64735	0.99001	1	0.36663	0.5105	4.1506e-15	0.64336	0.99201	1	4.1506e-15	0.62338	0.98701	0
KEGG_STARCH_AND_SUCROSE_METABOLISM	1	5.3845e-15	0.68731	0.99001	1	0.31968	0.46886	1.0769e-14	0.68531	0.99201	1	1.0769e-14	0.66733	0.98701	0
