"","X","Name","Stat..dist.dir.up.","p.adj..dist.dir.up.","Genes..up.","Stat..dist.dir.dn.","p.adj..dist.dir.dn.","Genes..down.","comp","sign","sub_2","pvalue","Nb"
"41",29,"starch and sucrose metabolism",0.32653,0.49808,8,0.67347,1,5,"proteomics_spermin_frac_CBoth-CControl","up","yes",0.49808,8
"66",80,"insulin signaling pathway",0.36284,0.49496,24,0.63716,1,13,"proteomics_spermin_frac_CBoth-CControl","up","yes",0.49496,24
"95",40,"erbb signaling pathway",0.36096,0.4781,17,0.63904,1,8,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.4781,17
"119",72,"b cell receptor signaling pathway",0.35236,0.45783,15,0.64764,1,9,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.45783,15
"54",56,"vegf signaling pathway",0.33367,0.45608,15,0.66633,1,8,"proteomics_spermin_frac_CBoth-CControl","up","yes",0.45608,15
"2",28,"ppar signaling pathway",0.43539,0.45484,9,0.56461,1,6,"proteomics_monocytes_frac_HC_like_vs_At_risk","up","yes",0.45484,9
"3",31,"calcium signaling pathway",0.42191,0.45412,9,0.57809,1,8,"proteomics_monocytes_frac_HC_like_vs_At_risk","up","yes",0.45412,9
"14",66,"melanogenesis",0.39576,0.45412,7,0.60424,1,5,"proteomics_monocytes_frac_HC_like_vs_At_risk","up","yes",0.45412,7
"126",801,"insulin signaling pathway",0.35321,0.43374,24,0.64679,1,13,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.43374,24
"115",63,"complement and coagulation cascades",0.34346,0.42539,16,0.65654,1,9,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.42539,16
"145",38,"ppar signaling pathway",0.5028,1,9,0.4972,0.37898,12,"proteomics_spermin_frac_CSpermine-CControl","down","yes",0.37898,12
"141",282,"glutathione metabolism",0.50348,1,10,0.49652,0.37898,11,"proteomics_spermin_frac_CSpermine-CControl","down","yes",0.37898,11
"118",701,"natural killer cell mediated cytotoxicity",0.34048,0.36106,22,0.65952,1,11,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.36106,22
"127",81,"gnrh signaling pathway",0.32041,0.36106,16,0.67959,1,7,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.36106,16
"22",281,"glutathione metabolism",0.61229,1,7,0.38771,0.35631,14,"proteomics_spermin_frac_CBoth-CControl","down","yes",0.35631,14
"12",53,"hematopoietic cell lineage",0.39538,0.3544,10,0.60462,1,4,"proteomics_monocytes_frac_HC_like_vs_At_risk","up","yes",0.3544,10
"154",392,"mapk signaling pathway",0.33441,0.35122,40,0.66559,1,10,"proteomics_spermin_frac_CSpermine-CControl","up","yes",0.35122,40
"91",211,"pyrimidine metabolism",0.3104,0.33808,14,0.6896,1,5,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.33808,14
"61",731,"fc epsilon ri signaling pathway",0.30927,0.31439,18,0.69073,1,7,"proteomics_spermin_frac_CBoth-CControl","up","yes",0.31439,18
"140",18,"fatty acid metabolism",0.51018,1,10,0.48982,0.30732,15,"proteomics_spermin_frac_CSpermine-CControl","down","yes",0.30732,15
"51",531,"wnt signaling pathway",0.30793,0.29801,17,0.69207,1,7,"proteomics_spermin_frac_CBoth-CControl","up","yes",0.29801,17
"166",752,"leukocyte transendothelial migration",0.32077,0.27005,32,0.67923,1,8,"proteomics_spermin_frac_CSpermine-CControl","up","yes",0.27005,32
"168",802,"insulin signaling pathway",0.31463,0.26129,28,0.68537,1,9,"proteomics_spermin_frac_CSpermine-CControl","up","yes",0.26129,28
"142",30,"amino sugar and nucleotide sugar metabolism",0.53019,1,9,0.46981,0.24942,8,"proteomics_spermin_frac_CSpermine-CControl","down","yes",0.24942,8
