"","Name","Stat..dist.dir.up.","p.adj..dist.dir.up.","Genes..up.","Stat..dist.dir.dn.","p.adj..dist.dir.dn.","Genes..down.","comp","sign","pvalue","Nb","Stat"
"3","GLYCEROLIPID_METABOLISM",0.8453,1,2,0.1547,0.099234,20,"at-risk_controls","down",0.099234,20,-0.1547
"34","LYSINE_DEGRADATION",0.78399,1,5,0.21601,0.10632,25,"at-risk_controls","down",0.10632,25,-0.21601
"58","RIBOSOME",0.92509,1,5,0.07491,0.074426,76,"at-risk_controls","down",0.074426,76,-0.07491
"62","SPLICEOSOME",0.75667,1,25,0.24333,0.074426,95,"at-risk_controls","down",0.074426,95,-0.24333
"11","LYSOSOME",0.50409,0.12759,33,0.49591,1,34,"at-risk_controls","up",0.12759,33,0.50409
"40","SELENOAMINO_ACID_METABOLISM",0.40282,0.11908,11,0.59718,1,7,"at-risk_controls","up",0.11908,11,0.40282
"80","REGULATION_OF_AUTOPHAGY",0.33604,0.11908,9,0.66396,1,5,"at-risk_controls","up",0.11908,9,0.33604
"84","APOPTOSIS",0.45886,0.11908,22,0.54114,1,18,"at-risk_controls","up",0.11908,22,0.45886
"99","COMPLEMENT_AND_COAGULATION_CASCADES",0.04217,0.11908,36,0.95783,1,2,"at-risk_controls","up",0.11908,36,0.04217
"111","LYSOSOME",0.64993,1,21,0.35007,0.074426,46,"hc-like_at-risk_corrected","down",0.074426,46,-0.35007
"26","OXIDATIVE_PHOSPHORYLATION",0.56861,1,36,0.43139,0.11164,50,"hc-like_at-risk_corrected","down",0.11164,50,-0.43139
"55","DRUG_METABOLISM_OTHER_ENZYMES",0.70714,1,2,0.29286,0.11164,9,"hc-like_at-risk_corrected","down",0.11164,9,-0.29286
"98","GAP_JUNCTION",0.58072,1,21,0.41928,0.13231,34,"hc-like_at-risk_corrected","down",0.13231,34,-0.41928
"117","REGULATION_OF_ACTIN_CYTOSKELETON",0.55392,1,46,0.44608,0.11164,67,"hc-like_at-risk_corrected","down",0.11164,67,-0.44608
"125","VASOPRESSIN_REGULATED_WATER_REABSORPTION",0.63862,1,6,0.36138,0.11164,21,"hc-like_at-risk_corrected","down",0.11164,21,-0.36138
"31","GLYCEROLIPID_METABOLISM",0.80052,1,4,0.19948,0.14885,18,"hc-like_controls","down",0.14885,18,-0.19948
"581","RIBOSOME",0.86734,1,8,0.13266,0.049617,73,"hc-like_controls","down",0.049617,73,-0.13266
"621","SPLICEOSOME",0.74977,1,25,0.25023,0.049617,95,"hc-like_controls","down",0.049617,95,-0.25023
"113","LYSOSOME",0.4076,0.037213,43,0.5924,1,24,"hc-like_controls","up",0.037213,43,0.4076
"801","REGULATION_OF_AUTOPHAGY",0.27411,0.037213,11,0.72589,1,3,"hc-like_controls","up",0.037213,11,0.27411
"841","APOPTOSIS",0.42518,0.037213,24,0.57482,1,16,"hc-like_controls","up",0.037213,24,0.42518
"991","COMPLEMENT_AND_COAGULATION_CASCADES",0.049977,0.037213,36,0.95002,1,2,"hc-like_controls","up",0.037213,36,0.049977
