"","X","Name","Stat..dist.dir.up.","p.adj..dist.dir.up.","Genes..up.","Stat..dist.dir.dn.","p.adj..dist.dir.dn.","Genes..down.","comp","sign","pvalue","Nb"
"28",6,"LYSOSOME",0.46521,0.071262,36,0.53479,1,19,"proteomics_spermin_frac_CBoth-CControl","up",0.071262,36
"30",632,"COMPLEMENT_AND_COAGULATION_CASCADES",0.33344,0.071262,18,0.66656,1,7,"proteomics_spermin_frac_CBoth-CControl","up",0.071262,18
"29",582,"ECM_RECEPTOR_INTERACTION",0.36056,0.071262,15,0.63944,1,8,"proteomics_spermin_frac_CBoth-CControl","up",0.071262,15
"17",59,"CELL_ADHESION_MOLECULES_CAMS",0.50249,0.071262,12,0.49751,1,11,"proteomics_norm_spermin_frac_CSpermine-CControl","up",0.071262,12
"44",621,"GAP_JUNCTION",0.52324,0.062878,15,0.47676,1,17,"proteomics_spermin_frac_CSpermine-CControl","up",0.062878,15
"4",63,"COMPLEMENT_AND_COAGULATION_CASCADES",0.35294,0.053447,17,0.64706,1,8,"proteomics_norm_spermin_frac_CBoth-CControl","up",0.053447,17
"3",58,"ECM_RECEPTOR_INTERACTION",0.39008,0.053447,15,0.60992,1,8,"proteomics_norm_spermin_frac_CBoth-CControl","up",0.053447,15
"5",351,"RIBOSOME",0.99852,1,0,0.0014778,0.053447,66,"proteomics_norm_spermin_frac_CSpermine-CControl","down",0.053447,66
"31",353,"RIBOSOME",0.9957,1,0,0.0042994,0.053447,66,"proteomics_spermin_frac_CSpermine-CControl","down",0.053447,66
"1",35,"RIBOSOME",0.85311,1,2,0.14689,0.053447,64,"proteomics_norm_spermin_frac_CBoth-CControl","down",0.053447,64
"26",352,"RIBOSOME",0.85164,1,4,0.14836,0.053447,62,"proteomics_spermin_frac_CBoth-CControl","down",0.053447,62
"6",361,"SPLICEOSOME",0.93949,1,2,0.060511,0.053447,32,"proteomics_norm_spermin_frac_CSpermine-CControl","down",0.053447,32
"32",363,"SPLICEOSOME",0.93344,1,2,0.06656,0.053447,32,"proteomics_spermin_frac_CSpermine-CControl","down",0.053447,32
"2",36,"SPLICEOSOME",0.83063,1,3,0.16937,0.053447,31,"proteomics_norm_spermin_frac_CBoth-CControl","down",0.053447,31
"27",362,"SPLICEOSOME",0.82533,1,3,0.17467,0.053447,31,"proteomics_spermin_frac_CBoth-CControl","down",0.053447,31
"19",62,"GAP_JUNCTION",0.51936,0.037727,15,0.48064,1,17,"proteomics_norm_spermin_frac_CSpermine-CControl","up",0.037727,15
"11",29,"STARCH_AND_SUCROSE_METABOLISM",0.38538,0.030541,8,0.61462,1,5,"proteomics_norm_spermin_frac_CSpermine-CControl","up",0.030541,8
"47",751,"LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.51677,0.022906,20,0.48323,1,20,"proteomics_spermin_frac_CSpermine-CControl","up",0.022906,20
"46",691,"HEMATOPOIETIC_CELL_LINEAGE",0.44499,0.022906,12,0.55501,1,9,"proteomics_spermin_frac_CSpermine-CControl","up",0.022906,12
"37",291,"STARCH_AND_SUCROSE_METABOLISM",0.39649,0.022906,8,0.60351,1,5,"proteomics_spermin_frac_CSpermine-CControl","up",0.022906,8
"22",75,"LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.51827,0.016445,20,0.48173,1,20,"proteomics_norm_spermin_frac_CSpermine-CControl","up",0.016445,20
"21",69,"HEMATOPOIETIC_CELL_LINEAGE",0.44639,0.016445,12,0.55361,1,9,"proteomics_norm_spermin_frac_CSpermine-CControl","up",0.016445,12
"13",42,"CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.2968,0.016445,8,0.7032,1,3,"proteomics_norm_spermin_frac_CSpermine-CControl","up",0.016445,8
"23",79,"REGULATION_OF_ACTIN_CYTOSKELETON",0.48865,0.013362,39,0.51135,1,34,"proteomics_norm_spermin_frac_CSpermine-CControl","up",0.013362,39
"15",57,"FOCAL_ADHESION",0.39315,0.013362,37,0.60685,1,23,"proteomics_norm_spermin_frac_CSpermine-CControl","up",0.013362,37
"16",581,"ECM_RECEPTOR_INTERACTION",0.18912,0.013362,19,0.81088,1,4,"proteomics_norm_spermin_frac_CSpermine-CControl","up",0.013362,19
"20",631,"COMPLEMENT_AND_COAGULATION_CASCADES",0.35097,0.013362,16,0.64903,1,9,"proteomics_norm_spermin_frac_CSpermine-CControl","up",0.013362,16
"48",791,"REGULATION_OF_ACTIN_CYTOSKELETON",0.48846,0.011877,39,0.51154,1,34,"proteomics_spermin_frac_CSpermine-CControl","up",0.011877,39
"41",571,"FOCAL_ADHESION",0.39011,0.011877,37,0.60989,1,23,"proteomics_spermin_frac_CSpermine-CControl","up",0.011877,37
"42",583,"ECM_RECEPTOR_INTERACTION",0.17966,0.011877,19,0.82034,1,4,"proteomics_spermin_frac_CSpermine-CControl","up",0.011877,19
"45",633,"COMPLEMENT_AND_COAGULATION_CASCADES",0.35224,0.011877,16,0.64776,1,9,"proteomics_spermin_frac_CSpermine-CControl","up",0.011877,16
"39",421,"CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.31262,0.011877,8,0.68738,1,3,"proteomics_spermin_frac_CSpermine-CControl","up",0.011877,8
