,X0,X1,X2
ENSG00000000003,0.3492135,0.2466995,0.175363
ENSG00000000419,31.3042165,29.806746,31.7847075
ENSG00000000457,8.9059945,9.196564,8.942432
ENSG00000000460,4.0158525,4.1044695,4.099608
ENSG00000000938,219.3664995,274.2886315,299.272554
ENSG00000000971,3.665545,2.0836905,2.2745155
ENSG00000001036,16.145408,18.1777945,18.394612
ENSG00000001084,11.5193315,13.339274,13.6856055
ENSG00000001167,21.0002075,22.114389,22.4663225
ENSG00000001460,1.88715,1.7842055,1.842663
ENSG00000001461,13.1791265,12.541609,12.0102155
ENSG00000001497,17.44663,17.6366645,17.5210025
ENSG00000001561,4.9183035,6.350989,8.234961
ENSG00000001617,0,0,0
ENSG00000001626,0,0,0
ENSG00000001629,10.9564515,11.7605295,12.297602
ENSG00000001630,7.002403,5.632227,5.817149
ENSG00000001631,15.960883,15.980664,16.744711
ENSG00000002016,6.3358615,6.812709,6.779284
ENSG00000002079,0,0,0
ENSG00000002330,12.374153,12.286393,11.9042255
ENSG00000002549,45.852816,51.8516335,57.7229395
ENSG00000002586,160.1948605,199.811935,214.178822
ENSG00000002587,0.211377,0.181184,0.1303245
ENSG00000002726,0,0.040812,0.0318765
ENSG00000002745,0.4788055,0.4176925,0.2816215
ENSG00000002746,0,0,0
ENSG00000002822,21.6985285,24.5379175,23.989178
ENSG00000002834,50.6166065,62.448335,66.957724
ENSG00000002919,15.6950295,20.2133605,20.253052
ENSG00000002933,9.2577085,28.4142435,42.3603155
ENSG00000003056,139.837111,151.0778585,155.814161
ENSG00000003096,0.151906,0.1269365,0.1345385
ENSG00000003137,0,0,0
ENSG00000003147,1.6985685,2.1168375,1.977271
ENSG00000003249,1.870562,1.6337925,1.239405
ENSG00000003393,3.6310905,3.8109505,4.0855205
ENSG00000003400,13.386195,13.016606,13.048777
ENSG00000003402,87.885773,94.487239,107.1372915
ENSG00000003436,0.212243,0.1293375,0.0989305
ENSG00000003509,12.884772,12.2555685,12.652786
ENSG00000003756,129.543941,127.315506,120.6949655
ENSG00000003987,0,0,0
ENSG00000003989,0,0,0
ENSG00000004059,132.475573,135.486285,134.8120455
ENSG00000004139,6.419108,6.6919255,6.726696
ENSG00000004142,23.609447,29.5929825,27.8748685
ENSG00000004399,38.6009305,53.2028345,54.0364565
ENSG00000004455,54.581124,65.4555495,64.5023495
ENSG00000004468,4.9839645,5.708356,5.775094
ENSG00000004478,14.9407495,16.423902,16.794843
ENSG00000004487,19.339861,19.7498815,19.568882
ENSG00000004534,75.862876,86.6753365,92.662725
ENSG00000004660,2.7076825,2.7182145,2.8414925
ENSG00000004700,24.561436,28.688545,31.535624
ENSG00000004766,10.2136485,10.201771,10.553819
ENSG00000004776,0,0,0
ENSG00000004777,3.564952,3.839146,4.027907
ENSG00000004779,39.88051,43.237143,46.5352355
ENSG00000004799,4.7041795,5.4553185,8.907858
ENSG00000004809,1.054671,0.8526455,0.852045
ENSG00000004838,0.6551705,1.2534045,1.270776
ENSG00000004846,0,0,0
ENSG00000004848,0,0,0
ENSG00000004864,8.479393,8.060677,8.619489
ENSG00000004866,3.6857125,4.139049,4.513422
ENSG00000004897,20.5960675,22.005131,22.3809595
ENSG00000004939,0.141904,0.083597,0.1505885
ENSG00000004948,0,0,0
ENSG00000004961,11.9377335,12.913223,12.729542
ENSG00000004975,13.583003,14.5973095,14.120369
ENSG00000005001,0.296957,0.2622855,0.2065995
ENSG00000005007,14.3821415,14.7270315,15.7260495
ENSG00000005020,18.2633715,23.52652,25.6587035
ENSG00000005022,212.8656815,224.308753,221.2219685
ENSG00000005059,55.9570255,53.6497305,54.227313
ENSG00000005073,0,0,0
ENSG00000005075,39.173792,45.143236,44.3717585
ENSG00000005100,4.3274505,4.8235445,5.023859
ENSG00000005102,0.761052,0.823113,0.8024005
ENSG00000005108,0,0,0
ENSG00000005156,5.862707,6.917935,6.930302
ENSG00000005175,20.5467045,20.190498,21.449345
ENSG00000005187,4.666994,3.675306,3.6152715
ENSG00000005189,0.402385,0.463252,0.575557
ENSG00000005194,20.923016,23.225294,23.56664
ENSG00000005206,13.1626265,15.0124235,13.954308
ENSG00000005238,14.5009795,16.0104705,17.0427275
ENSG00000005243,3.1253245,3.6379785,4.128549
ENSG00000005249,9.560752,5.001219,5.65177
ENSG00000005302,74.968476,66.227524,65.300173
ENSG00000005339,26.209433,27.445771,28.902068
ENSG00000005379,17.981494,20.788672,25.309073
ENSG00000005381,1.1774245,1.268182,1.1165935
ENSG00000005421,0,0,0
ENSG00000005436,16.0472225,12.5034955,12.495018
ENSG00000005448,13.7705115,14.691822,14.347871
ENSG00000005469,5.074302,4.8828,5.431508
ENSG00000005471,1.8809885,1.768582,1.316571
ENSG00000005483,44.315652,45.986406,47.7271025
ENSG00000005486,24.2367715,24.427286,24.344911
ENSG00000005513,0.448008,0.3082015,0.240185
ENSG00000005700,10.5545065,10.6960295,11.5040155
ENSG00000005801,14.9002755,14.877909,14.968076
ENSG00000005810,43.0090385,42.84661,43.7417015
ENSG00000005812,21.9745865,20.2932385,21.261618
ENSG00000005844,216.4019095,256.168466,294.1106325
ENSG00000005882,11.9581725,15.512778,14.6675445
ENSG00000005884,1.8896555,1.799404,1.4593785
ENSG00000005889,11.476055,11.8261825,12.4969115
ENSG00000005893,38.482428,47.9108155,50.579238
ENSG00000005961,11.864377,3.7328235,4.765583
ENSG00000005981,0,0,0
ENSG00000006007,23.8962855,30.6741075,31.2523825
ENSG00000006015,18.7879995,18.9979875,18.5427465
ENSG00000006016,0,0,0
ENSG00000006025,10.667013,13.238713,14.1286885
ENSG00000006042,0.0272605,0.038189,0
ENSG00000006047,0.0512725,0.0337245,0.023998
ENSG00000006062,14.9923655,18.0450955,17.2728925
ENSG00000006071,0,0,0
ENSG00000006116,0,0,0
ENSG00000006118,0.034328,0.021804,0
ENSG00000006125,32.1489755,40.7980855,44.235561
ENSG00000006194,22.094995,22.691147,22.881242
ENSG00000006210,0,0,0
ENSG00000006282,11.198994,12.716304,12.206502
ENSG00000006283,0,0,0
ENSG00000006327,0.981741,0.933112,0.930789
ENSG00000006377,0,0,0
ENSG00000006432,1.0155485,0.970254,0.8639
ENSG00000006451,15.078859,15.6462745,16.2603525
ENSG00000006453,0.2937995,0.196986,0.1655895
ENSG00000006459,19.490238,18.1880495,18.1959745
ENSG00000006468,0.077486,0.0692495,0.0737335
ENSG00000006530,11.5644045,12.8104235,14.0030725
ENSG00000006534,14.9120715,15.120848,14.4992785
ENSG00000006555,3.0557855,3.5231615,4.0289995
ENSG00000006576,17.6168365,14.9069085,14.8046275
ENSG00000006606,0,0,0
ENSG00000006607,7.083537,6.9079975,6.625375
ENSG00000006611,0,0,0
ENSG00000006625,15.2850205,14.7515015,15.285236
ENSG00000006634,11.619783,8.9769015,9.418706
ENSG00000006638,0.595668,0.511967,0.3775475
ENSG00000006652,61.7560815,33.7667795,33.798521
ENSG00000006659,0.1149835,0.091234,0.0618505
ENSG00000006695,10.162905,11.0871695,11.017336
ENSG00000006704,0.166823,0.165181,0.118442
ENSG00000006712,29.7817795,24.2435965,25.133595
ENSG00000006715,14.8616325,16.648894,17.4641675
ENSG00000006740,0.0290775,0.0464015,0.046609
ENSG00000006744,23.444677,22.5976055,22.9177015
ENSG00000006747,0.098774,0.1119195,0.107793
ENSG00000006756,4.5873185,5.201534,5.4515875
ENSG00000006757,3.94418,4.790849,4.268404
ENSG00000006831,14.399027,17.6573335,19.7390175
ENSG00000006837,0.545754,0.522393,0.4861735
ENSG00000007001,0,0,0
ENSG00000007038,1.5351525,2.382439,2.387376
ENSG00000007047,7.6606,11.617715,12.9141
ENSG00000007062,0.0780515,0.0904425,0.113568
ENSG00000007080,9.6290755,13.0234165,12.2147285
ENSG00000007129,17.8741105,20.0713185,17.947364
ENSG00000007168,61.6151545,59.0145565,60.795137
ENSG00000007171,0.044857,0.0199115,0.0173485
ENSG00000007174,0,0,0
ENSG00000007202,37.0193075,40.658722,40.870938
ENSG00000007237,21.0306535,22.501903,24.582153
ENSG00000007255,23.4565135,27.021035,24.346281
ENSG00000007264,11.932301,18.5575535,22.171764
ENSG00000007306,0,0,0
ENSG00000007312,116.7265345,103.094412,84.164242
