"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name"
"P05114","P05114",-0.5442229900999,0.00013626410285633,0.427683406208786,"Control vs SPD","HMGN1"
"A6NE52","A6NE52",0.325280547778897,0.000137851218761897,0.427683406208786,"Control vs SPD","WDR97"
"Q16647","Q16647",0.401909148959531,0.000419466949922348,0.458354390982742,"Control vs SPD","PTGIS"
"Q9P2N5","Q9P2N5",-0.35009742638557,0.000433046572487833,0.458354390982742,"Control vs SPD","RBM27"
"Q49MG5","Q49MG5",-0.372413833715335,0.000515626102339408,0.458354390982742,"Control vs SPD","MAP9"
"Q9UK76","Q9UK76",-0.309106248053403,0.000626350821328162,0.458354390982742,"Control vs SPD","JPT1"
"P02689","P02689",0.284938105066169,0.000632270151582848,0.458354390982742,"Control vs SPD","PMP2"
"P49006","P49006",-0.327507697325735,0.000724996388266806,0.458354390982742,"Control vs SPD","MARCKSL1"
"P16260","P16260",0.261610365054466,0.000787378948305998,0.458354390982742,"Control vs SPD","SLC25A16"
"Q96EP5","Q96EP5",-0.273609571180233,0.000871749503348658,0.458354390982742,"Control vs SPD","DAZAP1"
"Q8N715","Q8N715",-0.471881858230069,0.000879918963352226,0.458354390982742,"Control vs SPD","CCDC185"
"Q9BPY8","Q9BPY8",-0.383424200185503,0.000886422673939227,0.458354390982742,"Control vs SPD","HOPX"
"Q9Y2V2","Q9Y2V2",-0.253830010929503,0.00104522925046963,0.498895961474156,"Control vs SPD","CARHSP1"
"Q96NC0","Q96NC0",-0.274684856556103,0.00113324989243269,0.502272541610345,"Control vs SPD","ZMAT2"
"Q86UT6","Q86UT6",0.299297098639664,0.00131397751716977,0.504471157659932,"Control vs SPD","NLRX1"
"Q96MW1","Q96MW1",-0.232860937596768,0.00145744511909597,0.504471157659932,"Control vs SPD","CCDC43"
"Q8WUB8","Q8WUB8",-0.349042421890771,0.00148678270947314,0.504471157659932,"Control vs SPD","PHF10"
"Q9HCH3","Q9HCH3",0.301045539388731,0.00173104021302351,0.504471157659932,"Control vs SPD","CPNE5"
"Q9Y6D6","Q9Y6D6",-0.257564579513502,0.00176284984884363,0.504471157659932,"Control vs SPD","ARFGEF1"
"Q86UY8","Q86UY8",0.268065779125096,0.00189032824705778,0.504471157659932,"Control vs SPD","NT5DC3"
"P09012","P09012",-0.227626656704669,0.0019299300254487,0.504471157659932,"Control vs SPD","SNRPA"
"Q9Y508","Q9Y508",-0.297375886201467,0.00192998660057362,0.504471157659932,"Control vs SPD","RNF114"
"P52294","P52294",-0.231264125250568,0.00201587815556566,0.504471157659932,"Control vs SPD","KPNA1"
"Q9Y328","Q9Y328",-0.652818657963905,0.00210245836226201,0.504471157659932,"Control vs SPD","NSG2"
"Q15836","Q15836",0.268208001877796,0.00232333710023947,0.504471157659932,"Control vs SPD","VAMP3"
"P50053","P50053",-0.345580713834836,0.00235715941408338,0.504471157659932,"Control vs SPD","KHK"
"P10415","P10415",-0.270699409564736,0.00239693731430879,0.504471157659932,"Control vs SPD","BCL2"
"Q96GZ6","Q96GZ6",-0.301598034084304,0.00239733072667731,0.504471157659932,"Control vs SPD","SLC41A3"
"P62987","P62987",-0.34353621794647,0.00259723820533786,0.504471157659932,"Control vs SPD","UBA52"
"Q02487","Q02487",-0.681380114558835,0.00269342093988817,0.504471157659932,"Control vs SPD","DSC2"
"Q14444","Q14444",-0.200648511488136,0.00275187346411233,0.504471157659932,"Control vs SPD","CAPRIN1"
"Q06547","Q06547",-0.253154370290934,0.00280771991793775,0.504471157659932,"Control vs SPD","GABPB1"
"P68402","P68402",-0.254148673058968,0.00296427945825428,0.504471157659932,"Control vs SPD","PAFAH1B2"
"Q14919","Q14919",-0.203326060661166,0.00301739406429441,0.504471157659932,"Control vs SPD","DRAP1"
"Q02127","Q02127",0.211637057621665,0.00311571329360311,0.504471157659932,"Control vs SPD","DHODH"
"Q7L4I2","Q7L4I2",-0.229911074920237,0.00323101854766995,0.504471157659932,"Control vs SPD","RSRC2"
"P09429","P09429",-0.223073212510538,0.00325125095518901,0.504471157659932,"Control vs SPD","HMGB1"
"Q16643","Q16643",-0.204947950384433,0.00328824157827932,0.504471157659932,"Control vs SPD","DBN1"
"P84085","P84085",-0.261696650242869,0.00332160237115899,0.504471157659932,"Control vs SPD","ARF5"
"Q9H299","Q9H299",-0.284573265977672,0.00333333077583516,0.504471157659932,"Control vs SPD","SH3BGRL3"
"Q6ZU35","Q6ZU35",-0.190921948855269,0.00342044761122331,0.505330414943825,"Control vs SPD","CRACD"
"Q3SYG4","Q3SYG4",0.37144360970363,0.00362399038621717,0.507817953077239,"Control vs SPD","BBS9"
"Q96EI5","Q96EI5",-0.254844869681138,0.00364455770523514,0.507817953077239,"Control vs SPD","TCEAL4"
"Q969Q0","Q969Q0",-0.391905438468234,0.00374013481463023,0.507817953077239,"Control vs SPD","RPL36AL"
"Q9BQ61","Q9BQ61",-0.22427304133717,0.00391212914790459,0.507817953077239,"Control vs SPD","TRIR"
"Q8NFY4","Q8NFY4",0.25213255234703,0.00395022743668457,0.507817953077239,"Control vs SPD","SEMA6D"
"Q9H0R3","Q9H0R3",-0.310225077463068,0.00398624673435931,0.507817953077239,"Control vs SPD","TMEM222"
"Q7LBR1","Q7LBR1",-0.219910222364634,0.00401299327254946,0.507817953077239,"Control vs SPD","CHMP1B"
"Q9UJT2","Q9UJT2",-0.349065787090302,0.00434425136690955,0.507817953077239,"Control vs SPD","TSKS"
"O75157","O75157",-0.371188066141837,0.00440585649141006,0.507817953077239,"Control vs SPD","TSC22D2"
