"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name","synaptic_prot"
"A6NE52","A6NE52",0.363840775155629,6.89130684437784e-05,0.336229152336171,"Control vs SPD","WDR97",NA
"P05114","P05114",-0.505652976271452,0.000108373618802956,0.336229152336171,"Control vs SPD","HMGN1",NA
"P02689","P02689",0.323505167380172,0.000263522496172919,0.454644857070194,"Control vs SPD","PMP2","yes"
"Q16647","Q16647",0.440453555505089,0.000293082905444122,0.454644857070194,"Control vs SPD","PTGIS",NA
"P16260","P16260",0.300174563889831,0.000467607467781981,0.503355581340134,"Control vs SPD","SLC25A16",NA
"Q86UT6","Q86UT6",0.33786409824412,0.000486725783729381,0.503355581340134,"Control vs SPD","NLRX1","yes"
"Q9HCH3","Q9HCH3",0.339605865361262,0.000678450417768494,0.518954784183321,"Control vs SPD","CPNE5","yes"
"Q86UY8","Q86UY8",0.306633658753537,0.000692484333500004,0.518954784183321,"Control vs SPD","NT5DC3",NA
"Q49MG5","Q49MG5",-0.333837564773165,0.000808388459445576,0.518954784183321,"Control vs SPD","MAP9",NA
"Q02127","Q02127",0.250204487985941,0.000836349370158454,0.518954784183321,"Control vs SPD","DHODH",NA
"P49006","P49006",-0.288938366509355,0.00110120433005955,0.551379882812965,"Control vs SPD","MARCKSL1","yes"
"Q8N715","Q8N715",-0.433219575917191,0.00136771613961062,0.551379882812965,"Control vs SPD","CCDC185",NA
"Q15836","Q15836",0.306772269924824,0.00136892962030325,0.551379882812965,"Control vs SPD","VAMP3","yes"
"Q9P2N5","Q9P2N5",-0.311515987071383,0.00150108397234627,0.551379882812965,"Control vs SPD","RBM27",NA
"P09619","P09619",0.22461163587365,0.00158151641689158,0.551379882812965,"Control vs SPD","PDGFRB",NA
"Q8NFY4","Q8NFY4",0.290697154114697,0.00172924861980554,0.551379882812965,"Control vs SPD","SEMA6D",NA
"Q96EP5","Q96EP5",-0.23504008726091,0.00177287984965915,0.551379882812965,"Control vs SPD","DAZAP1",NA
"P51809","P51809",0.302994704615611,0.00177896049481057,0.551379882812965,"Control vs SPD","VAMP7",NA
"Q6UXK5","Q6UXK5",0.327767612453655,0.00201127336364371,0.551379882812965,"Control vs SPD","LRRN1",NA
"Q9HCC8","Q9HCC8",0.262088300413163,0.00208791063086007,0.551379882812965,"Control vs SPD","GDPD2",NA
"Q96NC0","Q96NC0",-0.236113533674895,0.00219007366880318,0.551379882812965,"Control vs SPD","ZMAT2",NA
"Q0VDG4","Q0VDG4",0.262710080476215,0.00220453223055422,0.551379882812965,"Control vs SPD","SCRN3",NA
"P30039","P30039",0.235396199722214,0.00229852638951367,0.551379882812965,"Control vs SPD","PBLD",NA
"Q9BPY8","Q9BPY8",-0.344851504231436,0.00231375447981783,0.551379882812965,"Control vs SPD","HOPX",NA
"Q8IVS2","Q8IVS2",0.246050967821971,0.00240723051144674,0.551379882812965,"Control vs SPD","MCAT",NA
"Q9H0P0","Q9H0P0",0.206988029387871,0.00244557979450837,0.551379882812965,"Control vs SPD","NT5C3A",NA
"Q9UK76","Q9UK76",-0.270536696095384,0.00247602863615193,0.551379882812965,"Control vs SPD","JPT1",NA
"Q9Y328","Q9Y328",-0.614242509865816,0.0024937666709416,0.551379882812965,"Control vs SPD","NSG2",NA
"O75689","O75689",0.206852707355083,0.00277392904632792,0.551379882812965,"Control vs SPD","ADAP1","yes"
"O94822","O94822",0.215118727247528,0.00286625022628617,0.551379882812965,"Control vs SPD","LTN1",NA
"Q3SYG4","Q3SYG4",0.410005450054954,0.00289249645436471,0.551379882812965,"Control vs SPD","BBS9",NA
"Q8TB37","Q8TB37",0.229327101173304,0.00314771603779958,0.551379882812965,"Control vs SPD","NUBPL",NA
"P32780","P32780",0.206429844469174,0.00320525207738364,0.551379882812965,"Control vs SPD","GTF2H1",NA
"Q9Y508","Q9Y508",-0.25880603504639,0.00331752480014014,0.551379882812965,"Control vs SPD","RNF114",NA
"Q9NR34","Q9NR34",0.348852576269868,0.00354912551215926,0.551379882812965,"Control vs SPD","MAN1C1",NA
"P35610","P35610",0.354756914835542,0.00375953092218412,0.551379882812965,"Control vs SPD","SOAT1",NA
"Q02487","Q02487",-0.64280998058482,0.00376574778291958,0.551379882812965,"Control vs SPD","DSC2",NA
"P04271","P04271",0.230656076320348,0.00388889442358337,0.551379882812965,"Control vs SPD","S100B","yes"
"Q96GZ6","Q96GZ6",-0.263022772443377,0.00414656310054897,0.551379882812965,"Control vs SPD","SLC41A3",NA
"P09012","P09012",-0.18905731162577,0.004152834652569,0.551379882812965,"Control vs SPD","SNRPA",NA
"P27544","P27544",0.226166506863241,0.0043255951594747,0.551379882812965,"Control vs SPD","CERS1","yes"
"Q8IV48","Q8IV48",0.189076237461535,0.00433577918532484,0.551379882812965,"Control vs SPD","ERI1",NA
"Q9Y2V2","Q9Y2V2",-0.215260609589176,0.00446274614120719,0.551379882812965,"Control vs SPD","CARHSP1","yes"
"Q13503","Q13503",0.239935159748625,0.00453745723978893,0.551379882812965,"Control vs SPD","MED21",NA
"P36955","P36955",0.21350041663623,0.00457341463107332,0.551379882812965,"Control vs SPD","SERPINF1",NA
"Q9Y6K8","Q9Y6K8",0.241713737598689,0.00464315714495509,0.551379882812965,"Control vs SPD","AK5","yes"
"Q86WA8","Q86WA8",0.205417754274383,0.00468117488470618,0.551379882812965,"Control vs SPD","LONP2",NA
"Q8WUB8","Q8WUB8",-0.31047142889359,0.0046825380809174,0.551379882812965,"Control vs SPD","PHF10",NA
"O43692","O43692",0.211254838173918,0.00468269505641996,0.551379882812965,"Control vs SPD","PI15",NA
"Q7Z2H8","Q7Z2H8",0.324638219675449,0.00485472893979984,0.551379882812965,"Control vs SPD","SLC36A1",NA
"P50053","P50053",-0.307008350128259,0.00495838580544865,0.551379882812965,"Control vs SPD","KHK",NA
"P29317","P29317",0.321512488085515,0.00506629076065526,0.551379882812965,"Control vs SPD","EPHA2",NA
"Q92777","Q92777",0.18286741041165,0.00528974567400055,0.551379882812965,"Control vs SPD","SYN2","yes"
"Q969Q0","Q969Q0",-0.353335461867458,0.00538635821958064,0.551379882812965,"Control vs SPD","RPL36AL","yes"
"O75157","O75157",-0.332615888852885,0.00548734713978921,0.551379882812965,"Control vs SPD","TSC22D2",NA
"Q9Y2B5","Q9Y2B5",0.382830234741319,0.00557829793883289,0.551379882812965,"Control vs SPD","VPS9D1",NA
"Q86W56","Q86W56",0.237434893383065,0.00557867436843453,0.551379882812965,"Control vs SPD","BPHL","yes"
"O95399","O95399",0.334849534364583,0.00570348864916694,0.551379882812965,"Control vs SPD","UTS2",NA
"Q96MW1","Q96MW1",-0.194290988328239,0.00570452074130013,0.551379882812965,"Control vs SPD","CCDC43",NA
"Q6ZN28","Q6ZN28",0.206681830474279,0.00601479842453548,0.551379882812965,"Control vs SPD","MACC1",NA
"Q9UJT2","Q9UJT2",-0.310496165969087,0.0060597567418287,0.551379882812965,"Control vs SPD","TSKS",NA
"P84085","P84085",-0.223126742945546,0.00607835587381023,0.551379882812965,"Control vs SPD","ARF5","yes"
"Q96GF1","Q96GF1",-0.537393313279053,0.00618557321082104,0.551379882812965,"Control vs SPD","RNF185",NA
"P68402","P68402",-0.215579321570302,0.00619462027357802,0.551379882812965,"Control vs SPD","PAFAH1B2","yes"
"Q8WTS1","Q8WTS1",0.201730492558834,0.00623400978795088,0.551379882812965,"Control vs SPD","ABHD5",NA
"P01861","P01861",0.300956265238888,0.00627434901045764,0.551379882812965,"Control vs SPD",NA,"yes"
"P53801","P53801",0.196154654239672,0.00633117309958961,0.551379882812965,"Control vs SPD","PTTG1IP",NA
"Q9H299","Q9H299",-0.246003848658948,0.00651664783125682,0.551379882812965,"Control vs SPD","SH3BGRL3",NA
"A4UGR9","A4UGR9",-0.271305085843951,0.00653857528160167,0.551379882812965,"Control vs SPD","XIRP2",NA
"Q5BLP8","Q5BLP8",-0.342947723257213,0.00660292997775198,0.551379882812965,"Control vs SPD",NA,"yes"
"P50416","P50416",0.222740787848196,0.00666020398820269,0.551379882812965,"Control vs SPD","CPT1A","yes"
"Q53EL6","Q53EL6",0.190074320536144,0.00669999274657249,0.551379882812965,"Control vs SPD","PDCD4",NA
