"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name"
"P11498","P11498",0.459747231441863,5.83354507857263e-05,0.0993452726880919,"Control vs SPD","PC"
"P62306","P62306",-0.397581663929069,0.000292630676400241,0.249175020954805,"Control vs SPD","SNRPF"
"Q96TC7","Q96TC7",0.458531309141866,0.00045915295545528,0.260645827713447,"Control vs SPD","RMDN3"
"Q92556","Q92556",0.397045939663765,0.00089482310349983,0.380970936315053,"Control vs SPD","ELMO1"
"Q6STE5","Q6STE5",0.346360496410832,0.00131411949970111,0.447589101598199,"Control vs SPD","SMARCD3"
"Q9UK76","Q9UK76",-0.437966084131038,0.00167806484829654,0.476290739441501,"Control vs SPD","JPT1"
"Q06323","Q06323",0.24946136533493,0.00225771257049126,0.52923270244852,"Control vs SPD","PSME1"
"O75312","O75312",-0.275288373556068,0.0031503276211756,0.52923270244852,"Control vs SPD","ZPR1"
"Q9Y3Y2","Q9Y3Y2",-0.233696774121866,0.0031976637056316,0.52923270244852,"Control vs SPD","CHTOP"
"P17096","P17096",-0.371739615867971,0.00330849014534569,0.52923270244852,"Control vs SPD","HMGA1"
"Q96AY3","Q96AY3",0.33022639516453,0.0034980911945576,0.52923270244852,"Control vs SPD","FKBP10"
"P52788","P52788",-0.260717710158937,0.00411191781795414,0.52923270244852,"Control vs SPD","SMS"
"Q92890","Q92890",0.298170157536866,0.00428780981069489,0.52923270244852,"Control vs SPD","UFD1"
"Q16537","Q16537",0.24525031073253,0.00435070923915401,0.52923270244852,"Control vs SPD","PPP2R5E"
"P61927","P61927",-0.360436879232,0.0049020560540028,0.556546763997785,"Control vs SPD","RPL37"
"P04844","P04844",0.194724487181497,0.00637785167456101,0.668387512451243,"Control vs SPD","RPN2"
"O00192","O00192",0.284342332354863,0.00667210082893196,0.668387512451243,"Control vs SPD","ARVCF"
"P49006","P49006",-0.320796142405899,0.00744833154249788,0.672104270193741,"Control vs SPD","MARCKSL1"
"P61586","P61586",-0.246500898529704,0.00749852092406405,0.672104270193741,"Control vs SPD","RHOA"
"Q9HAR2","Q9HAR2",0.178475197477062,0.00981552388515421,0.758169084480288,"Control vs SPD","ADGRL3"
"P06454","P06454",-0.327653265523704,0.00991319248256248,0.758169084480288,"Control vs SPD","PTMA"
"Q9HCJ6","Q9HCJ6",0.160857108487832,0.0109496124337458,0.758169084480288,"Control vs SPD","VAT1L"
