"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name","synaptic_prot"
"P02511","P02511",2.38557350457262,1.65109924380543e-09,8.55243176074617e-06,"Control vs at-risk","CRYAB","yes"
"P05090","P05090",1.33334880017684,4.09921965624968e-09,8.55243176074617e-06,"Control vs at-risk","APOD","yes"
"Q92743","Q92743",-0.94456224281366,4.84899114710936e-09,8.55243176074617e-06,"Control vs at-risk","HTRA1","yes"
"P06727","P06727",2.01836869600455,6.64173291236394e-09,8.55243176074617e-06,"Control vs at-risk",NA,"yes"
"P02654","P02654",3.58475762626909,6.89156467425155e-09,8.55243176074617e-06,"Control vs at-risk","APOC1",NA
"P02656","P02656",2.37073421338302,9.39217955361629e-09,9.71307902169818e-06,"Control vs at-risk","APOC3",NA
"P27169","P27169",2.2244486085945,1.46729822849264e-08,1.15310516056221e-05,"Control vs at-risk","PON1",NA
"P20851","P20851",2.74472096556168,1.63141940097648e-08,1.15310516056221e-05,"Control vs at-risk","C4BPB",NA
"P04003","P04003",1.62719069118764,1.67251352861561e-08,1.15310516056221e-05,"Control vs at-risk","C4BPA","yes"
"P12259","P12259",1.54908841620302,2.02650779602927e-08,1.25744808743616e-05,"Control vs at-risk","F5",NA
"Q96HC4","Q96HC4",-1.13388774693458,2.48766692346036e-08,1.32706527789228e-05,"Control vs at-risk","PDLIM5","yes"
"P04004","P04004",2.15977779564829,2.56644372839763e-08,1.32706527789228e-05,"Control vs at-risk","VTN",NA
"P04196","P04196",2.64784139732275,3.50892489740821e-08,1.63112100513156e-05,"Control vs at-risk","HRG",NA
"Q14520","Q14520",1.61119120456099,3.68020855307685e-08,1.63112100513156e-05,"Control vs at-risk","HABP2",NA
"P01042","P01042",2.75569343890951,5.10169757397418e-08,2.11040222976732e-05,"Control vs at-risk","KNG1",NA
"P02652","P02652",2.83682184903318,6.25821920682354e-08,2.30095887906286e-05,"Control vs at-risk","APOA2",NA
"P02655","P02655",2.83665775130049,6.30399692893934e-08,2.30095887906286e-05,"Control vs at-risk","APOC2",NA
"P02647","P02647",2.75944167411384,7.17615447770741e-08,2.34657871013227e-05,"Control vs at-risk","APOA1",NA
"P02776","P02776",2.98275120897741,7.18533368130751e-08,2.34657871013227e-05,"Control vs at-risk","PF4",NA
"P02649","P02649",1.76727492884204,7.67129972517415e-08,2.38002073973528e-05,"Control vs at-risk","APOE","yes"
"P02749","P02749",2.34127326783702,8.08214858633934e-08,2.38808247515408e-05,"Control vs at-risk","APOH","yes"
"Q4G0S4","Q4G0S4",4.28065519124791,8.52829937463715e-08,2.40536807361925e-05,"Control vs at-risk","CYP27C1",NA
"P29622","P29622",2.31550433620421,1.01329729863656e-07,2.65005105901929e-05,"Control vs at-risk","SERPINA4",NA
"P01859","P01859",3.81608934745618,1.02499960381084e-07,2.65005105901929e-05,"Control vs at-risk",NA,"yes"
"Q96PD5","Q96PD5",1.62407077855611,1.13911223744517e-07,2.74849609380762e-05,"Control vs at-risk","PGLYRP2",NA
