"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name"
"P05156","P05156",0.386394777621934,1.18768741642193e-05,0.0736960041889807,"at-risk vs hc-like corrected","CFI"
"P02766","P02766",0.434876111202005,5.79699424328119e-05,0.151126325975153,"at-risk vs hc-like corrected","TTR"
"P00738","P00738",0.520443409176938,0.000468252374039207,0.284460113495131,"at-risk vs hc-like corrected","HP"
"Q8WZ42","Q8WZ42",0.81945235059354,0.000533849358802843,0.284460113495131,"at-risk vs hc-like corrected","TTN"
"O75896","O75896",-0.415728554292805,0.000562950886207375,0.284460113495131,"at-risk vs hc-like corrected","TUSC2"
"P18084","P18084",-0.240556991839565,0.000770336705073754,0.284460113495131,"at-risk vs hc-like corrected","ITGB5"
"P00751","P00751",0.506041098178663,0.000834827381915523,0.284460113495131,"at-risk vs hc-like corrected","CFB"
"P02765","P02765",0.503638108410001,0.000892729187251513,0.284460113495131,"at-risk vs hc-like corrected","AHSG"
"P43652","P43652",0.406036178138898,0.000898373720537808,0.284460113495131,"at-risk vs hc-like corrected","AFM"
"P02774","P02774",0.408567351076158,0.000940472855286314,0.284460113495131,"at-risk vs hc-like corrected","GC"
"P02787","P02787",0.388756375738634,0.00099002083417242,0.284460113495131,"at-risk vs hc-like corrected","TF"
"P07358","P07358",0.278915295982227,0.00108720958638399,0.284460113495131,"at-risk vs hc-like corrected","C8B"
"P04114","P04114",0.467634058548942,0.00110266224251258,0.284460113495131,"at-risk vs hc-like corrected","APOB"
"Q8TBZ3","Q8TBZ3",0.207077657302221,0.0011273729366795,0.284460113495131,"at-risk vs hc-like corrected","WDR20"
"P01023","P01023",0.490454151487558,0.00114120844510238,0.284460113495131,"at-risk vs hc-like corrected","A2M"
"Q6IQ26","Q6IQ26",-0.211380814573499,0.00115914876074178,0.284460113495131,"at-risk vs hc-like corrected","DENND5A"
"P13497","P13497",-0.325729691192167,0.00122567882827422,0.284460113495131,"at-risk vs hc-like corrected","BMP1"
"P19827","P19827",0.334796811349896,0.00137082964374854,0.284460113495131,"at-risk vs hc-like corrected","ITIH1"
"O95445","O95445",0.38211327300013,0.00137369559167536,0.284460113495131,"at-risk vs hc-like corrected","APOM"
"P02760","P02760",0.34560801774397,0.00137378558567259,0.284460113495131,"at-risk vs hc-like corrected","AMBP"
"P02790","P02790",0.358233827844931,0.00137531078240998,0.284460113495131,"at-risk vs hc-like corrected","HPX"
"P01024","P01024",0.49988719513512,0.00143063059868837,0.286356866608429,"at-risk vs hc-like corrected","C3"
"P06681","P06681",0.323773816248298,0.00158418058490622,0.29792712100493,"at-risk vs hc-like corrected","C2"
"Q9BYP7","Q9BYP7",0.240954636235568,0.00158446333491743,0.29792712100493,"at-risk vs hc-like corrected","WNK3"
"Q9BTC0","Q9BTC0",0.246004060914832,0.00173261933205877,0.299388157288821,"at-risk vs hc-like corrected","DIDO1"
"Q4KMQ2","Q4KMQ2",-0.303809176157031,0.00174296166423292,0.299388157288821,"at-risk vs hc-like corrected","ANO6"
"P19823","P19823",0.381076862105836,0.00191912402090797,0.299388157288821,"at-risk vs hc-like corrected","ITIH2"
"P00739","P00739",0.398964563727468,0.00194852014422649,0.299388157288821,"at-risk vs hc-like corrected","HPR"
"P13716","P13716",-0.182068788144569,0.0019844032381042,0.299388157288821,"at-risk vs hc-like corrected","ALAD"
"P04278","P04278",0.414845667374204,0.00203244888607777,0.299388157288821,"at-risk vs hc-like corrected","SHBG"
"P08603","P08603",0.401924441955771,0.00207472856783551,0.299388157288821,"at-risk vs hc-like corrected","CFH"
"Q9BTN0","Q9BTN0",0.222611774793632,0.00221569458727978,0.312463293501615,"at-risk vs hc-like corrected","LRFN3"
"P20062","P20062",-0.453270895027666,0.00226883065350937,0.312846537889458,"at-risk vs hc-like corrected","TCN2"
"Q15170","Q15170",-0.220100264091098,0.00233058850503481,0.314376123342195,"at-risk vs hc-like corrected","TCEAL1"
"P0C0L5","P0C0L5",0.264861402732329,0.00241881306588271,0.319334788804303,"at-risk vs hc-like corrected","C4B"
"Q8IVS2","Q8IVS2",-0.240987986631298,0.00260908513315519,0.330395372474039,"at-risk vs hc-like corrected","MCAT"
"P08185","P08185",0.435131064007901,0.00285119862899069,0.345103514344094,"at-risk vs hc-like corrected","SERPINA6"
"O14641","O14641",0.214491784696833,0.00289208424591344,0.345103514344094,"at-risk vs hc-like corrected","DVL2"
"P19652","P19652",0.516242595448068,0.00307309039670821,0.346509843116887,"at-risk vs hc-like corrected","ORM2"
"O43866","O43866",0.33936595988817,0.00331031425626038,0.346509843116887,"at-risk vs hc-like corrected","CD5L"
"Q04837","Q04837",0.351032687472031,0.00334206329674841,0.346509843116887,"at-risk vs hc-like corrected","SSBP1"
"Q00604","Q00604",0.234924585379272,0.00335222039666239,0.346509843116887,"at-risk vs hc-like corrected","NDP"
"P01042","P01042",0.502233577786999,0.00336686144032276,0.346509843116887,"at-risk vs hc-like corrected","KNG1"
"P01031","P01031",0.320127522862506,0.00344059171083267,0.346509843116887,"at-risk vs hc-like corrected","C5"
"Q14149","Q14149",0.292005192819101,0.00355957266470109,0.346509843116887,"at-risk vs hc-like corrected","MORC3"
"P51955","P51955",0.317044419538597,0.00376738984338651,0.346509843116887,"at-risk vs hc-like corrected","NEK2"
"P04049","P04049",-0.141185661558156,0.00376962079944674,0.346509843116887,"at-risk vs hc-like corrected","RAF1"
"P05166","P05166",-0.172854691110501,0.00381414485430736,0.346509843116887,"at-risk vs hc-like corrected","PCCB"
"O14524","O14524",0.374980629535301,0.00384594764959773,0.346509843116887,"at-risk vs hc-like corrected","NEMP1"
"Q9H903","Q9H903",-0.295798896349066,0.00387579972101828,0.346509843116887,"at-risk vs hc-like corrected","MTHFD2L"
"P01011","P01011",0.539436917720696,0.0038852684295146,0.346509843116887,"at-risk vs hc-like corrected","SERPINA3"
"O14559","O14559",0.279344191953269,0.0039090554420922,0.346509843116887,"at-risk vs hc-like corrected","ARHGAP33"
"P01008","P01008",0.468903389374923,0.00397622788988509,0.34749991629207,"at-risk vs hc-like corrected","SERPINC1"
"Q03591","Q03591",0.555492186191874,0.00407966405768134,0.35158771497101,"at-risk vs hc-like corrected","CFHR1"
"P00450","P00450",0.356951856040361,0.0042737470117311,0.363268495997144,"at-risk vs hc-like corrected","CP"
"P02748","P02748",0.250172358065633,0.0043504440470161,0.364790612320742,"at-risk vs hc-like corrected","C9"
"Q9UM47","Q9UM47",0.221446351960058,0.00481619609516623,0.380750473108143,"at-risk vs hc-like corrected","NOTCH3"
"O94913","O94913",0.584255024463836,0.00482250812183858,0.380750473108143,"at-risk vs hc-like corrected","PCF11"
"Q9UI95","Q9UI95",0.155816469262675,0.0048524521992718,0.380750473108143,"at-risk vs hc-like corrected","MAD2L2"
"P53667","P53667",-0.221167712195264,0.00486808119230067,0.380750473108143,"at-risk vs hc-like corrected","LIMK1"
"Q9NQE9","Q9NQE9",-0.223008407444372,0.00490895049937977,0.380750473108143,"at-risk vs hc-like corrected","HINT3"
"Q17RY0","Q17RY0",-0.228822323572729,0.00519446965286489,0.39792202711144,"at-risk vs hc-like corrected","CPEB4"
"Q86UD1","Q86UD1",0.448359363263203,0.00541109188791761,0.402552674846607,"at-risk vs hc-like corrected","OAF"
"P04217","P04217",0.360018608194704,0.00543427715023076,0.402552674846607,"at-risk vs hc-like corrected","A1BG"
"P49137","P49137",0.204520980307009,0.00544954467157373,0.402552674846607,"at-risk vs hc-like corrected","MAPKAPK2"
"P16455","P16455",-0.238529359559235,0.00552970448643628,0.403668427509848,"at-risk vs hc-like corrected","MGMT"
"P78536","P78536",0.254049644330006,0.00600407313135556,0.421898315238852,"at-risk vs hc-like corrected","ADAM17"
"Q17RW2","Q17RW2",0.364992013912895,0.00605507566154715,0.421898315238852,"at-risk vs hc-like corrected","COL24A1"
"P54284","P54284",-0.332327095430635,0.00620119277042727,0.421898315238852,"at-risk vs hc-like corrected","CACNB3"
"Q008S8","Q008S8",0.183255798061538,0.00625067198637511,0.421898315238852,"at-risk vs hc-like corrected","ECT2L"
"P24386","P24386",0.205596665290235,0.00636828286380129,0.421898315238852,"at-risk vs hc-like corrected","CHM"
"Q13503","Q13503",-0.192986386809398,0.00646968293762988,0.421898315238852,"at-risk vs hc-like corrected","MED21"
"Q6ZMW2","Q6ZMW2",-0.241839880388561,0.00649598974102114,0.421898315238852,"at-risk vs hc-like corrected","ZNF782"
"Q9P227","Q9P227",-0.243213381540368,0.00649599594978428,0.421898315238852,"at-risk vs hc-like corrected","ARHGAP23"
"Q53HC5","Q53HC5",0.1594778368259,0.00656882487272416,0.421898315238852,"at-risk vs hc-like corrected","KLHL26"
"P02751","P02751",0.577047309886929,0.0066089863485035,0.421898315238852,"at-risk vs hc-like corrected","FN1"
"Q9H6D7","Q9H6D7",-0.400769628745637,0.00661313548526767,0.421898315238852,"at-risk vs hc-like corrected","HAUS4"
"Q92597","Q92597",-0.251960953101065,0.0066585050221098,0.421898315238852,"at-risk vs hc-like corrected","NDRG1"
"Q8N9N7","Q8N9N7",-0.139281771552,0.00666334164277316,0.421898315238852,"at-risk vs hc-like corrected","LRRC57"
"Q9UER7","Q9UER7",0.199606341983696,0.00707815002316412,0.433535149529072,"at-risk vs hc-like corrected","DAXX"
"P36955","P36955",0.335236659140627,0.00710500326797934,0.433535149529072,"at-risk vs hc-like corrected","SERPINF1"
"Q05655","Q05655",-0.491602615934303,0.00714960513304731,0.433535149529072,"at-risk vs hc-like corrected","PRKCD"
"Q96GX2","Q96GX2",0.173706801297934,0.00735054903043001,0.433535149529072,"at-risk vs hc-like corrected","ATXN7L3B"
"Q96LT4","Q96LT4",0.12388154023227,0.00741757838960732,0.433535149529072,"at-risk vs hc-like corrected","SAMD8"
"Q9BRS8","Q9BRS8",-0.246932475290411,0.00743285638683881,0.433535149529072,"at-risk vs hc-like corrected","LARP6"
"P05155","P05155",0.411591648288375,0.00743832897767106,0.433535149529072,"at-risk vs hc-like corrected","SERPING1"
"P05556","P05556",-0.193105038676695,0.00746378565725958,0.433535149529072,"at-risk vs hc-like corrected","ITGB1"
"O14548","O14548",-0.152496947396163,0.00800168290390855,0.448061027994841,"at-risk vs hc-like corrected","COX7A2L"
"P00492","P00492",-0.229499995723568,0.00805809208751044,0.448061027994841,"at-risk vs hc-like corrected","HPRT1"
"O75795","O75795",-0.362128238400491,0.00806492854030041,0.448061027994841,"at-risk vs hc-like corrected","UGT2B17"
"P02749","P02749",0.366880723851231,0.00818467911300629,0.449433043329239,"at-risk vs hc-like corrected","APOH"
"Q01415","Q01415",-0.156734778846637,0.00834133752219166,0.454017537940344,"at-risk vs hc-like corrected","GALK2"
"Q16620","Q16620",-0.1512241950239,0.00846756826202416,0.456880531007478,"at-risk vs hc-like corrected","NTRK2"
"Q96M91","Q96M91",0.224933689532801,0.00881826307250122,0.465474431752377,"at-risk vs hc-like corrected","CFAP53"
"Q13023","Q13023",-0.305662610798402,0.00884088440087846,0.465474431752377,"at-risk vs hc-like corrected","AKAP6"
"O00192","O00192",-0.128615206617397,0.00899776419978968,0.465474431752377,"at-risk vs hc-like corrected","ARVCF"
"Q8TB96","Q8TB96",-0.185070481833694,0.0091770846737882,0.465474431752377,"at-risk vs hc-like corrected","ITFG1"
"P22792","P22792",0.527476372081235,0.00927473210961175,0.465474431752377,"at-risk vs hc-like corrected","CPN2"
"Q16513","Q16513",-0.178394901750401,0.00928212056895683,0.465474431752377,"at-risk vs hc-like corrected","PKN2"
"P06756","P06756",-0.189760693812502,0.0094221145342145,0.465474431752377,"at-risk vs hc-like corrected","ITGAV"
"Q8N7H5","Q8N7H5",0.200481429194927,0.00959241803574808,0.465474431752377,"at-risk vs hc-like corrected","PAF1"
"Q99973","Q99973",-0.2487655690864,0.00974629218771708,0.465474431752377,"at-risk vs hc-like corrected","TEP1"
"O94991","O94991",-0.227219217916502,0.00981362823927714,0.465474431752377,"at-risk vs hc-like corrected","SLITRK5"
"Q86T96","Q86T96",-0.253877740252864,0.00988984242117817,0.465474431752377,"at-risk vs hc-like corrected","RNF180"
"P04004","P04004",0.336047682671737,0.00996829465582658,0.465474431752377,"at-risk vs hc-like corrected","VTN"
"P29622","P29622",0.420730028057463,0.00998649539625618,0.465474431752377,"at-risk vs hc-like corrected","SERPINA4"
"Q9Y6D5","Q9Y6D5",-0.370722518058702,0.010026900763369,0.465474431752377,"at-risk vs hc-like corrected","ARFGEF2"
"O96000","O96000",-0.120398562821109,0.0100387272075318,0.465474431752377,"at-risk vs hc-like corrected","NDUFB10"
"P02679","P02679",0.633596776915432,0.0101015656759809,0.465474431752377,"at-risk vs hc-like corrected","FGG"
"P02746","P02746",0.426920222865871,0.0101341153076061,0.465474431752377,"at-risk vs hc-like corrected","C1QB"
"P27544","P27544",-0.18932323761797,0.0102896643561017,0.465474431752377,"at-risk vs hc-like corrected","CERS1"
"Q9H4L4","Q9H4L4",0.184285474469689,0.0103792509757415,0.465474431752377,"at-risk vs hc-like corrected","SENP3"
"P40937","P40937",-0.138891151966796,0.0104444776190149,0.465474431752377,"at-risk vs hc-like corrected","RFC5"
"P02763","P02763",0.433678441451306,0.0104569340889944,0.465474431752377,"at-risk vs hc-like corrected","ORM1"
"Q9P2N5","Q9P2N5",-0.233523877640033,0.0105022434239054,0.465474431752377,"at-risk vs hc-like corrected","RBM27"
"Q9UL15","Q9UL15",0.144529679059698,0.0106347515595966,0.466690069234533,"at-risk vs hc-like corrected","BAG5"
"P07360","P07360",0.214249479999605,0.0108731478047696,0.470011255407196,"at-risk vs hc-like corrected","C8G"
"Q9UBI9","Q9UBI9",-0.415448437568465,0.0109075940013918,0.470011255407196,"at-risk vs hc-like corrected","HECA"
"Q8N3D4","Q8N3D4",0.451757858717803,0.011050095759222,0.470500240877882,"at-risk vs hc-like corrected","EHBP1L1"
"Q9HD15","Q9HD15",-0.171071578139268,0.011070593903009,0.470500240877882,"at-risk vs hc-like corrected","SRA1"
"P69905","P69905",0.686525356898436,0.0112152424486081,0.47340530199737,"at-risk vs hc-like corrected","HBA1"
"O75131","O75131",-0.145150398734327,0.0113329997679959,0.475143672705504,"at-risk vs hc-like corrected","CPNE3"
"Q02818","Q02818",-0.158181524130832,0.0115560475739507,0.476428906404439,"at-risk vs hc-like corrected","NUCB1"
"Q9P2C4","Q9P2C4",0.178484711380666,0.0115876580074899,0.476428906404439,"at-risk vs hc-like corrected","TMEM181"
"Q9Y2W2","Q9Y2W2",0.240288327334195,0.0115939991727752,0.476428906404439,"at-risk vs hc-like corrected","WBP11"
"Q9H3H9","Q9H3H9",0.299716077446238,0.0121419570998109,0.488181653090305,"at-risk vs hc-like corrected","TCEAL2"
"Q8IZ73","Q8IZ73",0.287471948429499,0.0122463409208946,0.488181653090305,"at-risk vs hc-like corrected","RPUSD2"
"P02675","P02675",0.477420334129498,0.0122701687033774,0.488181653090305,"at-risk vs hc-like corrected","FGB"
"P02652","P02652",0.433426717543931,0.0122733824145186,0.488181653090305,"at-risk vs hc-like corrected","APOA2"
"P01009","P01009",0.586617203312006,0.0124935955529886,0.493775543989134,"at-risk vs hc-like corrected","SERPINA1"
"Q8N5Z0","Q8N5Z0",0.206675906703492,0.0126173555364825,0.494242263971127,"at-risk vs hc-like corrected","AADAT"
"P00748","P00748",0.274304962326767,0.0126647091009523,0.494242263971127,"at-risk vs hc-like corrected","F12"
"O43164","O43164",0.214404104550965,0.0128757097523347,0.499336118832729,"at-risk vs hc-like corrected","PJA2"
"P52429","P52429",-0.199847249891203,0.0130749114456307,0.503500980181079,"at-risk vs hc-like corrected","DGKE"
"Q9NYY8","Q9NYY8",-0.479212196906031,0.0131453922303521,0.503500980181079,"at-risk vs hc-like corrected","FASTKD2"
"Q01831","Q01831",-0.344765307312269,0.0133454519488638,0.505551185179173,"at-risk vs hc-like corrected","XPC"
"P19022","P19022",-0.133005461334871,0.0133993902344192,0.505551185179173,"at-risk vs hc-like corrected","CDH2"
"Q9H5K3","Q9H5K3",-0.192666339523672,0.0134606683135347,0.505551185179173,"at-risk vs hc-like corrected","POMK"
"P00367","P00367",-0.181876339741404,0.0135467294051533,0.505551185179173,"at-risk vs hc-like corrected","GLUD1"
"Q9H479","Q9H479",-0.149325994253203,0.0136218430023918,0.505551185179173,"at-risk vs hc-like corrected","FN3K"
"O43924","O43924",-0.162204272098961,0.013687767785673,0.505551185179173,"at-risk vs hc-like corrected","PDE6D"
"Q9BUR5","Q9BUR5",-0.158834854307532,0.0137878212171404,0.506233317469563,"at-risk vs hc-like corrected","APOO"
"Q68DK2","Q68DK2",-0.210556115552468,0.0139677899053452,0.507472981782542,"at-risk vs hc-like corrected","ZFYVE26"
"P68871","P68871",0.574888173731505,0.0139851538895753,0.507472981782542,"at-risk vs hc-like corrected","HBB"
"Q9BPY8","Q9BPY8",0.302415059402296,0.0141062011999613,0.508889409568373,"at-risk vs hc-like corrected","HOPX"
"P57087","P57087",-0.161014492404206,0.0142741775056073,0.511512401503825,"at-risk vs hc-like corrected","JAM2"
"Q96SL4","Q96SL4",0.271087490292366,0.0144945415545541,0.511512401503825,"at-risk vs hc-like corrected","GPX7"
"Q9NRN7","Q9NRN7",-0.123158304765134,0.0145607664326623,0.511512401503825,"at-risk vs hc-like corrected","AASDHPPT"
"Q9BPY3","Q9BPY3",-0.147687635092435,0.0145833194280762,0.511512401503825,"at-risk vs hc-like corrected","FAM118B"
"Q8IXK0","Q8IXK0",0.445441804874173,0.0145910870372566,0.511512401503825,"at-risk vs hc-like corrected","PHC2"
"Q02410","Q02410",-0.164423764254433,0.0147484248902719,0.51412346316931,"at-risk vs hc-like corrected","APBA1"
"P35542","P35542",0.332298567550669,0.0151138763101426,0.521531876515647,"at-risk vs hc-like corrected","SAA4"
"Q96BJ3","Q96BJ3",-0.144502056465733,0.0151985709917405,0.521531876515647,"at-risk vs hc-like corrected","AIDA"
"P98179","P98179",0.173772791935232,0.0152329511212768,0.521531876515647,"at-risk vs hc-like corrected","RBM3"
