"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name","synaptic_prot"
"P02776","P02776",2.33150102972138,6.03257962720293e-07,0.00374321565867942,"at-risk vs hc-like corrected","PF4",NA
"P02649","P02649",0.637772524414668,0.000310608101505545,0.613289215744362,"at-risk vs hc-like corrected","APOE","yes"
"A0A0B4J2D9","A0A0B4J2D9",-0.410457147692753,0.000649534725087047,0.613289215744362,"at-risk vs hc-like corrected",NA,"yes"
"Q9ULM6","Q9ULM6",-0.228890498220537,0.00065740873117124,0.613289215744362,"at-risk vs hc-like corrected",NA,"yes"
"Q9C0D4","Q9C0D4",0.429125380577545,0.000672682051622728,0.613289215744362,"at-risk vs hc-like corrected","ZNF518B",NA
"P10721","P10721",0.274199352387216,0.00072486234836322,0.613289215744362,"at-risk vs hc-like corrected","KIT",NA
"Q9BSI4","Q9BSI4",0.326678948142144,0.000760652839719526,0.613289215744362,"at-risk vs hc-like corrected","TINF2",NA
"Q9UJV8","Q9UJV8",0.270896829742377,0.000867921150665378,0.613289215744362,"at-risk vs hc-like corrected","PURG",NA
"Q96GZ6","Q96GZ6",0.270026893047602,0.000895033141587765,0.613289215744362,"at-risk vs hc-like corrected","SLC41A3",NA
"P00488","P00488",-0.941897529514636,0.000988379074527577,0.613289215744362,"at-risk vs hc-like corrected","F13A1",NA
"Q6ICL3","Q6ICL3",-0.323428559082901,0.00109342845129989,0.616793049119621,"at-risk vs hc-like corrected","TANGO2",NA
"P61968","P61968",0.282501340594884,0.00148874632945695,0.751461091728081,"at-risk vs hc-like corrected","LMO4",NA
"O15055","O15055",0.826317531720232,0.00157437456768172,0.751461091728081,"at-risk vs hc-like corrected","PER2",NA
"Q14511","Q14511",0.483926742662915,0.00228068355373008,0.908385862718198,"at-risk vs hc-like corrected","NEDD9",NA
"Q9BRP1","Q9BRP1",-0.293192387681199,0.00265976964401485,0.908385862718198,"at-risk vs hc-like corrected","PDCD2L",NA
"Q92542","Q92542",-0.293159397041375,0.00303280294614891,0.908385862718198,"at-risk vs hc-like corrected","NCSTN",NA
"Q96NC0","Q96NC0",0.202366439382502,0.00324604162241102,0.908385862718198,"at-risk vs hc-like corrected","ZMAT2",NA
"O43189","O43189",-0.226330797139614,0.00326635379378027,0.908385862718198,"at-risk vs hc-like corrected","PHF1",NA
"P04179","P04179",-0.31710573929778,0.00387319222953662,0.908385862718198,"at-risk vs hc-like corrected","SOD2","yes"
"Q9UBF8","Q9UBF8",0.266553214030367,0.00400193126607682,0.908385862718198,"at-risk vs hc-like corrected","PI4KB",NA
"P03952","P03952",0.309897806968401,0.00403194971666933,0.908385862718198,"at-risk vs hc-like corrected","KLKB1",NA
"P42694","P42694",0.52226240080785,0.00407278913081755,0.908385862718198,"at-risk vs hc-like corrected","HELZ",NA
"Q9UPA5","Q9UPA5",0.337494715112751,0.00421441207925294,0.908385862718198,"at-risk vs hc-like corrected","BSN","yes"
"P61006","P61006",0.232060897212879,0.00460298992049317,0.908385862718198,"at-risk vs hc-like corrected","RAB8A",NA
"P20839","P20839",-0.194640755239096,0.00463259022019595,0.908385862718198,"at-risk vs hc-like corrected","IMPDH1",NA
"Q9UPQ3","Q9UPQ3",0.195185045983859,0.00475603189768435,0.908385862718198,"at-risk vs hc-like corrected","AGAP1","yes"
"P62847","P62847",-0.223007188538272,0.00487224097855562,0.908385862718198,"at-risk vs hc-like corrected","RPS24","yes"
"O00213","O00213",-0.242042508005646,0.00538939898081304,0.908385862718198,"at-risk vs hc-like corrected","APBB1","yes"
"Q5C9Z4","Q5C9Z4",0.280135327765798,0.00547234026541182,0.908385862718198,"at-risk vs hc-like corrected","NOM1",NA
