"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name"
"O15511","O15511",-0.457663992964235,0.000606820207024843,0.435019762356634,"at-risk vs hc-like corrected","ARPC5"
"P07947","P07947",-0.388816985444036,0.000676524246430002,0.435019762356634,"at-risk vs hc-like corrected","YES1"
"P22102","P22102",0.236879057439598,0.00118897896334995,0.435019762356634,"at-risk vs hc-like corrected","GART"
"Q9BZF1","Q9BZF1",0.635284266587833,0.00131920400321049,0.435019762356634,"at-risk vs hc-like corrected","OSBPL8"
"Q5T8D3","Q5T8D3",-0.510425989102197,0.00136447109933614,0.435019762356634,"at-risk vs hc-like corrected","ACBD5"
"P62942","P62942",-0.249028828949465,0.00153265917448021,0.435019762356634,"at-risk vs hc-like corrected","FKBP1A"
"P62745","P62745",0.232238106040594,0.00269384190911502,0.655373253031839,"at-risk vs hc-like corrected","RHOB"
"Q3LXA3","Q3LXA3",0.374916829879627,0.00349968991606725,0.744996490882815,"at-risk vs hc-like corrected","TKFC"
"Q92769","Q92769",0.210621901603965,0.00462700408185395,0.755070895602755,"at-risk vs hc-like corrected","HDAC2"
"P52701","P52701",-0.148821056067202,0.00581970766548635,0.755070895602755,"at-risk vs hc-like corrected","MSH6"
"Q8N128","Q8N128",-0.273680530693873,0.00608695472156481,0.755070895602755,"at-risk vs hc-like corrected","FAM177A1"
"Q9BW83","Q9BW83",0.235856861605399,0.00618059072851791,0.755070895602755,"at-risk vs hc-like corrected","IFT27"
"P52294","P52294",-0.204432742307461,0.0077400862447601,0.755070895602755,"at-risk vs hc-like corrected","KPNA1"
"A5A3E0","A5A3E0",0.5363584099603,0.00868092217837643,0.755070895602755,"at-risk vs hc-like corrected","POTEF"
"P02751","P02751",0.406533302206469,0.0100435542511967,0.755070895602755,"at-risk vs hc-like corrected","FN1"
"Q9HA64","Q9HA64",0.325492900905832,0.0106016381239887,0.755070895602755,"at-risk vs hc-like corrected","FN3KRP"
"Q53H82","Q53H82",-0.250239924348461,0.0108154640684442,0.755070895602755,"at-risk vs hc-like corrected","LACTB2"
"P69905","P69905",0.315604977444966,0.011171718761863,0.755070895602755,"at-risk vs hc-like corrected","HBA1"
"P02652","P02652",0.398462334651068,0.0113672503085275,0.755070895602755,"at-risk vs hc-like corrected","APOA2"
