"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp" "Gene_name"
"Q9Y490" "Q9Y490" 26.6510323840545 2.47242018457514e-22 2.00738900818007e-20 "CB" "TLN1"
"P63261" "P63261" 26.4329667784772 3.40174707202802e-22 2.00738900818007e-20 "CB" "ACTG1"
"P07996" "P07996" 23.8841805145603 4.05034668507362e-22 2.00738900818007e-20 "CB" "THBS1"
"Q6S8J3" "Q6S8J3" 24.0734581766536 4.82184938875089e-22 2.00738900818007e-20 "CB" "POTEE"
"P35579" "P35579" 26.3075640730172 5.13465983779821e-22 2.00738900818007e-20 "CB" "MYH9"
"A5A3E0" "A5A3E0" 23.8175860110086 7.65455010645229e-22 2.00738900818007e-20 "CB" "POTEF"
"P21333" "P21333" 26.1518002570796 7.76219332024699e-22 2.00738900818007e-20 "CB" "FLNA"
"P06733" "P06733" 23.2408967445639 8.0692751376388e-22 2.00738900818007e-20 "CB" "ENO1"
"P68371" "P68371" 23.4196935436679 8.35961059357096e-22 2.00738900818007e-20 "CB" "TUBB4B"
"P06396" "P06396" 23.741693154685 8.85271574957707e-22 2.00738900818007e-20 "CB" "GSN"
"P0CG38" "P0CG38" 23.7480627306729 8.98545161702484e-22 2.00738900818007e-20 "CB" "POTEI"
"P30101" "P30101" 23.3116435533844 9.19520205595676e-22 2.00738900818007e-20 "CB" "PDIA3"
"Q9Y4G6" "Q9Y4G6" 23.7268781276404 1.01960295254784e-21 2.00738900818007e-20 "CB" "TLN2"
"P10909" "P10909" 22.6530946462789 1.05023935218359e-21 2.00738900818007e-20 "CB" "CLU"
"P08514" "P08514" 23.8820522180341 1.05447539035498e-21 2.00738900818007e-20 "CB" "ITGA2B"
"P12814" "P12814" 24.4109094711852 1.10088435295879e-21 2.00738900818007e-20 "CB" "ACTN1"
"P10809" "P10809" 22.0981192328856 1.14112186866362e-21 2.00738900818007e-20 "CB" "HSPD1"
"P11142" "P11142" 22.4128254121858 1.16585463156093e-21 2.00738900818007e-20 "CB" "HSPA8"
"P14618" "P14618" 23.0117404946584 1.17818998046911e-21 2.00738900818007e-20 "CB" "PKM"
"P18206" "P18206" 24.8808141300839 1.20904268867281e-21 2.00738900818007e-20 "CB" "VCL"
