"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp" "Gene_name"
"Q00610" "Q00610" 21.448720870757 1.68722304073815e-17 2.15661044109992e-15 "CB" "CLTC"
"P35579" "P35579" 25.8916952224125 1.87190747391474e-17 2.15661044109992e-15 "CB" "MYH9"
"P10809" "P10809" 21.5966742013961 2.22366788411138e-17 2.15661044109992e-15 "CB" "HSPD1"
"P30101" "P30101" 23.0538948784237 2.2679459932875e-17 2.15661044109992e-15 "CB" "PDIA3"
"P07237" "P07237" 21.6168244626608 2.29300994249266e-17 2.15661044109992e-15 "CB" "P4HB"
"P06576" "P06576" 22.5005393701104 2.41319343344749e-17 2.15661044109992e-15 "CB" "ATP5F1B"
"Q9Y490" "Q9Y490" 25.9449096992408 2.49350050101166e-17 2.15661044109992e-15 "CB" "TLN1"
"P25705" "P25705" 22.2318123753945 2.89753517350203e-17 2.15661044109992e-15 "CB" "ATP5F1A"
"P60842" "P60842" 20.0197332009584 2.92339194294247e-17 2.15661044109992e-15 "CB" "EIF4A1"
"Q13418" "Q13418" 22.2217107070277 3.21019547799409e-17 2.15661044109992e-15 "CB" "ILK"
"P00558" "P00558" 21.7405686404757 3.29255474905724e-17 2.15661044109992e-15 "CB" "PGK1"
"P61160" "P61160" 20.2302413878539 3.34709332418946e-17 2.15661044109992e-15 "CB" "ACTR2"
"O75083" "O75083" 21.4697548076299 3.37674879396382e-17 2.15661044109992e-15 "CB" "WDR1"
"P06733" "P06733" 23.1086724893134 3.38319166469663e-17 2.15661044109992e-15 "CB" "ENO1"
"P48735" "P48735" 20.763307395936 3.74112432476036e-17 2.15661044109992e-15 "CB" "IDH2"
"Q15149" "Q15149" 21.2824315015975 3.78427383456473e-17 2.15661044109992e-15 "CB" "PLEC"
"P04075" "P04075" 22.4084789938296 3.93440892063394e-17 2.15661044109992e-15 "CB" "ALDOA"
"P04406" "P04406" 23.1367651458955 4.09151968080774e-17 2.15661044109992e-15 "CB" "GAPDH"
"P12259" "P12259" 20.3763716090048 4.10406707698791e-17 2.15661044109992e-15 "CB" "F5"
"Q9UBW5" "Q9UBW5" 20.6760121087275 4.26145307342283e-17 2.15661044109992e-15 "CB" "BIN2"
"P21333" "P21333" 25.4583932207675 4.46098236165079e-17 2.15661044109992e-15 "CB" "FLNA"
"P05164" "P05164" 22.1917328159479 4.46274212320703e-17 2.15661044109992e-15 "CB" "MPO"
"Q15084" "Q15084" 20.6153804662871 4.46277731194731e-17 2.15661044109992e-15 "CB" "PDIA6"
"Q13576" "Q13576" 19.6584125979193 4.56049377735817e-17 2.15661044109992e-15 "CB" "IQGAP2"
"Q9UJU6" "Q9UJU6" 19.9693659408851 4.62959602600236e-17 2.15661044109992e-15 "CB" "DBNL"
"P04275" "P04275" 20.6496017486032 4.7944699619055e-17 2.15661044109992e-15 "CB" "VWF"
"P47756" "P47756" 20.8146782817283 4.84561241071937e-17 2.15661044109992e-15 "CB" "CAPZB"
"P13667" "P13667" 20.7721718145592 4.85183088582893e-17 2.15661044109992e-15 "CB" "PDIA4"
"P40939" "P40939" 18.5738169205604 4.93906773835041e-17 2.15661044109992e-15 "CB" "HADHA"
"P11413" "P11413" 19.8748937114508 5.01768554597079e-17 2.15661044109992e-15 "CB" "G6PD"
"P30040" "P30040" 19.2840856907212 5.26553926674847e-17 2.15661044109992e-15 "CB" "ERP29"
"P11021" "P11021" 22.553627285864 5.3630580941199e-17 2.15661044109992e-15 "CB" "HSPA5"
"P11142" "P11142" 22.5044156943968 5.39257038917213e-17 2.15661044109992e-15 "CB" "HSPA8"
"P51149" "P51149" 19.1711557450722 5.43071714980048e-17 2.15661044109992e-15 "CB" "RAB7A"
"P61586" "P61586" 19.2875547744392 5.45005243513273e-17 2.15661044109992e-15 "CB" "RHOA"
"P47985" "P47985" 18.6857391756763 5.61780980898173e-17 2.15661044109992e-15 "CB" "UQCRFS1"
"Q16762" "Q16762" 19.7479174786334 6.00484292221445e-17 2.15661044109992e-15 "CB" "TST"
"P22314" "P22314" 20.0716135729835 6.29208860051393e-17 2.15661044109992e-15 "CB" "UBA1"
"P07996" "P07996" 23.4601481614853 6.54455408990218e-17 2.15661044109992e-15 "CB" "THBS1"
"Q15942" "Q15942" 21.6877394870322 6.70618566485271e-17 2.15661044109992e-15 "CB" "ZYX"
