"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp" "Gene_name"
"Q9Y490" "Q9Y490" 26.4445128429111 3.86378129829406e-21 4.06879892730004e-19 "CB" "TLN1"
"P63261" "P63261" 26.2264472351123 7.67966203236682e-21 4.06879892730004e-19 "CB" "ACTG1"
"P68371" "P68371" 23.2131738876458 1.03993812503653e-20 4.06879892730004e-19 "CB" "TUBB4B"
"P06733" "P06733" 23.0343770716672 1.14643407276911e-20 4.06879892730004e-19 "CB" "ENO1"
"P07996" "P07996" 23.6776608940485 1.26465562779248e-20 4.06879892730004e-19 "CB" "THBS1"
"P14618" "P14618" 22.8052207964917 1.31807531875677e-20 4.06879892730004e-19 "CB" "PKM"
"P30101" "P30101" 23.1051238873922 1.32542745494197e-20 4.06879892730004e-19 "CB" "PDIA3"
"P06396" "P06396" 23.5351735242984 1.34189274996767e-20 4.06879892730004e-19 "CB" "GSN"
"P21333" "P21333" 25.945280710251 1.51051480442884e-20 4.06879892730004e-19 "CB" "FLNA"
"P35579" "P35579" 26.1010445282065 1.5609728625743e-20 4.06879892730004e-19 "CB" "MYH9"
"P62937" "P62937" 22.5664839417332 1.6569399315662e-20 4.06879892730004e-19 "CB" "PPIA"
"Q9Y4G6" "Q9Y4G6" 23.5203584962684 1.67842276951085e-20 4.06879892730004e-19 "CB" "TLN2"
"P06576" "P06576" 22.5575501536759 1.88950984406991e-20 4.06879892730004e-19 "CB" "ATP5F1B"
"Q13418" "Q13418" 22.3460783292793 1.94981670577227e-20 4.06879892730004e-19 "CB" "ILK"
"P11142" "P11142" 22.2063056261316 2.07646699958062e-20 4.06879892730004e-19 "CB" "HSPA8"
"Q6S8J3" "Q6S8J3" 23.8669385678436 2.17287216387352e-20 4.06879892730004e-19 "CB" "POTEE"
"Q9H4B7" "Q9H4B7" 22.6019171311907 2.25617491946874e-20 4.06879892730004e-19 "CB" "TUBB1"
"P11021" "P11021" 22.8303509064695 2.50078961081851e-20 4.06879892730004e-19 "CB" "HSPA5"
"P07437" "P07437" 21.0710133029582 2.56369489301968e-20 4.06879892730004e-19 "CB" "TUBB"
"Q15942" "Q15942" 21.5647775977406 2.56467248450315e-20 4.06879892730004e-19 "CB" "ZYX"
"P10809" "P10809" 21.8915993845092 2.65240071184761e-20 4.06879892730004e-19 "CB" "HSPD1"
"A5A3E0" "A5A3E0" 23.611066386533 2.77170578780273e-20 4.06879892730004e-19 "CB" "POTEF"
"P37802" "P37802" 22.4623603017519 2.98300152828092e-20 4.06879892730004e-19 "CB" "TAGLN2"
"P18206" "P18206" 24.6742945559359 2.99526213906617e-20 4.06879892730004e-19 "CB" "VCL"
"P07737" "P07737" 22.1275025506441 3.02520653579359e-20 4.06879892730004e-19 "CB" "PFN1"
"O75083" "O75083" 21.3402663347222 3.10533829963927e-20 4.06879892730004e-19 "CB" "WDR1"
"Q8TDB8" "Q8TDB8" 21.0301123754905 3.12711674069565e-20 4.06879892730004e-19 "CB" "SLC2A14"
"P61224" "P61224" 22.3220791807277 3.15051949229117e-20 4.06879892730004e-19 "CB" "RAP1B"
"Q00610" "Q00610" 19.9950192036795 3.18625438211546e-20 4.06879892730004e-19 "CB" "CLTC"
"P08514" "P08514" 23.6755325970925 3.21499942764078e-20 4.06879892730004e-19 "CB" "ITGA2B"
"P0CG38" "P0CG38" 23.5415431014032 3.22838563717072e-20 4.06879892730004e-19 "CB" "POTEI"
"Q5QNW6" "Q5QNW6" 22.4321597579508 3.26996780992189e-20 4.06879892730004e-19 "CB" "H2BC18"
"Q99879" "Q99879" 22.4321597579508 3.26996780992189e-20 4.06879892730004e-19 "CB" "H2BC14"
"P58876" "P58876" 22.4321597579508 3.26996780992189e-20 4.06879892730004e-19 "CB" "H2BC5"
"Q93079" "Q93079" 22.4321597579508 3.26996780992189e-20 4.06879892730004e-19 "CB" "H2BC9"
"Q99877" "Q99877" 22.4321597579508 3.26996780992189e-20 4.06879892730004e-19 "CB" "H2BC15"
"P11169" "P11169" 21.1717713942681 3.30736528036282e-20 4.06879892730004e-19 "CB" "SLC2A3"
"P12814" "P12814" 24.2043898790601 3.32430166598392e-20 4.06879892730004e-19 "CB" "ACTN1"
"O60814" "O60814" 22.4819351963148 3.48268801710442e-20 4.06879892730004e-19 "CB" "H2BC12"
"P62807" "P62807" 22.4819351963148 3.48268801710442e-20 4.06879892730004e-19 "CB" "H2BC5"
"P57053" "P57053" 22.4819351963148 3.48268801710442e-20 4.06879892730004e-19 "CB" "LOC102724334"
"P33778" "P33778" 22.2577485209479 3.88158655374863e-20 4.16836328989278e-19 "CB" "H2BC3"
"P23527" "P23527" 22.2577485209479 3.88158655374863e-20 4.16836328989278e-19 "CB" "H2BC17"
"Q16778" "Q16778" 22.31379381869 3.91599891534812e-20 4.16836328989278e-19 "CB" "H2BC21"
"P06899" "P06899" 22.31379381869 3.91599891534812e-20 4.16836328989278e-19 "CB" "H2BC11"
"P27105" "P27105" 21.5646609608464 4.30054859909857e-20 4.41815929940328e-19 "CB" "STOM"
"P60660" "P60660" 23.7814689916258 4.78929343368821e-20 4.77931573903469e-19 "CB" "MYL6"
"P04406" "P04406" 23.2697837245902 4.94645947076854e-20 4.79973771923884e-19 "CB" "GAPDH"
"O75390" "O75390" 19.0867592472391 5.09518496877685e-20 4.79973771923884e-19 "CB" "CS"
"Q15084" "Q15084" 21.0757151839959 5.11036792653822e-20 4.79973771923884e-19 "CB" "PDIA6"
"P00558" "P00558" 21.0784430451328 5.7419290885668e-20 5.28920006427596e-19 "CB" "PGK1"
"O75369" "O75369" 20.9599814214613 6.0763657190576e-20 5.49165882911055e-19 "CB" "FLNB"
"O00299" "O00299" 21.9687483106789 6.19205804803386e-20 5.4925848240893e-19 "CB" "CLIC1"
"P07384" "P07384" 19.3166947363021 6.58028065502899e-20 5.6659509422053e-19 "CB" "CAPN1"
"P14649" "P14649" 22.5375613967406 6.69921912683623e-20 5.6659509422053e-19 "CB" "MYL6B"
"O00429" "O00429" 19.4096645480291 6.91037878848137e-20 5.6659509422053e-19 "CB" "DNM1L"
"P08567" "P08567" 22.3811258946505 7.15076938125423e-20 5.6659509422053e-19 "CB" "PLEK"
"P35232" "P35232" 19.1979926458608 7.15142413722585e-20 5.6659509422053e-19 "CB" "PHB"
"P10909" "P10909" 22.4465749000371 7.2417333967008e-20 5.6659509422053e-19 "CB" "CLU"
"P05164" "P05164" 21.9696838013429 7.31700136432721e-20 5.6659509422053e-19 "CB" "MPO"
"Q99880" "Q99880" 22.1751726740219 7.33379871433672e-20 5.6659509422053e-19 "CB" "H2BC13"
"P30040" "P30040" 19.6168168298714 7.81751152775638e-20 5.89758379211472e-19 "CB" "ERP29"
"P49368" "P49368" 20.1116762560862 7.87986143414075e-20 5.89758379211472e-19 "CB" "CCT3"
"P67936" "P67936" 23.2399891885493 8.08156869178029e-20 5.95549446671194e-19 "CB" "TPM4"
"P25705" "P25705" 22.0492420179853 8.56637269885879e-20 6.21710988295963e-19 "CB" "ATP5F1A"
"O95810" "O95810" 22.4523684258943 8.70735720544681e-20 6.22511059911794e-19 "CB" "CAVIN2"
"P62834" "P62834" 21.6548525744969 8.93609784505494e-20 6.29469245261958e-19 "CB" "RAP1A"
"P47756" "P47756" 20.6233414265167 9.1095091485532e-20 6.32384765529997e-19 "CB" "CAPZB"
"P31946" "P31946" 19.029684433608 9.76667454356278e-20 6.58906634699517e-19 "CB" "YWHAB"
"P61981" "P61981" 19.029684433608 9.76667454356278e-20 6.58906634699517e-19 "CB" "YWHAG"
"P04075" "P04075" 22.3104050049133 9.93958897184468e-20 6.61258766321333e-19 "CB" "ALDOA"
"Q14315" "Q14315" 20.748505151582 1.03731102629181e-19 6.80646550128465e-19 "CB" "FLNC"
"P07900" "P07900" 19.7050536348786 1.13684392934734e-19 7.30649205260676e-19 "CB" "HSP90AA1"
"P04792" "P04792" 20.7577171426951 1.14402276397809e-19 7.30649205260676e-19 "CB" "HSPB1"
"P60953" "P60953" 19.7810166787982 1.2326971873153e-19 7.7630520801322e-19 "CB" "CDC42"
"Q9BQE3" "Q9BQE3" 20.7057494019239 1.26366528565444e-19 7.7630520801322e-19 "CB" "TUBA1C"
"Q9HBI1" "Q9HBI1" 19.9441079039961 1.28033635559592e-19 7.7630520801322e-19 "CB" "PARVB"
"Q9NVD7" "Q9NVD7" 19.9441079039961 1.28033635559592e-19 7.7630520801322e-19 "CB" "PARVA"
"P40926" "P40926" 20.0484963247738 1.33298584021829e-19 7.87268536649935e-19 "CB" "MDH2"
"P02649" "P02649" 22.5839051201398 1.3357134564396e-19 7.87268536649935e-19 "CB" "APOE"
"P15153" "P15153" 19.8700475037334 1.34772484353434e-19 7.87268536649935e-19 "CB" "RAC2"
"Q6PEY2" "Q6PEY2" 20.5620428588852 1.37075188805399e-19 7.91072475154048e-19 "CB" "TUBA3E"
"Q08043" "Q08043" 21.0781626415456 1.42876274063052e-19 8.11467035354234e-19 "CB" "ACTN3"
"Q7Z6G8" "Q7Z6G8" 19.0637698701 1.4561552703198e-19 8.11467035354234e-19 "CB" "ANKS1B"
