"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name"
"P59665","P59665",1.17935926185298,6.18216135445867e-06,0.00578947245351632,"at-risk vs hc-like","DEFA1"
"P02730","P02730",1.26573861196811,1.51390448062543e-05,0.00763007858235214,"at-risk vs hc-like","SLC4A1"
"P02741","P02741",0.912340132332344,2.45224451528489e-05,0.00926948426777687,"at-risk vs hc-like","CRP"
"Q96DM3","Q96DM3",-0.767598844189197,3.9970853590585e-05,0.0120871861257929,"at-risk vs hc-like","RMC1"
"P69905","P69905",0.904575354578869,5.34962861122076e-05,0.0134810641002763,"at-risk vs hc-like","HBA1"
"P21675","P21675",0.777490341562965,9.14232787182125e-05,0.0197474282031339,"at-risk vs hc-like","TAF1"
"P68871","P68871",0.478741871174536,0.000184565464377709,0.0348828727673871,"at-risk vs hc-like","HBB"
"O60462","O60462",-0.862746223795445,0.000237511177872777,0.0399018778826266,"at-risk vs hc-like","NRP2"
"Q9NS69","Q9NS69",-0.403084053403936,0.000314409604904908,0.0475387322616221,"at-risk vs hc-like","TOMM22"
"P68133","P68133",-0.317520258952321,0.000623240339811479,0.0856672176177233,"at-risk vs hc-like","ACTA1"
"P01591","P01591",0.480588584515229,0.000814678337686166,0.0986136619575328,"at-risk vs hc-like","JCHAIN"
"P62136","P62136",-0.474008902081968,0.000888959472937834,0.0986136619575328,"at-risk vs hc-like","PPP1CA"
"P11277","P11277",0.439438310411993,0.000913089462569748,0.0986136619575328,"at-risk vs hc-like","SPTB"
"P02549","P02549",0.36556179650137,0.00111581862462011,0.112474517361707,"at-risk vs hc-like","SPTA1"
"P00751","P00751",0.461007186952263,0.00120675731815703,0.11403856656584,"at-risk vs hc-like","CFB"
"Q04446","Q04446",-0.271214009621049,0.00133968858005759,0.119153478414534,"at-risk vs hc-like","GBE1"
"P02774","P02774",0.45942504652649,0.00163571529863842,0.131870542255684,"at-risk vs hc-like","GC"
"P18084","P18084",0.242770439023038,0.00165710337490609,0.131870542255684,"at-risk vs hc-like","ITGB5"
"P01011","P01011",-0.286614246487181,0.00196821687219519,0.148797195537956,"at-risk vs hc-like","SERPINA3"
"P19404","P19404",-0.248292438007551,0.0021828508135684,0.157165258576925,"at-risk vs hc-like","NDUFV2"
"P07602","P07602",-0.303694632209106,0.00229969267237705,0.158051605483368,"at-risk vs hc-like","PSAP"
"Q13976","Q13976",0.319823438743627,0.00252537611599434,0.166016029886237,"at-risk vs hc-like","PRKG1"
"P13693","P13693",-0.251265287039196,0.00277239479723481,0.170365432318966,"at-risk vs hc-like","TPT1"
"O43866","O43866",0.579724003608956,0.00281688876188766,0.170365432318966,"at-risk vs hc-like","CD5L"
"P01023","P01023",0.339198010231174,0.003290221475766,0.191339033513777,"at-risk vs hc-like","A2M"
"Q86U06","Q86U06",-0.418298800068948,0.00384964753388225,0.197965089050461,"at-risk vs hc-like","RBM23"
"P09486","P09486",-0.186597495843947,0.00386245649161296,0.197965089050461,"at-risk vs hc-like","SPARC"
"O75351","O75351",-0.25001315127806,0.00392976127099834,0.197965089050461,"at-risk vs hc-like","VPS4B"
"O15371","O15371",-0.332140134451399,0.00405880804270126,0.197965089050461,"at-risk vs hc-like","EIF3D"
"P11171","P11171",0.307335836684147,0.00431771035011026,0.198242269485378,"at-risk vs hc-like","EPB41"
"P02746","P02746",0.411754736579652,0.00432671619908563,0.198242269485378,"at-risk vs hc-like","C1QB"
"P04114","P04114",0.263358664197099,0.00466915685829905,0.203086680760805,"at-risk vs hc-like","APOB"
"P28799","P28799",-0.616738940939326,0.00470108057316678,0.203086680760805,"at-risk vs hc-like","GRN"
"O60518","O60518",-0.345778824044483,0.00505837042781882,0.212451557968391,"at-risk vs hc-like","RANBP6"
"Q8WXD9","Q8WXD9",-0.222948033803837,0.00539087717531614,0.220297467272378,"at-risk vs hc-like","CASKIN1"
"O95433","O95433",-0.247154730287359,0.00575197170708218,0.223927223154812,"at-risk vs hc-like","AHSA1"
"P83111","P83111",0.229281034033216,0.00577590059724714,0.223927223154812,"at-risk vs hc-like","LACTB"
"O43150","O43150",-0.315952740155176,0.00611892930206203,0.224441122529923,"at-risk vs hc-like","ASAP2"
"Q9H2M9","Q9H2M9",-0.451213574425552,0.00620506862120605,0.224441122529923,"at-risk vs hc-like","RAB3GAP2"
"P52907","P52907",-0.184937667999577,0.00623447562583119,0.224441122529923,"at-risk vs hc-like","CAPZA1"
"P30043","P30043",0.258211034328771,0.006643313491002,0.23359744182314,"at-risk vs hc-like","BLVRB"
"P05155","P05155",0.70845158129257,0.00712530400052694,0.239724368788521,"at-risk vs hc-like","SERPING1"
