"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp" "Gene_name"
"Q8WWA1" "Q8WWA1" 0.754177009159193 2.20147882098714e-07 0.000155144597958889 "CSpermidine-CControl" "TMEM40"
"Q9UBR2" "Q9UBR2" -1.1074722270996 2.52639161414175e-07 0.000155144597958889 "CSpermidine-CControl" "CTSZ"
"P28799" "P28799" -1.19545854312159 4.26719285501306e-07 0.000155144597958889 "CSpermidine-CControl" "GRN"
"P07339" "P07339" -1.56927065177879 4.39814575948281e-07 0.000155144597958889 "CSpermidine-CControl" "CTSD"
"P62841" "P62841" -1.4893708727939 4.62595609429233e-07 0.000155144597958889 "CSpermidine-CControl" "RPS15"
"Q14956" "Q14956" -2.00502101787236 4.95614834373525e-07 0.000155144597958889 "CSpermidine-CControl" "GPNMB"
"P12259" "P12259" 0.551267324135758 4.9725832679131e-07 0.000155144597958889 "CSpermidine-CControl" "F5"
"P31949" "P31949" -1.35421288385999 7.39842105268707e-07 0.000187233097986542 "CSpermidine-CControl" "S100A11"
"Q6PJW8" "Q6PJW8" 0.545267069124705 7.90958352601546e-07 0.000187233097986542 "CSpermidine-CControl" "CNST"
"Q15208" "Q15208" 0.688593792890686 8.57294404700284e-07 0.000187233097986542 "CSpermidine-CControl" "STK38"
"P17931" "P17931" -1.5261231804425 1.11467061372168e-06 0.000202320745261436 "CSpermidine-CControl" "LGALS3"
"O75298" "O75298" 0.522798039988391 1.20156175063492e-06 0.000202320745261436 "CSpermidine-CControl" "RTN2"
"P40121" "P40121" -1.03931970740824 1.20429015036569e-06 0.000202320745261436 "CSpermidine-CControl" "CAPG"
"P07711" "P07711" -1.45326192500147 1.44750266121021e-06 0.000216996510973623 "CSpermidine-CControl" "CTSL"
"P13284" "P13284" -1.25849651702231 1.49036065229136e-06 0.000216996510973623 "CSpermidine-CControl" "IFI30"
"P08670" "P08670" -1.05880220132168 1.80903677288405e-06 0.000246933519498673 "CSpermidine-CControl" "VIM"
"Q01469" "Q01469" -0.940349378361518 2.01752774044108e-06 0.000259192975595489 "CSpermidine-CControl" "FABP5"
"Q99536" "Q99536" -1.02262684962654 2.57205315665568e-06 0.000312075783007555 "CSpermidine-CControl" "VAT1"
"P04066" "P04066" -1.43092791100813 2.72065093957953e-06 0.000312731665896932 "CSpermidine-CControl" "FUCA1"
"P06865" "P06865" -0.914611871854611 3.06133416330937e-06 0.000334297690633383 "CSpermidine-CControl" "HEXA"
"Q562R1" "Q562R1" 0.752566085107119 3.71143903932963e-06 0.000353542000746349 "CSpermidine-CControl" "ACTBL2"
"Q6PIU2" "Q6PIU2" -0.72307001792835 3.86744893033133e-06 0.000353542000746349 "CSpermidine-CControl" "NCEH1"
"P47914" "P47914" -0.737206231603444 3.87979516492366e-06 0.000353542000746349 "CSpermidine-CControl" "RPL29"
"P62917" "P62917" -0.647567160874043 4.01026669898787e-06 0.000353542000746349 "CSpermidine-CControl" "RPL8"
"P11169" "P11169" 0.680901600829984 4.3613412661022e-06 0.000353542000746349 "CSpermidine-CControl" "SLC2A3"
"Q9H7M9" "Q9H7M9" 0.592728634142691 4.40452372959068e-06 0.000353542000746349 "CSpermidine-CControl" "VSIR"
"P10145" "P10145" 0.627298729527862 4.42871822417636e-06 0.000353542000746349 "CSpermidine-CControl" "CXCL8"
"P60866" "P60866" -0.467038228640991 4.67207518385798e-06 0.000353542000746349 "CSpermidine-CControl" "RPS20"
"P05387" "P05387" -0.525156724904704 4.69446795862826e-06 0.000353542000746349 "CSpermidine-CControl" "RPLP2"
"P12883" "P12883" 1.07324721783314 5.02648328738629e-06 0.000365927983321722 "CSpermidine-CControl" "MYH7"
"P04083" "P04083" -0.771393702122332 6.0200293073274e-06 0.000424120774425905 "CSpermidine-CControl" "ANXA1"
"P61247" "P61247" -0.507653029406832 6.69053349701963e-06 0.00045662891117159 "CSpermidine-CControl" "RPS3A"
"P33241" "P33241" -0.882599752179516 7.24987705207022e-06 0.000463376212213063 "CSpermidine-CControl" "LSP1"
"P62906" "P62906" -0.627552157298616 7.51487780079677e-06 0.000463376212213063 "CSpermidine-CControl" "RPL10A"
"P07355" "P07355" -0.895932787101753 7.52103503430728e-06 0.000463376212213063 "CSpermidine-CControl" "ANXA2"
"Q96DZ9" "Q96DZ9" 0.446504842542037 7.82473592010483e-06 0.000463376212213063 "CSpermidine-CControl" "CMTM5"
"Q13501" "Q13501" -0.758299606115962 7.85023802741911e-06 0.000463376212213063 "CSpermidine-CControl" "SQSTM1"
"O60242" "O60242" 1.32704485634733 8.28289674531116e-06 0.000470799526158591 "CSpermidine-CControl" "ADGRB3"
"P08637" "P08637" -1.01550922998846 8.40713439568912e-06 0.000470799526158591 "CSpermidine-CControl" "FCGR3A"
"P02545" "P02545" -0.903120821927285 8.96782835804002e-06 0.000489643428348985 "CSpermidine-CControl" "LMNA"
"P07996" "P07996" 0.594093151516976 1.12449500311012e-05 0.000586924590651302 "CSpermidine-CControl" "THBS1"
"P62987" "P62987" 0.746829435675064 1.13712701430054e-05 0.000586924590651302 "CSpermidine-CControl" "UBA52"
"P02671" "P02671" 0.620999294446065 1.15557497243617e-05 0.000586924590651302 "CSpermidine-CControl" "FGA"
"P62750" "P62750" -0.665945560598548 1.20275253940995e-05 0.000597002624107123 "CSpermidine-CControl" "RPL23A"
"P39019" "P39019" -0.564921077218855 1.30389504541873e-05 0.000620248631364188 "CSpermidine-CControl" "RPS19"
"O60784" "O60784" -0.766058817619356 1.30855370421397e-05 0.000620248631364188 "CSpermidine-CControl" "TOM1"
"P61011" "P61011" -0.63682974103115 1.33478414258777e-05 0.000620248631364188 "CSpermidine-CControl" "SRP54"
"P07858" "P07858" -1.00049367884237 1.49996843667355e-05 0.00066474018663934 "CSpermidine-CControl" "CTSB"
"P46776" "P46776" -0.587603680813448 1.51624852635615e-05 0.00066474018663934 "CSpermidine-CControl" "RPL27A"
"O95810" "O95810" 0.551604289930388 1.5653305771028e-05 0.00066474018663934 "CSpermidine-CControl" "CAVIN2"
"Q07954" "Q07954" -0.512209762790107 1.57295228641205e-05 0.00066474018663934 "CSpermidine-CControl" "LRP1"
"Q9ULZ3" "Q9ULZ3" -0.782596307215165 1.58702397645733e-05 0.00066474018663934 "CSpermidine-CControl" "PYCARD"
"O95866" "O95866" 0.476960107733788 1.61315155182624e-05 0.00066474018663934 "CSpermidine-CControl" "MPIG6B"
"P08514" "P08514" 0.648591410460476 1.70306810652183e-05 0.000688796434193271 "CSpermidine-CControl" "ITGA2B"
"Q9BRF8" "Q9BRF8" -0.618378248253791 1.80663370164059e-05 0.000717397818978735 "CSpermidine-CControl" "CPPED1"
"Q92686" "Q92686" 0.610501497428814 1.91982569329051e-05 0.000748732020383298 "CSpermidine-CControl" "NRGN"
"Q14247" "Q14247" 0.491911146929571 2.00123744005154e-05 0.000766789924398697 "CSpermidine-CControl" "CTTN"
"Q8NHP8" "Q8NHP8" -0.85170729904911 2.12477018056177e-05 0.000792370299148511 "CSpermidine-CControl" "PLBD2"
"P67809" "P67809" -1.05230636193452 2.14422709434999e-05 0.000792370299148511 "CSpermidine-CControl" "YBX1"
"P23219" "P23219" 0.49439612231081 2.18700688154393e-05 0.000792370299148511 "CSpermidine-CControl" "PTGS1"
"O95674" "O95674" 0.317082774396024 2.26430865555734e-05 0.000792370299148511 "CSpermidine-CControl" "CDS2"
"P02775" "P02775" 0.547589155810538 2.27108645909793e-05 0.000792370299148511 "CSpermidine-CControl" "PPBP"
"P04275" "P04275" 0.441712203226334 2.2891266284495e-05 0.000792370299148511 "CSpermidine-CControl" "VWF"
"P01584" "P01584" 0.499050986137149 2.35855330980483e-05 0.000792370299148511 "CSpermidine-CControl" "IL1B"
"Q99538" "Q99538" -1.2358035055289 2.36489216909681e-05 0.000792370299148511 "CSpermidine-CControl" "LGMN"
"O00151" "O00151" 0.364498690612617 2.39452562929495e-05 0.000792370299148511 "CSpermidine-CControl" "PDLIM1"
"Q9NP81" "Q9NP81" 0.533058822261161 2.43958358000668e-05 0.000795231423691729 "CSpermidine-CControl" "SARS2"
