"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp"
"sphinganine" "sphinganine" 0.734791084903235 8.21525050548649e-14 7.20477469331166e-11 "group2-group1"
"sphingosine" "sphingosine" 0.795269990142973 9.46047748936899e-13 4.1484193790883e-10 "group2-group1"
"AMP" "AMP" 1.05329259853192 4.09313391040376e-12 1.19655947980803e-09 "group2-group1"
"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)" "1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)" 1.24100488969275 3.27040476061547e-11 7.17036243764941e-09 "group2-group1"
"beta-citrylglutamate" "beta-citrylglutamate" 0.494094289541397 5.06567515655116e-10 8.88519422459074e-08 "group2-group1"
"serotonin" "serotonin" 2.10119872549845 8.09474374713815e-10 1.18318171104003e-07 "group2-group1"
"hexadecasphingosine (d16:1)*" "hexadecasphingosine (d16:1)*" 1.13931548977565 2.77710634767649e-09 3.4793175241604e-07 "group2-group1"
"phosphoethanolamine (PE)" "phosphoethanolamine (PE)" 0.53220590802811 9.42690200887229e-09 1.03342413272263e-06 "group2-group1"
"spermidine" "spermidine" 0.479471096403622 1.63711948242177e-08 1.59528198453766e-06 "group2-group1"
"N-oleoyltaurine" "N-oleoyltaurine" 0.910951146841919 2.27229848081192e-08 1.88573740026201e-06 "group2-group1"
"nicotinamide" "nicotinamide" 0.74244022707897 2.36523505163992e-08 1.88573740026201e-06 "group2-group1"
"spermine" "spermine" 0.604415885717016 9.82373615560786e-08 6.89350732742699e-06 "group2-group1"
"oleoylcarnitine (C18:1)" "oleoylcarnitine (C18:1)" 0.410019198330998 1.02184259129476e-07 6.89350732742699e-06 "group2-group1"
"palmitoleoylcarnitine (C16:1)*" "palmitoleoylcarnitine (C16:1)*" 0.595311953309751 1.41736758498081e-07 8.40251045859831e-06 "group2-group1"
"N-acetylneuraminate" "N-acetylneuraminate" 0.274480127080988 1.4371454604216e-07 8.40251045859831e-06 "group2-group1"
"phosphocholine" "phosphocholine" 0.320506315420847 2.34999189070606e-07 1.28808930509326e-05 "group2-group1"
"linolenoylcarnitine (C18:3)*" "linolenoylcarnitine (C18:3)*" 0.487677215584754 3.23132228453416e-07 1.66698214325674e-05 "group2-group1"
"myristoleoylcarnitine (C14:1)*" "myristoleoylcarnitine (C14:1)*" 0.738144876812252 3.73966849196158e-07 1.82204959302795e-05 "group2-group1"
"3-hydroxydecanoylcarnitine" "3-hydroxydecanoylcarnitine" 0.776747976290529 4.51456715077617e-07 2.08382915327932e-05 "group2-group1"
"taurine" "taurine" 0.27596611440316 5.25639999131754e-07 2.30493139619274e-05 "group2-group1"
"3-decenoylcarnitine" "3-decenoylcarnitine" 0.601095079303265 6.80665102287733e-07 2.72297229774297e-05 "group2-group1"
"maltose" "maltose" 1.06278738776091 6.83071728054108e-07 2.72297229774297e-05 "group2-group1"
"3-hydroxyoleoylcarnitine" "3-hydroxyoleoylcarnitine" 0.639424086780137 7.16304871744731e-07 2.73130161965274e-05 "group2-group1"
"sphingosine 1-phosphate" "sphingosine 1-phosphate" 0.252341523657493 8.48908574357273e-07 3.10205341546387e-05 "group2-group1"
"3-phosphoglycerate" "3-phosphoglycerate" 0.524700507779841 1.18681094379385e-06 4.16333279082881e-05 "group2-group1"
