"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp"
"sphinganine" "sphinganine" 0.774469210184448 5.03513554503753e-13 4.41581387299791e-10 "group2-group1"
"sphingosine" "sphingosine" 0.838164869600979 6.5851668959577e-12 2.88759568387745e-09 "group2-group1"
"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)" "1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)" 1.32764518264351 6.76083649098824e-11 1.97641786753223e-08 "group2-group1"
"serotonin" "serotonin" 2.45697043210216 2.19699554750949e-10 4.81691273791455e-08 "group2-group1"
"AMP" "AMP" 1.0477996034721 9.25182068959599e-10 1.62276934895514e-07 "group2-group1"
"phosphoethanolamine (PE)" "phosphoethanolamine (PE)" 0.573606063707593 2.03013399590749e-08 2.96737919068478e-06 "group2-group1"
"maltose" "maltose" 1.26303714233312 7.82452745419069e-08 9.80301511046462e-06 "group2-group1"
"hexadecasphingosine (d16:1)*" "hexadecasphingosine (d16:1)*" 1.14619554926785 1.31752815727878e-07 1.44434024241686e-05 "group2-group1"
"N-acetylneuraminate" "N-acetylneuraminate" 0.303391716813997 1.7518989834771e-07 1.70712823167713e-05 "group2-group1"
"nicotinamide" "nicotinamide" 0.726101248618606 3.57890030178702e-07 3.13869556466722e-05 "group2-group1"
"spermidine" "spermidine" 0.469129740628784 4.60106117577002e-07 3.66830059195482e-05 "group2-group1"
"taurine" "taurine" 0.310102871950908 1.24671444407706e-06 9.11140472879655e-05 "group2-group1"
"beta-citrylglutamate" "beta-citrylglutamate" 0.366152118140761 4.77010188758957e-06 0.000321798411955081 "group2-group1"
"spermine" "spermine" 0.571735619460888 6.04422078038402e-06 0.00035778588253526 "group2-group1"
"N-oleoyltaurine" "N-oleoyltaurine" 0.841289771398566 6.11948487802611e-06 0.00035778588253526 "group2-group1"
"phosphocholine" "phosphocholine" 0.306462905698437 1.00430129115585e-05 0.000550482645214798 "group2-group1"
"sphingadienine" "sphingadienine" 0.486592816169273 1.16676026609491e-05 0.000601911031391314 "group2-group1"
"sphingosine 1-phosphate" "sphingosine 1-phosphate" 0.236306185378702 1.99675372802131e-05 0.000972862788597047 "group2-group1"
"glycerol 3-phosphate" "glycerol 3-phosphate" -0.465531774909393 4.46933359420408e-05 0.00197160231424954 "group2-group1"
"sphinganine-1-phosphate" "sphinganine-1-phosphate" 0.329634282854968 4.49624244982791e-05 0.00197160231424954 "group2-group1"
"leucylglycine" "leucylglycine" 0.51303628113518 4.80531428427499e-05 0.00200679077490912 "group2-group1"
"docosatrienoate (22:3n6)*" "docosatrienoate (22:3n6)*" 1.07898655560671 8.17817870080083e-05 0.00326011941845561 "group2-group1"
"3-phosphoglycerate" "3-phosphoglycerate" 0.476134194876184 8.85338124735524e-05 0.0033758327625785 "group2-group1"
"dihydroorotate" "dihydroorotate" -0.624084169070298 0.000101451962407344 0.00370722379296836 "group2-group1"
"3-hydroxydecanoylcarnitine" "3-hydroxydecanoylcarnitine" 0.639412148869206 0.00013571000674863 0.00476070703674193 "group2-group1"
"tetradecadienoate (14:2)*" "tetradecadienoate (14:2)*" 0.782723788856731 0.000189727526578167 0.00639965541573278 "group2-group1"
"myristoleoylcarnitine (C14:1)*" "myristoleoylcarnitine (C14:1)*" 0.588822574699982 0.000250276803586896 0.00812936136095213 "group2-group1"
"palmitoleoylcarnitine (C16:1)*" "palmitoleoylcarnitine (C16:1)*" 0.447509432917582 0.000298890196552991 0.00918608224951966 "group2-group1"
"linolenate (18:3n3 or 3n6)" "linolenate (18:3n3 or 3n6)" 0.742506426293719 0.000303758706084458 0.00918608224951966 "group2-group1"
"oleoylcarnitine (C18:1)" "oleoylcarnitine (C18:1)" 0.297468606074343 0.0003939760616766 0.0115172335363459 "group2-group1"
"oleate/vaccenate (18:1)" "oleate/vaccenate (18:1)" 0.645478666929144 0.000460695182371523 0.0128163884592865 "group2-group1"
"palmitoleate (16:1n7)" "palmitoleate (16:1n7)" 0.899196227444166 0.000467644732835994 0.0128163884592865 "group2-group1"
"branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*" "branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*" 0.757341370508217 0.000486618233769346 0.0129322482125975 "group2-group1"
"kynurenate" "kynurenate" 0.351184179541931 0.000514417733406735 0.0132689515352267 "group2-group1"
"laurylcarnitine (C12)" "laurylcarnitine (C12)" 0.516032972143336 0.000590573911483732 0.0147980948677495 "group2-group1"
"myristoleate (14:1n5)" "myristoleate (14:1n5)" 0.786114433365872 0.000630024110045914 0.0153480873475074 "group2-group1"
